INSTRUMENT,VEGETATION,LOCATION,REPLICATE,SC_HEIGHT,FILENAME,NOTES,definition,NDVI
Unispec-SC,Tussock,T3,5,1,area match500005.spu,NA,RapidSCAN,0.6256021349394345
Unispec-SC,Tussock,T3,5,1,area match500005.spu,NA,ToolikEDC,0.6124155790248498
Unispec-SC,Tussock,T3,6,1,area match500006.spu,NA,Greenseeker,0.6110963021517929
Unispec-SC,Tussock,T3,6,1,area match500006.spu,NA,MODIS,0.6308863943043418
Unispec-SC,Tussock,T3,6,1,area match500006.spu,NA,RapidSCAN,0.6247210669285901
Unispec-SC,Tussock,T3,6,1,area match500006.spu,NA,ToolikEDC,0.6123305635026232
Unispec-SC,Tussock,T3,7,1,area match500007.spu,NA,Greenseeker,0.6120846695817478
Unispec-SC,Tussock,T3,7,1,area match500007.spu,NA,MODIS,0.6318599062375575
Unispec-SC,Tussock,T3,7,1,area match500007.spu,NA,RapidSCAN,0.6264750683624218
Unispec-SC,Tussock,T3,7,1,area match500007.spu,NA,ToolikEDC,0.6134901186837673
Unispec-SC,Tussock,T3,8,1,area match500008.spu,NA,Greenseeker,0.6149510173323287
Unispec-SC,Tussock,T3,8,1,area match500008.spu,NA,MODIS,0.6351394553752763
Unispec-SC,Tussock,T3,8,1,area match500008.spu,NA,RapidSCAN,0.6288402504169587
Unispec-SC,Tussock,T3,8,1,area match500008.spu,NA,ToolikEDC,0.6170021608547551
Unispec-SC,Tussock,T3,9,1,area match500009.spu,NA,Greenseeker,0.614723534323463
Unispec-SC,Tussock,T3,9,1,area match500009.spu,NA,MODIS,0.6350125330000327
Unispec-SC,Tussock,T3,9,1,area match500009.spu,NA,RapidSCAN,0.6291514030442614
Unispec-SC,Tussock,T3,9,1,area match500009.spu,NA,ToolikEDC,0.6168242459414339
Unispec-SC,Tussock,T3,10,1,area match500010.spu,NA,Greenseeker,0.6152731869441227
Unispec-SC,Tussock,T3,10,1,area match500010.spu,NA,MODIS,0.6348726277798453
Unispec-SC,Tussock,T3,10,1,area match500010.spu,NA,RapidSCAN,0.6295072224715285
Unispec-SC,Tussock,T3,10,1,area match500010.spu,NA,ToolikEDC,0.6165057912166305
Unispec-SC,Shrub,S1,1,1,area match700001.spu,NA,Greenseeker,0.8037854665965655
Unispec-SC,Shrub,S1,1,1,area match700001.spu,NA,MODIS,0.7907058255504253
Unispec-SC,Shrub,S1,1,1,area match700001.spu,NA,RapidSCAN,0.8293370691668015
Unispec-SC,Shrub,S1,1,1,area match700001.spu,NA,ToolikEDC,0.7532184152298261
Unispec-SC,Shrub,S1,2,1,area match700002.spu,NA,Greenseeker,0.8029620014160964
Unispec-SC,Shrub,S1,2,1,area match700002.spu,NA,MODIS,0.7900679875950831
Unispec-SC,Shrub,S1,2,1,area match700002.spu,NA,RapidSCAN,0.8286331202038388
Unispec-SC,Shrub,S1,2,1,area match700002.spu,NA,ToolikEDC,0.752905237143757
Unispec-SC,Shrub,S1,3,1,area match700003.spu,NA,Greenseeker,0.8060144727652607
Unispec-SC,Shrub,S1,3,1,area match700003.spu,NA,MODIS,0.7933807268705603
Unispec-SC,Shrub,S1,3,1,area match700003.spu,NA,RapidSCAN,0.832133593508317
Unispec-SC,Shrub,S1,3,1,area match700003.spu,NA,ToolikEDC,0.7558681638452841
Unispec-SC,Shrub,S1,4,1,area match700004.spu,NA,Greenseeker,0.8068362199724858
Unispec-SC,Shrub,S1,4,1,area match700004.spu,NA,MODIS,0.7940474672037661
Unispec-SC,Shrub,S1,4,1,area match700004.spu,NA,RapidSCAN,0.8322540655070375
Unispec-SC,Shrub,S1,4,1,area match700004.spu,NA,ToolikEDC,0.7568302347020757
Unispec-SC,Shrub,S1,5,1,area match700005.spu,NA,Greenseeker,0.8080647347607512
Unispec-SC,Shrub,S1,5,1,area match700005.spu,NA,MODIS,0.7951436156214825
Unispec-SC,Shrub,S1,5,1,area match700005.spu,NA,RapidSCAN,0.8334368431110264
Unispec-SC,Shrub,S1,5,1,area match700005.spu,NA,ToolikEDC,0.7578764795013396
Unispec-SC,Shrub,S1,6,1,area match700006.spu,NA,Greenseeker,0.8066421922350017
Unispec-SC,Shrub,S1,6,1,area match700006.spu,NA,MODIS,0.794377305587941
Unispec-SC,Shrub,S1,6,1,area match700006.spu,NA,RapidSCAN,0.8322715597642447
Unispec-SC,Shrub,S1,6,1,area match700006.spu,NA,ToolikEDC,0.7572922604943444
Unispec-SC,Shrub,S1,7,1,area match700007.spu,NA,Greenseeker,0.8082825607064018
Unispec-SC,Shrub,S1,7,1,area match700007.spu,NA,MODIS,0.7956468049596903
Unispec-SC,Shrub,S1,7,1,area match700007.spu,NA,RapidSCAN,0.8340303422602179
Unispec-SC,Shrub,S1,7,1,area match700007.spu,NA,ToolikEDC,0.7585428287212531
Unispec-SC,Shrub,S1,8,1,area match700008.spu,NA,Greenseeker,0.8072985468956407
Unispec-SC,Shrub,S1,8,1,area match700008.spu,NA,MODIS,0.7946609639303093
Unispec-SC,Shrub,S1,8,1,area match700008.spu,NA,RapidSCAN,0.833208253476572
Unispec-SC,Shrub,S1,8,1,area match700008.spu,NA,ToolikEDC,0.7573240892534929
Unispec-SC,Shrub,S1,9,1,area match700009.spu,NA,Greenseeker,0.8073936206241553
Unispec-SC,Shrub,S1,9,1,area match700009.spu,NA,MODIS,0.7943789681624538
Unispec-SC,Shrub,S1,9,1,area match700009.spu,NA,RapidSCAN,0.8331513535122106
Unispec-SC,Shrub,S1,9,1,area match700009.spu,NA,ToolikEDC,0.7572089747315631
