JUL22SHB100005.spu,JUL22SHB100004.spu,JUL22SHB100003.spu,
Wavelength,JUL22SHB100006.spu,JUL22SHB100007.spu,JUL22SHB100008.spu,JUL22SHB100009.spu,JUL22SHB100010.spu,JUL22SHB100011.spu,JUL22SHB100012.spu,JUL22SHB100013.spu,JUL22SHB100014.spu,JUL22SHB100015.spu,JUL22SHB100016.spu,JUL22SHB100017.spu,JUL22SHB100018.spu,JUL22SHB100019.spu,JUL22SHB100020.spu,JUL22SHB100021.spu,JUL22SHB100022.spu,JUL22SHB100023.spu,JUL22SHB100024.spu,JUL22SHB100025.spu
  (nm),7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 
  time  ,55:39 PM,56:06 PM,56:20 PM,56:36 PM,56:54 PM,57:08 PM,57:18 PM,57:31 PM,57:44 PM,57:54 PM,58:36 PM,58:48 PM,58:56 PM,59:05 PM,59:19 PM,59:41 PM,59:52 PM,00:01 PM,00:11 PM,00:19 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 350 , 0.013187 , 0.009511 , 0.017563 , 0.005812 , 0.012392 , 0.028455 , 0.019572 , 0.017781 , 0.028157 , 0.009178 , 0.013541 , 0.015221 , 0.051962 , 0.008994 , 0.018559 , 0.014086 , 0.002215 , 0.004633 , 0 , 0.006704 
 351 , 0.01299 , 0.009942 , 0.018362 , 0.005186 , 0.013659 , 0.02843 , 0.019149 , 0.018292 , 0.026843 , 0.009303 , 0.013174 , 0.015675 , 0.053651 , 0.010129 , 0.018931 , 0.013187 , 0.003094 , 0.004896 , 0 , 0.007457 
 352 , 0.012877 , 0.010221 , 0.018303 , 0.005015 , 0.014384 , 0.028457 , 0.018924 , 0.0182 , 0.026299 , 0.009668 , 0.013246 , 0.016195 , 0.053425 , 0.01073 , 0.019519 , 0.012885 , 0.003683 , 0.005333 , 0 , 0.008008 
 353 , 0.012905 , 0.010293 , 0.016819 , 0.0056 , 0.014094 , 0.028617 , 0.019044 , 0.017152 , 0.027016 , 0.010564 , 0.014158 , 0.016899 , 0.049857 , 0.010345 , 0.020592 , 0.013567 , 0.003842 , 0.006163 , 0 , 0.008202 
 354 , 0.012932 , 0.01035 , 0.015594 , 0.006099 , 0.013843 , 0.028747 , 0.019149 , 0.016226 , 0.027694 , 0.011395 , 0.015051 , 0.017505 , 0.046829 , 0.010005 , 0.021611 , 0.014164 , 0.003981 , 0.006901 , 0 , 0.008366 
 355 , 0.012956 , 0.010395 , 0.014566 , 0.006527 , 0.013622 , 0.028853 , 0.019242 , 0.015403 , 0.028337 , 0.012166 , 0.015927 , 0.01803 , 0.04423 , 0.009703 , 0.022581 , 0.014689 , 0.004102 , 0.007563 , 0 , 0.008504 
 356 , 0.012981 , 0.010836 , 0.01461 , 0.006874 , 0.013905 , 0.028146 , 0.019777 , 0.015162 , 0.028247 , 0.012143 , 0.015697 , 0.018101 , 0.04423 , 0.010095 , 0.022312 , 0.01457 , 0.00457 , 0.007616 , 0 , 0.008622 
 357 , 0.013006 , 0.011272 , 0.014693 , 0.007216 , 0.014209 , 0.027442 , 0.02029 , 0.014963 , 0.028116 , 0.012082 , 0.015439 , 0.018144 , 0.04433 , 0.010495 , 0.022 , 0.014426 , 0.00501 , 0.007639 , 0 , 0.008723 
 358 , 0.013031 , 0.011682 , 0.014765 , 0.007557 , 0.014505 , 0.026783 , 0.020762 , 0.014779 , 0.027985 , 0.012022 , 0.015206 , 0.018182 , 0.044406 , 0.010869 , 0.021709 , 0.014289 , 0.005408 , 0.007662 , 0 , 0.00881 
 359 , 0.013023 , 0.01174 , 0.014723 , 0.007772 , 0.014256 , 0.02646 , 0.020554 , 0.014799 , 0.027885 , 0.012282 , 0.015124 , 0.017781 , 0.044388 , 0.010883 , 0.021213 , 0.014144 , 0.005417 , 0.007438 , 0 , 0.008598 
 360 , 0.012989 , 0.011555 , 0.014601 , 0.007867 , 0.013655 , 0.026355 , 0.019905 , 0.01496 , 0.027805 , 0.012749 , 0.015149 , 0.017135 , 0.044301 , 0.010655 , 0.020613 , 0.013994 , 0.005167 , 0.007073 , 0 , 0.0082 
 361 , 0.012957 , 0.011383 , 0.014481 , 0.007935 , 0.01312 , 0.026235 , 0.019313 , 0.015111 , 0.027722 , 0.013177 , 0.015178 , 0.016575 , 0.044208 , 0.010446 , 0.020079 , 0.013851 , 0.004933 , 0.006754 , 0 , 0.007838 
 362 , 0.012935 , 0.011228 , 0.01443 , 0.008043 , 0.012788 , 0.026077 , 0.018987 , 0.015365 , 0.027533 , 0.013446 , 0.015235 , 0.016164 , 0.044271 , 0.010427 , 0.019671 , 0.013809 , 0.00481 , 0.006567 , 0.000097 , 0.007614 
 363 , 0.012953 , 0.011088 , 0.01465 , 0.00838 , 0.013061 , 0.025832 , 0.019536 , 0.016016 , 0.026952 , 0.013208 , 0.015346 , 0.016153 , 0.04496 , 0.011094 , 0.019618 , 0.014116 , 0.005041 , 0.006758 , 0.000545 , 0.007817 
 364 , 0.012968 , 0.010958 , 0.014854 , 0.008683 , 0.013302 , 0.025603 , 0.020048 , 0.016609 , 0.026422 , 0.012988 , 0.015435 , 0.016143 , 0.045602 , 0.011716 , 0.019569 , 0.014388 , 0.00524 , 0.006927 , 0.000935 , 0.008002 
 365 , 0.012982 , 0.010839 , 0.015042 , 0.008957 , 0.013518 , 0.025387 , 0.020527 , 0.017152 , 0.025938 , 0.012783 , 0.015507 , 0.016135 , 0.046202 , 0.012299 , 0.019523 , 0.014631 , 0.005413 , 0.007078 , 0.001279 , 0.008171 
 366 , 0.01299 , 0.011022 , 0.015042 , 0.008449 , 0.013575 , 0.025105 , 0.019514 , 0.017117 , 0.02537 , 0.012472 , 0.014925 , 0.016175 , 0.045692 , 0.012262 , 0.01953 , 0.014165 , 0.005413 , 0.007125 , 0.001161 , 0.008455 
 367 , 0.012997 , 0.011268 , 0.015006 , 0.007823 , 0.013602 , 0.02482 , 0.018323 , 0.016974 , 0.024817 , 0.01216 , 0.014252 , 0.016222 , 0.044994 , 0.012096 , 0.019548 , 0.01358 , 0.005382 , 0.007152 , 0.000953 , 0.008764 
 368 , 0.013003 , 0.011508 , 0.014973 , 0.007248 , 0.013632 , 0.024545 , 0.017273 , 0.016845 , 0.024302 , 0.011875 , 0.013629 , 0.016269 , 0.044358 , 0.011934 , 0.019569 , 0.01303 , 0.005355 , 0.007179 , 0.000749 , 0.009067 
 369 , 0.013002 , 0.011442 , 0.01461 , 0.006931 , 0.013459 , 0.024311 , 0.016823 , 0.016318 , 0.024101 , 0.011793 , 0.013295 , 0.016231 , 0.043469 , 0.011578 , 0.019494 , 0.012606 , 0.005322 , 0.007186 , 0.000567 , 0.009051 
 370 , 0.012993 , 0.01102 , 0.013878 , 0.006896 , 0.013062 , 0.024128 , 0.017022 , 0.015343 , 0.024271 , 0.011947 , 0.013287 , 0.0161 , 0.04229 , 0.011006 , 0.019316 , 0.012327 , 0.005283 , 0.007173 , 0.000404 , 0.008659 
 371 , 0.012984 , 0.010627 , 0.013212 , 0.006875 , 0.012703 , 0.023984 , 0.017211 , 0.014441 , 0.02445 , 0.012111 , 0.013298 , 0.016003 , 0.041206 , 0.010481 , 0.01916 , 0.012081 , 0.005238 , 0.007172 , 0.000239 , 0.008297 
 372 , 0.012988 , 0.010304 , 0.012628 , 0.006858 , 0.012386 , 0.023831 , 0.017359 , 0.013632 , 0.024575 , 0.012229 , 0.013313 , 0.015898 , 0.040253 , 0.010022 , 0.018983 , 0.011856 , 0.005192 , 0.007154 , 0.000127 , 0.007955 
 373 , 0.013175 , 0.010532 , 0.012395 , 0.006779 , 0.012239 , 0.023221 , 0.016855 , 0.013253 , 0.023708 , 0.011674 , 0.013183 , 0.01535 , 0.039868 , 0.009855 , 0.018208 , 0.01163 , 0.005107 , 0.006829 , 0.000616 , 0.007539 
 374 , 0.013351 , 0.010772 , 0.012224 , 0.006717 , 0.012117 , 0.022684 , 0.016461 , 0.012933 , 0.023029 , 0.01118 , 0.013096 , 0.014897 , 0.039614 , 0.00975 , 0.01757 , 0.011418 , 0.005049 , 0.006544 , 0.001085 , 0.007183 
