  time  ,:18:51 A,:18:59 A,:19:07 A,:19:14 A,:19:26 A,:20:21 A,:20:31 A,:20:41 A,:20:51 A,:20:58 A,:21:38 A,:21:45 A,:21:59 A,:22:06 A,:22:12 A,:22:30 A,:22:38 A,:22:45 A,:22:52 A,:22:59 A,:23:28 A,:23:36 A,:23:43 A,:23:49 A,:23:55 A,:24:18 A,:24:25 A,:24:32 A,:24:38 A,:24:44 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 342 , 0.004499 , 0.002151 , 0.002624 , 0.003403 , 0.00391 , 0.001821 , 0.007216 , 0.007652 , 0.000621 , 0.016698 , 0.001656 , 0.000752 , 0.005335 , 0.005347 , 0.001523 , 0.000195 , 0.000271 , 0.001977 , 0.000922 , 0 , 0.005754 , 0.001602 , 0.003068 , 0.001469 , 0.001189 , 0.002145 , 0.003011 , 0.001665 , 0.001117 , 0.001498 
 343 , 0.006015 , 0.003175 , 0.003797 , 0.004702 , 0.024609 , 0.002405 , 0.008335 , 0.00786 , 0.001419 , 0.011813 , 0.00343 , 0.002169 , 0.007529 , 0.006715 , 0.002216 , 0.000796 , 0.000985 , 0.002785 , 0.001106 , 0 , 0.007504 , 0.002247 , 0.004164 , 0.002191 , 0.001777 , 0.003103 , 0.004051 , 0.002528 , 0.001655 , 0.002156 
 344 , 0.007106 , 0.004043 , 0.004583 , 0.005719 , 0.100474 , 0.002784 , 0.009396 , 0.008005 , 0.001908 , 0.009976 , 0.005187 , 0.003241 , 0.00902 , 0.007617 , 0.002834 , 0.001528 , 0.001708 , 0.003456 , 0.001205 , 0 , 0.00876 , 0.002772 , 0.005027 , 0.002827 , 0.00229 , 0.003954 , 0.00485 , 0.003332 , 0.002129 , 0.00273 
 345 , 0.007925 , 0.004879 , 0.005203 , 0.006606 , 0.312356 , 0.003189 , 0.010166 , 0.007984 , 0.002324 , 0.00917 , 0.006773 , 0.004109 , 0.010143 , 0.008324 , 0.003509 , 0.002354 , 0.002365 , 0.004052 , 0.001306 , 0.000085 , 0.009733 , 0.00322 , 0.005727 , 0.003384 , 0.002751 , 0.004695 , 0.00552 , 0.004056 , 0.002563 , 0.003242 
 346 , 0.008734 , 0.007 , 0.00624 , 0.008356 , 0.034559 , 0.005012 , 0.010522 , 0.007403 , 0.003626 , 0.011001 , 0.007781 , 0.005439 , 0.011501 , 0.009949 , 0.005624 , 0.003578 , 0.002841 , 0.005015 , 0.001984 , 0.001123 , 0.010918 , 0.003789 , 0.006384 , 0.003909 , 0.003394 , 0.005141 , 0.006536 , 0.004496 , 0.003186 , 0.003822 
 347 , 0.009333 , 0.009106 , 0.007201 , 0.009811 , 0.022626 , 0.00641 , 0.010759 , 0.007116 , 0.005022 , 0.012582 , 0.008592 , 0.006478 , 0.012549 , 0.011161 , 0.007356 , 0.004577 , 0.00322 , 0.005814 , 0.002581 , 0.001905 , 0.011939 , 0.00428 , 0.006926 , 0.004362 , 0.004024 , 0.005484 , 0.007478 , 0.004844 , 0.003793 , 0.004329 
 348 , 0.009772 , 0.011153 , 0.008082 , 0.011008 , 0.018385 , 0.007492 , 0.010902 , 0.00693 , 0.006489 , 0.013929 , 0.009239 , 0.00729 , 0.013351 , 0.012066 , 0.008764 , 0.005388 , 0.00352 , 0.006469 , 0.003097 , 0.002506 , 0.012814 , 0.004697 , 0.007369 , 0.004746 , 0.004635 , 0.005745 , 0.008345 , 0.005117 , 0.004379 , 0.004768 
 349 , 0.010639 , 0.011808 , 0.009343 , 0.0112 , 0.015705 , 0.008621 , 0.011213 , 0.008348 , 0.007146 , 0.015656 , 0.00963 , 0.007633 , 0.012652 , 0.013092 , 0.009106 , 0.006279 , 0.003845 , 0.007352 , 0.00369 , 0.002843 , 0.01353 , 0.005293 , 0.008296 , 0.005453 , 0.005011 , 0.006362 , 0.009022 , 0.005751 , 0.004931 , 0.005245 
 350 , 0.011629 , 0.0119 , 0.010648 , 0.011102 , 0.014306 , 0.009706 , 0.011567 , 0.01043 , 0.007397 , 0.017472 , 0.009906 , 0.007795 , 0.011832 , 0.01411 , 0.009093 , 0.007216 , 0.004156 , 0.008339 , 0.004304 , 0.003086 , 0.014115 , 0.005953 , 0.009423 , 0.006311 , 0.005256 , 0.007109 , 0.009568 , 0.006526 , 0.005428 , 0.005713 
 351 , 0.012529 , 0.011979 , 0.011802 , 0.011047 , 0.013541 , 0.010659 , 0.011868 , 0.012499 , 0.007603 , 0.01915 , 0.010135 , 0.007927 , 0.011292 , 0.015016 , 0.009093 , 0.008119 , 0.004428 , 0.009304 , 0.00488 , 0.00331 , 0.014606 , 0.006583 , 0.010522 , 0.007169 , 0.005463 , 0.007815 , 0.010043 , 0.007273 , 0.005877 , 0.006138 
 352 , 0.013574 , 0.012197 , 0.012345 , 0.011322 , 0.012785 , 0.010709 , 0.012254 , 0.01417 , 0.007704 , 0.020509 , 0.010487 , 0.008139 , 0.011273 , 0.015548 , 0.009205 , 0.008461 , 0.004962 , 0.009971 , 0.00541 , 0.003508 , 0.015213 , 0.007172 , 0.011516 , 0.00789 , 0.005872 , 0.008535 , 0.01061 , 0.007981 , 0.006345 , 0.006648 
 353 , 0.015006 , 0.012685 , 0.011924 , 0.01217 , 0.0118 , 0.009435 , 0.012796 , 0.014969 , 0.007726 , 0.021297 , 0.01109 , 0.008527 , 0.011987 , 0.015488 , 0.009488 , 0.007841 , 0.006157 , 0.010075 , 0.005876 , 0.003673 , 0.016104 , 0.007688 , 0.012281 , 0.008292 , 0.006753 , 0.00931 , 0.011413 , 0.008618 , 0.006897 , 0.007379 
 354 , 0.016373 , 0.013136 , 0.011596 , 0.012951 , 0.011122 , 0.008507 , 0.013258 , 0.015678 , 0.007802 , 0.021954 , 0.011628 , 0.008879 , 0.012643 , 0.015441 , 0.009724 , 0.007366 , 0.007432 , 0.010181 , 0.006311 , 0.003824 , 0.016901 , 0.00816 , 0.012973 , 0.008648 , 0.007642 , 0.010038 , 0.012151 , 0.009206 , 0.007414 , 0.008082 
 355 , 0.01768 , 0.013553 , 0.011334 , 0.013672 , 0.010628 , 0.007791 , 0.013656 , 0.016313 , 0.007906 , 0.022507 , 0.012112 , 0.009202 , 0.013249 , 0.015404 , 0.009923 , 0.006988 , 0.008779 , 0.010289 , 0.006718 , 0.003964 , 0.017618 , 0.008594 , 0.013602 , 0.008968 , 0.008535 , 0.010724 , 0.012832 , 0.009753 , 0.007898 , 0.008759 
 356 , 0.017522 , 0.013742 , 0.010619 , 0.014124 , 0.010421 , 0.008873 , 0.013964 , 0.014864 , 0.008538 , 0.022026 , 0.011699 , 0.009534 , 0.012647 , 0.015347 , 0.010645 , 0.007442 , 0.008299 , 0.010824 , 0.007308 , 0.004509 , 0.018669 , 0.008954 , 0.013599 , 0.009008 , 0.008659 , 0.010861 , 0.013197 , 0.010025 , 0.008206 , 0.009146 
 357 , 0.017339 , 0.013913 , 0.010024 , 0.014536 , 0.010255 , 0.010068 , 0.014248 , 0.013693 , 0.009177 , 0.021608 , 0.011339 , 0.009849 , 0.012109 , 0.01533 , 0.011373 , 0.007901 , 0.007856 , 0.011363 , 0.007919 , 0.005094 , 0.019724 , 0.009291 , 0.013568 , 0.009038 , 0.008736 , 0.01096 , 0.013522 , 0.010265 , 0.008489 , 0.009502 
 358 , 0.017197 , 0.014078 , 0.009538 , 0.014922 , 0.010113 , 0.011282 , 0.014515 , 0.012786 , 0.009797 , 0.021277 , 0.011053 , 0.010145 , 0.011666 , 0.015342 , 0.012078 , 0.008325 , 0.007508 , 0.011883 , 0.008541 , 0.005698 , 0.020764 , 0.009611 , 0.013542 , 0.009071 , 0.008809 , 0.011049 , 0.013825 , 0.010489 , 0.008757 , 0.009841 
 359 , 0.016651 , 0.013815 , 0.009873 , 0.014796 , 0.01026 , 0.011542 , 0.014285 , 0.012435 , 0.009841 , 0.020541 , 0.011369 , 0.010097 , 0.011811 , 0.015125 , 0.012213 , 0.008726 , 0.007417 , 0.01176 , 0.008584 , 0.005896 , 0.021024 , 0.009862 , 0.013648 , 0.00919 , 0.008864 , 0.011255 , 0.014051 , 0.010636 , 0.008865 , 0.010037 
 360 , 0.015882 , 0.01328 , 0.010802 , 0.014342 , 0.010584 , 0.011124 , 0.013788 , 0.012396 , 0.009488 , 0.019587 , 0.012089 , 0.009829 , 0.012319 , 0.014736 , 0.011945 , 0.009116 , 0.007471 , 0.011229 , 0.008217 , 0.005784 , 0.020719 , 0.010055 , 0.013831 , 0.009359 , 0.008899 , 0.011533 , 0.014207 , 0.010718 , 0.008855 , 0.010119 
 361 , 0.015212 , 0.012796 , 0.011755 , 0.013939 , 0.010874 , 0.01076 , 0.013381 , 0.012353 , 0.009164 , 0.018763 , 0.012782 , 0.009596 , 0.012781 , 0.014362 , 0.011695 , 0.009494 , 0.007514 , 0.010769 , 0.007888 , 0.00568 , 0.02043 , 0.010229 , 0.013989 , 0.00951 , 0.008922 , 0.011789 , 0.014339 , 0.010785 , 0.008839 , 0.010186 
 362 , 0.014839 , 0.012647 , 0.012536 , 0.01373 , 0.011122 , 0.010528 , 0.013209 , 0.012296 , 0.009018 , 0.018302 , 0.013245 , 0.009598 , 0.013192 , 0.014256 , 0.011643 , 0.009743 , 0.00754 , 0.010542 , 0.007682 , 0.00563 , 0.020266 , 0.010398 , 0.014216 , 0.009687 , 0.009005 , 0.011985 , 0.014493 , 0.010904 , 0.0089 , 0.01031 
 363 , 0.015371 , 0.013708 , 0.012501 , 0.014132 , 0.011309 , 0.010676 , 0.013779 , 0.012211 , 0.009477 , 0.018941 , 0.01288 , 0.010486 , 0.013538 , 0.015157 , 0.01232 , 0.009509 , 0.007534 , 0.01105 , 0.007849 , 0.005768 , 0.020556 , 0.010598 , 0.014795 , 0.010005 , 0.009353 , 0.011995 , 0.01481 , 0.011276 , 0.009296 , 0.010705 
 364 , 0.015868 , 0.014753 , 0.012473 , 0.014502 , 0.011478 , 0.010813 , 0.014322 , 0.01213 , 0.009907 , 0.019537 , 0.012561 , 0.011369 , 0.013858 , 0.016014 , 0.012958 , 0.00932 , 0.007531 , 0.011531 , 0.008003 , 0.005896 , 0.020818 , 0.01078 , 0.015343 , 0.010302 , 0.009677 , 0.012007 , 0.015101 , 0.011622 , 0.009672 , 0.011075 
 365 , 0.016333 , 0.015782 , 0.012451 , 0.014843 , 0.011634 , 0.01094 , 0.014841 , 0.012054 , 0.01031 , 0.020094 , 0.012279 , 0.012247 , 0.014155 , 0.01683 , 0.01356 , 0.009165 , 0.007528 , 0.011987 , 0.008145 , 0.006013 , 0.021056 , 0.010948 , 0.015863 , 0.01058 , 0.00998 , 0.01202 , 0.015369 , 0.011944 , 0.010031 , 0.011423 
 366 , 0.016307 , 0.015332 , 0.012329 , 0.014887 , 0.01192 , 0.010895 , 0.01452 , 0.012595 , 0.010287 , 0.020713 , 0.012209 , 0.011839 , 0.014284 , 0.017033 , 0.013196 , 0.009357 , 0.007662 , 0.012027 , 0.008521 , 0.006026 , 0.021346 , 0.011072 , 0.01597 , 0.010863 , 0.010183 , 0.012369 , 0.015717 , 0.012089 , 0.010178 , 0.011643 
 367 , 0.016159 , 0.014657 , 0.012211 , 0.014867 , 0.012223 , 0.010831 , 0.014078 , 0.013263 , 0.010166 , 0.021326 , 0.012192 , 0.011209 , 0.014365 , 0.017089 , 0.012686 , 0.009615 , 0.007812 , 0.011979 , 0.008944 , 0.006014 , 0.021626 , 0.011179 , 0.015987 , 0.011135 , 0.010352 , 0.012777 , 0.016062 , 0.012183 , 0.010272 , 0.011823 
 368 , 0.015996 , 0.01408 , 0.012118 , 0.014845 , 0.012512 , 0.010785 , 0.0137 , 0.013919 , 0.010036 , 0.021911 , 0.012182 , 0.010642 , 0.014435 , 0.017129 , 0.012237 , 0.009859 , 0.007946 , 0.011933 , 0.009357 , 0.005997 , 0.021885 , 0.011275 , 0.016006 , 0.011394 , 0.010507 , 0.013166 , 0.016383 , 0.012263 , 0.010363 , 0.011987 
 369 , 0.016085 , 0.013837 , 0.012003 , 0.014801 , 0.012387 , 0.010704 , 0.013573 , 0.014041 , 0.009974 , 0.022083 , 0.012153 , 0.010394 , 0.01452 , 0.016944 , 0.012135 , 0.009864 , 0.008206 , 0.012019 , 0.009471 , 0.006072 , 0.022307 , 0.011454 , 0.016178 , 0.011699 , 0.010681 , 0.013462 , 0.016719 , 0.012468 , 0.010482 , 0.012197 
 370 , 0.016492 , 0.013944 , 0.011829 , 0.014715 , 0.0118 , 0.010551 , 0.013712 , 0.013526 , 0.010003 , 0.021752 , 0.012097 , 0.010496 , 0.014628 , 0.016519 , 0.01241 , 0.009595 , 0.008628 , 0.012256 , 0.009219 , 0.006257 , 0.022928 , 0.01173 , 0.016524 , 0.012061 , 0.010877 , 0.013637 , 0.017072 , 0.012824 , 0.010626 , 0.012462 
 371 , 0.016901 , 0.014041 , 0.011617 , 0.014596 , 0.011273 , 0.010356 , 0.013834 , 0.013041 , 0.010046 , 0.021401 , 0.01204 , 0.010597 , 0.01473 , 0.016146 , 0.012648 , 0.009351 , 0.009045 , 0.012464 , 0.00897 , 0.006427 , 0.023496 , 0.011981 , 0.016831 , 0.012391 , 0.011054 , 0.013781 , 0.017387 , 0.013147 , 0.010745 , 0.0127 
 372 , 0.017266 , 0.014135 , 0.011407 , 0.014463 , 0.010824 , 0.010175 , 0.013933 , 0.012615 , 0.010119 , 0.021071 , 0.011991 , 0.010702 , 0.014831 , 0.015844 , 0.012866 , 0.009168 , 0.009426 , 0.012668 , 0.00876 , 0.006594 , 0.024041 , 0.012223 , 0.017123 , 0.012701 , 0.011229 , 0.013937 , 0.017686 , 0.01346 , 0.010874 , 0.012932 
 373 , 0.017007 , 0.014295 , 0.011576 , 0.014397 , 0.010932 , 0.010603 , 0.013824 , 0.012675 , 0.010528 , 0.021075 , 0.012106 , 0.010912 , 0.014998 , 0.015968 , 0.013137 , 0.009621 , 0.009368 , 0.01308 , 0.0091 , 0.006848 , 0.024817 , 0.012599 , 0.017644 , 0.013066 , 0.011599 , 0.014604 , 0.018187 , 0.013965 , 0.011459 , 0.0134 
 374 , 0.016803 , 0.014438 , 0.011707 , 0.014365 , 0.010982 , 0.010994 , 0.013772 , 0.012726 , 0.010899 , 0.02113 , 0.012176 , 0.011076 , 0.015147 , 0.016116 , 0.0134 , 0.010029 , 0.009321 , 0.013468 , 0.009397 , 0.007078 , 0.025486 , 0.012932 , 0.018087 , 0.013375 , 0.011915 , 0.015191 , 0.018603 , 0.014415 , 0.01198 , 0.013808 
 375 , 0.016638 , 0.014571 , 0.011811 , 0.014356 , 0.010989 , 0.011359 , 0.013761 , 0.012773 , 0.011241 , 0.021222 , 0.012214 , 0.011208 , 0.015286 , 0.016281 , 0.01366 , 0.010404 , 0.009282 , 0.013839 , 0.009662 , 0.007293 , 0.026078 , 0.013235 , 0.018473 , 0.013644 , 0.012191 , 0.01572 , 0.018957 , 0.014824 , 0.012452 , 0.014172 
 376 , 0.016244 , 0.01432 , 0.011802 , 0.01398 , 0.011112 , 0.011198 , 0.01379 , 0.01295 , 0.010896 , 0.021061 , 0.012261 , 0.011118 , 0.015354 , 0.016382 , 0.013534 , 0.010444 , 0.009084 , 0.013879 , 0.009673 , 0.007292 , 0.026962 , 0.013652 , 0.019194 , 0.014083 , 0.012635 , 0.016356 , 0.019719 , 0.015382 , 0.012892 , 0.014684 
