  time  ,:52:13 A,:52:57 A,:53:03 A,:53:10 A,:53:18 A,:53:23 A,:53:57 A,:54:03 A,:54:11 A,:54:24 A,:54:34 A,:55:11 A,:55:20 A,:55:27 A,:55:36 A,:55:46 A,:56:21 A,:56:30 A,:56:37 A,:56:44 A,:56:53 A,:57:33 A,:57:40 A,:57:53 A,:58:02 A,:58:11 A,:59:31 A,:59:37 A,:59:45 A,:59:51 A,:59:59 A,:04:13 A,:04:19 A,:04:27 A,:04:35 A,:04:43 A,:05:16 A,:05:25 A,:05:33 A,:05:39 A,:05:46 A,:06:23 A,:06:28 A,:06:39 A,:06:46 A,:06:55 A,:08:02 A,:08:07 A,:08:14 A,:08:23 A,:08:33 A,:09:06 A,:09:13 A,:09:22 A,:09:32 A,:09:45 A,:10:27 A,:10:33 A,:10:43 A,:10:51 A,:10:59 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0 , 0.00052 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000493 , 0 , 0 , 0.000146 , 0.000318 , 0 , 0.000962 , 0.000796 , 0.000183 , 0.000068 , 0.000125 , 0.000282 , 0.001012 , 0 , 0 , 0.000354 , 0 , 0.000459 , 0.000451 , 0.000241 , 0.000519 , 0.000737 , 0.000446 , 0.001783 , 0 , 0.001397 , 0.000167 , 0.001195 , 0.001526 , 0.001691 , 0.002384 , 0.000675 , 0.002331 , 0.002074 , 0.000625 , 0.000515 , 0.001146 , 0.000549 , 0.001077 , 0.000587 , 0.002407 , 0.002158 , 0.002023 , 0.002287 , 0.001126 , 0.001683 , 0.001963 
 327 , 0 , 0.000856 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000875 , 0 , 0 , 0.000263 , 0.000551 , 0 , 0.001656 , 0.001437 , 0.00033 , 0.00012 , 0.000226 , 0.000504 , 0.001458 , 0 , 0 , 0.00062 , 0 , 0.000781 , 0.000813 , 0.000434 , 0.000926 , 0.001342 , 0.000807 , 0.002284 , 0 , 0.001735 , 0.000305 , 0.001556 , 0.002082 , 0.002062 , 0.003217 , 0.001027 , 0.002876 , 0.002921 , 0.001135 , 0.000892 , 0.001888 , 0.000966 , 0.001556 , 0.001069 , 0.003025 , 0.002544 , 0.002552 , 0.0028 , 0.001597 , 0.002268 , 0.002569 
 328 , 0 , 0.001124 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001223 , 0 , 0 , 0.000372 , 0.000754 , 0 , 0.002253 , 0.002037 , 0.000467 , 0.000167 , 0.000321 , 0.000709 , 0.001844 , 0 , 0 , 0.000855 , 0 , 0.001077 , 0.001152 , 0.000612 , 0.0013 , 0.001919 , 0.001147 , 0.002724 , 0 , 0.001997 , 0.000437 , 0.001864 , 0.002564 , 0.002355 , 0.003953 , 0.001322 , 0.003314 , 0.00368 , 0.001619 , 0.001221 , 0.002591 , 0.001338 , 0.001969 , 0.001529 , 0.003544 , 0.002832 , 0.003001 , 0.003213 , 0.002025 , 0.00276 , 0.003071 
 329 , 0.000563 , 0.002462 , 0.000177 , 0.000369 , 0.000635 , 0.000326 , 0.001299 , 0.000408 , 0.000647 , 0.000436 , 0.000511 , 0.000446 , 0.000097 , 0.000482 , 0.002332 , 0.001443 , 0.000105 , 0.001478 , 0.001744 , 0.000669 , 0.003434 , 0.003285 , 0.001303 , 0.001087 , 0.001032 , 0.001692 , 0.002866 , 0.000655 , 0.000754 , 0.001533 , 0.00041 , 0.001996 , 0.001907 , 0.001383 , 0.002128 , 0.002771 , 0.001705 , 0.003965 , 0.000596 , 0.002995 , 0.00107 , 0.002875 , 0.003728 , 0.00335 , 0.005184 , 0.002261 , 0.004535 , 0.005011 , 0.002425 , 0.002082 , 0.003536 , 0.002148 , 0.002819 , 0.002402 , 0.004649 , 0.003876 , 0.004067 , 0.004428 , 0.002857 , 0.003697 , 0.004267 
 330 , 0.001193 , 0.004089 , 0.000408 , 0.000758 , 0.001288 , 0.000713 , 0.002757 , 0.000882 , 0.001382 , 0.000959 , 0.001081 , 0.00095 , 0.000202 , 0.001016 , 0.00353 , 0.00291 , 0.000221 , 0.002712 , 0.002831 , 0.001395 , 0.004705 , 0.004565 , 0.002147 , 0.002108 , 0.001797 , 0.002714 , 0.003933 , 0.001416 , 0.001542 , 0.002222 , 0.000852 , 0.00301 , 0.002695 , 0.002211 , 0.002989 , 0.003645 , 0.002255 , 0.005189 , 0.001234 , 0.00402 , 0.001727 , 0.003928 , 0.004953 , 0.004391 , 0.006414 , 0.003282 , 0.00577 , 0.006359 , 0.003225 , 0.002979 , 0.004429 , 0.003005 , 0.003671 , 0.003281 , 0.005736 , 0.004971 , 0.005121 , 0.005668 , 0.003719 , 0.004635 , 0.005519 
 331 , 0.001844 , 0.005975 , 0.000689 , 0.001139 , 0.001913 , 0.001139 , 0.00427 , 0.00139 , 0.002152 , 0.001538 , 0.001669 , 0.001475 , 0.000307 , 0.001561 , 0.004759 , 0.0043 , 0.000339 , 0.003996 , 0.003954 , 0.002125 , 0.006037 , 0.005827 , 0.002949 , 0.00316 , 0.002567 , 0.003715 , 0.005007 , 0.002232 , 0.002308 , 0.002892 , 0.001293 , 0.004079 , 0.003487 , 0.003052 , 0.003848 , 0.004522 , 0.002783 , 0.00635 , 0.001868 , 0.005031 , 0.002369 , 0.004981 , 0.006203 , 0.005445 , 0.007628 , 0.004343 , 0.006982 , 0.007697 , 0.003998 , 0.003872 , 0.005255 , 0.003877 , 0.0045 , 0.004136 , 0.006783 , 0.00609 , 0.006133 , 0.006895 , 0.004589 , 0.00556 , 0.006802 
 332 , 0.003002 , 0.006979 , 0.001755 , 0.00166 , 0.002467 , 0.001858 , 0.005175 , 0.002141 , 0.002807 , 0.002044 , 0.002205 , 0.002109 , 0.000935 , 0.002302 , 0.005669 , 0.005052 , 0.000555 , 0.005 , 0.00461 , 0.002889 , 0.007046 , 0.006519 , 0.003786 , 0.00385 , 0.003169 , 0.004365 , 0.005686 , 0.002851 , 0.00289 , 0.003468 , 0.001693 , 0.00462 , 0.004061 , 0.003712 , 0.004443 , 0.005156 , 0.003297 , 0.007191 , 0.002368 , 0.005773 , 0.002829 , 0.00569 , 0.007004 , 0.006239 , 0.008358 , 0.004981 , 0.007752 , 0.008451 , 0.004571 , 0.004484 , 0.005868 , 0.004549 , 0.005163 , 0.004754 , 0.00754 , 0.006773 , 0.006858 , 0.007609 , 0.005179 , 0.006263 , 0.007515 
 333 , 0.004301 , 0.007241 , 0.002986 , 0.002221 , 0.002922 , 0.002602 , 0.005591 , 0.002948 , 0.003265 , 0.002432 , 0.002653 , 0.002751 , 0.001811 , 0.003065 , 0.006276 , 0.005363 , 0.000825 , 0.005733 , 0.004897 , 0.00362 , 0.007757 , 0.006804 , 0.00463 , 0.004254 , 0.003627 , 0.004742 , 0.006058 , 0.003268 , 0.003318 , 0.003967 , 0.00203 , 0.004767 , 0.004464 , 0.004228 , 0.004834 , 0.005599 , 0.003781 , 0.007815 , 0.002748 , 0.006314 , 0.003149 , 0.006142 , 0.007465 , 0.006819 , 0.008744 , 0.005295 , 0.008204 , 0.008792 , 0.004987 , 0.004877 , 0.006333 , 0.005041 , 0.005689 , 0.005204 , 0.008085 , 0.007126 , 0.007376 , 0.007955 , 0.005555 , 0.006797 , 0.007814 
 334 , 0.005365 , 0.007445 , 0.003886 , 0.002704 , 0.003299 , 0.003175 , 0.005939 , 0.003632 , 0.003607 , 0.002762 , 0.003038 , 0.003311 , 0.002553 , 0.003697 , 0.00678 , 0.005634 , 0.001073 , 0.006384 , 0.005129 , 0.004276 , 0.008377 , 0.007048 , 0.005426 , 0.004627 , 0.004051 , 0.00506 , 0.006368 , 0.003624 , 0.003697 , 0.004433 , 0.002321 , 0.004894 , 0.004836 , 0.004721 , 0.00519 , 0.006004 , 0.004219 , 0.008419 , 0.003089 , 0.006823 , 0.003443 , 0.006559 , 0.007882 , 0.007346 , 0.009079 , 0.005579 , 0.008608 , 0.009091 , 0.005353 , 0.005228 , 0.006764 , 0.005477 , 0.006161 , 0.005638 , 0.008582 , 0.007425 , 0.007853 , 0.008254 , 0.005893 , 0.007291 , 0.008081 
 335 , 0.006213 , 0.007855 , 0.00467 , 0.003313 , 0.003713 , 0.003797 , 0.006449 , 0.004275 , 0.004046 , 0.003188 , 0.003464 , 0.003901 , 0.003229 , 0.004263 , 0.007342 , 0.006063 , 0.001403 , 0.007016 , 0.005491 , 0.004869 , 0.009077 , 0.007438 , 0.006233 , 0.005075 , 0.004532 , 0.005508 , 0.006819 , 0.004053 , 0.004139 , 0.004946 , 0.002649 , 0.005148 , 0.005314 , 0.005247 , 0.005605 , 0.006475 , 0.004674 , 0.009096 , 0.003479 , 0.007387 , 0.003826 , 0.007016 , 0.008394 , 0.007894 , 0.009573 , 0.005988 , 0.009086 , 0.009357 , 0.005831 , 0.005668 , 0.007262 , 0.005972 , 0.006694 , 0.006153 , 0.00916 , 0.007861 , 0.008396 , 0.008702 , 0.006347 , 0.00783 , 0.008498 
