"","Research_location","Date","Time","Site.x","Block","Treatment","Weather","Spufilename.x","REP","NDVI(MODIS)","EVI(MODIS)","EVI2(MODIS)","PRI(550Reference)","PRI(570Ref)","WBI","ChlIndex","FileNum.x","Process_file","key_num.x","key","Site.y","FileNum.y","DateTime","Integration_ms","Temp","Remarks","Spufilename.y","Spu_filename","ReflecMean","ReflecSERR","ChAmax","ChBmax","Number_ChAmax","key_num.y","Type"
"23","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00034.spu","2","0.55494449218617503","0.45790609875003629","0.39679368006489663","8.4822530483289776E-2","0.10891208084740775","1.0145972329142074","0.19223144104803494",34,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00034","2016-05-27_HIST00034","HIST",34,2016-05-27 14:57:51,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00034.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00034.spu",0.288103435797373,0.0126496786904791,50916,12502,0,"00034",""
"24","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00035.spu","3","0.55284360350177442","0.42297346657438051","0.36159289403374423","8.3213984553814041E-2","9.990604035665239E-2","0.99683057000265929","0.21496481710264814",35,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00035","2016-05-27_HIST00035","HIST",35,2016-05-27 14:58:00,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00035.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00035.spu",0.253635718164934,0.0108051713213818,51052,11447.3,0,"00035",""
"25","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,"may27hist00009.spu","2","0.46315749999088152","0.41315001369291321","0.36391377677851272","7.9120004154189655E-2","0.102072160642028","0.99968421302561916","0.16325208953514994",9,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00009","2016-05-27_HIST00009","HIST",9,2016-05-27 14:52:38,70,17.324,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00009.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00009.spu",0.348835598001092,0.0132090120158192,46011,13458.2,0,"00009",""
"26","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00036.spu","4","0.56347733191915006","0.42193077853368727","0.36439945032502863","8.2937226899712266E-2","0.10223897726245214","1.0112981104338017","0.21314302898057277",36,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00036","2016-05-27_HIST00036","HIST",36,2016-05-27 14:58:09,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00036.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00036.spu",0.247600593413359,0.0108338000288519,51194,11263.5,0,"00036",""
"27","Toolik",2016-05-27,"0.41666666666666669","HIST","2","CT",NA,"may27hist00037.spu","5","0.59315775373121626","0.49371544945444229","0.42824877678795004","9.7184854649255137E-2","0.12297924422459068","1.0064062475773066","0.21393669462942144",37,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00037","2016-05-27_HIST00037","HIST",37,2016-05-27 14:58:17,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00037.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00037.spu",0.288384843565461,0.0135275632406314,51294,12935.4,0,"00037",""
"28","Toolik",2016-05-27,"0.41666666666666669","HIST","2","NP",NA,"may27hist00038.spu","1","0.49406477000484356","0.32616365433062505","0.27006655951836234","5.673758865248224E-2","6.3235727414308315E-2","1.0212548547394129","0.17844697966089584",38,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00038","2016-05-27_HIST00038","HIST",38,2016-05-27 14:58:47,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00038.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00038.spu",0.200741037650765,0.00703449972135638,51641,8417.6,0,"00038",""
"29","Toolik",2016-05-27,"0.41666666666666669","HIST","2","NP",NA,"may27hist00039.spu","2","0.50796689224252445","0.34778829986541621","0.29132816228736852","6.171586455778285E-2","7.2502543093237559E-2","1.0148554259179772","0.18343550106609802",39,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00039","2016-05-27_HIST00039","HIST",39,2016-05-27 14:58:56,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00039.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00039.spu",0.212361497943676,0.00789985280719849,51660,9065.8,0,"00039",""
"30","Toolik",2016-05-27,"0.41666666666666669","HIST","2","NP",NA,"may27hist00040.spu","3","0.48243750086653975","0.29860191173726236","0.24817329185270637","5.5651557446054337E-2","6.0093786290737521E-2","1.0190875037807403","0.17306345206854373",40,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00040","2016-05-27_HIST00040","HIST",40,2016-05-27 14:59:04,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00040.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00040.spu",0.185784825758213,0.00626792145085896,51686,7815,0,"00040",""
"31","Toolik",2016-05-27,"0.41666666666666669","HIST","2","NP",NA,"may27hist00041.spu","4","0.43078900922830732","0.23859754451229431","0.19808658697991835","4.7799885632175465E-2","4.39800672766218E-2","0.96753119823870137","0.14507066946060795",41,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00041","2016-05-27_HIST00041","HIST",41,2016-05-27 14:59:11,70,16.592,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00041.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00041.spu",0.165306203969778,0.00472663292870892,51754,6398.9,0,"00041",""
"32","Toolik",2016-05-27,"0.41666666666666669","HIST","2","NP",NA,"may27hist00042.spu","5","0.34185998861381478","0.1870823116033879","0.16322244683557557","5.4685672745661947E-2","5.9027843322321846E-2","0.96260137951944214","8.91984685088133E-2",42,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00042","2016-05-27_HIST00042","HIST",42,2016-05-27 14:59:18,70,16.592,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00042.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00042.spu",0.174307416616182,0.00430671453545418,51775,6305.7,0,"00042",""
"33","Toolik",2016-05-27,"0.41666666666666669","HIST","2","NP",NA,"may27hist00043.spu","1","0.31848372801671648","0.1689659753633744","0.14355523561717984","4.8076068603927907E-2","4.7683153730386042E-2","0.96006275691816301","8.6656365375542652E-2",43,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00043","2016-05-27_HIST00043","HIST",43,2016-05-27 14:59:37,70,16.592,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00043.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00043.spu",0.163588613721808,0.00340972632249996,51726,6025.6,0,"00043",""
"34","Toolik",2016-05-27,"0.41666666666666669","HIST","2","NP",NA,"may27hist00044.spu","2","0.37373488228927643","0.29161217047952487","0.26037778247290966","7.0129585444612175E-2","8.9767925524891046E-2","0.95173382658074257","0.10731170461767402",44,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00044","2016-05-27_HIST00044","HIST",44,2016-05-27 14:59:45,70,16.836,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00044.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00044.spu",0.297903895130687,0.00920597264363527,51781,11670.1,0,"00044",""
