AUG6MNAT00050.spu,AUG6MNAT00049.spu,AUG6MNAT00048.spu,
Wavelength,AUG6MNAT00051.spu,AUG6MNAT00052.spu,AUG6MNAT00053.spu,AUG6MNAT00054.spu,AUG6MNAT00055.spu,AUG6MNAT00056.spu,AUG6MNAT00057.spu,AUG6MNAT00058.spu,AUG6MNAT00059.spu,AUG6MNAT00060.spu,AUG6MNAT00061.spu,AUG6MNAT00062.spu,AUG6MNAT00063.spu,AUG6MNAT00064.spu,AUG6MNAT00065.spu,AUG6MNAT00066.spu,AUG6MNAT00067.spu,AUG6MNAT00068.spu,AUG6MNAT00069.spu,AUG6MNAT00070.spu
  (nm),8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1
  time  ,46:57 AM,47:11 AM,47:18 AM,47:25 AM,47:35 AM,48:29 AM,48:36 AM,48:44 AM,48:50 AM,48:57 AM,49:33 AM,49:40 AM,49:46 AM,49:55 AM,50:06 AM,50:54 AM,51:00 AM,51:09 AM,51:16 AM,51:22 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 346 , 0.006989 , 0.005901 , 0.035495 , 0.010367 , 0.002729 , 0.005949 , 0.001472 , 0.020895 , 0.009586 , 0.003521 , 0.005238 , 0.005456 , 0.003754 , 0.005372 , 0.005747 , 0.006105 , 0.009897 , 0.008824 , 0.0131 , 0.01042 
 347 , 0.00747 , 0.006167 , 0.035751 , 0.010431 , 0.003375 , 0.006378 , 0.002212 , 0.020434 , 0.010117 , 0.003966 , 0.005951 , 0.00625 , 0.004635 , 0.006012 , 0.006815 , 0.006786 , 0.010346 , 0.009313 , 0.01366 , 0.01095 
 348 , 0.007822 , 0.006348 , 0.035926 , 0.01043 , 0.003924 , 0.006763 , 0.002835 , 0.019995 , 0.010515 , 0.004327 , 0.006551 , 0.006985 , 0.005433 , 0.006529 , 0.007655 , 0.007403 , 0.010743 , 0.009698 , 0.014109 , 0.011357 
 349 , 0.008499 , 0.006883 , 0.037092 , 0.010601 , 0.004409 , 0.007587 , 0.003486 , 0.020664 , 0.010771 , 0.004769 , 0.007057 , 0.007366 , 0.005885 , 0.00682 , 0.008174 , 0.008081 , 0.01123 , 0.01011 , 0.015218 , 0.01207 
 350 , 0.009256 , 0.007529 , 0.038509 , 0.010811 , 0.004853 , 0.008525 , 0.004136 , 0.021653 , 0.010951 , 0.005228 , 0.007502 , 0.007578 , 0.006172 , 0.007009 , 0.008562 , 0.008731 , 0.011701 , 0.010495 , 0.01654 , 0.012862 
 351 , 0.009931 , 0.00812 , 0.039767 , 0.010984 , 0.005259 , 0.009375 , 0.00474 , 0.022511 , 0.011098 , 0.005651 , 0.007903 , 0.007761 , 0.006422 , 0.007169 , 0.008915 , 0.009309 , 0.012106 , 0.010825 , 0.017773 , 0.013582 
 352 , 0.010522 , 0.008677 , 0.040943 , 0.011517 , 0.005612 , 0.010121 , 0.005369 , 0.023396 , 0.011507 , 0.006064 , 0.008241 , 0.008149 , 0.006751 , 0.00739 , 0.009298 , 0.009977 , 0.012606 , 0.011251 , 0.018673 , 0.014299 
 353 , 0.011034 , 0.009235 , 0.042131 , 0.01284 , 0.005894 , 0.01075 , 0.00608 , 0.024481 , 0.012494 , 0.006492 , 0.008502 , 0.00899 , 0.007284 , 0.007762 , 0.009781 , 0.010925 , 0.013369 , 0.011929 , 0.019001 , 0.015091 
 354 , 0.011529 , 0.009768 , 0.043218 , 0.014145 , 0.006149 , 0.011324 , 0.006725 , 0.025534 , 0.013459 , 0.006898 , 0.008741 , 0.0098 , 0.007799 , 0.008108 , 0.010233 , 0.011858 , 0.014093 , 0.012571 , 0.019294 , 0.015837 
 355 , 0.012007 , 0.010277 , 0.044217 , 0.015432 , 0.006379 , 0.01185 , 0.007313 , 0.026556 , 0.014402 , 0.007282 , 0.008961 , 0.01058 , 0.008296 , 0.00843 , 0.010657 , 0.012774 , 0.014781 , 0.01318 , 0.019559 , 0.016542 
