  time  ,30:24 AM,30:30 AM,30:36 AM,30:43 AM,30:49 AM,31:28 AM,31:34 AM,31:42 AM,31:47 AM,31:51 AM,33:10 AM,33:17 AM,33:23 AM,33:29 AM,33:35 AM,34:16 AM,34:23 AM,34:29 AM,34:35 AM,34:42 AM,36:44 AM,36:52 AM,36:59 AM,37:08 AM,37:14 AM,38:01 AM,38:06 AM,38:12 AM,38:18 AM,38:25 AM,39:11 AM,39:19 AM,39:26 AM,39:33 AM,39:39 AM,40:14 AM,40:21 AM,40:28 AM,40:35 AM,40:44 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.94103 , 1.94103 , 0 , 0 , 0 , 0 , 1.94103 , 1.94103 , 1.94103 , 1.94103 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.94103 , 0 , 0 , 1.94103 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.15666 , 1.15666 , 0 , 0 , 0 , 0 , 1.15666 , 1.15666 , 1.15666 , 1.15666 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.15666 , 0 , 0 , 1.15666 , 0 , 0 , 0 
 332 , 0 , 0 , 0.000342 , 0 , 0 , 0 , 0.000404 , 0 , 0 , 0 , 0 , 2.589851 , 0 , 0 , 0 , 0.000655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0.001437 , 0 , 0 , 0 , 0.001338 , 0 , 0 , 0 , 0 , 4.36053 , 0 , 0 , 0 , 0.002705 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0.00276 , 0 , 0 , 0 , 0.002184 , 0 , 0 , 0 , 0 , 5.56617 , 0 , 0 , 0 , 0.005129 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 335 , 0.000268 , 0 , 0.003502 , 0.000081 , 0.000064 , 0.000861 , 0.003229 , 0.001037 , 0 , 0.000291 , 0 , 0 , 0 , 0 , 0 , 0.007039 , 0 , 0 , 0.000472 , 0.002867 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000283 , 0 , 0 , 0 , 0.000164 , 0 
 336 , 0.000928 , 0 , 0.002857 , 0.000366 , 0.000338 , 0.00413 , 0.005455 , 0.004135 , 0 , 0.001693 , 0 , 0 , 0 , 0 , 0 , 0.007322 , 0 , 0 , 0.002974 , 0.019718 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001249 , 0 , 0 , 0 , 0.000637 , 0 
 337 , 0.001179 , 0 , 0.002554 , 0.000534 , 0.000552 , 0.006268 , 0.007624 , 0.005614 , 0 , 0.003023 , 0 , 0 , 0 , 0 , 0 , 0.00734 , 0 , 0 , 0.005782 , 0.043001 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001796 , 0 , 0 , 0 , 0.000854 , 0 
 338 , 0.001301 , 0 , 0.002371 , 0.00064 , 0.000723 , 0.007743 , 0.009757 , 0.006434 , 0 , 0.004296 , 0 , 0 , 0 , 0 , 0 , 0.007285 , 0 , 0 , 0.009015 , 0.078458 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002136 , 0 , 0 , 0 , 0.000972 , 0 
 339 , 0.002651 , 0 , 0.003871 , 0.000802 , 0.001765 , 0.008576 , 0.011016 , 0.007661 , 0.000943 , 0.005139 , 0 , 0 , 0 , 0 , 0 , 0.009882 , 0.000501 , 0.000587 , 0.00809 , 0.029884 , 0.002358 , 0.000337 , 0.000289 , 0.000266 , 0.00095 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000072 , 0.000067 , 0 , 0.003192 , 0.00016 , 0.000134 , 0 , 0.002024 , 0.001125 
