spu_filename,Date,Site,Block,Treatment,Replicate,definition,NDVI
2019-06-02_LMAT_00055.spu,2019-06-02,LMAT,B1,F5,1.6,Greenseeker,0.418908296541839
2019-06-02_LMAT_00055.spu,2019-06-02,LMAT,B1,F5,1.6,MODIS,0.506786136417621
2019-06-02_LMAT_00055.spu,2019-06-02,LMAT,B1,F5,1.6,RapidSCAN,0.4145358992271345
2019-06-02_LMAT_00056.spu,2019-06-02,LMAT,B1,F5,1.8,Greenseeker,0.36746793162392627
2019-06-02_LMAT_00056.spu,2019-06-02,LMAT,B1,F5,1.8,MODIS,0.460424310704104
2019-06-02_LMAT_00056.spu,2019-06-02,LMAT,B1,F5,1.8,RapidSCAN,0.35792241081207743
2019-06-02_LMAT_00057.spu,2019-06-02,LMAT,B1,F5,2,Greenseeker,0.3429495465784858
2019-06-02_LMAT_00057.spu,2019-06-02,LMAT,B1,F5,2,MODIS,0.43985948961356186
2019-06-02_LMAT_00057.spu,2019-06-02,LMAT,B1,F5,2,RapidSCAN,0.33292352066313946
2019-06-02_LMAT_00058.spu,2019-06-02,LMAT,B1,F5,2.2,Greenseeker,0.3991436991077178
2019-06-02_LMAT_00058.spu,2019-06-02,LMAT,B1,F5,2.2,MODIS,0.496667395619874
2019-06-02_LMAT_00058.spu,2019-06-02,LMAT,B1,F5,2.2,RapidSCAN,0.39063562699664517
2019-06-02_LMAT_00059.spu,2019-06-02,LMAT,B1,F5,2.4,Greenseeker,0.4479952245481083
2019-06-02_LMAT_00059.spu,2019-06-02,LMAT,B1,F5,2.4,MODIS,0.5198273942820756
2019-06-02_LMAT_00059.spu,2019-06-02,LMAT,B1,F5,2.4,RapidSCAN,0.4509466830346831
2019-06-02_LMAT_00060.spu,2019-06-02,LMAT,B1,F5,2.6,Greenseeker,0.46437035014316974
2019-06-02_LMAT_00060.spu,2019-06-02,LMAT,B1,F5,2.6,MODIS,0.5228217550123038
2019-06-02_LMAT_00060.spu,2019-06-02,LMAT,B1,F5,2.6,RapidSCAN,0.4705901499527711
2019-06-02_LMAT_00061.spu,2019-06-02,LMAT,B1,F5,2.8,Greenseeker,0.44038989360256997
2019-06-02_LMAT_00061.spu,2019-06-02,LMAT,B1,F5,2.8,MODIS,0.49972674293255454
2019-06-02_LMAT_00061.spu,2019-06-02,LMAT,B1,F5,2.8,RapidSCAN,0.4439547700689435
2019-06-02_LMAT_00062.spu,2019-06-02,LMAT,B1,F5,3,Greenseeker,0.41482841732522
2019-06-02_LMAT_00062.spu,2019-06-02,LMAT,B1,F5,3,MODIS,0.46517310257947453
2019-06-02_LMAT_00062.spu,2019-06-02,LMAT,B1,F5,3,RapidSCAN,0.4202540561554813
2019-06-02_LMAT_00063.spu,2019-06-02,LMAT,B1,F5,3.2,Greenseeker,0.47565412519269795
2019-06-02_LMAT_00063.spu,2019-06-02,LMAT,B1,F5,3.2,MODIS,0.5253590380354448
