JUN28SHB200005.spu,JUN28SHB200004.spu,JUN28SHB200003.spu,
Wavelength,JUN28SHB200006.spu,JUN28SHB200007.spu,JUN28SHB200008.spu,JUN28SHB200009.spu,JUN28SHB200010.spu,JUN28SHB200011.spu,JUN28SHB200012.spu,JUN28SHB200013.spu,JUN28SHB200014.spu,JUN28SHB200015.spu,JUN28SHB200016.spu,JUN28SHB200017.spu,JUN28SHB200018.spu,JUN28SHB200019.spu,JUN28SHB200020.spu,JUN28SHB200021.spu,JUN28SHB200022.spu,JUN28SHB200023.spu,JUN28SHB200024.spu,JUN28SHB200025.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,01:02 PM,01:11 PM,01:20 PM,01:34 PM,01:44 PM,02:15 PM,02:22 PM,02:30 PM,02:36 PM,02:44 PM,03:05 PM,03:13 PM,03:20 PM,03:27 PM,03:33 PM,04:19 PM,04:24 PM,04:29 PM,04:36 PM,04:40 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 370 , 0.010179 , 0.014103 , 0.007282 , 0.008474 , 0.010732 , 0.010736 , 0.006862 , 0.019971 , 0.015101 , 0.015817 , 0.015603 , 0.015599 , 0.009415 , 0.007166 , 0.007448 , 0.021066 , 0.02512 , 0.020464 , 0.021819 , 0.020146 
 371 , 0.010227 , 0.014105 , 0.007455 , 0.00839 , 0.01065 , 0.010789 , 0.006881 , 0.019911 , 0.015267 , 0.015838 , 0.015584 , 0.015848 , 0.009416 , 0.007113 , 0.007337 , 0.020961 , 0.025456 , 0.020699 , 0.021746 , 0.020242 
 372 , 0.010272 , 0.014121 , 0.007609 , 0.008313 , 0.01056 , 0.010839 , 0.0069 , 0.019875 , 0.015414 , 0.015842 , 0.015557 , 0.016061 , 0.00941 , 0.007056 , 0.007227 , 0.020851 , 0.025748 , 0.020887 , 0.021691 , 0.020331 
 373 , 0.010228 , 0.01434 , 0.007537 , 0.008298 , 0.010342 , 0.010834 , 0.006972 , 0.020182 , 0.01543 , 0.015677 , 0.015499 , 0.015868 , 0.009369 , 0.006986 , 0.007167 , 0.02058 , 0.025504 , 0.02062 , 0.02171 , 0.02026 
 374 , 0.010194 , 0.014563 , 0.007489 , 0.008286 , 0.010154 , 0.010831 , 0.007041 , 0.020481 , 0.015458 , 0.015555 , 0.015445 , 0.015717 , 0.009355 , 0.006927 , 0.007114 , 0.020391 , 0.025324 , 0.020423 , 0.021757 , 0.020222 
 375 , 0.010169 , 0.014792 , 0.007458 , 0.008276 , 0.009989 , 0.01083 , 0.007108 , 0.020774 , 0.015497 , 0.015464 , 0.015394 , 0.015596 , 0.009363 , 0.006877 , 0.007066 , 0.020262 , 0.025193 , 0.020279 , 0.021827 , 0.02021 
 376 , 0.010197 , 0.014919 , 0.007522 , 0.008349 , 0.010119 , 0.01088 , 0.007099 , 0.021034 , 0.015485 , 0.015531 , 0.015436 , 0.015622 , 0.009414 , 0.006882 , 0.007056 , 0.020356 , 0.025026 , 0.020116 , 0.02188 , 0.020355 
 377 , 0.010246 , 0.014987 , 0.007617 , 0.008433 , 0.010329 , 0.010946 , 0.007064 , 0.021242 , 0.015459 , 0.015621 , 0.015511 , 0.015712 , 0.00947 , 0.00691 , 0.007061 , 0.020542 , 0.024897 , 0.019983 , 0.021955 , 0.020565 
 378 , 0.010294 , 0.01504 , 0.007706 , 0.008496 , 0.010502 , 0.011007 , 0.007035 , 0.021417 , 0.015439 , 0.015676 , 0.01558 , 0.015808 , 0.009515 , 0.006937 , 0.007063 , 0.02073 , 0.024817 , 0.019883 , 0.022057 , 0.020777 
 379 , 0.01039 , 0.015097 , 0.007789 , 0.008559 , 0.010605 , 0.011053 , 0.007019 , 0.021567 , 0.015421 , 0.015674 , 0.015576 , 0.015833 , 0.009531 , 0.00697 , 0.007112 , 0.020803 , 0.024847 , 0.019818 , 0.02214 , 0.020879 
 380 , 0.010569 , 0.015184 , 0.007873 , 0.008648 , 0.010605 , 0.011089 , 0.00703 , 0.021715 , 0.015399 , 0.015603 , 0.015469 , 0.01571 , 0.009493 , 0.007015 , 0.007248 , 0.020667 , 0.025063 , 0.019815 , 0.022198 , 0.02081 
 381 , 0.010731 , 0.015281 , 0.00796 , 0.008743 , 0.010604 , 0.01115 , 0.007047 , 0.021889 , 0.015377 , 0.01555 , 0.015415 , 0.015586 , 0.009451 , 0.007057 , 0.007373 , 0.020572 , 0.025295 , 0.019849 , 0.022306 , 0.020808 
 382 , 0.010886 , 0.015384 , 0.008051 , 0.008841 , 0.010604 , 0.011225 , 0.007067 , 0.02208 , 0.015356 , 0.015508 , 0.01539 , 0.015462 , 0.009407 , 0.007098 , 0.007493 , 0.020499 , 0.025538 , 0.019904 , 0.022443 , 0.020844 
 383 , 0.010831 , 0.015586 , 0.008092 , 0.00883 , 0.010666 , 0.011271 , 0.007139 , 0.022249 , 0.015312 , 0.015497 , 0.015349 , 0.015668 , 0.009465 , 0.007002 , 0.007608 , 0.020662 , 0.02558 , 0.019984 , 0.022769 , 0.021178 
 384 , 0.010777 , 0.015771 , 0.008125 , 0.008817 , 0.010715 , 0.011307 , 0.007211 , 0.022421 , 0.015268 , 0.015505 , 0.015301 , 0.015877 , 0.009526 , 0.006899 , 0.007724 , 0.02083 , 0.025667 , 0.0201 , 0.023095 , 0.021528 
 385 , 0.010728 , 0.015941 , 0.008154 , 0.008804 , 0.010752 , 0.011337 , 0.007279 , 0.022593 , 0.015224 , 0.015524 , 0.015249 , 0.016079 , 0.009587 , 0.006794 , 0.007842 , 0.020995 , 0.025787 , 0.020235 , 0.023416 , 0.021878 
 386 , 0.01083 , 0.01614 , 0.008301 , 0.008879 , 0.010806 , 0.011407 , 0.007313 , 0.022739 , 0.015346 , 0.015623 , 0.01534 , 0.016251 , 0.00966 , 0.006864 , 0.007856 , 0.021285 , 0.026099 , 0.02044 , 0.023724 , 0.022193 
 387 , 0.011032 , 0.01635 , 0.00852 , 0.009009 , 0.010869 , 0.011507 , 0.007325 , 0.022861 , 0.015576 , 0.015768 , 0.015524 , 0.016402 , 0.009736 , 0.007048 , 0.007802 , 0.021647 , 0.026518 , 0.02068 , 0.024013 , 0.022479 
 388 , 0.011229 , 0.016552 , 0.008728 , 0.009131 , 0.01093 , 0.011608 , 0.00734 , 0.02298 , 0.015798 , 0.015907 , 0.0157 , 0.01655 , 0.009809 , 0.007225 , 0.007752 , 0.021992 , 0.026914 , 0.020912 , 0.024294 , 0.022762 
 389 , 0.011416 , 0.01675 , 0.008891 , 0.009258 , 0.011006 , 0.011721 , 0.007402 , 0.023112 , 0.015981 , 0.016035 , 0.015829 , 0.016667 , 0.009907 , 0.007375 , 0.007765 , 0.022292 , 0.027279 , 0.021181 , 0.024604 , 0.023073 
 390 , 0.011586 , 0.016957 , 0.008927 , 0.009421 , 0.011144 , 0.011884 , 0.007634 , 0.023306 , 0.016049 , 0.016142 , 0.015825 , 0.016695 , 0.010103 , 0.007445 , 0.007987 , 0.022483 , 0.02759 , 0.021613 , 0.025046 , 0.023504 
 391 , 0.011746 , 0.017153 , 0.008958 , 0.009576 , 0.011276 , 0.012035 , 0.007858 , 0.02349 , 0.016109 , 0.01624 , 0.015815 , 0.016716 , 0.01029 , 0.00751 , 0.008199 , 0.022666 , 0.027886 , 0.022023 , 0.025464 , 0.02391 
 392 , 0.011899 , 0.017339 , 0.008988 , 0.009722 , 0.011399 , 0.012178 , 0.00807 , 0.023663 , 0.016161 , 0.016331 , 0.015805 , 0.016734 , 0.01047 , 0.007572 , 0.008399 , 0.022838 , 0.028167 , 0.022417 , 0.025865 , 0.024295 
 393 , 0.012088 , 0.017619 , 0.009307 , 0.009945 , 0.011529 , 0.012376 , 0.008282 , 0.023999 , 0.016404 , 0.016404 , 0.015966 , 0.017017 , 0.010662 , 0.007809 , 0.008573 , 0.023312 , 0.028748 , 0.022826 , 0.026351 , 0.024797 
 394 , 0.012271 , 0.017897 , 0.009648 , 0.010163 , 0.01165 , 0.012571 , 0.00848 , 0.024337 , 0.016659 , 0.016466 , 0.016142 , 0.017321 , 0.010843 , 0.008058 , 0.008729 , 0.023801 , 0.029337 , 0.023209 , 0.026817 , 0.02528 
 395 , 0.012439 , 0.01815 , 0.009964 , 0.010363 , 0.011765 , 0.012747 , 0.008661 , 0.024651 , 0.016895 , 0.016524 , 0.016304 , 0.017603 , 0.011012 , 0.008285 , 0.008874 , 0.024252 , 0.029881 , 0.023564 , 0.027247 , 0.025724 
