JUN28SHB100005.spu,JUN28SHB100004.spu,JUN28SHB100003.spu,
Wavelength,JUN28SHB100006.spu,JUN28SHB100007.spu,JUN28SHB100008.spu,JUN28SHB100009.spu,JUN28SHB100010.spu,JUN28SHB100011.spu,JUN28SHB100012.spu,JUN28SHB100013.spu,JUN28SHB100014.spu,JUN28SHB100015.spu,JUN28SHB100016.spu,JUN28SHB100017.spu,JUN28SHB100018.spu,JUN28SHB100019.spu,JUN28SHB100020.spu,JUN28SHB100021.spu,JUN28SHB100022.spu,JUN28SHB100023.spu,JUN28SHB100024.spu,JUN28SHB100025.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,34:31 PM,34:50 PM,35:09 PM,35:26 PM,35:43 PM,36:22 PM,36:32 PM,36:56 PM,37:07 PM,37:18 PM,37:50 PM,37:59 PM,38:12 PM,38:28 PM,38:41 PM,39:11 PM,39:23 PM,39:32 PM,39:44 PM,39:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 346 , 0.004522 , 0.001941 , 0.013745 , 0.003901 , 0.002553 , 0.009098 , 0.002113 , 0.002036 , 0.018915 , 0.003029 , 0.006242 , 0.00722 , 0.007544 , 0.007627 , 0.000435 , 0.004758 , 0.007492 , 0.001603 , 0.003485 , 0 
 347 , 0.005375 , 0.002446 , 0.014512 , 0.004236 , 0.002647 , 0.009949 , 0.002975 , 0.002807 , 0.01928 , 0.003531 , 0.006997 , 0.007676 , 0.008269 , 0.008415 , 0.000819 , 0.005124 , 0.008426 , 0.002198 , 0.004139 , 0 
 348 , 0.006141 , 0.002851 , 0.015213 , 0.004541 , 0.002723 , 0.010766 , 0.003816 , 0.003491 , 0.019585 , 0.003992 , 0.007742 , 0.008099 , 0.008972 , 0.009128 , 0.001185 , 0.005439 , 0.009383 , 0.002714 , 0.004712 , 0 
 349 , 0.006701 , 0.003691 , 0.015637 , 0.004792 , 0.003369 , 0.011923 , 0.004237 , 0.003752 , 0.019947 , 0.004305 , 0.008111 , 0.008711 , 0.009891 , 0.009512 , 0.001585 , 0.005876 , 0.009624 , 0.00328 , 0.005266 , 0 
 350 , 0.007122 , 0.004632 , 0.015915 , 0.004997 , 0.004191 , 0.013204 , 0.004459 , 0.003845 , 0.02029 , 0.004505 , 0.008296 , 0.009348 , 0.010906 , 0.009739 , 0.00194 , 0.006348 , 0.009566 , 0.003831 , 0.005789 , 0 
 351 , 0.00747 , 0.005467 , 0.016141 , 0.005171 , 0.004939 , 0.014452 , 0.004654 , 0.00393 , 0.020579 , 0.00465 , 0.008452 , 0.009919 , 0.011922 , 0.00993 , 0.002234 , 0.006792 , 0.009506 , 0.004325 , 0.006268 , 0 
 352 , 0.007767 , 0.006024 , 0.016584 , 0.005462 , 0.005461 , 0.015462 , 0.004995 , 0.004128 , 0.020646 , 0.004976 , 0.008842 , 0.01036 , 0.012634 , 0.010274 , 0.002536 , 0.007245 , 0.009602 , 0.004663 , 0.006715 , 0.000171 
 353 , 0.008038 , 0.006141 , 0.017511 , 0.006027 , 0.005613 , 0.016004 , 0.005684 , 0.004555 , 0.020346 , 0.005761 , 0.009754 , 0.010606 , 0.012717 , 0.010962 , 0.002935 , 0.007747 , 0.009995 , 0.004753 , 0.007144 , 0.000659 
 354 , 0.008291 , 0.006247 , 0.018393 , 0.006566 , 0.005755 , 0.016509 , 0.006374 , 0.00495 , 0.020077 , 0.006592 , 0.010662 , 0.010832 , 0.012799 , 0.011622 , 0.003327 , 0.008227 , 0.010362 , 0.004835 , 0.007543 , 0.00109 
 355 , 0.008526 , 0.006344 , 0.019233 , 0.007078 , 0.005888 , 0.016979 , 0.007062 , 0.005316 , 0.019834 , 0.007468 , 0.011563 , 0.01104 , 0.01288 , 0.012255 , 0.003711 , 0.008685 , 0.010704 , 0.004912 , 0.007916 , 0.001476 
 356 , 0.008762 , 0.006295 , 0.018174 , 0.007119 , 0.005917 , 0.015945 , 0.00669 , 0.005253 , 0.020489 , 0.007442 , 0.01131 , 0.011007 , 0.012973 , 0.012241 , 0.003759 , 0.008561 , 0.01081 , 0.005105 , 0.008019 , 0.001712 
 357 , 0.008979 , 0.006237 , 0.017157 , 0.007127 , 0.005932 , 0.014946 , 0.006305 , 0.005167 , 0.021183 , 0.007366 , 0.011019 , 0.010954 , 0.013042 , 0.012186 , 0.003783 , 0.008413 , 0.010891 , 0.005296 , 0.008097 , 0.001918 
 358 , 0.009178 , 0.006178 , 0.016259 , 0.007127 , 0.00594 , 0.014046 , 0.005958 , 0.00508 , 0.021869 , 0.007289 , 0.010748 , 0.010894 , 0.013089 , 0.012123 , 0.003802 , 0.008268 , 0.010961 , 0.005479 , 0.008165 , 0.002103 
 359 , 0.009375 , 0.006311 , 0.016264 , 0.007487 , 0.006171 , 0.01391 , 0.006024 , 0.005221 , 0.022253 , 0.00726 , 0.010875 , 0.010935 , 0.013229 , 0.01223 , 0.003889 , 0.008169 , 0.011026 , 0.00554 , 0.008341 , 0.002265 
 360 , 0.00957 , 0.006575 , 0.016865 , 0.008112 , 0.006581 , 0.014281 , 0.006363 , 0.005509 , 0.022403 , 0.007268 , 0.011273 , 0.011048 , 0.013435 , 0.012453 , 0.004021 , 0.00811 , 0.01109 , 0.005517 , 0.008589 , 0.002413 
 361 , 0.009751 , 0.006821 , 0.01743 , 0.008724 , 0.006997 , 0.014626 , 0.006679 , 0.005769 , 0.02254 , 0.007277 , 0.011647 , 0.011153 , 0.013625 , 0.012659 , 0.004144 , 0.008061 , 0.011149 , 0.005499 , 0.00882 , 0.002553 
