JUN18MAT200035.spu,JUN18MAT200034.spu,JUN18MAT200033.spu,JUN18MAT200032.spu,JUN18MAT200031.spu,
Wavelength,JUN18MAT200061.spu,JUN18MAT200062.spu,JUN18MAT200063.spu,JUN18MAT200064.spu,JUN18MAT200065.spu,JUN18MAT200066.spu,JUN18MAT200067.spu,JUN18MAT200068.spu,JUN18MAT200069.spu,JUN18MAT200070.spu,JUN18MAT200071.spu,JUN18MAT200072.spu,JUN18MAT200073.spu,JUN18MAT200074.spu,JUN18MAT200075.spu,JUN18MAT200076.spu,JUN18MAT200077.spu,JUN18MAT200078.spu,JUN18MAT200079.spu,JUN18MAT200080.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,40:38 PM,40:52 PM,41:05 PM,41:14 PM,41:25 PM,42:13 PM,42:22 PM,42:31 PM,42:40 PM,42:51 PM,43:39 PM,43:49 PM,43:56 PM,44:06 PM,44:15 PM,44:54 PM,45:02 PM,45:12 PM,45:19 PM,45:27 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 352 , 0.025135 , 0.023777 , 0.023333 , 0.025641 , 0.016278 , 0.016916 , 0.009114 , 0.014556 , 0.009145 , 0.0204 , 0.016998 , 0.017348 , 0.016415 , 0.019606 , 0.021396 , 0.018131 , 0.018278 , 0.027224 , 0.019479 , 0.015081 
 353 , 0.027156 , 0.023749 , 0.029026 , 0.025443 , 0.016905 , 0.017662 , 0.009795 , 0.015144 , 0.00979 , 0.020715 , 0.017715 , 0.018407 , 0.017009 , 0.020117 , 0.022734 , 0.01898 , 0.019587 , 0.026796 , 0.020149 , 0.015977 
 354 , 0.02921 , 0.023749 , 0.036617 , 0.025293 , 0.017493 , 0.018371 , 0.010436 , 0.015689 , 0.010386 , 0.021011 , 0.018384 , 0.019424 , 0.017567 , 0.020593 , 0.02403 , 0.019782 , 0.020872 , 0.026457 , 0.02077 , 0.016817 
 355 , 0.031298 , 0.023768 , 0.047213 , 0.025179 , 0.018047 , 0.019045 , 0.011041 , 0.016197 , 0.010937 , 0.021288 , 0.019011 , 0.0204 , 0.018089 , 0.021037 , 0.025286 , 0.020542 , 0.022131 , 0.026187 , 0.021348 , 0.017607 
 356 , 0.030726 , 0.02471 , 0.034658 , 0.025162 , 0.01803 , 0.018642 , 0.010989 , 0.016595 , 0.011127 , 0.02101 , 0.018977 , 0.020566 , 0.017771 , 0.021506 , 0.025079 , 0.02088 , 0.021038 , 0.027 , 0.022258 , 0.017476 
 357 , 0.030115 , 0.025687 , 0.027453 , 0.025154 , 0.018004 , 0.018282 , 0.010928 , 0.016969 , 0.011289 , 0.02076 , 0.018912 , 0.020678 , 0.01748 , 0.021949 , 0.024853 , 0.02118 , 0.020098 , 0.027833 , 0.023175 , 0.017322 
 358 , 0.029588 , 0.026651 , 0.023104 , 0.025149 , 0.017994 , 0.017998 , 0.010886 , 0.017325 , 0.011443 , 0.020555 , 0.018851 , 0.020781 , 0.017246 , 0.022368 , 0.024671 , 0.021465 , 0.019358 , 0.028632 , 0.024079 , 0.017189 
 359 , 0.029449 , 0.026631 , 0.022505 , 0.025216 , 0.017755 , 0.018 , 0.011073 , 0.016873 , 0.011881 , 0.020822 , 0.018968 , 0.020764 , 0.01751 , 0.021903 , 0.024894 , 0.021369 , 0.019433 , 0.028751 , 0.024428 , 0.01751 
 360 , 0.029561 , 0.025988 , 0.023872 , 0.025333 , 0.017386 , 0.018175 , 0.011415 , 0.015997 , 0.012521 , 0.021399 , 0.019204 , 0.020679 , 0.018109 , 0.02095 , 0.025375 , 0.021037 , 0.020023 , 0.028422 , 0.024374 , 0.018134 
 361 , 0.029668 , 0.025458 , 0.025229 , 0.025447 , 0.017067 , 0.018337 , 0.011743 , 0.01529 , 0.013142 , 0.021947 , 0.019423 , 0.020613 , 0.018688 , 0.020163 , 0.025824 , 0.02075 , 0.020592 , 0.028142 , 0.024332 , 0.018725 
