JUN18MAT200035.spu,JUN18MAT200034.spu,JUN18MAT200033.spu,JUN18MAT200032.spu,JUN18MAT200031.spu,
Wavelength,JUN18MAT200061.spu,JUN18MAT200062.spu,JUN18MAT200063.spu,JUN18MAT200064.spu,JUN18MAT200065.spu,JUN18MAT200066.spu,JUN18MAT200067.spu,JUN18MAT200068.spu,JUN18MAT200069.spu,JUN18MAT200070.spu,JUN18MAT200071.spu,JUN18MAT200072.spu,JUN18MAT200073.spu,JUN18MAT200074.spu,JUN18MAT200075.spu,JUN18MAT200076.spu,JUN18MAT200077.spu,JUN18MAT200078.spu,JUN18MAT200079.spu,JUN18MAT200080.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,40:38 PM,40:52 PM,41:05 PM,41:14 PM,41:25 PM,42:13 PM,42:22 PM,42:31 PM,42:40 PM,42:51 PM,43:39 PM,43:49 PM,43:56 PM,44:06 PM,44:15 PM,44:54 PM,45:02 PM,45:12 PM,45:19 PM,45:27 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 468 , 0.05497 , 0.04707 , 0.046184 , 0.045322 , 0.038238 , 0.036731 , 0.029475 , 0.034816 , 0.030216 , 0.041929 , 0.035029 , 0.041636 , 0.044994 , 0.037634 , 0.048202 , 0.055844 , 0.061071 , 0.055672 , 0.056178 , 0.049996 
 469 , 0.054712 , 0.046953 , 0.046036 , 0.045142 , 0.038185 , 0.03658 , 0.029422 , 0.034683 , 0.030121 , 0.041778 , 0.034987 , 0.041577 , 0.044913 , 0.037514 , 0.048076 , 0.055813 , 0.06101 , 0.055549 , 0.05607 , 0.049996 
 470 , 0.054618 , 0.046959 , 0.04601 , 0.045089 , 0.038208 , 0.036515 , 0.029428 , 0.034668 , 0.030137 , 0.041709 , 0.035022 , 0.041611 , 0.044952 , 0.037505 , 0.048086 , 0.055916 , 0.061127 , 0.055579 , 0.056128 , 0.050105 
 471 , 0.05474 , 0.047127 , 0.046119 , 0.045203 , 0.038311 , 0.036564 , 0.029501 , 0.034788 , 0.03028 , 0.041737 , 0.035155 , 0.04176 , 0.04514 , 0.037641 , 0.048262 , 0.05619 , 0.061477 , 0.055777 , 0.056407 , 0.050352 
 472 , 0.054857 , 0.04729 , 0.046235 , 0.045311 , 0.038421 , 0.036614 , 0.029574 , 0.034915 , 0.030429 , 0.041765 , 0.035294 , 0.041915 , 0.045334 , 0.037778 , 0.048438 , 0.056464 , 0.061822 , 0.055982 , 0.056687 , 0.0506 
 473 , 0.054975 , 0.047456 , 0.046347 , 0.045422 , 0.038534 , 0.036662 , 0.029648 , 0.03503 , 0.030567 , 0.041792 , 0.035427 , 0.042067 , 0.045526 , 0.037914 , 0.048616 , 0.056739 , 0.062173 , 0.056193 , 0.056963 , 0.050845 
 474 , 0.055071 , 0.047617 , 0.046455 , 0.045534 , 0.038673 , 0.036733 , 0.02974 , 0.035076 , 0.030672 , 0.041816 , 0.035525 , 0.042253 , 0.045747 , 0.038046 , 0.048792 , 0.056999 , 0.062502 , 0.056452 , 0.057155 , 0.051065 
 475 , 0.055165 , 0.047782 , 0.046564 , 0.045641 , 0.038817 , 0.036798 , 0.029835 , 0.035119 , 0.030781 , 0.041834 , 0.035627 , 0.04244 , 0.045959 , 0.038183 , 0.048964 , 0.057259 , 0.062832 , 0.056711 , 0.05734 , 0.051295 
 476 , 0.055265 , 0.04794 , 0.046674 , 0.045749 , 0.038962 , 0.036869 , 0.029925 , 0.035169 , 0.030885 , 0.041852 , 0.035724 , 0.042627 , 0.046177 , 0.038314 , 0.049143 , 0.057526 , 0.063163 , 0.056971 , 0.057532 , 0.051519 
 477 , 0.055346 , 0.048159 , 0.046808 , 0.04588 , 0.039081 , 0.036954 , 0.030038 , 0.035238 , 0.030948 , 0.04191 , 0.035823 , 0.042762 , 0.046356 , 0.038449 , 0.04933 , 0.057775 , 0.06352 , 0.057242 , 0.057764 , 0.051712 
 478 , 0.055421 , 0.0484 , 0.046959 , 0.046023 , 0.039188 , 0.03705 , 0.030157 , 0.035318 , 0.030982 , 0.041978 , 0.035922 , 0.042879 , 0.046523 , 0.038584 , 0.049516 , 0.058018 , 0.063888 , 0.057513 , 0.058013 , 0.051887 
 479 , 0.055495 , 0.048642 , 0.047104 , 0.04616 , 0.039296 , 0.037146 , 0.03027 , 0.035398 , 0.031022 , 0.042046 , 0.036021 , 0.042996 , 0.046685 , 0.038719 , 0.049703 , 0.058262 , 0.064252 , 0.057785 , 0.058262 , 0.052063 
 480 , 0.055559 , 0.048817 , 0.047228 , 0.046264 , 0.0394 , 0.037232 , 0.030368 , 0.035468 , 0.031092 , 0.042105 , 0.036111 , 0.043104 , 0.046849 , 0.038827 , 0.049857 , 0.05848 , 0.064545 , 0.057972 , 0.058463 , 0.052247 
 481 , 0.055611 , 0.048891 , 0.047314 , 0.046297 , 0.039484 , 0.037286 , 0.03042 , 0.03551 , 0.031221 , 0.04216 , 0.036194 , 0.043194 , 0.047021 , 0.038899 , 0.049961 , 0.058661 , 0.064698 , 0.058013 , 0.058585 , 0.052444 
 482 , 0.055663 , 0.048965 , 0.047393 , 0.046329 , 0.039561 , 0.037346 , 0.030473 , 0.035552 , 0.03135 , 0.042209 , 0.036277 , 0.043279 , 0.047189 , 0.038965 , 0.050064 , 0.058842 , 0.064851 , 0.058053 , 0.058708 , 0.052647 
 483 , 0.055715 , 0.049039 , 0.047479 , 0.046362 , 0.039645 , 0.037401 , 0.030526 , 0.035594 , 0.031473 , 0.042264 , 0.036354 , 0.043363 , 0.047356 , 0.039038 , 0.050168 , 0.059024 , 0.065004 , 0.058094 , 0.058837 , 0.052851 
 484 , 0.055789 , 0.049229 , 0.04761 , 0.046499 , 0.039728 , 0.037477 , 0.030602 , 0.035671 , 0.031566 , 0.042336 , 0.036431 , 0.043552 , 0.047499 , 0.039144 , 0.050317 , 0.059268 , 0.065279 , 0.058263 , 0.05904 , 0.053024 
 485 , 0.055868 , 0.049419 , 0.04774 , 0.046641 , 0.039806 , 0.037555 , 0.030679 , 0.035754 , 0.031661 , 0.042408 , 0.036514 , 0.043735 , 0.047635 , 0.039245 , 0.050465 , 0.059516 , 0.065556 , 0.058435 , 0.059247 , 0.053202 
 486 , 0.055946 , 0.049608 , 0.047865 , 0.046784 , 0.03989 , 0.037633 , 0.03075 , 0.035838 , 0.031756 , 0.042486 , 0.036592 , 0.043924 , 0.047778 , 0.039352 , 0.050613 , 0.059758 , 0.065834 , 0.058607 , 0.059454 , 0.053373 
 487 , 0.056034 , 0.049832 , 0.048022 , 0.046912 , 0.040051 , 0.037703 , 0.030876 , 0.035957 , 0.03188 , 0.042562 , 0.036728 , 0.044092 , 0.047993 , 0.039502 , 0.050802 , 0.060035 , 0.06619 , 0.058838 , 0.059696 , 0.053628 
 488 , 0.056118 , 0.050062 , 0.048194 , 0.047032 , 0.040252 , 0.037776 , 0.03102 , 0.036088 , 0.032012 , 0.04264 , 0.036888 , 0.044252 , 0.048246 , 0.039674 , 0.050997 , 0.060328 , 0.066594 , 0.059102 , 0.059955 , 0.053928 
 489 , 0.056201 , 0.050292 , 0.048359 , 0.047151 , 0.040447 , 0.037849 , 0.031163 , 0.036226 , 0.03215 , 0.042725 , 0.037049 , 0.044406 , 0.0485 , 0.03984 , 0.051197 , 0.060621 , 0.066998 , 0.059372 , 0.060207 , 0.054222 
 490 , 0.056353 , 0.050559 , 0.048575 , 0.047321 , 0.040669 , 0.037997 , 0.031345 , 0.036404 , 0.032314 , 0.042863 , 0.03725 , 0.044637 , 0.048803 , 0.040068 , 0.051452 , 0.060951 , 0.067428 , 0.059685 , 0.060514 , 0.054579 
 491 , 0.056671 , 0.050911 , 0.048889 , 0.047598 , 0.040951 , 0.038316 , 0.031627 , 0.036674 , 0.032556 , 0.043135 , 0.037551 , 0.045063 , 0.049234 , 0.040431 , 0.051863 , 0.061385 , 0.067928 , 0.060123 , 0.060935 , 0.055082 
 492 , 0.056988 , 0.051262 , 0.049204 , 0.04787 , 0.041226 , 0.038641 , 0.031904 , 0.036945 , 0.032798 , 0.043414 , 0.037846 , 0.045478 , 0.04966 , 0.040793 , 0.052268 , 0.061807 , 0.068428 , 0.060556 , 0.061357 , 0.055584 
 493 , 0.057299 , 0.051608 , 0.049512 , 0.048142 , 0.041502 , 0.038955 , 0.03218 , 0.03721 , 0.033035 , 0.04368 , 0.038141 , 0.045893 , 0.05008 , 0.041151 , 0.052668 , 0.062229 , 0.068922 , 0.060982 , 0.061767 , 0.056075 
 494 , 0.057507 , 0.051912 , 0.049795 , 0.048417 , 0.041784 , 0.039263 , 0.032442 , 0.037503 , 0.033328 , 0.043943 , 0.038424 , 0.046224 , 0.050464 , 0.041368 , 0.053027 , 0.062656 , 0.069477 , 0.061395 , 0.062175 , 0.056545 
 495 , 0.057706 , 0.05221 , 0.050084 , 0.048699 , 0.04207 , 0.039569 , 0.032705 , 0.037795 , 0.033621 , 0.044195 , 0.038711 , 0.046544 , 0.050836 , 0.041565 , 0.053378 , 0.063072 , 0.070024 , 0.061798 , 0.062579 , 0.057001 
 496 , 0.057904 , 0.052508 , 0.050368 , 0.048975 , 0.04235 , 0.039869 , 0.032961 , 0.038088 , 0.033914 , 0.044454 , 0.038993 , 0.046858 , 0.051203 , 0.041768 , 0.053731 , 0.063489 , 0.070573 , 0.062202 , 0.062978 , 0.057458 
 497 , 0.058178 , 0.052882 , 0.050685 , 0.049295 , 0.042739 , 0.040201 , 0.033262 , 0.038404 , 0.03421 , 0.044813 , 0.039335 , 0.047257 , 0.051669 , 0.042097 , 0.054161 , 0.063974 , 0.071183 , 0.062666 , 0.063473 , 0.057966 
 498 , 0.058503 , 0.053311 , 0.051028 , 0.049647 , 0.043205 , 0.040562 , 0.0336 , 0.038744 , 0.034502 , 0.045246 , 0.039724 , 0.047724 , 0.052196 , 0.042526 , 0.054651 , 0.064509 , 0.071855 , 0.063176 , 0.064049 , 0.058521 
 499 , 0.058829 , 0.053735 , 0.051372 , 0.050001 , 0.043677 , 0.040923 , 0.033933 , 0.03908 , 0.034795 , 0.045687 , 0.040114 , 0.048186 , 0.052731 , 0.04295 , 0.055142 , 0.06504 , 0.072528 , 0.063681 , 0.064621 , 0.059078 
 500 , 0.059177 , 0.054192 , 0.051747 , 0.050373 , 0.044157 , 0.041322 , 0.034307 , 0.039457 , 0.035135 , 0.046147 , 0.040534 , 0.048692 , 0.05331 , 0.0434 , 0.055672 , 0.065606 , 0.073243 , 0.064244 , 0.065227 , 0.059686 
 501 , 0.059598 , 0.05473 , 0.052258 , 0.050808 , 0.044691 , 0.041862 , 0.034819 , 0.039972 , 0.035615 , 0.0467 , 0.041078 , 0.049345 , 0.054053 , 0.043895 , 0.056347 , 0.066285 , 0.074083 , 0.064983 , 0.065934 , 0.060472 
 502 , 0.060017 , 0.055267 , 0.052766 , 0.051238 , 0.045217 , 0.0424 , 0.035335 , 0.040491 , 0.036098 , 0.047246 , 0.041613 , 0.049997 , 0.054795 , 0.044399 , 0.057027 , 0.066969 , 0.07493 , 0.065722 , 0.066647 , 0.061258 
 503 , 0.060436 , 0.055805 , 0.053277 , 0.051665 , 0.045745 , 0.042935 , 0.035841 , 0.041006 , 0.036584 , 0.0478 , 0.042156 , 0.050652 , 0.055541 , 0.044894 , 0.057698 , 0.06765 , 0.075775 , 0.066458 , 0.067357 , 0.062042 
 504 , 0.06108 , 0.05646 , 0.053858 , 0.052279 , 0.046473 , 0.04369 , 0.036437 , 0.041624 , 0.037172 , 0.048521 , 0.04287 , 0.051412 , 0.056424 , 0.045599 , 0.058466 , 0.068531 , 0.07685 , 0.067321 , 0.068321 , 0.063032 
 505 , 0.061748 , 0.057142 , 0.054451 , 0.052917 , 0.047226 , 0.044474 , 0.037044 , 0.042256 , 0.037771 , 0.049269 , 0.043614 , 0.052184 , 0.057329 , 0.046329 , 0.059251 , 0.069445 , 0.077967 , 0.068209 , 0.069324 , 0.064051 
 506 , 0.062413 , 0.057815 , 0.05504 , 0.053559 , 0.047985 , 0.045253 , 0.037649 , 0.042893 , 0.038375 , 0.050016 , 0.044357 , 0.052955 , 0.05823 , 0.047064 , 0.060029 , 0.070359 , 0.079079 , 0.06909 , 0.070328 , 0.065072 
 507 , 0.063007 , 0.058492 , 0.055634 , 0.054167 , 0.048757 , 0.046021 , 0.03831 , 0.043616 , 0.038997 , 0.0508 , 0.045144 , 0.053812 , 0.059204 , 0.047812 , 0.06086 , 0.071221 , 0.080208 , 0.070013 , 0.071319 , 0.06616 
 508 , 0.06353 , 0.059169 , 0.05622 , 0.054752 , 0.049546 , 0.046776 , 0.039016 , 0.044432 , 0.039627 , 0.051625 , 0.045968 , 0.054746 , 0.060255 , 0.048584 , 0.061748 , 0.072049 , 0.081364 , 0.070976 , 0.072308 , 0.067312 
 509 , 0.064049 , 0.059844 , 0.056817 , 0.05534 , 0.050335 , 0.047531 , 0.039722 , 0.045255 , 0.040256 , 0.052444 , 0.046793 , 0.055675 , 0.061301 , 0.049349 , 0.062635 , 0.072875 , 0.082514 , 0.071945 , 0.073291 , 0.068459 
 510 , 0.064531 , 0.060459 , 0.057359 , 0.055893 , 0.051104 , 0.048266 , 0.040414 , 0.046021 , 0.040869 , 0.053243 , 0.047586 , 0.056561 , 0.062323 , 0.050093 , 0.063483 , 0.073655 , 0.083597 , 0.07287 , 0.074242 , 0.069558 
 511 , 0.064769 , 0.060791 , 0.057663 , 0.056251 , 0.051774 , 0.048889 , 0.041008 , 0.046535 , 0.041377 , 0.05391 , 0.048208 , 0.057169 , 0.063177 , 0.050688 , 0.064138 , 0.074223 , 0.084309 , 0.07358 , 0.074967 , 0.070427 
 512 , 0.065013 , 0.061119 , 0.057956 , 0.056613 , 0.052438 , 0.049519 , 0.041606 , 0.04705 , 0.041881 , 0.054581 , 0.048831 , 0.057781 , 0.064031 , 0.051281 , 0.064794 , 0.074794 , 0.085019 , 0.074288 , 0.075694 , 0.071294 
 513 , 0.06525 , 0.061453 , 0.058257 , 0.056974 , 0.053109 , 0.050144 , 0.042199 , 0.04756 , 0.042387 , 0.055254 , 0.049455 , 0.058388 , 0.064881 , 0.051883 , 0.065444 , 0.075359 , 0.085724 , 0.074996 , 0.076423 , 0.072163 
 514 , 0.065421 , 0.061714 , 0.058565 , 0.057319 , 0.053768 , 0.050794 , 0.042823 , 0.048177 , 0.042892 , 0.055903 , 0.050218 , 0.059109 , 0.065715 , 0.052478 , 0.066085 , 0.075834 , 0.08646 , 0.075653 , 0.077099 , 0.073079 
 515 , 0.065588 , 0.061965 , 0.058869 , 0.057659 , 0.054425 , 0.051448 , 0.043456 , 0.048809 , 0.043406 , 0.05655 , 0.051003 , 0.059859 , 0.066553 , 0.053084 , 0.066723 , 0.0763 , 0.0872 , 0.0763 , 0.077754 , 0.074006 
 516 , 0.065756 , 0.062211 , 0.059174 , 0.058007 , 0.055089 , 0.052096 , 0.04409 , 0.049448 , 0.043921 , 0.057197 , 0.051795 , 0.060611 , 0.067387 , 0.053684 , 0.067362 , 0.076767 , 0.087935 , 0.076955 , 0.078411 , 0.074935 
 517 , 0.066071 , 0.062626 , 0.059577 , 0.058508 , 0.055881 , 0.052926 , 0.044848 , 0.050217 , 0.044565 , 0.058037 , 0.052706 , 0.061538 , 0.068454 , 0.054485 , 0.068152 , 0.077443 , 0.08891 , 0.077808 , 0.079336 , 0.07606 
 518 , 0.066555 , 0.063254 , 0.060098 , 0.0592 , 0.056835 , 0.053964 , 0.045761 , 0.051162 , 0.045357 , 0.059112 , 0.053761 , 0.062672 , 0.069799 , 0.055519 , 0.069123 , 0.078375 , 0.090182 , 0.078925 , 0.080588 , 0.077439 
 519 , 0.067034 , 0.063872 , 0.060615 , 0.059896 , 0.05779 , 0.055003 , 0.04667 , 0.052109 , 0.046148 , 0.060182 , 0.054813 , 0.063802 , 0.07115 , 0.056549 , 0.0701 , 0.079305 , 0.091456 , 0.080037 , 0.081837 , 0.078815 
 520 , 0.06754 , 0.064513 , 0.061159 , 0.060609 , 0.058772 , 0.056059 , 0.047599 , 0.053077 , 0.046959 , 0.061275 , 0.055906 , 0.064967 , 0.072518 , 0.057595 , 0.071111 , 0.080268 , 0.09276 , 0.081183 , 0.083116 , 0.080236 
 521 , 0.068311 , 0.065314 , 0.061943 , 0.061433 , 0.059986 , 0.057305 , 0.048656 , 0.054244 , 0.047927 , 0.062531 , 0.057337 , 0.066393 , 0.074131 , 0.058765 , 0.072419 , 0.081501 , 0.094374 , 0.082605 , 0.084614 , 0.081985 
 522 , 0.06908 , 0.066112 , 0.062726 , 0.06225 , 0.061193 , 0.058545 , 0.049713 , 0.055407 , 0.048897 , 0.063783 , 0.058767 , 0.067821 , 0.075746 , 0.059941 , 0.073737 , 0.082732 , 0.095981 , 0.084024 , 0.086124 , 0.083744 
 523 , 0.06985 , 0.066912 , 0.063506 , 0.063078 , 0.0624 , 0.059791 , 0.050774 , 0.056577 , 0.049871 , 0.065035 , 0.0602 , 0.06925 , 0.077359 , 0.061109 , 0.075054 , 0.083966 , 0.097595 , 0.085448 , 0.087628 , 0.085494 
 524 , 0.070629 , 0.067795 , 0.064303 , 0.063937 , 0.063631 , 0.061096 , 0.051882 , 0.057783 , 0.050858 , 0.066378 , 0.061642 , 0.070669 , 0.079071 , 0.062353 , 0.076403 , 0.085198 , 0.099221 , 0.086921 , 0.089176 , 0.087313 
 525 , 0.071398 , 0.068703 , 0.065115 , 0.064806 , 0.064859 , 0.062413 , 0.053006 , 0.059013 , 0.05185 , 0.067742 , 0.063085 , 0.072083 , 0.080812 , 0.06361 , 0.077762 , 0.086423 , 0.100851 , 0.088412 , 0.090737 , 0.089152 
 526 , 0.072168 , 0.069616 , 0.065917 , 0.065679 , 0.066086 , 0.063724 , 0.054134 , 0.060243 , 0.052838 , 0.069113 , 0.064532 , 0.073491 , 0.082552 , 0.064865 , 0.079124 , 0.087649 , 0.102479 , 0.089902 , 0.092291 , 0.090988 
 527 , 0.072918 , 0.070492 , 0.066701 , 0.066557 , 0.067304 , 0.065001 , 0.055213 , 0.061437 , 0.053808 , 0.070423 , 0.065968 , 0.074906 , 0.084235 , 0.066125 , 0.080444 , 0.088882 , 0.104092 , 0.091357 , 0.093845 , 0.092769 
 528 , 0.073634 , 0.071323 , 0.067455 , 0.067441 , 0.068514 , 0.06623 , 0.056231 , 0.062583 , 0.054743 , 0.071655 , 0.0674 , 0.076319 , 0.085855 , 0.0674 , 0.081717 , 0.090124 , 0.10568 , 0.092761 , 0.095356 , 0.094463 
 529 , 0.074351 , 0.072151 , 0.068211 , 0.06833 , 0.06972 , 0.06745 , 0.057251 , 0.063727 , 0.055673 , 0.072884 , 0.068826 , 0.077739 , 0.087477 , 0.068679 , 0.082985 , 0.091374 , 0.107266 , 0.094162 , 0.096872 , 0.096159 
 530 , 0.075068 , 0.072974 , 0.068969 , 0.069216 , 0.070929 , 0.068666 , 0.058273 , 0.064859 , 0.056602 , 0.074116 , 0.070245 , 0.079143 , 0.089092 , 0.069956 , 0.084255 , 0.09261 , 0.108855 , 0.095564 , 0.098385 , 0.097856 
 531 , 0.075717 , 0.073733 , 0.069688 , 0.069937 , 0.07197 , 0.069702 , 0.059216 , 0.065827 , 0.057488 , 0.075205 , 0.071444 , 0.080402 , 0.09064 , 0.071089 , 0.085443 , 0.093697 , 0.110419 , 0.096875 , 0.099726 , 0.099484 
 532 , 0.076367 , 0.074497 , 0.070398 , 0.070656 , 0.072999 , 0.070734 , 0.060164 , 0.066793 , 0.058372 , 0.076296 , 0.072648 , 0.081656 , 0.092191 , 0.072218 , 0.086637 , 0.094785 , 0.111985 , 0.098182 , 0.101071 , 0.101114 
 533 , 0.077011 , 0.075263 , 0.07111 , 0.071377 , 0.074035 , 0.071767 , 0.061112 , 0.067758 , 0.059256 , 0.077387 , 0.073855 , 0.082913 , 0.093741 , 0.073349 , 0.087825 , 0.095872 , 0.113556 , 0.099499 , 0.10241 , 0.102735 
 534 , 0.07749 , 0.075889 , 0.071656 , 0.071976 , 0.074871 , 0.072631 , 0.061872 , 0.068586 , 0.059967 , 0.078246 , 0.074856 , 0.084007 , 0.094983 , 0.074289 , 0.088815 , 0.096802 , 0.114805 , 0.100584 , 0.103538 , 0.104083 
 535 , 0.077893 , 0.076467 , 0.07213 , 0.072518 , 0.075619 , 0.073425 , 0.062557 , 0.069344 , 0.060597 , 0.079005 , 0.075765 , 0.085031 , 0.096088 , 0.075143 , 0.089719 , 0.097668 , 0.115915 , 0.101573 , 0.104564 , 0.10531 
 536 , 0.078297 , 0.077039 , 0.072598 , 0.073062 , 0.07637 , 0.074223 , 0.063239 , 0.070099 , 0.061232 , 0.079767 , 0.076672 , 0.086061 , 0.097193 , 0.075995 , 0.090627 , 0.098531 , 0.11703 , 0.10256 , 0.105596 , 0.106538 
 537 , 0.07868 , 0.077601 , 0.073092 , 0.07358 , 0.077091 , 0.074947 , 0.063897 , 0.070786 , 0.061835 , 0.080468 , 0.077527 , 0.087032 , 0.098252 , 0.076824 , 0.091496 , 0.099346 , 0.118105 , 0.103492 , 0.106574 , 0.107698 
 538 , 0.079044 , 0.078138 , 0.07361 , 0.074025 , 0.077752 , 0.075525 , 0.064486 , 0.071331 , 0.062378 , 0.081033 , 0.078279 , 0.087907 , 0.099213 , 0.077604 , 0.092302 , 0.100037 , 0.119093 , 0.104313 , 0.10746 , 0.1087 
 539 , 0.079408 , 0.078677 , 0.074129 , 0.074465 , 0.078416 , 0.076098 , 0.065086 , 0.071878 , 0.062924 , 0.081607 , 0.079035 , 0.088779 , 0.100171 , 0.078394 , 0.093104 , 0.100723 , 0.120085 , 0.105129 , 0.108342 , 0.109699 
 540 , 0.079772 , 0.079218 , 0.074651 , 0.074913 , 0.079083 , 0.076665 , 0.065681 , 0.072427 , 0.063464 , 0.082176 , 0.07978 , 0.089656 , 0.101134 , 0.079173 , 0.093901 , 0.101411 , 0.121074 , 0.105949 , 0.109228 , 0.110696 
 541 , 0.080169 , 0.07968 , 0.075062 , 0.075385 , 0.07968 , 0.077243 , 0.066201 , 0.073008 , 0.064005 , 0.082795 , 0.080433 , 0.090444 , 0.102051 , 0.079914 , 0.094664 , 0.102118 , 0.122037 , 0.106752 , 0.110107 , 0.111664 
 542 , 0.080574 , 0.080143 , 0.075473 , 0.075866 , 0.080272 , 0.077823 , 0.066714 , 0.073591 , 0.064545 , 0.083415 , 0.081088 , 0.091237 , 0.102966 , 0.08065 , 0.095424 , 0.10283 , 0.123007 , 0.107553 , 0.110984 , 0.112631 
 543 , 0.080979 , 0.080607 , 0.075884 , 0.07634 , 0.080865 , 0.078405 , 0.067237 , 0.074176 , 0.065081 , 0.084039 , 0.081738 , 0.092033 , 0.103885 , 0.081389 , 0.096186 , 0.103543 , 0.123981 , 0.108356 , 0.111864 , 0.113603 
 544 , 0.081405 , 0.081169 , 0.07634 , 0.076867 , 0.081474 , 0.079002 , 0.067782 , 0.074769 , 0.065577 , 0.084616 , 0.08242 , 0.09287 , 0.10483 , 0.082115 , 0.096951 , 0.104289 , 0.125022 , 0.109178 , 0.112748 , 0.11464 
 545 , 0.081852 , 0.081799 , 0.076816 , 0.077422 , 0.08209 , 0.079614 , 0.068323 , 0.075375 , 0.066039 , 0.085156 , 0.083125 , 0.093719 , 0.1058 , 0.082841 , 0.09772 , 0.105056 , 0.126106 , 0.110008 , 0.113634 , 0.115711 
 546 , 0.0823 , 0.082424 , 0.077293 , 0.077971 , 0.082701 , 0.080228 , 0.068874 , 0.075976 , 0.066509 , 0.085697 , 0.083826 , 0.094571 , 0.106766 , 0.083564 , 0.0985 , 0.105826 , 0.127187 , 0.11084 , 0.114515 , 0.116787 
 547 , 0.082705 , 0.082991 , 0.077743 , 0.078478 , 0.083262 , 0.080793 , 0.069375 , 0.07652 , 0.06696 , 0.086196 , 0.08447 , 0.095354 , 0.107654 , 0.084261 , 0.099224 , 0.106524 , 0.128183 , 0.111641 , 0.115341 , 0.117764 
 548 , 0.083017 , 0.083429 , 0.078129 , 0.078828 , 0.083732 , 0.081191 , 0.069765 , 0.076924 , 0.067364 , 0.086608 , 0.084992 , 0.095966 , 0.108356 , 0.084867 , 0.099798 , 0.107058 , 0.128984 , 0.112366 , 0.116042 , 0.118499 
 549 , 0.083327 , 0.083866 , 0.078505 , 0.079184 , 0.084201 , 0.081595 , 0.070155 , 0.077326 , 0.067775 , 0.087019 , 0.085513 , 0.096586 , 0.109056 , 0.085481 , 0.100378 , 0.107589 , 0.129783 , 0.113091 , 0.116743 , 0.11924 
 550 , 0.083637 , 0.084296 , 0.07889 , 0.07954 , 0.084664 , 0.082 , 0.070553 , 0.077722 , 0.068187 , 0.087422 , 0.086035 , 0.0972 , 0.109759 , 0.08609 , 0.100953 , 0.108121 , 0.130576 , 0.113825 , 0.117445 , 0.119976 
 551 , 0.083796 , 0.084629 , 0.079185 , 0.07979 , 0.084927 , 0.082272 , 0.070859 , 0.077991 , 0.068487 , 0.087661 , 0.086294 , 0.097668 , 0.110228 , 0.086482 , 0.101368 , 0.108563 , 0.131169 , 0.114226 , 0.117934 , 0.120494 
 552 , 0.08394 , 0.084947 , 0.079471 , 0.080029 , 0.085167 , 0.082547 , 0.071154 , 0.078243 , 0.06877 , 0.087882 , 0.086537 , 0.098127 , 0.110677 , 0.086867 , 0.10177 , 0.108993 , 0.13174 , 0.114603 , 0.118396 , 0.121 
 553 , 0.084084 , 0.085266 , 0.079756 , 0.080269 , 0.085408 , 0.082822 , 0.071457 , 0.078495 , 0.069053 , 0.088095 , 0.086771 , 0.098586 , 0.111126 , 0.087244 , 0.102172 , 0.109424 , 0.132313 , 0.114988 , 0.118866 , 0.121507 
 554 , 0.084131 , 0.085496 , 0.079901 , 0.080359 , 0.085504 , 0.082923 , 0.071568 , 0.078575 , 0.0692 , 0.088148 , 0.086869 , 0.098801 , 0.111301 , 0.087406 , 0.10236 , 0.109652 , 0.132624 , 0.115184 , 0.11909 , 0.121749 
 555 , 0.084092 , 0.085678 , 0.079943 , 0.080369 , 0.085497 , 0.082901 , 0.071542 , 0.078523 , 0.069246 , 0.088084 , 0.086869 , 0.098836 , 0.111292 , 0.087421 , 0.10241 , 0.109754 , 0.132757 , 0.11526 , 0.119142 , 0.121808 
 556 , 0.084062 , 0.085852 , 0.079985 , 0.080371 , 0.085489 , 0.082879 , 0.071524 , 0.078471 , 0.069292 , 0.088021 , 0.086861 , 0.098871 , 0.111276 , 0.087445 , 0.102452 , 0.109848 , 0.13289 , 0.115337 , 0.119193 , 0.121866 
 557 , 0.084021 , 0.086023 , 0.080024 , 0.080371 , 0.085455 , 0.082815 , 0.071487 , 0.078401 , 0.069312 , 0.087915 , 0.086827 , 0.098872 , 0.11124 , 0.087458 , 0.10249 , 0.109931 , 0.133019 , 0.115378 , 0.119217 , 0.121873 
 558 , 0.083949 , 0.086136 , 0.080039 , 0.080354 , 0.085342 , 0.082627 , 0.071392 , 0.078269 , 0.069229 , 0.087679 , 0.086656 , 0.098749 , 0.111164 , 0.087458 , 0.102494 , 0.109921 , 0.133099 , 0.115342 , 0.119181 , 0.12173 
 559 , 0.083888 , 0.086259 , 0.080064 , 0.080331 , 0.085231 , 0.082443 , 0.07131 , 0.078133 , 0.069158 , 0.087453 , 0.086495 , 0.098634 , 0.111095 , 0.087461 , 0.102505 , 0.109917 , 0.133174 , 0.115303 , 0.11915 , 0.121592 
