JUN18MAT200035.spu,JUN18MAT200034.spu,JUN18MAT200033.spu,JUN18MAT200032.spu,JUN18MAT200031.spu,
Wavelength,JUN18MAT200036.spu,JUN18MAT200037.spu,JUN18MAT200038.spu,JUN18MAT200039.spu,JUN18MAT200040.spu,JUN18MAT200041.spu,JUN18MAT200042.spu,JUN18MAT200043.spu,JUN18MAT200044.spu,JUN18MAT200045.spu,JUN18MAT200046.spu,JUN18MAT200047.spu,JUN18MAT200048.spu,JUN18MAT200049.spu,JUN18MAT200050.spu,JUN18MAT200051.spu,JUN18MAT200052.spu,JUN18MAT200053.spu,JUN18MAT200054.spu,JUN18MAT200055.spu,JUN18MAT200056.spu,JUN18MAT200057.spu,JUN18MAT200058.spu,JUN18MAT200059.spu,JUN18MAT200060.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,32:46 PM,32:58 PM,33:05 PM,33:11 PM,33:18 PM,34:54 PM,35:04 PM,35:10 PM,35:16 PM,35:24 PM,35:57 PM,36:07 PM,36:15 PM,36:21 PM,36:33 PM,37:10 PM,37:16 PM,37:25 PM,37:32 PM,37:42 PM,39:07 PM,39:16 PM,39:27 PM,39:36 PM,39:44 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 333 , 0 , 0 , 0 , 0.000932 , 0.002554 , 0 , 0.001299 , 0 , 0.000122 , 0.000136 , 0 , 0.003459 , 0 , 0.00427 , 0 , 0.002904 , 0.010277 , 0.001912 , 0.00961 , 0 , 0 , 0.000916 , 0.004477 , 0 , 0 
 334 , 0 , 0 , 0 , 0.001428 , 0.004285 , 0 , 0.00265 , 0 , 0.000228 , 0.000232 , 0 , 0.006229 , 0 , 0.007095 , 0 , 0.005283 , 0.01206 , 0.003323 , 0.012978 , 0 , 0 , 0.002449 , 0.00759 , 0 , 0 
 335 , 0.000415 , 0.000246 , 0.000322 , 0.002196 , 0.006055 , 0.000422 , 0.003715 , 0.000402 , 0.000813 , 0.000704 , 0.000976 , 0.008497 , 0.000524 , 0.008876 , 0.000304 , 0.007303 , 0.012343 , 0.005212 , 0.013886 , 0.000723 , 0.000815 , 0.005828 , 0.010642 , 0.000434 , 0.000206 
 336 , 0.002136 , 0.001437 , 0.001956 , 0.004263 , 0.008724 , 0.002338 , 0.002966 , 0.002258 , 0.002975 , 0.002615 , 0.004639 , 0.009088 , 0.002857 , 0.008465 , 0.00171 , 0.007875 , 0.010492 , 0.008998 , 0.012457 , 0.003691 , 0.004204 , 0.008317 , 0.013754 , 0.001755 , 0.000912 
 337 , 0.003428 , 0.002558 , 0.003606 , 0.006052 , 0.011504 , 0.003975 , 0.002444 , 0.00388 , 0.0047 , 0.004357 , 0.007053 , 0.009525 , 0.004788 , 0.008214 , 0.00294 , 0.008378 , 0.009463 , 0.012175 , 0.011942 , 0.00589 , 0.00676 , 0.009353 , 0.015411 , 0.002437 , 0.001331 
 338 , 0.004433 , 0.003606 , 0.005254 , 0.007606 , 0.014379 , 0.005382 , 0.002059 , 0.005299 , 0.006104 , 0.005941 , 0.008771 , 0.00986 , 0.006406 , 0.008043 , 0.004017 , 0.008825 , 0.008807 , 0.014865 , 0.011693 , 0.007583 , 0.008753 , 0.009944 , 0.01646 , 0.002859 , 0.001609 
 339 , 0.004957 , 0.005586 , 0.005989 , 0.0079 , 0.014479 , 0.00608 , 0.003646 , 0.006142 , 0.008558 , 0.008381 , 0.009778 , 0.01146 , 0.007788 , 0.009389 , 0.004228 , 0.00967 , 0.010746 , 0.016181 , 0.012265 , 0.007603 , 0.009364 , 0.01164 , 0.017849 , 0.00573 , 0.003515 
 340 , 0.005357 , 0.007567 , 0.006408 , 0.007915 , 0.014097 , 0.006572 , 0.005217 , 0.006732 , 0.011072 , 0.010523 , 0.010458 , 0.013035 , 0.008782 , 0.010591 , 0.004242 , 0.010335 , 0.01226 , 0.016905 , 0.012745 , 0.007296 , 0.009589 , 0.013011 , 0.018952 , 0.008406 , 0.005232 
 341 , 0.005719 , 0.009329 , 0.006692 , 0.007894 , 0.013669 , 0.006981 , 0.006428 , 0.00717 , 0.013387 , 0.012202 , 0.010932 , 0.014334 , 0.009458 , 0.011421 , 0.004219 , 0.010748 , 0.013133 , 0.017303 , 0.013045 , 0.006984 , 0.009676 , 0.013929 , 0.019738 , 0.010461 , 0.006504 
 342 , 0.006558 , 0.010199 , 0.007379 , 0.00843 , 0.013789 , 0.007634 , 0.007427 , 0.007863 , 0.014277 , 0.01289 , 0.011512 , 0.014979 , 0.010453 , 0.012559 , 0.004951 , 0.011582 , 0.013453 , 0.017469 , 0.014076 , 0.007657 , 0.010071 , 0.014248 , 0.019896 , 0.011295 , 0.007756 
 343 , 0.007917 , 0.01014 , 0.008498 , 0.009508 , 0.014406 , 0.008532 , 0.008309 , 0.008846 , 0.013689 , 0.012715 , 0.012234 , 0.015001 , 0.011837 , 0.014135 , 0.00649 , 0.01287 , 0.013391 , 0.017495 , 0.015915 , 0.009234 , 0.010775 , 0.014178 , 0.019562 , 0.01124 , 0.009132 
 344 , 0.009144 , 0.010037 , 0.009438 , 0.01038 , 0.014859 , 0.009282 , 0.009045 , 0.009677 , 0.013149 , 0.01252 , 0.012831 , 0.014953 , 0.01297 , 0.015503 , 0.007853 , 0.013899 , 0.013275 , 0.017443 , 0.017523 , 0.010463 , 0.011299 , 0.014087 , 0.019226 , 0.011195 , 0.010304 
 345 , 0.010186 , 0.009963 , 0.010207 , 0.011105 , 0.01526 , 0.009959 , 0.009652 , 0.010399 , 0.01276 , 0.012426 , 0.013309 , 0.015018 , 0.013866 , 0.016631 , 0.009009 , 0.014797 , 0.013352 , 0.017372 , 0.018938 , 0.011474 , 0.011818 , 0.014082 , 0.018973 , 0.011173 , 0.011319 
