JUN18MAT200005.spu,JUN18MAT200004.spu,JUN18MAT200003.spu,
Wavelength,JUN18MAT200007.spu,JUN18MAT200008.spu,JUN18MAT200009.spu,JUN18MAT200010.spu,JUN18MAT200011.spu,JUN18MAT200012.spu,JUN18MAT200013.spu,JUN18MAT200014.spu,JUN18MAT200015.spu,JUN18MAT200016.spu,JUN18MAT200017.spu,JUN18MAT200018.spu,JUN18MAT200019.spu,JUN18MAT200020.spu,JUN18MAT200021.spu,JUN18MAT200022.spu,JUN18MAT200023.spu,JUN18MAT200024.spu,JUN18MAT200025.spu,JUN18MAT200026.spu,JUN18MAT200027.spu,JUN18MAT200028.spu,JUN18MAT200029.spu,JUN18MAT200030.spu,JUN18MAT200006.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,21:38 PM,21:48 PM,21:56 PM,22:06 PM,23:24 PM,23:35 PM,23:44 PM,23:53 PM,24:03 PM,25:02 PM,25:10 PM,25:18 PM,25:25 PM,25:31 PM,25:48 PM,25:57 PM,26:06 PM,26:14 PM,26:21 PM,27:14 PM,27:24 PM,27:33 PM,27:42 PM,27:55 PM,21:27 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 338 , 0.008828 , 0.0149 , 0.014579 , 0.011517 , 0.005827 , 0.002125 , 0.005433 , 0.008101 , 0.005172 , 0.013247 , 0.01817 , 0.019696 , 0.021823 , 0.022109 , 0.008401 , 0.008489 , 0.008022 , 0.005974 , 0.008211 , 0.008564 , 0.005218 , 0.007932 , 0.004209 , 0.01937 , 0.001963 
 339 , 0.009211 , 0.014986 , 0.014622 , 0.012501 , 0.006565 , 0.003093 , 0.006255 , 0.00854 , 0.006165 , 0.014037 , 0.018956 , 0.020429 , 0.02242 , 0.023129 , 0.008843 , 0.008891 , 0.008727 , 0.006582 , 0.008824 , 0.009476 , 0.006026 , 0.008569 , 0.004973 , 0.020472 , 0.002789 
 340 , 0.009341 , 0.014776 , 0.014495 , 0.013397 , 0.007192 , 0.004005 , 0.007105 , 0.008887 , 0.007104 , 0.01467 , 0.019466 , 0.021073 , 0.022863 , 0.023945 , 0.009161 , 0.00916 , 0.009225 , 0.007001 , 0.009198 , 0.010245 , 0.006817 , 0.009062 , 0.00569 , 0.021397 , 0.00357 
 341 , 0.009403 , 0.014573 , 0.014352 , 0.014192 , 0.007716 , 0.004795 , 0.007946 , 0.009189 , 0.007995 , 0.015238 , 0.019876 , 0.021666 , 0.023239 , 0.024704 , 0.009445 , 0.009356 , 0.009614 , 0.007351 , 0.009499 , 0.010952 , 0.007517 , 0.009479 , 0.006368 , 0.02224 , 0.004255 
 342 , 0.01004 , 0.014732 , 0.014786 , 0.014993 , 0.008294 , 0.005463 , 0.008823 , 0.009931 , 0.008457 , 0.01583 , 0.020504 , 0.022414 , 0.024141 , 0.0256 , 0.009963 , 0.009917 , 0.010164 , 0.007838 , 0.009854 , 0.011199 , 0.008186 , 0.010013 , 0.006801 , 0.022666 , 0.004694 
 343 , 0.011379 , 0.015248 , 0.015826 , 0.01581 , 0.008975 , 0.006045 , 0.009695 , 0.01118 , 0.008454 , 0.016443 , 0.021379 , 0.023317 , 0.025622 , 0.026623 , 0.010733 , 0.010913 , 0.01093 , 0.008491 , 0.010281 , 0.011007 , 0.008829 , 0.010685 , 0.006962 , 0.022675 , 0.004889 
 344 , 0.012738 , 0.015694 , 0.016799 , 0.016548 , 0.009626 , 0.006599 , 0.010493 , 0.012372 , 0.008451 , 0.016977 , 0.022182 , 0.024128 , 0.02701 , 0.027527 , 0.01144 , 0.011874 , 0.011657 , 0.009094 , 0.01067 , 0.010851 , 0.009401 , 0.01129 , 0.0071 , 0.022679 , 0.005061 
 345 , 0.014025 , 0.016156 , 0.017683 , 0.017184 , 0.010254 , 0.007134 , 0.011195 , 0.013445 , 0.008497 , 0.017453 , 0.022907 , 0.024861 , 0.028202 , 0.028282 , 0.012127 , 0.012764 , 0.012333 , 0.009653 , 0.01102 , 0.010787 , 0.009893 , 0.011806 , 0.007259 , 0.022728 , 0.005254 
 346 , 0.01438 , 0.017338 , 0.018262 , 0.017462 , 0.010944 , 0.007747 , 0.011532 , 0.0138 , 0.0091 , 0.017957 , 0.023491 , 0.025569 , 0.028179 , 0.028397 , 0.013204 , 0.013272 , 0.012882 , 0.010188 , 0.011322 , 0.011406 , 0.010124 , 0.011945 , 0.007851 , 0.02329 , 0.005918 
 347 , 0.014659 , 0.01848 , 0.018761 , 0.017678 , 0.011573 , 0.008278 , 0.0118 , 0.014083 , 0.009645 , 0.018382 , 0.023992 , 0.026174 , 0.028132 , 0.028472 , 0.014221 , 0.013699 , 0.013342 , 0.010673 , 0.011571 , 0.011985 , 0.010317 , 0.01205 , 0.008383 , 0.023779 , 0.00652 
 348 , 0.014881 , 0.019588 , 0.019193 , 0.017845 , 0.012151 , 0.008741 , 0.012014 , 0.01431 , 0.010142 , 0.018743 , 0.024423 , 0.026693 , 0.028065 , 0.028515 , 0.015188 , 0.01406 , 0.013731 , 0.011113 , 0.011778 , 0.012527 , 0.010479 , 0.012127 , 0.008864 , 0.024205 , 0.007069 
 349 , 0.015364 , 0.02001 , 0.01926 , 0.018235 , 0.012333 , 0.009139 , 0.012394 , 0.014696 , 0.010492 , 0.019108 , 0.02451 , 0.02687 , 0.02883 , 0.029422 , 0.015621 , 0.014367 , 0.013894 , 0.011411 , 0.012088 , 0.012924 , 0.010783 , 0.012614 , 0.009017 , 0.024888 , 0.007567 
 350 , 0.015894 , 0.020117 , 0.019177 , 0.018669 , 0.012345 , 0.009478 , 0.012806 , 0.015107 , 0.010749 , 0.019433 , 0.024445 , 0.026887 , 0.029841 , 0.030605 , 0.015808 , 0.014624 , 0.01395 , 0.011623 , 0.012404 , 0.013224 , 0.011117 , 0.013234 , 0.009031 , 0.025616 , 0.008 
 351 , 0.01635 , 0.020181 , 0.019079 , 0.019047 , 0.012337 , 0.009767 , 0.013172 , 0.015465 , 0.010959 , 0.019703 , 0.024358 , 0.02687 , 0.030743 , 0.031697 , 0.015958 , 0.014842 , 0.013983 , 0.011799 , 0.012676 , 0.013475 , 0.011415 , 0.013809 , 0.009032 , 0.02627 , 0.008377 
 352 , 0.016705 , 0.020297 , 0.019252 , 0.019488 , 0.012472 , 0.010023 , 0.013639 , 0.015815 , 0.011285 , 0.020088 , 0.024503 , 0.027171 , 0.031436 , 0.032498 , 0.015931 , 0.015109 , 0.014191 , 0.012127 , 0.013006 , 0.013722 , 0.011757 , 0.014246 , 0.009196 , 0.026947 , 0.008701 
 353 , 0.016947 , 0.020554 , 0.019969 , 0.020123 , 0.012901 , 0.010267 , 0.014374 , 0.016212 , 0.011901 , 0.020766 , 0.025131 , 0.02814 , 0.031842 , 0.03283 , 0.015634 , 0.015523 , 0.014775 , 0.012804 , 0.013508 , 0.014012 , 0.012232 , 0.014465 , 0.009704 , 0.027757 , 0.008987 
 354 , 0.017173 , 0.020792 , 0.020658 , 0.020726 , 0.01331 , 0.010496 , 0.015088 , 0.016584 , 0.012509 , 0.021407 , 0.02572 , 0.029067 , 0.032219 , 0.033137 , 0.015382 , 0.015912 , 0.015333 , 0.013461 , 0.013987 , 0.014283 , 0.012688 , 0.014669 , 0.01019 , 0.028526 , 0.009257 
 355 , 0.017385 , 0.021013 , 0.021322 , 0.021299 , 0.0137 , 0.010711 , 0.015781 , 0.016934 , 0.013109 , 0.022013 , 0.026275 , 0.029956 , 0.03257 , 0.033424 , 0.015167 , 0.016278 , 0.015866 , 0.014098 , 0.014443 , 0.014539 , 0.013126 , 0.014861 , 0.010655 , 0.029256 , 0.009513 
