  time  ,:45:38 A,:45:46 A,:45:51 A,:45:59 A,:46:09 A,:47:51 A,:47:57 A,:48:03 A,:48:08 A,:48:13 A,:49:27 A,:49:34 A,:49:39 A,:49:45 A,:49:52 A,:50:33 A,:50:39 A,:50:47 A,:51:01 A,:51:07 A,:51:55 A,:52:02 A,:52:14 A,:52:24 A,:52:32 A,:53:47 A,:53:52 A,:53:58 A,:54:04 A,:54:09 A,:54:36 A,:54:42 A,:54:50 A,:54:57 A,:55:02 A,:55:52 A,:55:59 A,:56:06 A,:56:11 A,:56:19 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 331 , 0.000921 , 0 , 0 , 0 , 0 , 0 , 0 , 2.096202 , 2.096202 , 0.0101 , 0 , 0 , 0 , 2.096202 , 0 , 0 , 0.083485 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.096202 , 2.096202 , 0 , 0 , 0 , 2.096202 , 0 
 332 , 0.00134 , 0.000029 , 0 , 0 , 0.000472 , 0.000166 , 0 , 0.00186 , 0.000581 , 0.013607 , 0 , 0.000574 , 0 , 0 , 0 , 0 , 0.103838 , 0.0002 , 0.000583 , 0.000695 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000343 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.482705 , 0 , 0 , 0 , 0 , 0 
 333 , 0.001797 , 0.000068 , 0 , 0 , 0.001097 , 0.000536 , 0 , 0.002032 , 0.000635 , 0.018186 , 0 , 0.001228 , 0 , 0 , 0 , 0 , 0.126907 , 0.000534 , 0.001712 , 0.001671 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00101 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.601407 , 0 , 0 , 0 , 0 , 0 
 334 , 0.002115 , 0.000093 , 0 , 0 , 0.001466 , 0.000977 , 0 , 0.001991 , 0.000622 , 0.021464 , 0 , 0.001556 , 0 , 0 , 0 , 0 , 0.140738 , 0.000794 , 0.002792 , 0.002288 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001652 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.52473 , 0 , 0 , 0 , 0 , 0 
 335 , 0.002594 , 0.000273 , 0.00016 , 0.00028 , 0.001923 , 0.001482 , 0.000162 , 0.002523 , 0.001172 , 0.023049 , 0 , 0.001974 , 0.000911 , 0.000367 , 0 , 0.00012 , 0.101173 , 0.00127 , 0.003923 , 0.003021 , 0.000257 , 0 , 0 , 0 , 0 , 0.000215 , 0.002538 , 0.00003 , 0.000071 , 0.000202 , 0 , 0 , 0 , 0 , 0 , 0.000184 , 0 , 0 , 0.000361 , 0 
 336 , 0.004024 , 0.001171 , 0.000997 , 0.00175 , 0.003301 , 0.001945 , 0.000726 , 0.004572 , 0.003512 , 0.022218 , 0 , 0.003336 , 0.002965 , 0.001855 , 0 , 0.000641 , 0.052319 , 0.003001 , 0.005466 , 0.004933 , 0.001123 , 0 , 0 , 0 , 0 , 0.001308 , 0.004512 , 0.000182 , 0.000416 , 0.001163 , 0 , 0 , 0 , 0 , 0 , 0.001031 , 0 , 0 , 0.001096 , 0 
 337 , 0.005149 , 0.002 , 0.001744 , 0.003061 , 0.004364 , 0.00212 , 0.001025 , 0.005492 , 0.004972 , 0.020537 , 0 , 0.004364 , 0.003691 , 0.002793 , 0 , 0.000999 , 0.037996 , 0.004653 , 0.006302 , 0.006158 , 0.001568 , 0 , 0 , 0 , 0 , 0.002239 , 0.005944 , 0.000309 , 0.000693 , 0.00191 , 0 , 0 , 0 , 0 , 0 , 0.001658 , 0 , 0 , 0.001335 , 0 
 338 , 0.005981 , 0.002683 , 0.002333 , 0.0041 , 0.005118 , 0.002161 , 0.001178 , 0.00587 , 0.005812 , 0.018762 , 0 , 0.005075 , 0.003963 , 0.003341 , 0 , 0.001223 , 0.030432 , 0.006092 , 0.006689 , 0.006867 , 0.00179 , 0 , 0 , 0 , 0 , 0.002943 , 0.006889 , 0.000402 , 0.000891 , 0.00243 , 0 , 0 , 0 , 0 , 0 , 0.002078 , 0 , 0 , 0.001419 , 0 
 339 , 0.006785 , 0.003188 , 0.002943 , 0.004573 , 0.005692 , 0.002948 , 0.001878 , 0.007066 , 0.006654 , 0.018685 , 0.000665 , 0.006216 , 0.00466 , 0.004883 , 0.000305 , 0.001832 , 0.030922 , 0.007343 , 0.00744 , 0.008369 , 0.003041 , 0 , 0.000227 , 0.000771 , 0 , 0.0035 , 0.006749 , 0.001072 , 0.001986 , 0.003001 , 0.000876 , 0.000244 , 0 , 0.000363 , 0.000615 , 0.002685 , 0.000381 , 0.000654 , 0.002032 , 0.000027 
 340 , 0.00729 , 0.003513 , 0.003431 , 0.004778 , 0.006006 , 0.003747 , 0.002607 , 0.008069 , 0.007203 , 0.018536 , 0.001378 , 0.007165 , 0.005195 , 0.006572 , 0.00063 , 0.002338 , 0.031323 , 0.008206 , 0.007927 , 0.009649 , 0.004434 , 0 , 0.00048 , 0.001449 , 0 , 0.003863 , 0.006528 , 0.00178 , 0.003171 , 0.003415 , 0.001588 , 0.000454 , 0 , 0.000602 , 0.001214 , 0.003163 , 0.000789 , 0.00144 , 0.002563 , 0.000057 
 341 , 0.007561 , 0.003713 , 0.003796 , 0.004855 , 0.006145 , 0.004396 , 0.003221 , 0.008769 , 0.007513 , 0.018158 , 0.001963 , 0.007859 , 0.005528 , 0.008142 , 0.000895 , 0.002684 , 0.031045 , 0.008766 , 0.008169 , 0.01059 , 0.005679 , 0 , 0.000694 , 0.001925 , 0 , 0.004078 , 0.006314 , 0.002368 , 0.004188 , 0.003679 , 0.002061 , 0.0006 , 0 , 0.000743 , 0.001667 , 0.003485 , 0.001123 , 0.002156 , 0.002929 , 0.000082 
 342 , 0.00868 , 0.004344 , 0.004381 , 0.00558 , 0.006734 , 0.005164 , 0.003818 , 0.009639 , 0.008408 , 0.019629 , 0.002568 , 0.009092 , 0.006381 , 0.008727 , 0.001398 , 0.003282 , 0.032358 , 0.009501 , 0.008901 , 0.011513 , 0.006901 , 0 , 0.001213 , 0.002619 , 0.000222 , 0.004619 , 0.006913 , 0.003015 , 0.005223 , 0.004439 , 0.002829 , 0.000978 , 0.000316 , 0.001338 , 0.0023 , 0.004314 , 0.001931 , 0.003041 , 0.003612 , 0.000381 
 343 , 0.011091 , 0.005608 , 0.005252 , 0.007162 , 0.007909 , 0.006169 , 0.004469 , 0.010822 , 0.010086 , 0.023343 , 0.00327 , 0.011107 , 0.007982 , 0.008579 , 0.002127 , 0.004259 , 0.03555 , 0.01055 , 0.010289 , 0.012566 , 0.008154 , 0 , 0.002173 , 0.003794 , 0.000768 , 0.005565 , 0.008438 , 0.003851 , 0.006401 , 0.005986 , 0.003957 , 0.001716 , 0.00101 , 0.002703 , 0.003215 , 0.005984 , 0.00335 , 0.004203 , 0.00472 , 0.001093 
 344 , 0.013745 , 0.006925 , 0.006025 , 0.008752 , 0.009023 , 0.007139 , 0.005087 , 0.011876 , 0.011684 , 0.027077 , 0.003919 , 0.01305 , 0.009584 , 0.008582 , 0.002733 , 0.005192 , 0.038424 , 0.01147 , 0.011591 , 0.013496 , 0.009274 , 0 , 0.003158 , 0.005088 , 0.001371 , 0.006415 , 0.00993 , 0.004701 , 0.007522 , 0.007681 , 0.00492 , 0.002484 , 0.001682 , 0.00429 , 0.004066 , 0.007849 , 0.004707 , 0.005336 , 0.005738 , 0.00189 
 345 , 0.016476 , 0.008253 , 0.00676 , 0.010282 , 0.010114 , 0.008093 , 0.005737 , 0.012905 , 0.013168 , 0.030698 , 0.004557 , 0.014867 , 0.011126 , 0.008756 , 0.003283 , 0.006097 , 0.041276 , 0.012304 , 0.012872 , 0.014451 , 0.010288 , 0.000069 , 0.004122 , 0.00645 , 0.002006 , 0.007209 , 0.011359 , 0.005586 , 0.008529 , 0.009411 , 0.0058 , 0.003289 , 0.002342 , 0.006037 , 0.004904 , 0.009797 , 0.005943 , 0.006404 , 0.006654 , 0.002721 
