WSG1_00031.spu,WSG1_00030.spu,
Wavelength,WSG1_00020.spu,WSG1_00021.spu
  (nm),7/13/2018 ,7/13/2018 
  time  ,:26:53 P,:27:14 P
temp C,SW,SW
,,
 553 , 0.062734 , 0.052324 
 554 , 0.063003 , 0.052566 
 555 , 0.063228 , 0.052769 
 556 , 0.063445 , 0.052966 
 557 , 0.063657 , 0.053154 
 558 , 0.063854 , 0.053288 
 559 , 0.064048 , 0.053428 
 560 , 0.064243 , 0.053568 
 561 , 0.06438 , 0.053658 
 562 , 0.064507 , 0.053746 
 563 , 0.064633 , 0.05384 
 564 , 0.064744 , 0.053921 
 565 , 0.064846 , 0.053993 
 566 , 0.064943 , 0.05407 
 567 , 0.065034 , 0.054134 
 568 , 0.065068 , 0.054147 
 569 , 0.065105 , 0.054153 
 570 , 0.065134 , 0.054168 
 571 , 0.065186 , 0.054199 
 572 , 0.065232 , 0.054224 
 573 , 0.065284 , 0.05425 
 574 , 0.065331 , 0.054286 
 575 , 0.065398 , 0.054323 
 576 , 0.065461 , 0.054366 
 577 , 0.065532 , 0.054408 
 578 , 0.06561 , 0.054441 
 579 , 0.065686 , 0.054472 
 580 , 0.065754 , 0.054504 
 581 , 0.065807 , 0.054527 
 582 , 0.065858 , 0.054555 
 583 , 0.0659 , 0.054584 
 584 , 0.06595 , 0.05463 
 585 , 0.066016 , 0.054677 
 586 , 0.066077 , 0.054733 
 587 , 0.066144 , 0.054784 
 588 , 0.066198 , 0.054846 
 589 , 0.066261 , 0.054915 
 590 , 0.066317 , 0.054978 
 591 , 0.066431 , 0.055073 
 592 , 0.066569 , 0.055178 
 593 , 0.06671 , 0.055293 
 594 , 0.066847 , 0.05541 
 595 , 0.066965 , 0.05554 
 596 , 0.067078 , 0.05567 
 597 , 0.067194 , 0.055805 
 598 , 0.067326 , 0.055937 
 599 , 0.067451 , 0.056067 
 600 , 0.067583 , 0.056205 
 601 , 0.067692 , 0.056317 
 602 , 0.06779 , 0.056426 
 603 , 0.067894 , 0.05653 
 604 , 0.067988 , 0.056628 
 605 , 0.068075 , 0.056715 
 606 , 0.068164 , 0.05681 
 607 , 0.06826 , 0.056898 
 608 , 0.068334 , 0.05698 
 609 , 0.068415 , 0.057056 
 610 , 0.06849 , 0.05714 
 611 , 0.068571 , 0.057237 
 612 , 0.068662 , 0.057351 
 613 , 0.068747 , 0.057458 
 614 , 0.068836 , 0.05756 
 615 , 0.068934 , 0.057652 
 616 , 0.069031 , 0.057736 
 617 , 0.069131 , 0.057824 
 618 , 0.069282 , 0.057917 
 619 , 0.069434 , 0.058003 
 620 , 0.06959 , 0.058089 
 621 , 0.069763 , 0.058204 
 622 , 0.06992 , 0.058329 
 623 , 0.070083 , 0.058454 
 624 , 0.070246 , 0.058579 
 625 , 0.070409 , 0.058681 
 626 , 0.070583 , 0.058793 
 627 , 0.070749 , 0.058899 
 628 , 0.070922 , 0.059051 
 629 , 0.071095 , 0.059201 
 630 , 0.071267 , 0.059352 
 631 , 0.071444 , 0.05952 
 632 , 0.071629 , 0.059707 
 633 , 0.071808 , 0.059887 
 634 , 0.071982 , 0.060066 
 635 , 0.072103 , 0.060228 
 636 , 0.072235 , 0.060391 
 637 , 0.07236 , 0.060549 
 638 , 0.07242 , 0.060681 
 639 , 0.072482 , 0.060809 
 640 , 0.072551 , 0.060937 
 641 , 0.072584 , 0.061039 
 642 , 0.072601 , 0.061138 
 643 , 0.072617 , 0.06123 
 644 , 0.072631 , 0.061328 
 645 , 0.072634 , 0.061433 
 646 , 0.072637 , 0.06154 
 647 , 0.072646 , 0.061648 
 648 , 0.072641 , 0.061723 
