  time  ,01:50 AM,02:01 AM,02:11 AM,02:20 AM,02:31 AM,03:06 AM,03:15 AM,03:28 AM,03:37 AM,03:48 AM,04:18 AM,04:31 AM,04:41 AM,04:51 AM,05:03 AM,05:24 AM,05:34 AM,05:44 AM,05:57 AM,06:06 AM,06:46 AM,07:00 AM,07:13 AM,07:23 AM,07:35 AM,08:13 AM,08:23 AM,08:32 AM,08:42 AM,08:51 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 330 , 0.031139 , 0.03734 , 0.028158 , 0.03148 , 0.034759 , 0.030338 , 0.030311 , 0.045019 , 0.028615 , 0.026772 , 0.028707 , 0.032778 , 0.030121 , 0.029111 , 0.032564 , 0.039385 , 0.025021 , 0.024604 , 0.027054 , 0.026891 , 0.034787 , 0.031035 , 0.028267 , 0.033465 , 0.048716 , 0.026547 , 0.026794 , 0.030128 , 0.027674 , 0.029573 
 331 , 0.030775 , 0.037456 , 0.02783 , 0.031898 , 0.03489 , 0.030873 , 0.030327 , 0.044661 , 0.028674 , 0.026366 , 0.02842 , 0.03283 , 0.030448 , 0.029333 , 0.032598 , 0.039242 , 0.024685 , 0.024304 , 0.026795 , 0.027325 , 0.034428 , 0.030674 , 0.028526 , 0.033441 , 0.048797 , 0.027128 , 0.027196 , 0.030198 , 0.028029 , 0.029794 
 332 , 0.030227 , 0.036272 , 0.027308 , 0.031203 , 0.034048 , 0.030063 , 0.029879 , 0.043944 , 0.028095 , 0.025542 , 0.027742 , 0.032032 , 0.029624 , 0.028714 , 0.031923 , 0.038613 , 0.024174 , 0.023357 , 0.026362 , 0.026692 , 0.033602 , 0.029813 , 0.027733 , 0.032476 , 0.048059 , 0.026143 , 0.026452 , 0.029409 , 0.027242 , 0.029042 
 333 , 0.029595 , 0.034415 , 0.026694 , 0.029894 , 0.032685 , 0.028516 , 0.029181 , 0.043052 , 0.027174 , 0.024512 , 0.026872 , 0.030783 , 0.028178 , 0.027636 , 0.030865 , 0.037739 , 0.023589 , 0.02209 , 0.025847 , 0.025476 , 0.032544 , 0.028704 , 0.026365 , 0.031014 , 0.046886 , 0.024281 , 0.025058 , 0.028157 , 0.025833 , 0.027758 
 334 , 0.029054 , 0.03279 , 0.026169 , 0.028748 , 0.031489 , 0.027162 , 0.028575 , 0.042277 , 0.026367 , 0.023612 , 0.02611 , 0.029688 , 0.026912 , 0.026691 , 0.02994 , 0.036958 , 0.023074 , 0.020983 , 0.025398 , 0.02441 , 0.031615 , 0.027732 , 0.025169 , 0.029734 , 0.045843 , 0.022652 , 0.02384 , 0.027062 , 0.024601 , 0.026636 
 335 , 0.028585 , 0.031705 , 0.025716 , 0.027956 , 0.030624 , 0.026212 , 0.028101 , 0.041709 , 0.025828 , 0.022893 , 0.025533 , 0.028941 , 0.025997 , 0.026054 , 0.029296 , 0.036397 , 0.022733 , 0.020215 , 0.02489 , 0.023698 , 0.030994 , 0.027033 , 0.024361 , 0.028765 , 0.045187 , 0.021593 , 0.022901 , 0.026227 , 0.023665 , 0.025821 
 336 , 0.028233 , 0.031944 , 0.025372 , 0.028059 , 0.03055 , 0.026217 , 0.027932 , 0.041667 , 0.025975 , 0.022547 , 0.025387 , 0.029083 , 0.025891 , 0.026236 , 0.029367 , 0.03633 , 0.022845 , 0.020274 , 0.024014 , 0.023871 , 0.03115 , 0.026989 , 0.024564 , 0.02851 , 0.045532 , 0.022068 , 0.022615 , 0.025954 , 0.023405 , 0.025742 
 337 , 0.027918 , 0.032188 , 0.025067 , 0.02815 , 0.030491 , 0.026242 , 0.027777 , 0.041615 , 0.026117 , 0.022248 , 0.025259 , 0.029211 , 0.025814 , 0.026379 , 0.029431 , 0.036307 , 0.022949 , 0.020337 , 0.023259 , 0.024042 , 0.03131 , 0.026963 , 0.024744 , 0.028282 , 0.04588 , 0.022492 , 0.022365 , 0.025727 , 0.023172 , 0.025682 
 338 , 0.027635 , 0.032436 , 0.024795 , 0.028231 , 0.030443 , 0.02628 , 0.027635 , 0.041556 , 0.026252 , 0.021987 , 0.025146 , 0.029329 , 0.025759 , 0.026491 , 0.02949 , 0.03632 , 0.023046 , 0.020402 , 0.022602 , 0.02421 , 0.031471 , 0.026949 , 0.024906 , 0.028076 , 0.046226 , 0.022873 , 0.022144 , 0.025537 , 0.022962 , 0.025639 
 339 , 0.027297 , 0.032102 , 0.024476 , 0.027945 , 0.030141 , 0.025852 , 0.027106 , 0.041102 , 0.025728 , 0.021722 , 0.024859 , 0.029163 , 0.025599 , 0.025886 , 0.028928 , 0.036137 , 0.022446 , 0.020333 , 0.022407 , 0.023973 , 0.03093 , 0.026519 , 0.024046 , 0.028007 , 0.045374 , 0.022599 , 0.021815 , 0.025114 , 0.022537 , 0.025104 
