  time  ,9:29 AM",00:07 AM,00:16 AM,00:27 AM,00:37 AM,01:17 AM,01:27 AM,01:41 AM,01:54 AM,02:04 AM,02:50 AM,03:09 AM,03:18 AM,03:30 AM,03:40 AM,05:21 AM,05:33 AM,05:45 AM,06:00 AM,06:09 AM,07:55 AM,08:46 AM,09:06 AM,09:23 AM,09:44 AM,11:18 AM,11:33 AM,11:52 AM,12:04 AM,12:16 AM,13:10 AM,13:29 AM,13:55 AM,14:13 AM,14:25 AM,16:03 AM,16:19 AM,16:31 AM,16:46 AM,16:57 AM,18:23 AM,18:36 AM,18:50 AM,19:03 AM,19:15 AM,20:17 AM,20:54 AM,21:10 AM,21:22 AM,21:36 AM,22:22 AM,22:38 AM,22:53 AM,23:08 AM,23:22 AM,24:41 AM,24:59 AM,25:17 AM,25:28 AM,25:39 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 320 , 0.002607 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002527 , 0 , 0 , 0 , 0.003623 , 0.000733 , 0 , 0.000956 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001932 , 0 , 0 , 0 , 0 , 0 , 0.002272 , 0 , 0 , 0 , 0.001467 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01084 , 0.014274 , 0 , 0 , 0 , 0 , 0 
 321 , 0.003416 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003395 , 0 , 0 , 0 , 0.004827 , 0.000144 , 0 , 0.001279 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002541 , 0 , 0 , 0 , 0 , 0 , 0.003017 , 0 , 0 , 0 , 0.000287 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.014357 , 0.015285 , 0 , 0 , 0 , 0 , 0 
 322 , 0.004416 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00255 , 0.001292 , 0 , 0 , 0.005603 , 0.000324 , 0.000949 , 0.001224 , 0.002072 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001841 , 0 , 0 , 0 , 0 , 0 , 0.003503 , 0 , 0.000953 , 0.000322 , 0.003185 , 0 , 0.000395 , 0 , 0 , 0 , 0 , 0.000464 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01595 , 0.017265 , 0 , 0 , 0 , 0 , 0.001937 
 323 , 0.005319 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001393 , 0.002705 , 0 , 0 , 0.006132 , 0.000681 , 0.002004 , 0.001076 , 0.004348 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00097 , 0 , 0 , 0 , 0 , 0 , 0.003842 , 0 , 0.00199 , 0.000677 , 0.00665 , 0 , 0.000822 , 0 , 0 , 0 , 0 , 0.000971 , 0 , 0 , 0 , 0 , 0 , 0 , 0.016705 , 0.019077 , 0 , 0 , 0 , 0 , 0.004087 
 324 , 0.00605 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000492 , 0.003806 , 0 , 0 , 0.006551 , 0.000962 , 0.002843 , 0.000961 , 0.00613 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000332 , 0 , 0 , 0 , 0 , 0 , 0.00411 , 0 , 0.002794 , 0.000952 , 0.009331 , 0 , 0.001149 , 0 , 0 , 0 , 0 , 0.001364 , 0 , 0 , 0 , 0 , 0 , 0 , 0.017234 , 0.020397 , 0 , 0 , 0 , 0 , 0.005792 
 325 , 0.007526 , 0.001559 , 0.001898 , 0.001736 , 0.001439 , 0.002141 , 0.001724 , 0.002115 , 0.006492 , 0.002083 , 0.001608 , 0.008026 , 0.003611 , 0.004846 , 0.00205 , 0.008746 , 0.001545 , 0.002275 , 0.002478 , 0.001444 , 0.000473 , 0.001333 , 0.002302 , 0.000345 , 0.001003 , 0.001569 , 0.001993 , 0.00098 , 0.000915 , 0.002382 , 0.001315 , 0.001478 , 0.001542 , 0.002408 , 0.001684 , 0.005894 , 0.001963 , 0.005449 , 0.002734 , 0.013205 , 0.001957 , 0.003423 , 0.000799 , 0.002385 , 0.002206 , 0.002489 , 0.004804 , 0.001658 , 0.002316 , 0.0024 , 0.001506 , 0.000593 , 0.00075 , 0.020075 , 0.023578 , 0.002095 , 0.001223 , 0.002095 , 0.001124 , 0.008931 
 326 , 0.010211 , 0.005451 , 0.006637 , 0.006042 , 0.004984 , 0.007418 , 0.006093 , 0.007425 , 0.011723 , 0.007259 , 0.005608 , 0.011183 , 0.009818 , 0.008688 , 0.004922 , 0.012809 , 0.00534 , 0.007968 , 0.008826 , 0.005145 , 0.001658 , 0.004622 , 0.008108 , 0.001201 , 0.003532 , 0.005591 , 0.006903 , 0.003414 , 0.003227 , 0.008528 , 0.004607 , 0.005151 , 0.005493 , 0.008494 , 0.005878 , 0.009969 , 0.006872 , 0.010995 , 0.006812 , 0.019358 , 0.006801 , 0.0087 , 0.002782 , 0.008424 , 0.00768 , 0.00853 , 0.012843 , 0.005819 , 0.008052 , 0.008377 , 0.005285 , 0.002082 , 0.002671 , 0.026602 , 0.029902 , 0.007317 , 0.00429 , 0.007383 , 0.003921 , 0.014424 
 327 , 0.012379 , 0.00855 , 0.01041 , 0.009436 , 0.007747 , 0.011537 , 0.009658 , 0.011688 , 0.01593 , 0.011349 , 0.008772 , 0.013773 , 0.01473 , 0.011754 , 0.007201 , 0.016006 , 0.008286 , 0.01252 , 0.014101 , 0.008219 , 0.002607 , 0.007187 , 0.012813 , 0.001877 , 0.00558 , 0.008931 , 0.010735 , 0.005339 , 0.005103 , 0.013694 , 0.007241 , 0.008054 , 0.008775 , 0.013435 , 0.009204 , 0.0132 , 0.010793 , 0.015426 , 0.010068 , 0.024453 , 0.010609 , 0.01296 , 0.004349 , 0.01334 , 0.011997 , 0.013127 , 0.019222 , 0.00916 , 0.012563 , 0.013122 , 0.008319 , 0.003277 , 0.004268 , 0.031994 , 0.035132 , 0.011461 , 0.006751 , 0.011669 , 0.006134 , 0.01882 
 328 , 0.014173 , 0.011074 , 0.013481 , 0.012169 , 0.009948 , 0.014821 , 0.012636 , 0.015191 , 0.019393 , 0.014655 , 0.011331 , 0.015944 , 0.018706 , 0.014256 , 0.009051 , 0.018578 , 0.01062 , 0.01624 , 0.018587 , 0.010834 , 0.003387 , 0.009232 , 0.016713 , 0.002422 , 0.007277 , 0.011774 , 0.013788 , 0.006895 , 0.00666 , 0.018143 , 0.009395 , 0.010399 , 0.011568 , 0.017541 , 0.011902 , 0.015817 , 0.013996 , 0.019049 , 0.012727 , 0.028773 , 0.013669 , 0.016477 , 0.005613 , 0.017435 , 0.015477 , 0.016703 , 0.024399 , 0.0119 , 0.016194 , 0.016972 , 0.010809 , 0.004259 , 0.005626 , 0.036551 , 0.039557 , 0.014823 , 0.008769 , 0.015221 , 0.007923 , 0.022414 
 329 , 0.0149 , 0.011416 , 0.012743 , 0.013619 , 0.009913 , 0.014352 , 0.01296 , 0.014984 , 0.020116 , 0.014912 , 0.012267 , 0.017284 , 0.017783 , 0.014221 , 0.009559 , 0.019948 , 0.010967 , 0.016057 , 0.018898 , 0.011272 , 0.003763 , 0.009888 , 0.01764 , 0.004403 , 0.008081 , 0.009658 , 0.013793 , 0.008649 , 0.00883 , 0.020123 , 0.010186 , 0.0112 , 0.013143 , 0.018277 , 0.013445 , 0.015685 , 0.014201 , 0.01898 , 0.014634 , 0.027663 , 0.013104 , 0.017536 , 0.006946 , 0.017509 , 0.017127 , 0.018838 , 0.024741 , 0.012623 , 0.016318 , 0.017648 , 0.011732 , 0.00633 , 0.006977 , 0.037336 , 0.04013 , 0.015594 , 0.01045 , 0.015801 , 0.007959 , 0.023802 
