WSG1_00034.spu,WSG1_00033.spu,WSG1_00032.spu,
Wavelength,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/13/2018 ,7/13/2018 ,7/13/2018 
  time  ,:27:36 P,:27:46 P,:27:57 P
temp C,SW,SW,SW
,,,
 834 , 0.208207 , 0.194492 , 0.219338 
 835 , 0.208679 , 0.194992 , 0.219734 
 836 , 0.209153 , 0.195495 , 0.220132 
 837 , 0.209653 , 0.195986 , 0.220524 
 838 , 0.210186 , 0.196471 , 0.220926 
 839 , 0.210708 , 0.196956 , 0.221341 
 840 , 0.211228 , 0.197438 , 0.221744 
 841 , 0.211665 , 0.197833 , 0.222122 
 842 , 0.212114 , 0.198226 , 0.222496 
 843 , 0.212575 , 0.198625 , 0.222877 
 844 , 0.213036 , 0.198981 , 0.223216 
 845 , 0.213501 , 0.199295 , 0.223534 
 846 , 0.213978 , 0.199611 , 0.223863 
 847 , 0.214446 , 0.199927 , 0.224178 
 848 , 0.214851 , 0.200298 , 0.224459 
 849 , 0.21524 , 0.200698 , 0.224719 
 850 , 0.215635 , 0.20112 , 0.224988 
 851 , 0.216026 , 0.20157 , 0.22525 
 852 , 0.216455 , 0.202027 , 0.225546 
 853 , 0.216892 , 0.202498 , 0.225843 
 854 , 0.217334 , 0.202877 , 0.226127 
 855 , 0.217842 , 0.203243 , 0.226455 
 856 , 0.21836 , 0.203606 , 0.226786 
 857 , 0.21885 , 0.20397 , 0.227095 
 858 , 0.219294 , 0.204327 , 0.227363 
 859 , 0.219732 , 0.204702 , 0.227625 
 860 , 0.220153 , 0.205093 , 0.227895 
 861 , 0.220541 , 0.205508 , 0.2282 
 862 , 0.220951 , 0.205921 , 0.228531 
 863 , 0.221372 , 0.206338 , 0.228872 
 864 , 0.22177 , 0.206638 , 0.229153 
 865 , 0.222172 , 0.206978 , 0.229451 
 866 , 0.222584 , 0.207328 , 0.229758 
 867 , 0.22296 , 0.207679 , 0.23 
 868 , 0.223334 , 0.207981 , 0.230199 
 869 , 0.223722 , 0.208281 , 0.230388 
 870 , 0.224129 , 0.208614 , 0.230629 
 871 , 0.224572 , 0.20902 , 0.230966 
 872 , 0.225018 , 0.209452 , 0.23132 
 873 , 0.225478 , 0.209895 , 0.231681 
 874 , 0.22586 , 0.21025 , 0.231923 
 875 , 0.226272 , 0.210606 , 0.232149 
 876 , 0.226691 , 0.210968 , 0.232381 
 877 , 0.227129 , 0.211361 , 0.232656 
 878 , 0.227569 , 0.211776 , 0.232959 
 879 , 0.228021 , 0.212201 , 0.233273 
 880 , 0.22847 , 0.212613 , 0.233572 
 881 , 0.228902 , 0.213005 , 0.233856 
 882 , 0.229324 , 0.213392 , 0.23415 
 883 , 0.229751 , 0.213787 , 0.234436 
 884 , 0.230129 , 0.214147 , 0.234657 
 885 , 0.230562 , 0.214558 , 0.234891 
 886 , 0.231012 , 0.214986 , 0.235129 
 887 , 0.231411 , 0.21539 , 0.235373 
 888 , 0.231729 , 0.215698 , 0.235506 
 889 , 0.232057 , 0.215994 , 0.235626 
 890 , 0.232369 , 0.216217 , 0.235698 
 891 , 0.232719 , 0.216435 , 0.235819 
 892 , 0.233123 , 0.216729 , 0.236049 
 893 , 0.233533 , 0.217032 , 0.236269 
 894 , 0.233879 , 0.217344 , 0.236388 
 895 , 0.234214 , 0.21767 , 0.236436 
 896 , 0.234577 , 0.218006 , 0.236489 
 897 , 0.234897 , 0.218313 , 0.236565 
 898 , 0.235233 , 0.218598 , 0.236693 
 899 , 0.235579 , 0.218897 , 0.236826 
 900 , 0.235872 , 0.219158 , 0.237025 
 901 , 0.236166 , 0.219428 , 0.237254 
 902 , 0.236507 , 0.219733 , 0.237485 
 903 , 0.236854 , 0.220062 , 0.237708 
 904 , 0.237176 , 0.220406 , 0.23792 
 905 , 0.237443 , 0.220695 , 0.238138 
 906 , 0.237719 , 0.220994 , 0.238373 
 907 , 0.237931 , 0.221205 , 0.23853 
 908 , 0.238279 , 0.221611 , 0.238753 
 909 , 0.238634 , 0.222031 , 0.23899 
 910 , 0.239038 , 0.222432 , 0.239205 
 911 , 0.239442 , 0.222746 , 0.239442 
 912 , 0.239844 , 0.223027 , 0.239691 
 913 , 0.240278 , 0.223406 , 0.240014 
 914 , 0.240751 , 0.223967 , 0.240411 
 915 , 0.241247 , 0.224584 , 0.240782 
 916 , 0.241737 , 0.225194 , 0.241146 
 917 , 0.242177 , 0.22556 , 0.241376 
 918 , 0.242665 , 0.225858 , 0.241661 
 919 , 0.243161 , 0.226156 , 0.241948 
 920 , 0.243488 , 0.226231 , 0.242135 
 921 , 0.243754 , 0.226288 , 0.242217 
 922 , 0.244014 , 0.226376 , 0.242277 
 923 , 0.244046 , 0.226385 , 0.242136 
 924 , 0.243743 , 0.226205 , 0.241745 
 925 , 0.243318 , 0.225909 , 0.241293 
 926 , 0.242829 , 0.225525 , 0.240777 
 927 , 0.242198 , 0.224839 , 0.240146 
 928 , 0.241624 , 0.224127 , 0.239474 
 929 , 0.24096 , 0.223296 , 0.238692 
 930 , 0.240356 , 0.222551 , 0.237947 
 931 , 0.239565 , 0.221752 , 0.2371 
 932 , 0.238616 , 0.22082 , 0.236117 
 933 , 0.237784 , 0.219909 , 0.235089 
 934 , 0.237258 , 0.219187 , 0.234196 
 935 , 0.236873 , 0.218547 , 0.233357 
 936 , 0.236506 , 0.217992 , 0.23268 
 937 , 0.236263 , 0.217771 , 0.232538 
 938 , 0.236046 , 0.217545 , 0.232351 
 939 , 0.235826 , 0.217309 , 0.232155 
 940 , 0.235421 , 0.216818 , 0.231854 
 941 , 0.235123 , 0.216469 , 0.231761 
 942 , 0.234832 , 0.216133 , 0.231688 
 943 , 0.234739 , 0.215878 , 0.231631 
 944 , 0.23466 , 0.215626 , 0.231528 
 945 , 0.234513 , 0.215341 , 0.231392 
 946 , 0.234519 , 0.215287 , 0.231388 
 947 , 0.234819 , 0.215634 , 0.23161 
 948 , 0.235187 , 0.21597 , 0.231877 
 949 , 0.235558 , 0.216331 , 0.232154 
 950 , 0.235968 , 0.216832 , 0.232572 
 951 , 0.236363 , 0.21736 , 0.232905 
 952 , 0.236758 , 0.21788 , 0.233231 
 953 , 0.237005 , 0.218352 , 0.233618 
 954 , 0.237266 , 0.218872 , 0.234211 
 955 , 0.23755 , 0.219404 , 0.234874 
 956 , 0.237833 , 0.219722 , 0.235565 
 957 , 0.238217 , 0.219852 , 0.236273 
 958 , 0.238721 , 0.220053 , 0.23692 
 959 , 0.239271 , 0.220353 , 0.237551 
 960 , 0.24004 , 0.221058 , 0.238175 
 961 , 0.240859 , 0.22169 , 0.238796 
 962 , 0.24165 , 0.222294 , 0.239402 
 963 , 0.242863 , 0.223315 , 0.240413 
 964 , 0.243834 , 0.224371 , 0.241383 
 965 , 0.244711 , 0.2254 , 0.242301 
 966 , 0.245228 , 0.226087 , 0.242937 
