  time  ,47:09 PM,47:29 PM,47:34 PM,47:37 PM,47:43 PM,50:01 PM,50:26 PM,50:41 PM,50:52 PM,51:04 PM,51:54 PM,52:04 PM,52:20 PM,52:30 PM,52:38 PM,53:09 PM,53:22 PM,53:36 PM,53:48 PM,53:58 PM,55:54 PM,56:08 PM,56:23 PM,56:35 PM,56:44 PM,58:05 PM,58:18 PM,58:32 PM,58:40 PM,58:50 PM,59:22 PM,59:32 PM,59:42 PM,59:52 PM,00:01 PM,00:58 PM,01:07 PM,01:16 PM,01:23 PM,01:37 PM,02:08 PM,02:16 PM,02:24 PM,02:32 PM,02:42 PM,04:15 PM,04:23 PM,04:39 PM,04:50 PM,05:01 PM,07:56 PM,08:11 PM,08:20 PM,08:32 PM,08:41 PM,09:46 PM,10:04 PM,10:21 PM,10:35 PM,10:45 PM,11:26 PM,11:37 PM,11:48 PM,11:58 PM,12:07 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.921235 , 0.957278 , 0.941798 , 0.945535 , 0.924427 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0.91512 , 0.961853 , 0.942511 , 0.940222 , 0.915631 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.912632 , 0.965419 , 0.945277 , 0.936753 , 0.91006 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0.929339 , 0.966778 , 0.961149 , 0.944218 , 0.921311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0.945755 , 0.967299 , 0.97617 , 0.951037 , 0.931869 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0.961943 , 0.967235 , 0.990544 , 0.957348 , 0.941882 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0.969062 , 0.972274 , 0.994868 , 0.960202 , 0.95023 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0.9731 , 0.978565 , 0.995781 , 0.961658 , 0.957714 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0.976711 , 0.984603 , 0.996224 , 0.96267 , 0.964775 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0.976477 , 0.988274 , 0.993575 , 0.960952 , 0.966456 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0.970744 , 0.988509 , 0.986579 , 0.955402 , 0.960296 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0.965196 , 0.988716 , 0.979965 , 0.95009 , 0.95449 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0.959845 , 0.988773 , 0.973637 , 0.945068 , 0.949002 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0.956248 , 0.977831 , 0.96294 , 0.947324 , 0.945904 , 0 , 0 , 0 , 0.001073 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001154 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001369 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0.952699 , 0.96742 , 0.952802 , 0.949452 , 0.942851 , 0 , 0 , 0 , 0.001975 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002175 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002572 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0.949187 , 0.957481 , 0.943161 , 0.951447 , 0.939808 , 0 , 0 , 0 , 0.002708 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00305 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003596 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0.950857 , 0.955117 , 0.944831 , 0.953533 , 0.938538 , 0.000118 , 0.000787 , 0 , 0.003884 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000434 , 0 , 0 , 0.000677 , 0 , 0.00085 , 0.003994 , 0 , 0 , 0 , 0.000678 , 0.000343 , 0.00023 , 0 , 0 , 0 , 0 , 0 , 0.000329 , 0.000111 , 0.004795 , 0.000452 , 0.000651 , 0.000326 , 0 , 0 , 0 , 0.000108 , 0 , 0 , 0 , 0 , 0 , 0.000251 , 0 , 0.000256 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000094 , 0 , 0 , 0 , 0 , 0 
 333 , 0.955499 , 0.957092 , 0.953013 , 0.955624 , 0.938303 , 0.000296 , 0.001992 , 0 , 0.005313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0011 , 0 , 0 , 0.001719 , 0 , 0.002142 , 0.004938 , 0 , 0 , 0 , 0.001693 , 0.000865 , 0.000586 , 0 , 0 , 0 , 0 , 0 , 0.000837 , 0.000281 , 0.006033 , 0.00114 , 0.001638 , 0.000832 , 0 , 0 , 0 , 0.000274 , 0 , 0 , 0 , 0 , 0 , 0.000643 , 0 , 0.000648 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000239 , 0 , 0 , 0 , 0 , 0 
 334 , 0.960058 , 0.959041 , 0.960975 , 0.957691 , 0.938141 , 0.000449 , 0.003038 , 0 , 0.006603 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001681 , 0 , 0 , 0.002629 , 0 , 0.003252 , 0.005765 , 0 , 0 , 0 , 0.002549 , 0.001315 , 0.000899 , 0 , 0 , 0 , 0 , 0 , 0.001281 , 0.000428 , 0.007102 , 0.001734 , 0.002485 , 0.001278 , 0 , 0 , 0 , 0.000419 , 0 , 0 , 0 , 0 , 0 , 0.000992 , 0 , 0.000988 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000366 , 0 , 0 , 0 , 0 , 0 
 335 , 0.961604 , 0.958679 , 0.965721 , 0.958159 , 0.937121 , 0.0009 , 0.003935 , 0.000234 , 0.007729 , 0.000214 , 0.000219 , 0.000239 , 0.000298 , 0 , 0.000107 , 0.00007 , 0.000101 , 0.002338 , 0 , 0 , 0.003672 , 0.000164 , 0.004312 , 0.006603 , 0.000027 , 0.000279 , 0.00026 , 0.003433 , 0.001913 , 0.001327 , 0 , 0 , 0.000148 , 0 , 0 , 0.001937 , 0.000894 , 0.008127 , 0.002334 , 0.003397 , 0.001933 , 0.000258 , 0 , 0 , 0.000784 , 0.000036 , 0.000361 , 0 , 0.00009 , 0 , 0.00158 , 0.000368 , 0.001528 , 0.000225 , 0.000148 , 0 , 0 , 0 , 0.000086 , 0.00082 , 0.000159 , 0 , 0.000212 , 0 , 0.000198 
 336 , 0.954203 , 0.9514 , 0.961025 , 0.953869 , 0.933413 , 0.002461 , 0.004638 , 0.001307 , 0.008551 , 0.001178 , 0.001204 , 0.001306 , 0.001633 , 0 , 0.000593 , 0.000384 , 0.000558 , 0.003434 , 0 , 0 , 0.005446 , 0.000906 , 0.005575 , 0.007726 , 0.000149 , 0.001516 , 0.00144 , 0.004751 , 0.003175 , 0.002236 , 0 , 0 , 0.000818 , 0 , 0 , 0.003464 , 0.002535 , 0.009357 , 0.003157 , 0.004844 , 0.003427 , 0.001443 , 0 , 0 , 0.001971 , 0.000196 , 0.001999 , 0 , 0.000496 , 0 , 0.003085 , 0.002015 , 0.002877 , 0.001235 , 0.000814 , 0 , 0 , 0 , 0.00048 , 0.002465 , 0.000875 , 0 , 0.001182 , 0 , 0.001097 
 337 , 0.947238 , 0.944542 , 0.956585 , 0.949799 , 0.929905 , 0.003798 , 0.005232 , 0.002244 , 0.009233 , 0.001993 , 0.002039 , 0.002199 , 0.002753 , 0 , 0.001014 , 0.000649 , 0.000952 , 0.004361 , 0 , 0 , 0.006945 , 0.001535 , 0.00666 , 0.008696 , 0.000253 , 0.002535 , 0.002451 , 0.005881 , 0.004228 , 0.002994 , 0 , 0 , 0.00139 , 0 , 0 , 0.004749 , 0.003942 , 0.010412 , 0.003862 , 0.006095 , 0.004659 , 0.002474 , 0 , 0 , 0.002984 , 0.000329 , 0.0034 , 0 , 0.000841 , 0 , 0.004347 , 0.003396 , 0.004026 , 0.002088 , 0.001377 , 0 , 0 , 0 , 0.000821 , 0.00387 , 0.001484 , 0 , 0.002018 , 0 , 0.001866 
 338 , 0.940668 , 0.938064 , 0.952377 , 0.94593 , 0.926579 , 0.004956 , 0.005738 , 0.003072 , 0.009805 , 0.00269 , 0.002753 , 0.002954 , 0.003703 , 0 , 0.001381 , 0.000874 , 0.001295 , 0.005153 , 0 , 0 , 0.008223 , 0.002074 , 0.007602 , 0.009545 , 0.000343 , 0.003384 , 0.003327 , 0.006862 , 0.005115 , 0.003631 , 0 , 0 , 0.001885 , 0 , 0 , 0.005841 , 0.005164 , 0.011328 , 0.004473 , 0.007188 , 0.005688 , 0.003382 , 0 , 0 , 0.003858 , 0.000442 , 0.004612 , 0 , 0.001136 , 0 , 0.005417 , 0.004567 , 0.005016 , 0.002814 , 0.001858 , 0 , 0 , 0 , 0.00112 , 0.005083 , 0.002006 , 0 , 0.002749 , 0 , 0.002532 
 339 , 0.944269 , 0.941558 , 0.954078 , 0.947801 , 0.936553 , 0.005469 , 0.006098 , 0.003533 , 0.010396 , 0.003295 , 0.003473 , 0.003505 , 0.004471 , 0.00028 , 0.001678 , 0.001378 , 0.001896 , 0.006078 , 0.000091 , 0.000166 , 0.00883 , 0.002716 , 0.007787 , 0.010224 , 0.000752 , 0.00384 , 0.00439 , 0.007776 , 0.005635 , 0.004416 , 0 , 0.000285 , 0.002406 , 0.000464 , 0.000374 , 0.006441 , 0.005601 , 0.012135 , 0.005367 , 0.007959 , 0.006359 , 0.004249 , 0 , 0 , 0.004686 , 0.001173 , 0.005678 , 0 , 0.002182 , 0.000408 , 0.006001 , 0.005784 , 0.006058 , 0.003899 , 0.002984 , 0 , 0 , 0.000383 , 0.00146 , 0.00606 , 0.002695 , 0.000906 , 0.003172 , 0.000387 , 0.003276 
 340 , 0.949312 , 0.946471 , 0.956621 , 0.950483 , 0.948428 , 0.005825 , 0.006401 , 0.003886 , 0.010929 , 0.003816 , 0.004123 , 0.003961 , 0.005142 , 0.000577 , 0.001927 , 0.001874 , 0.002476 , 0.006927 , 0.000188 , 0.00034 , 0.009264 , 0.003311 , 0.007831 , 0.010807 , 0.001176 , 0.004183 , 0.005355 , 0.008588 , 0.006045 , 0.005155 , 0 , 0.000585 , 0.002883 , 0.000958 , 0.000765 , 0.006903 , 0.005858 , 0.01284 , 0.006213 , 0.00859 , 0.00691 , 0.005022 , 0 , 0 , 0.005416 , 0.001926 , 0.006621 , 0 , 0.003227 , 0.000822 , 0.00644 , 0.006871 , 0.00699 , 0.004925 , 0.004087 , 0 , 0 , 0.000796 , 0.001773 , 0.006906 , 0.003333 , 0.001863 , 0.003493 , 0.000794 , 0.003953 
 341 , 0.954163 , 0.951207 , 0.959062 , 0.95306 , 0.960049 , 0.006142 , 0.006671 , 0.004198 , 0.0114 , 0.00427 , 0.004696 , 0.004355 , 0.005745 , 0.000838 , 0.002141 , 0.002306 , 0.002986 , 0.007673 , 0.000273 , 0.000492 , 0.009648 , 0.003836 , 0.007877 , 0.011325 , 0.001553 , 0.004486 , 0.006185 , 0.009306 , 0.006412 , 0.005817 , 0 , 0.000847 , 0.003307 , 0.001395 , 0.001103 , 0.007316 , 0.006079 , 0.013458 , 0.006954 , 0.00914 , 0.007403 , 0.005707 , 0 , 0 , 0.006054 , 0.002583 , 0.007463 , 0 , 0.004131 , 0.00117 , 0.00682 , 0.007817 , 0.007801 , 0.005822 , 0.005044 , 0 , 0 , 0.001164 , 0.002048 , 0.007659 , 0.003889 , 0.002699 , 0.003771 , 0.001149 , 0.004546 
 342 , 0.95603 , 0.954089 , 0.958542 , 0.952794 , 0.964457 , 0.006803 , 0.007176 , 0.004863 , 0.011951 , 0.004937 , 0.005248 , 0.004951 , 0.006329 , 0.001393 , 0.002697 , 0.003036 , 0.003459 , 0.008521 , 0.000633 , 0.001059 , 0.010269 , 0.004589 , 0.008443 , 0.01196 , 0.002244 , 0.00509 , 0.0071 , 0.010076 , 0.007027 , 0.006632 , 0.000205 , 0.001404 , 0.003815 , 0.001897 , 0.001723 , 0.007869 , 0.006786 , 0.014066 , 0.00764 , 0.009841 , 0.00804 , 0.006446 , 0.000369 , 0.000248 , 0.006782 , 0.003378 , 0.008368 , 0.000192 , 0.005135 , 0.002292 , 0.007691 , 0.008893 , 0.008757 , 0.006813 , 0.006218 , 0.000183 , 0.000094 , 0.001778 , 0.002717 , 0.008366 , 0.004537 , 0.003303 , 0.004405 , 0.001832 , 0.005164 
 343 , 0.954745 , 0.955001 , 0.95494 , 0.949565 , 0.961116 , 0.007804 , 0.007919 , 0.005891 , 0.012583 , 0.005831 , 0.005777 , 0.005759 , 0.006894 , 0.002251 , 0.003594 , 0.004065 , 0.003893 , 0.009464 , 0.001282 , 0.002041 , 0.011126 , 0.005581 , 0.009532 , 0.012711 , 0.003249 , 0.006003 , 0.008121 , 0.010896 , 0.00789 , 0.007604 , 0.000617 , 0.002262 , 0.004403 , 0.002464 , 0.002645 , 0.008557 , 0.007987 , 0.014669 , 0.008272 , 0.010702 , 0.008823 , 0.007244 , 0.001118 , 0.000746 , 0.007605 , 0.004324 , 0.009328 , 0.000571 , 0.006245 , 0.00414 , 0.009058 , 0.01011 , 0.009868 , 0.007894 , 0.007601 , 0.000535 , 0.000285 , 0.002634 , 0.003788 , 0.00902 , 0.005286 , 0.003678 , 0.0054 , 0.002846 , 0.005815 
