  time  ,57:12 PM,57:28 PM,57:39 PM,57:50 PM,58:05 PM,58:35 PM,58:47 PM,58:58 PM,59:09 PM,59:19 PM,59:47 PM,59:57 PM,00:07 PM,00:25 PM,00:38 PM,01:05 PM,01:15 PM,01:26 PM,01:35 PM,01:44 PM,02:11 PM,02:21 PM,02:30 PM,02:41 PM,03:09 PM,03:28 PM,03:43 PM,03:58 PM,04:14 PM,04:26 PM,04:37 PM,04:56 PM,05:07 PM,05:23 PM,05:47 PM,06:30 PM,06:41 PM,06:53 PM,07:03 PM,07:11 PM,07:56 PM,08:12 PM,08:25 PM,08:38 PM,08:48 PM,09:04 PM,09:17 PM,09:30 PM,09:47 PM,09:59 PM,10:22 PM,10:38 PM,10:52 PM,11:04 PM,11:49 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.018892 , 0.016481 , 0.016236 , 0.019979 , 0.017351 , 0.04034 , 0.039127 , 0.027606 , 0.028373 , 0.049169 , 0.038735 , 0.031274 , 0.029499 , 0.02923 , 0.025732 , 0.027171 , 0.022839 , 0.028604 , 0.030279 , 0.031653 , 0.023092 , 0.017829 , 0.01781 , 0.018265 , 0.044027 , 0.026082 , 0.027291 , 0.025844 , 0.046449 , 0.031485 , 0.0261 , 0.022147 , 0.033976 , 0.020202 , 0.019711 , 0.032896 , 0.047082 , 0.041532 , 0.025539 , 0.02073 , 0.032617 , 0.043494 , 0.034391 , 0.039055 , 0.03072 , 0.03474 , 0.035866 , 0.032187 , 0.0488 , 0.035013 , 0.031181 , 0.045327 , 0.033677 , 0.035412 , 0.039385 
 327 , 0.017866 , 0.014987 , 0.015188 , 0.019019 , 0.015776 , 0.039162 , 0.037602 , 0.025914 , 0.027316 , 0.047467 , 0.037767 , 0.030095 , 0.028149 , 0.029035 , 0.02327 , 0.025774 , 0.021068 , 0.028072 , 0.028566 , 0.030284 , 0.022171 , 0.016745 , 0.015409 , 0.016567 , 0.04276 , 0.023593 , 0.026599 , 0.02493 , 0.046738 , 0.028786 , 0.023423 , 0.021842 , 0.033094 , 0.019043 , 0.018781 , 0.03126 , 0.048556 , 0.040325 , 0.023262 , 0.017673 , 0.030439 , 0.040427 , 0.032664 , 0.037409 , 0.029054 , 0.032695 , 0.032815 , 0.028782 , 0.047906 , 0.032527 , 0.028885 , 0.041513 , 0.031283 , 0.033705 , 0.038992 
 328 , 0.017015 , 0.013745 , 0.014315 , 0.018231 , 0.014469 , 0.038172 , 0.036325 , 0.024511 , 0.026443 , 0.046062 , 0.036991 , 0.029107 , 0.02703 , 0.028893 , 0.021217 , 0.024614 , 0.019595 , 0.027653 , 0.027138 , 0.029156 , 0.021413 , 0.015843 , 0.013405 , 0.015157 , 0.041725 , 0.021518 , 0.026027 , 0.024165 , 0.046981 , 0.026539 , 0.021197 , 0.021594 , 0.032387 , 0.01808 , 0.018013 , 0.029908 , 0.049883 , 0.039383 , 0.021367 , 0.015128 , 0.028637 , 0.037876 , 0.03123 , 0.036022 , 0.027692 , 0.031007 , 0.030282 , 0.025926 , 0.047203 , 0.030473 , 0.026976 , 0.038336 , 0.029293 , 0.032301 , 0.038768 
 329 , 0.016921 , 0.014141 , 0.015463 , 0.018773 , 0.014996 , 0.039114 , 0.036943 , 0.025111 , 0.026459 , 0.046636 , 0.037213 , 0.029742 , 0.027276 , 0.028367 , 0.022047 , 0.024901 , 0.020249 , 0.027525 , 0.027906 , 0.02956 , 0.021228 , 0.016799 , 0.014722 , 0.015708 , 0.042722 , 0.023259 , 0.027055 , 0.02619 , 0.047359 , 0.026757 , 0.021656 , 0.021534 , 0.033477 , 0.017733 , 0.018622 , 0.031739 , 0.050905 , 0.040312 , 0.023307 , 0.017019 , 0.029018 , 0.037587 , 0.031374 , 0.036006 , 0.02715 , 0.031198 , 0.031437 , 0.026025 , 0.046898 , 0.031113 , 0.027398 , 0.037443 , 0.030209 , 0.031806 , 0.037173 
 330 , 0.016865 , 0.014535 , 0.016489 , 0.019274 , 0.015509 , 0.039969 , 0.037512 , 0.025692 , 0.026498 , 0.047182 , 0.037434 , 0.030341 , 0.027523 , 0.027909 , 0.022831 , 0.025183 , 0.020864 , 0.027421 , 0.028612 , 0.029943 , 0.021087 , 0.017664 , 0.015934 , 0.016235 , 0.043659 , 0.024853 , 0.028006 , 0.028021 , 0.047692 , 0.02701 , 0.022117 , 0.021475 , 0.034488 , 0.017454 , 0.019157 , 0.033347 , 0.051742 , 0.041207 , 0.025042 , 0.018759 , 0.0294 , 0.037394 , 0.031526 , 0.036033 , 0.026722 , 0.031435 , 0.032533 , 0.026212 , 0.046659 , 0.031764 , 0.027836 , 0.036748 , 0.03109 , 0.031394 , 0.03579 
 331 , 0.016814 , 0.014876 , 0.017351 , 0.019692 , 0.015952 , 0.040693 , 0.037977 , 0.02619 , 0.026524 , 0.047636 , 0.037608 , 0.030864 , 0.027722 , 0.027519 , 0.023479 , 0.025411 , 0.021367 , 0.027318 , 0.029197 , 0.03025 , 0.02096 , 0.018398 , 0.016953 , 0.016677 , 0.044479 , 0.026199 , 0.028845 , 0.029604 , 0.047985 , 0.027209 , 0.022493 , 0.021401 , 0.035373 , 0.017212 , 0.019578 , 0.034657 , 0.052409 , 0.041997 , 0.026483 , 0.02023 , 0.029689 , 0.037198 , 0.031625 , 0.036068 , 0.026339 , 0.031645 , 0.033466 , 0.026362 , 0.046453 , 0.032306 , 0.02822 , 0.036125 , 0.031854 , 0.030992 , 0.034592 
 332 , 0.017008 , 0.014653 , 0.01727 , 0.019921 , 0.015897 , 0.041028 , 0.038293 , 0.026523 , 0.02677 , 0.047646 , 0.037827 , 0.030981 , 0.027845 , 0.027565 , 0.023637 , 0.025358 , 0.0217 , 0.027234 , 0.029463 , 0.030168 , 0.020825 , 0.017965 , 0.017297 , 0.016909 , 0.044787 , 0.026728 , 0.029524 , 0.029871 , 0.047571 , 0.028034 , 0.023117 , 0.021543 , 0.035611 , 0.017191 , 0.020038 , 0.0343 , 0.052302 , 0.042663 , 0.027073 , 0.021341 , 0.029133 , 0.037195 , 0.031481 , 0.0359 , 0.026143 , 0.031888 , 0.033224 , 0.026952 , 0.046114 , 0.032253 , 0.028265 , 0.035424 , 0.031565 , 0.030894 , 0.034347 
 333 , 0.017338 , 0.014116 , 0.016643 , 0.02003 , 0.015553 , 0.041124 , 0.038516 , 0.02674 , 0.027141 , 0.047399 , 0.038062 , 0.030855 , 0.027913 , 0.027862 , 0.023503 , 0.025143 , 0.021922 , 0.027163 , 0.029531 , 0.029862 , 0.020691 , 0.016863 , 0.017235 , 0.017006 , 0.044784 , 0.026763 , 0.030071 , 0.029355 , 0.046764 , 0.029184 , 0.023867 , 0.021805 , 0.035458 , 0.017299 , 0.020505 , 0.032995 , 0.051745 , 0.04322 , 0.027148 , 0.022198 , 0.028101 , 0.037306 , 0.031197 , 0.035626 , 0.026066 , 0.032144 , 0.032305 , 0.02776 , 0.045713 , 0.031856 , 0.02811 , 0.034696 , 0.030673 , 0.03097 , 0.034662 
 334 , 0.017633 , 0.013643 , 0.016097 , 0.020125 , 0.015252 , 0.04123 , 0.038743 , 0.026912 , 0.02749 , 0.047202 , 0.038261 , 0.030733 , 0.027962 , 0.028106 , 0.023401 , 0.024957 , 0.022116 , 0.027111 , 0.029592 , 0.029596 , 0.02058 , 0.0159 , 0.017186 , 0.017092 , 0.044793 , 0.026808 , 0.03053 , 0.028916 , 0.046065 , 0.03018 , 0.024539 , 0.022045 , 0.035314 , 0.017394 , 0.020923 , 0.031852 , 0.05129 , 0.043695 , 0.027234 , 0.022955 , 0.027205 , 0.037428 , 0.030974 , 0.035405 , 0.026019 , 0.032388 , 0.031511 , 0.028443 , 0.045368 , 0.031503 , 0.027976 , 0.034069 , 0.029899 , 0.031073 , 0.034944 
 335 , 0.017698 , 0.013358 , 0.015674 , 0.020135 , 0.014935 , 0.041298 , 0.038817 , 0.026912 , 0.027609 , 0.047 , 0.038234 , 0.03058 , 0.027976 , 0.028056 , 0.023256 , 0.024755 , 0.022068 , 0.026965 , 0.029475 , 0.029322 , 0.02033 , 0.015297 , 0.017064 , 0.016954 , 0.044686 , 0.026681 , 0.030665 , 0.028593 , 0.045657 , 0.030694 , 0.024905 , 0.021971 , 0.034996 , 0.017199 , 0.02097 , 0.031024 , 0.051076 , 0.043997 , 0.027054 , 0.023239 , 0.026429 , 0.037381 , 0.030742 , 0.035105 , 0.025601 , 0.032415 , 0.030759 , 0.028496 , 0.044712 , 0.031057 , 0.027431 , 0.033247 , 0.029012 , 0.030638 , 0.034729 
