  time  ,:33:12 A,:33:29 A,:33:38 A,:33:56 A,:34:17 A,:35:10 A,:35:20 A,:35:37 A,:35:51 A,:36:04 A,:37:05 A,:37:20 A,:37:33 A,:37:49 A,:37:58 A,:39:15 A,:39:25 A,:39:37 A,:39:51 A,:40:27 A,:40:48 A,:41:24 A,:41:50 A,:42:47 A,:43:17 A,:44:26 A,:44:54 A,:45:12 A,:45:58 A,:47:10 A,:48:34 A,:48:45 A,:49:04 A,:49:17 A,:49:30 A,:50:30 A,:50:45 A,:51:00 A,:51:19 A,:51:33 A,:52:14 A,:52:33 A,:52:49 A,:53:07 A,:53:21 A,:54:00 A,:54:24 A,:54:45 A,:55:03 A,:55:16 A,:56:08 A,:56:20 A,:56:36 A,:56:54 A,:57:17 A,:59:23 A,:59:43 A,:00:08 P,:00:25 P,:00:37 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.010739 , 0.0109 , 0.007679 , 0.010763 , 0.018091 , 0.003718 , 0.008778 , 0.006804 , 0.010616 , 0.007907 , 0.011438 , 0.01123 , 0.011864 , 0.007454 , 0.009209 , 0.010741 , 0.030624 , 0.015487 , 0.021598 , 0.020654 , 0.006947 , 0.013742 , 0.007377 , 0.008789 , 0.007487 , 0.012228 , 0.011548 , 0.012954 , 0.014088 , 0.029503 , 0.023561 , 0.016106 , 0.007045 , 0.012316 , 0.01878 , 0.005201 , 0.013597 , 0.014746 , 0.014576 , 0.010633 , 0.014017 , 0.02546 , 0.025135 , 0.020259 , 0.016644 , 0.013906 , 0.014685 , 0.014084 , 0.018923 , 0.016533 , 0.023245 , 0.016091 , 0.01171 , 0.013512 , 0.010812 , 0.019613 , 0.014567 , 0.013991 , 0.013547 , 0.018427 
 327 , 0.012228 , 0.009165 , 0.007209 , 0.00973 , 0.016474 , 0.003701 , 0.00808 , 0.006193 , 0.008663 , 0.006279 , 0.011265 , 0.01003 , 0.010893 , 0.007021 , 0.00806 , 0.009803 , 0.030177 , 0.014414 , 0.020462 , 0.019987 , 0.006074 , 0.012802 , 0.007441 , 0.007743 , 0.007551 , 0.01113 , 0.010048 , 0.012034 , 0.012932 , 0.02854 , 0.022054 , 0.013614 , 0.005487 , 0.010477 , 0.018227 , 0.004548 , 0.012368 , 0.01388 , 0.013256 , 0.00993 , 0.012665 , 0.023248 , 0.023537 , 0.018785 , 0.0152 , 0.013154 , 0.013741 , 0.014223 , 0.017278 , 0.015162 , 0.020995 , 0.014213 , 0.00934 , 0.011879 , 0.010278 , 0.017624 , 0.012877 , 0.012645 , 0.01168 , 0.016827 
 328 , 0.013501 , 0.007738 , 0.006821 , 0.008877 , 0.015135 , 0.003697 , 0.007503 , 0.005687 , 0.007028 , 0.004944 , 0.011117 , 0.009033 , 0.01009 , 0.006662 , 0.007117 , 0.009025 , 0.029811 , 0.013528 , 0.019528 , 0.019436 , 0.005351 , 0.012024 , 0.007494 , 0.006877 , 0.007605 , 0.010221 , 0.0088 , 0.011273 , 0.011974 , 0.027744 , 0.020793 , 0.01156 , 0.004172 , 0.008946 , 0.017811 , 0.004001 , 0.011353 , 0.01316 , 0.012162 , 0.009348 , 0.01154 , 0.021419 , 0.022209 , 0.017565 , 0.014002 , 0.012543 , 0.012967 , 0.014335 , 0.015915 , 0.014025 , 0.019127 , 0.012657 , 0.007344 , 0.010526 , 0.009838 , 0.015977 , 0.011474 , 0.011534 , 0.010133 , 0.015502 
 329 , 0.013465 , 0.009015 , 0.008775 , 0.010326 , 0.015823 , 0.004278 , 0.008077 , 0.007033 , 0.008901 , 0.006239 , 0.011938 , 0.009705 , 0.011814 , 0.007494 , 0.008739 , 0.010414 , 0.031236 , 0.015318 , 0.021817 , 0.020983 , 0.006866 , 0.013314 , 0.008643 , 0.008428 , 0.008005 , 0.011389 , 0.010699 , 0.01259 , 0.013709 , 0.029093 , 0.022765 , 0.01346 , 0.005824 , 0.009489 , 0.019321 , 0.004902 , 0.013266 , 0.014025 , 0.013218 , 0.009854 , 0.013379 , 0.023832 , 0.022874 , 0.018484 , 0.015286 , 0.013289 , 0.013342 , 0.014329 , 0.01688 , 0.015479 , 0.020701 , 0.013133 , 0.008165 , 0.010651 , 0.009552 , 0.016922 , 0.012285 , 0.012035 , 0.011045 , 0.016182 
 330 , 0.013392 , 0.010172 , 0.010542 , 0.011654 , 0.016459 , 0.004774 , 0.008593 , 0.008235 , 0.010622 , 0.007413 , 0.012648 , 0.01031 , 0.013357 , 0.008205 , 0.010206 , 0.011669 , 0.032511 , 0.01693 , 0.023872 , 0.022368 , 0.008227 , 0.014468 , 0.009656 , 0.009812 , 0.008361 , 0.012447 , 0.012412 , 0.013803 , 0.015236 , 0.030305 , 0.024636 , 0.015257 , 0.007308 , 0.009995 , 0.020691 , 0.005723 , 0.015038 , 0.014812 , 0.014179 , 0.010313 , 0.015001 , 0.026064 , 0.023468 , 0.019305 , 0.016438 , 0.01395 , 0.013707 , 0.014322 , 0.017774 , 0.016785 , 0.022122 , 0.013604 , 0.008951 , 0.010805 , 0.009313 , 0.017821 , 0.013056 , 0.01253 , 0.011908 , 0.016834 
 331 , 0.013322 , 0.011146 , 0.01208 , 0.01281 , 0.016986 , 0.005181 , 0.009026 , 0.009257 , 0.012103 , 0.008405 , 0.013234 , 0.010806 , 0.014668 , 0.008779 , 0.011467 , 0.012742 , 0.033601 , 0.01831 , 0.025631 , 0.023552 , 0.009392 , 0.015443 , 0.010524 , 0.010984 , 0.008669 , 0.013348 , 0.013872 , 0.014867 , 0.016506 , 0.031335 , 0.026349 , 0.016846 , 0.00856 , 0.010402 , 0.02187 , 0.00643 , 0.0166 , 0.01549 , 0.014995 , 0.010699 , 0.016345 , 0.028009 , 0.023942 , 0.019969 , 0.0174 , 0.014486 , 0.014023 , 0.014324 , 0.018534 , 0.017882 , 0.023302 , 0.014005 , 0.009617 , 0.010935 , 0.009106 , 0.018598 , 0.013721 , 0.012973 , 0.012652 , 0.017397 
 332 , 0.01435 , 0.012421 , 0.013347 , 0.014351 , 0.018196 , 0.006625 , 0.010261 , 0.01054 , 0.013775 , 0.010057 , 0.014464 , 0.012318 , 0.016306 , 0.010212 , 0.012995 , 0.014402 , 0.0349 , 0.019782 , 0.027469 , 0.025096 , 0.010702 , 0.016946 , 0.011658 , 0.012141 , 0.010024 , 0.01475 , 0.015473 , 0.016355 , 0.018099 , 0.032834 , 0.027822 , 0.018501 , 0.01001 , 0.011577 , 0.022807 , 0.007933 , 0.018193 , 0.01671 , 0.016145 , 0.012011 , 0.017895 , 0.029436 , 0.0251 , 0.02126 , 0.018693 , 0.016083 , 0.015011 , 0.015061 , 0.019225 , 0.018845 , 0.023882 , 0.014856 , 0.010634 , 0.012017 , 0.010069 , 0.01939 , 0.014814 , 0.014048 , 0.013533 , 0.018464 
 333 , 0.015979 , 0.013797 , 0.014394 , 0.016019 , 0.019745 , 0.008628 , 0.011889 , 0.011916 , 0.015478 , 0.012041 , 0.016034 , 0.014314 , 0.018035 , 0.012103 , 0.014595 , 0.016306 , 0.036246 , 0.021233 , 0.029261 , 0.02677 , 0.012022 , 0.018704 , 0.012884 , 0.013233 , 0.011915 , 0.016349 , 0.017106 , 0.018019 , 0.019815 , 0.034503 , 0.029065 , 0.020087 , 0.011504 , 0.013157 , 0.023543 , 0.00984 , 0.019686 , 0.018185 , 0.017436 , 0.013785 , 0.019547 , 0.030472 , 0.026624 , 0.022878 , 0.020142 , 0.018268 , 0.016328 , 0.016216 , 0.019844 , 0.019704 , 0.024086 , 0.015944 , 0.011826 , 0.013614 , 0.011652 , 0.02015 , 0.016104 , 0.015457 , 0.014429 , 0.019776 
 334 , 0.017411 , 0.014971 , 0.015302 , 0.01744 , 0.02109 , 0.010398 , 0.013283 , 0.01311 , 0.016958 , 0.013799 , 0.017427 , 0.015997 , 0.019505 , 0.013776 , 0.015969 , 0.017936 , 0.037388 , 0.022486 , 0.030806 , 0.028216 , 0.01315 , 0.020257 , 0.013932 , 0.014177 , 0.013548 , 0.017696 , 0.018561 , 0.01947 , 0.021311 , 0.035896 , 0.030131 , 0.021433 , 0.012791 , 0.01455 , 0.024143 , 0.011514 , 0.020929 , 0.019464 , 0.018559 , 0.015307 , 0.021057 , 0.031333 , 0.027988 , 0.024323 , 0.021436 , 0.020232 , 0.01745 , 0.017255 , 0.020382 , 0.020483 , 0.02425 , 0.016914 , 0.012886 , 0.015019 , 0.01301 , 0.020802 , 0.017227 , 0.01671 , 0.015174 , 0.020917 
 335 , 0.018321 , 0.015578 , 0.015738 , 0.018131 , 0.021845 , 0.011323 , 0.013973 , 0.01372 , 0.017634 , 0.01471 , 0.01822 , 0.016931 , 0.02012 , 0.014712 , 0.016665 , 0.018695 , 0.037991 , 0.023012 , 0.031532 , 0.028933 , 0.01367 , 0.021056 , 0.014472 , 0.014558 , 0.014377 , 0.018389 , 0.019273 , 0.020261 , 0.022061 , 0.036502 , 0.030635 , 0.022053 , 0.013371 , 0.015387 , 0.024347 , 0.012379 , 0.021414 , 0.020016 , 0.019083 , 0.016074 , 0.021959 , 0.031644 , 0.028759 , 0.025068 , 0.022051 , 0.021301 , 0.017832 , 0.017719 , 0.020385 , 0.02067 , 0.024133 , 0.017176 , 0.013229 , 0.015737 , 0.013606 , 0.020985 , 0.017678 , 0.017248 , 0.015395 , 0.021436 
