  time  ,:41:31 A,:41:39 A,:41:48 A,:41:57 A,:42:05 A,:42:49 A,:42:58 A,:43:09 A,:43:25 A,:43:42 A,:44:21 A,:44:31 A,:44:41 A,:44:50 A,:45:02 A,:45:38 A,:45:47 A,:45:57 A,:46:08 A,:46:19 A,:47:35 A,:47:52 A,:48:08 A,:48:16 A,:48:29 A,:49:07 A,:49:16 A,:49:25 A,:49:37 A,:49:47 A,:50:42 A,:50:53 A,:51:04 A,:51:15 A,:51:26 A,:52:00 A,:52:09 A,:52:18 A,:52:27 A,:52:38 A,:54:18 A,:54:29 A,:54:40 A,:54:51 A,:55:04 A,:55:56 A,:56:09 A,:56:24 A,:56:34 A,:56:50 A,:57:42 A,:57:55 A,:58:08 A,:58:18 A,:58:30 A,:59:24 A,:59:39 A,:59:58 A,:00:08 A,:00:18 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.030923 , 0.021452 , 0.018797 , 0.015896 , 0.00866 , 0.032199 , 0.049264 , 0.044194 , 0.032468 , 0.032953 , 0.039112 , 0.034575 , 0.037676 , 0.038374 , 0.033414 , 0.032163 , 0.012992 , 0.014099 , 0.027734 , 0.028352 , 0.008509 , 0.026983 , 0.024356 , 0.010009 , 0.015819 , 0.022485 , 0.022949 , 0.020625 , 0.034752 , 0.047913 , 0.014081 , 0.019133 , 0.03069 , 0.012856 , 0.0058 , 0.022811 , 0.018792 , 0.019248 , 0.012356 , 0.015201 , 0.01293 , 0.017372 , 0.009252 , 0.011928 , 0.016965 , 0.018213 , 0.023593 , 0.016565 , 0.019123 , 0.013481 , 0.024631 , 0.049679 , 0.040398 , 0.028127 , 0.059754 , 0.033588 , 0.026927 , 0.028283 , 0.03011 , 0.035021 
 317 , 0.030321 , 0.021891 , 0.020141 , 0.017768 , 0.013079 , 0.032211 , 0.044873 , 0.044161 , 0.033825 , 0.033823 , 0.037106 , 0.036306 , 0.03793 , 0.0395 , 0.034034 , 0.034008 , 0.013499 , 0.017017 , 0.02899 , 0.031232 , 0.012706 , 0.028436 , 0.024556 , 0.015004 , 0.017481 , 0.023754 , 0.024145 , 0.022798 , 0.037547 , 0.047347 , 0.017128 , 0.020732 , 0.032037 , 0.015132 , 0.008761 , 0.023909 , 0.024187 , 0.020936 , 0.014547 , 0.018636 , 0.013281 , 0.019992 , 0.011941 , 0.01605 , 0.019236 , 0.023178 , 0.027028 , 0.014816 , 0.019148 , 0.018318 , 0.027211 , 0.046654 , 0.037143 , 0.026945 , 0.057497 , 0.032561 , 0.028818 , 0.028765 , 0.031318 , 0.034706 
 318 , 0.029724 , 0.022219 , 0.021013 , 0.019299 , 0.016541 , 0.032196 , 0.041666 , 0.043865 , 0.034807 , 0.034611 , 0.035515 , 0.037519 , 0.038035 , 0.040166 , 0.034296 , 0.035333 , 0.014162 , 0.019289 , 0.029672 , 0.033221 , 0.015734 , 0.029585 , 0.024712 , 0.018733 , 0.018676 , 0.024733 , 0.025005 , 0.024243 , 0.039359 , 0.046869 , 0.019447 , 0.021877 , 0.033174 , 0.016847 , 0.011074 , 0.024857 , 0.027906 , 0.022164 , 0.016509 , 0.021148 , 0.013661 , 0.021889 , 0.013767 , 0.018995 , 0.020899 , 0.026756 , 0.029507 , 0.013811 , 0.019236 , 0.02179 , 0.028932 , 0.044184 , 0.034727 , 0.026045 , 0.055826 , 0.031738 , 0.030092 , 0.029061 , 0.032021 , 0.034471 
 319 , 0.028464 , 0.022329 , 0.020147 , 0.020609 , 0.018033 , 0.03215 , 0.042096 , 0.041573 , 0.034087 , 0.035778 , 0.034675 , 0.036746 , 0.037664 , 0.038945 , 0.032914 , 0.035288 , 0.016651 , 0.020519 , 0.028096 , 0.031247 , 0.015452 , 0.030415 , 0.024764 , 0.019327 , 0.01872 , 0.025113 , 0.024866 , 0.022968 , 0.03737 , 0.046727 , 0.019902 , 0.021452 , 0.034417 , 0.017134 , 0.011991 , 0.026229 , 0.025329 , 0.021731 , 0.019516 , 0.021507 , 0.014837 , 0.021547 , 0.012125 , 0.017619 , 0.021332 , 0.02651 , 0.029646 , 0.016306 , 0.019733 , 0.020655 , 0.027409 , 0.042337 , 0.034724 , 0.025808 , 0.055694 , 0.031351 , 0.028703 , 0.028518 , 0.030472 , 0.034568 
 320 , 0.0275 , 0.0224 , 0.019496 , 0.021658 , 0.019184 , 0.032185 , 0.042405 , 0.039793 , 0.033524 , 0.036825 , 0.034021 , 0.036183 , 0.037378 , 0.03801 , 0.031833 , 0.035257 , 0.018606 , 0.021484 , 0.026852 , 0.029688 , 0.015261 , 0.031122 , 0.024842 , 0.01981 , 0.018796 , 0.025372 , 0.024755 , 0.021986 , 0.035793 , 0.046584 , 0.020243 , 0.021132 , 0.035455 , 0.017385 , 0.01274 , 0.027331 , 0.023308 , 0.021404 , 0.021906 , 0.021824 , 0.015793 , 0.021305 , 0.01084 , 0.016547 , 0.021727 , 0.026352 , 0.0298 , 0.018292 , 0.02014 , 0.019763 , 0.026207 , 0.04089 , 0.03475 , 0.025676 , 0.055671 , 0.031049 , 0.027626 , 0.028128 , 0.029284 , 0.034671 
 321 , 0.026746 , 0.022442 , 0.018998 , 0.022523 , 0.020093 , 0.032273 , 0.042625 , 0.038372 , 0.033073 , 0.037789 , 0.033493 , 0.03577 , 0.037149 , 0.037275 , 0.030965 , 0.035233 , 0.020181 , 0.022263 , 0.025842 , 0.028422 , 0.015131 , 0.031741 , 0.024937 , 0.020218 , 0.018894 , 0.025549 , 0.024667 , 0.021212 , 0.034509 , 0.046442 , 0.020503 , 0.020886 , 0.036349 , 0.017613 , 0.013366 , 0.028244 , 0.021681 , 0.021152 , 0.023859 , 0.022111 , 0.016597 , 0.021134 , 0.009805 , 0.015691 , 0.022094 , 0.026256 , 0.029965 , 0.019916 , 0.020484 , 0.019046 , 0.025232 , 0.039723 , 0.034795 , 0.025617 , 0.055725 , 0.03081 , 0.02677 , 0.027846 , 0.028352 , 0.03478 
 322 , 0.026493 , 0.023261 , 0.020228 , 0.02238 , 0.020874 , 0.032389 , 0.04109 , 0.036925 , 0.034294 , 0.037448 , 0.032667 , 0.035625 , 0.037178 , 0.035972 , 0.030335 , 0.035296 , 0.019877 , 0.023391 , 0.02715 , 0.027586 , 0.014731 , 0.031081 , 0.024639 , 0.020157 , 0.02034 , 0.026838 , 0.024702 , 0.021157 , 0.034031 , 0.045551 , 0.020822 , 0.021818 , 0.036381 , 0.019656 , 0.015559 , 0.028293 , 0.021856 , 0.022464 , 0.024471 , 0.0237 , 0.017403 , 0.02258 , 0.012212 , 0.01785 , 0.0222 , 0.026244 , 0.030017 , 0.021233 , 0.021492 , 0.01992 , 0.025854 , 0.04007 , 0.03523 , 0.025265 , 0.055206 , 0.030769 , 0.026345 , 0.027462 , 0.028595 , 0.035325 
 323 , 0.026412 , 0.02417 , 0.021714 , 0.021986 , 0.021493 , 0.032488 , 0.039326 , 0.035712 , 0.035844 , 0.036794 , 0.031895 , 0.035554 , 0.037292 , 0.034757 , 0.029888 , 0.035356 , 0.019125 , 0.024479 , 0.028917 , 0.026999 , 0.014327 , 0.030197 , 0.024269 , 0.01998 , 0.021901 , 0.028356 , 0.024743 , 0.021313 , 0.033872 , 0.04464 , 0.021117 , 0.022932 , 0.036177 , 0.021808 , 0.017792 , 0.028101 , 0.022502 , 0.024005 , 0.024604 , 0.025405 , 0.01809 , 0.02417 , 0.015382 , 0.020401 , 0.022222 , 0.026261 , 0.030035 , 0.022248 , 0.022515 , 0.021085 , 0.026845 , 0.040795 , 0.035689 , 0.0249 , 0.05461 , 0.030818 , 0.026083 , 0.027101 , 0.029113 , 0.035906 
 324 , 0.026332 , 0.024908 , 0.022866 , 0.021675 , 0.021982 , 0.032545 , 0.037936 , 0.034755 , 0.037161 , 0.03624 , 0.031289 , 0.035458 , 0.037407 , 0.033845 , 0.029554 , 0.035384 , 0.018555 , 0.025401 , 0.030368 , 0.026538 , 0.014009 , 0.029513 , 0.02395 , 0.019841 , 0.023108 , 0.029747 , 0.024744 , 0.021436 , 0.033786 , 0.043992 , 0.021364 , 0.023832 , 0.036013 , 0.023447 , 0.019524 , 0.027949 , 0.023029 , 0.025241 , 0.024693 , 0.026776 , 0.018646 , 0.025351 , 0.018146 , 0.022332 , 0.022242 , 0.026276 , 0.030049 , 0.023051 , 0.023323 , 0.022004 , 0.027672 , 0.041395 , 0.03603 , 0.024615 , 0.054111 , 0.030899 , 0.025833 , 0.02679 , 0.029502 , 0.036369 
 325 , 0.02661 , 0.025327 , 0.023641 , 0.02214 , 0.022418 , 0.032081 , 0.037012 , 0.033922 , 0.037371 , 0.035926 , 0.03111 , 0.035935 , 0.037926 , 0.033526 , 0.029658 , 0.035368 , 0.018806 , 0.026406 , 0.031604 , 0.02661 , 0.014446 , 0.029319 , 0.024267 , 0.020435 , 0.02373 , 0.030593 , 0.025183 , 0.021845 , 0.033689 , 0.043576 , 0.021908 , 0.02509 , 0.036141 , 0.025056 , 0.020868 , 0.028178 , 0.024074 , 0.026531 , 0.024835 , 0.02802 , 0.019405 , 0.026687 , 0.019827 , 0.023654 , 0.022796 , 0.027131 , 0.029953 , 0.023989 , 0.023946 , 0.023029 , 0.028103 , 0.041377 , 0.035916 , 0.024371 , 0.05364 , 0.03135 , 0.026163 , 0.026848 , 0.02981 , 0.036735 
