  time  ,:28:33 A,:28:19 A,:28:09 A,:27:56 A,:27:47 A,:26:59 A,:26:46 A,:26:32 A,:26:20 A,:26:11 A,:25:25 A,:25:12 A,:25:01 A,:24:50 A,:24:41 A,:23:56 A,:23:46 A,:23:37 A,:23:25 A,:23:10 A,:21:43 A,:21:34 A,:21:25 A,:21:16 A,:21:06 A,:20:35 A,:20:25 A,:20:14 A,:19:52 A,:19:39 A,:18:46 A,:18:34 A,:18:26 A,:18:17 A,:18:07 A,:17:30 A,:17:19 A,:17:11 A,:17:03 A,:16:54 A,:13:54 A,:13:43 A,:13:29 A,:13:19 A,:13:09 A,:12:12 A,:12:01 A,:11:51 A,:11:41 A,:11:32 A,:10:37 A,:10:18 A,:10:07 A,:09:54 A,:09:41 A,:07:24 A,:07:01 A,:06:51 A,:06:41 A,:06:29 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.018971 , 0.008172 , 0.01402 , 0.016084 , 0.013714 , 0.032347 , 0.007092 , 0.015512 , 0.009275 , 0.018356 , 0.021674 , 0.018655 , 0.025086 , 0.029558 , 0.02518 , 0.017226 , 0.017109 , 0.009374 , 0.015023 , 0.010774 , 0.026122 , 0.012037 , 0.009957 , 0.010631 , 0.01173 , 0.023407 , 0.020592 , 0.021997 , 0.011119 , 0.006921 , 0.024239 , 0.00545 , 0.00386 , 0.012131 , 0.001811 , 0.014521 , 0.008752 , 0.018146 , 0.004858 , 0.007587 , 0.011468 , 0.022454 , 0.016033 , 0.010128 , 0.020532 , 0.006869 , 0.008245 , 0.012048 , 0.010091 , 0.008957 , 0.012472 , 0.007483 , 0.009864 , 0.009909 , 0.015577 , 0.010725 , 0.014069 , 0.016798 , 0.009951 , 0.013871 
 327 , 0.018232 , 0.008079 , 0.012902 , 0.014314 , 0.012296 , 0.032556 , 0.007 , 0.013674 , 0.008941 , 0.017743 , 0.021291 , 0.017938 , 0.025056 , 0.029364 , 0.024394 , 0.017714 , 0.018005 , 0.009339 , 0.013634 , 0.010851 , 0.024654 , 0.013933 , 0.010007 , 0.008801 , 0.011271 , 0.022287 , 0.018127 , 0.019737 , 0.011438 , 0.006663 , 0.024769 , 0.005933 , 0.0034 , 0.012258 , 0.001992 , 0.013524 , 0.007821 , 0.017032 , 0.004442 , 0.007171 , 0.011265 , 0.021802 , 0.015748 , 0.009145 , 0.020326 , 0.00626 , 0.007626 , 0.011079 , 0.009267 , 0.008379 , 0.012047 , 0.006765 , 0.009164 , 0.009074 , 0.015238 , 0.010352 , 0.013619 , 0.015667 , 0.009439 , 0.013037 
 328 , 0.017603 , 0.008009 , 0.01197 , 0.012847 , 0.011124 , 0.032725 , 0.00692 , 0.012155 , 0.008656 , 0.017224 , 0.02098 , 0.017319 , 0.024992 , 0.029214 , 0.02374 , 0.018084 , 0.018745 , 0.00929 , 0.012483 , 0.01089 , 0.023401 , 0.015407 , 0.010039 , 0.007311 , 0.010883 , 0.021331 , 0.016099 , 0.017855 , 0.011689 , 0.006449 , 0.025204 , 0.006316 , 0.003023 , 0.012341 , 0.002141 , 0.01269 , 0.007053 , 0.016096 , 0.004095 , 0.006821 , 0.011093 , 0.02123 , 0.015488 , 0.00833 , 0.020104 , 0.005753 , 0.007108 , 0.01027 , 0.008581 , 0.007898 , 0.011685 , 0.006169 , 0.008579 , 0.008379 , 0.014934 , 0.010027 , 0.013233 , 0.014722 , 0.009006 , 0.01234 
 329 , 0.02013 , 0.009376 , 0.014448 , 0.015364 , 0.01255 , 0.034134 , 0.008208 , 0.013962 , 0.010118 , 0.018373 , 0.023257 , 0.019744 , 0.02674 , 0.03021 , 0.025028 , 0.020207 , 0.020447 , 0.011542 , 0.014911 , 0.013073 , 0.026579 , 0.015012 , 0.012385 , 0.009869 , 0.01233 , 0.024702 , 0.018399 , 0.020825 , 0.013281 , 0.009022 , 0.027589 , 0.008361 , 0.005507 , 0.014149 , 0.003851 , 0.014515 , 0.009698 , 0.018701 , 0.005578 , 0.008412 , 0.012848 , 0.023038 , 0.01794 , 0.010582 , 0.021779 , 0.007833 , 0.008858 , 0.011995 , 0.011493 , 0.009985 , 0.01353 , 0.007902 , 0.010677 , 0.010463 , 0.016785 , 0.01172 , 0.015221 , 0.016383 , 0.011391 , 0.01342 
 330 , 0.022432 , 0.010567 , 0.016714 , 0.017727 , 0.013871 , 0.035365 , 0.009361 , 0.015579 , 0.011458 , 0.019403 , 0.025258 , 0.021895 , 0.028287 , 0.031064 , 0.026221 , 0.022074 , 0.021917 , 0.013564 , 0.017159 , 0.015049 , 0.029409 , 0.014597 , 0.014459 , 0.012149 , 0.013622 , 0.027775 , 0.020478 , 0.023462 , 0.01467 , 0.01132 , 0.02967 , 0.010188 , 0.007826 , 0.015755 , 0.005311 , 0.016112 , 0.012108 , 0.021031 , 0.006888 , 0.009875 , 0.014397 , 0.024656 , 0.020183 , 0.012664 , 0.023247 , 0.009689 , 0.010447 , 0.01357 , 0.014175 , 0.01188 , 0.015216 , 0.009472 , 0.012541 , 0.01234 , 0.018449 , 0.013248 , 0.017021 , 0.017906 , 0.013537 , 0.014416 
 331 , 0.024449 , 0.011566 , 0.018698 , 0.019836 , 0.015028 , 0.036408 , 0.01036 , 0.016937 , 0.012641 , 0.020283 , 0.02694 , 0.02373 , 0.029616 , 0.031753 , 0.027277 , 0.023675 , 0.023163 , 0.015323 , 0.019153 , 0.016789 , 0.031824 , 0.014239 , 0.016235 , 0.014076 , 0.014728 , 0.03047 , 0.022245 , 0.025671 , 0.015849 , 0.013299 , 0.031435 , 0.011781 , 0.009914 , 0.017138 , 0.00652 , 0.017437 , 0.014215 , 0.023024 , 0.007997 , 0.011172 , 0.015715 , 0.026048 , 0.022173 , 0.014505 , 0.024491 , 0.011276 , 0.011833 , 0.014943 , 0.016554 , 0.013532 , 0.016701 , 0.010831 , 0.014128 , 0.013955 , 0.019893 , 0.01458 , 0.018592 , 0.019235 , 0.015397 , 0.015287 
 332 , 0.026398 , 0.013699 , 0.020804 , 0.021564 , 0.017052 , 0.037708 , 0.011943 , 0.018875 , 0.014326 , 0.022048 , 0.029063 , 0.025335 , 0.031316 , 0.033376 , 0.029288 , 0.025473 , 0.024744 , 0.017602 , 0.021356 , 0.018891 , 0.033904 , 0.016193 , 0.018197 , 0.016278 , 0.016802 , 0.032229 , 0.024931 , 0.028168 , 0.018372 , 0.015593 , 0.033536 , 0.013748 , 0.012308 , 0.019537 , 0.008916 , 0.019878 , 0.01647 , 0.025389 , 0.010359 , 0.013512 , 0.01744 , 0.028036 , 0.023927 , 0.016722 , 0.026485 , 0.012895 , 0.013955 , 0.016855 , 0.018447 , 0.01535 , 0.017962 , 0.012403 , 0.015725 , 0.015842 , 0.021465 , 0.016053 , 0.020083 , 0.020878 , 0.017258 , 0.017104 
 333 , 0.028201 , 0.016387 , 0.022866 , 0.022928 , 0.019413 , 0.039011 , 0.013747 , 0.021111 , 0.016173 , 0.024225 , 0.031337 , 0.026715 , 0.033114 , 0.035456 , 0.03169 , 0.027289 , 0.026425 , 0.020037 , 0.023495 , 0.021114 , 0.035674 , 0.019292 , 0.020103 , 0.018522 , 0.019322 , 0.033327 , 0.028007 , 0.030671 , 0.021549 , 0.017897 , 0.035693 , 0.015779 , 0.014673 , 0.022361 , 0.011855 , 0.02277 , 0.018657 , 0.027822 , 0.013278 , 0.016295 , 0.019299 , 0.030301 , 0.025395 , 0.018991 , 0.028791 , 0.014457 , 0.016399 , 0.01896 , 0.019919 , 0.017161 , 0.018993 , 0.014012 , 0.017224 , 0.01779 , 0.023012 , 0.017502 , 0.021435 , 0.022602 , 0.019001 , 0.019372 
 334 , 0.029755 , 0.018713 , 0.024645 , 0.024038 , 0.021374 , 0.039971 , 0.015261 , 0.023127 , 0.017717 , 0.026084 , 0.033292 , 0.02788 , 0.034607 , 0.037244 , 0.033673 , 0.02884 , 0.027845 , 0.022108 , 0.025257 , 0.023066 , 0.037174 , 0.021839 , 0.021655 , 0.020442 , 0.021482 , 0.034234 , 0.030653 , 0.032761 , 0.024292 , 0.019815 , 0.037493 , 0.01747 , 0.016647 , 0.024744 , 0.014353 , 0.025162 , 0.020504 , 0.029873 , 0.015736 , 0.018655 , 0.020873 , 0.032307 , 0.026583 , 0.020896 , 0.030741 , 0.015811 , 0.01852 , 0.020752 , 0.021152 , 0.018717 , 0.019831 , 0.015398 , 0.018477 , 0.01947 , 0.024313 , 0.018707 , 0.02258 , 0.024063 , 0.020472 , 0.021322 
 335 , 0.030422 , 0.019944 , 0.025604 , 0.024543 , 0.022406 , 0.040571 , 0.016093 , 0.024226 , 0.018411 , 0.026915 , 0.0343 , 0.028563 , 0.035377 , 0.038138 , 0.034749 , 0.029717 , 0.028774 , 0.023357 , 0.02608 , 0.02412 , 0.03787 , 0.023424 , 0.022402 , 0.021395 , 0.022737 , 0.03466 , 0.032006 , 0.033678 , 0.025893 , 0.020753 , 0.03838 , 0.018344 , 0.017766 , 0.026014 , 0.015774 , 0.026554 , 0.021507 , 0.031017 , 0.017101 , 0.019899 , 0.021736 , 0.03343 , 0.02722 , 0.021874 , 0.031771 , 0.016426 , 0.019714 , 0.021738 , 0.021621 , 0.019434 , 0.020196 , 0.016003 , 0.019207 , 0.020339 , 0.025005 , 0.019269 , 0.023246 , 0.024829 , 0.021259 , 0.022415 
