  time  ,:02:24 P,:02:54 P,:03:12 P,:03:39 P,:03:57 P,:04:47 P,:04:59 P,:05:16 P,:05:30 P,:05:44 P,:06:27 P,:06:46 P,:07:00 P,:07:18 P,:07:38 P,:07:56 P,:08:14 P,:08:30 P,:08:43 P,:08:53 P,:09:37 P,:09:57 P,:10:14 P,:10:27 P,:10:40 P,:11:28 P,:11:46 P,:12:07 P,:12:23 P,:12:43 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 330 , 0.017808 , 0.017474 , 0.0134 , 0.012068 , 0.015629 , 0.011298 , 0.012241 , 0.019943 , 0.015505 , 0.009048 , 0.016933 , 0.020133 , 0.015186 , 0.017645 , 0.020506 , 0.0138 , 0.016801 , 0.013364 , 0.019724 , 0.013958 , 0.023463 , 0.016239 , 0.012404 , 0.033802 , 0.033149 , 0.01428 , 0.014309 , 0.016363 , 0.013627 , 0.016462 
 331 , 0.018316 , 0.017864 , 0.014193 , 0.012629 , 0.015735 , 0.011326 , 0.012718 , 0.019921 , 0.015457 , 0.009522 , 0.017771 , 0.020333 , 0.015853 , 0.01814 , 0.020593 , 0.014416 , 0.016412 , 0.01355 , 0.020084 , 0.014144 , 0.02373 , 0.016488 , 0.013112 , 0.034277 , 0.032564 , 0.014347 , 0.014548 , 0.016922 , 0.014423 , 0.016899 
 332 , 0.019034 , 0.018701 , 0.01497 , 0.013412 , 0.016716 , 0.012072 , 0.013663 , 0.020687 , 0.016284 , 0.010312 , 0.018576 , 0.021395 , 0.016881 , 0.018734 , 0.021348 , 0.015434 , 0.017189 , 0.014237 , 0.020862 , 0.014999 , 0.024228 , 0.017112 , 0.013989 , 0.035095 , 0.033211 , 0.014801 , 0.015253 , 0.017714 , 0.015125 , 0.017491 
 333 , 0.019833 , 0.019802 , 0.015691 , 0.014282 , 0.018173 , 0.013218 , 0.014834 , 0.021892 , 0.017597 , 0.011257 , 0.01933 , 0.022925 , 0.018085 , 0.01936 , 0.022466 , 0.016646 , 0.018617 , 0.015182 , 0.021871 , 0.016199 , 0.024843 , 0.017928 , 0.01492 , 0.036096 , 0.034563 , 0.015459 , 0.016212 , 0.018604 , 0.015737 , 0.018147 
 334 , 0.020511 , 0.020834 , 0.016305 , 0.015033 , 0.019461 , 0.014241 , 0.015849 , 0.022973 , 0.018759 , 0.012094 , 0.020002 , 0.024283 , 0.019154 , 0.019903 , 0.023463 , 0.017712 , 0.019874 , 0.015997 , 0.022794 , 0.017239 , 0.025402 , 0.018644 , 0.015735 , 0.037015 , 0.035796 , 0.016032 , 0.01707 , 0.019379 , 0.016271 , 0.018719 
 335 , 0.02067 , 0.021322 , 0.01639 , 0.01526 , 0.020092 , 0.014664 , 0.016225 , 0.023432 , 0.019226 , 0.012422 , 0.02026 , 0.024964 , 0.019585 , 0.020042 , 0.02388 , 0.018118 , 0.0205 , 0.016323 , 0.023187 , 0.017715 , 0.025563 , 0.018841 , 0.016049 , 0.037339 , 0.036306 , 0.016156 , 0.017376 , 0.0196 , 0.016394 , 0.018837 
 336 , 0.01918 , 0.020004 , 0.014809 , 0.013842 , 0.01874 , 0.013224 , 0.014618 , 0.021921 , 0.017525 , 0.011141 , 0.019207 , 0.023592 , 0.018031 , 0.018904 , 0.022483 , 0.016481 , 0.019235 , 0.015137 , 0.02191 , 0.016497 , 0.024445 , 0.017375 , 0.014827 , 0.035772 , 0.034534 , 0.014842 , 0.015943 , 0.018097 , 0.015206 , 0.017482 
 337 , 0.017882 , 0.018859 , 0.013438 , 0.012607 , 0.017566 , 0.011974 , 0.013211 , 0.020608 , 0.016045 , 0.01002 , 0.018293 , 0.022402 , 0.016681 , 0.017916 , 0.02127 , 0.015058 , 0.018136 , 0.014104 , 0.0208 , 0.015438 , 0.023475 , 0.016098 , 0.013766 , 0.034409 , 0.032995 , 0.013698 , 0.0147 , 0.016794 , 0.014174 , 0.016302 
 338 , 0.01674 , 0.017853 , 0.012236 , 0.011519 , 0.016536 , 0.010878 , 0.011969 , 0.019455 , 0.014746 , 0.00903 , 0.017493 , 0.021358 , 0.015498 , 0.01705 , 0.020206 , 0.013811 , 0.017172 , 0.013194 , 0.019828 , 0.014507 , 0.022626 , 0.014974 , 0.012837 , 0.03321 , 0.031646 , 0.012691 , 0.013614 , 0.015654 , 0.013268 , 0.015264 
 339 , 0.017052 , 0.018496 , 0.012901 , 0.011814 , 0.017027 , 0.011385 , 0.012332 , 0.019824 , 0.0151 , 0.009511 , 0.017869 , 0.021564 , 0.015813 , 0.017457 , 0.020673 , 0.014451 , 0.017527 , 0.013631 , 0.020111 , 0.014614 , 0.023039 , 0.01519 , 0.013039 , 0.03346 , 0.031951 , 0.012987 , 0.013838 , 0.015942 , 0.013657 , 0.015588 
 340 , 0.017577 , 0.019347 , 0.013829 , 0.012306 , 0.017725 , 0.01211 , 0.012924 , 0.020416 , 0.015684 , 0.010181 , 0.018403 , 0.021955 , 0.016343 , 0.018033 , 0.021355 , 0.01536 , 0.018066 , 0.014246 , 0.02058 , 0.014886 , 0.023615 , 0.015606 , 0.01341 , 0.033913 , 0.032501 , 0.01347 , 0.014261 , 0.01644 , 0.014233 , 0.016106 
 341 , 0.018033 , 0.020087 , 0.01467 , 0.012731 , 0.018342 , 0.012751 , 0.013436 , 0.020939 , 0.016186 , 0.010758 , 0.018871 , 0.022291 , 0.016804 , 0.018533 , 0.021962 , 0.016181 , 0.018535 , 0.014777 , 0.021 , 0.015122 , 0.024114 , 0.015962 , 0.013741 , 0.034296 , 0.032986 , 0.013892 , 0.014638 , 0.016881 , 0.014752 , 0.016555 
 342 , 0.018233 , 0.020328 , 0.015029 , 0.012882 , 0.018603 , 0.012895 , 0.013684 , 0.021151 , 0.016389 , 0.01093 , 0.019161 , 0.022466 , 0.017085 , 0.018793 , 0.022135 , 0.01642 , 0.018684 , 0.014962 , 0.021211 , 0.015284 , 0.024201 , 0.016111 , 0.013959 , 0.034573 , 0.033438 , 0.014055 , 0.014843 , 0.017133 , 0.014889 , 0.016736 
 343 , 0.018181 , 0.020069 , 0.014888 , 0.012762 , 0.018507 , 0.012536 , 0.013672 , 0.021047 , 0.0163 , 0.010699 , 0.019277 , 0.022482 , 0.017196 , 0.018818 , 0.021863 , 0.016059 , 0.01851 , 0.014801 , 0.021212 , 0.015376 , 0.023874 , 0.016057 , 0.014065 , 0.034759 , 0.033876 , 0.013958 , 0.014875 , 0.0172 , 0.014632 , 0.016652 
 344 , 0.018143 , 0.019839 , 0.01476 , 0.01266 , 0.018433 , 0.012216 , 0.013667 , 0.02095 , 0.016233 , 0.010497 , 0.019393 , 0.0225 , 0.01731 , 0.018844 , 0.021619 , 0.015737 , 0.018359 , 0.01466 , 0.021217 , 0.015464 , 0.023586 , 0.016011 , 0.014164 , 0.034944 , 0.034294 , 0.013876 , 0.014909 , 0.017275 , 0.014407 , 0.016583 
 345 , 0.018105 , 0.019625 , 0.014645 , 0.012567 , 0.018358 , 0.011928 , 0.013648 , 0.020847 , 0.01614 , 0.010296 , 0.019479 , 0.022495 , 0.017397 , 0.018837 , 0.021419 , 0.015457 , 0.018217 , 0.014523 , 0.021213 , 0.015522 , 0.023351 , 0.015959 , 0.014224 , 0.035106 , 0.03464 , 0.013799 , 0.014929 , 0.017322 , 0.014202 , 0.016513 
 346 , 0.017973 , 0.019326 , 0.014524 , 0.012423 , 0.018088 , 0.011618 , 0.013413 , 0.020564 , 0.015622 , 0.009866 , 0.019233 , 0.022165 , 0.017176 , 0.018386 , 0.021453 , 0.015312 , 0.017972 , 0.01422 , 0.021056 , 0.01523 , 0.023387 , 0.015731 , 0.01389 , 0.035015 , 0.034362 , 0.01365 , 0.014763 , 0.01698 , 0.013952 , 0.016292 
 347 , 0.017855 , 0.019062 , 0.014419 , 0.012296 , 0.01785 , 0.011346 , 0.013206 , 0.020318 , 0.015164 , 0.009485 , 0.019016 , 0.021875 , 0.016979 , 0.017989 , 0.021492 , 0.015186 , 0.017757 , 0.013953 , 0.020919 , 0.014973 , 0.023431 , 0.015534 , 0.013595 , 0.034946 , 0.034115 , 0.013521 , 0.014619 , 0.016678 , 0.013731 , 0.016099 
 348 , 0.017749 , 0.018828 , 0.014326 , 0.012182 , 0.017637 , 0.011104 , 0.013022 , 0.020102 , 0.014756 , 0.009147 , 0.018823 , 0.021618 , 0.016804 , 0.017638 , 0.021535 , 0.015077 , 0.017567 , 0.013717 , 0.020799 , 0.014745 , 0.02348 , 0.015365 , 0.013331 , 0.034896 , 0.033896 , 0.013406 , 0.014491 , 0.016409 , 0.013535 , 0.015929 
 349 , 0.01807 , 0.01915 , 0.014576 , 0.012466 , 0.017997 , 0.011387 , 0.013327 , 0.02045 , 0.015073 , 0.009388 , 0.018985 , 0.022119 , 0.017091 , 0.017889 , 0.021921 , 0.015316 , 0.017896 , 0.014099 , 0.021127 , 0.015106 , 0.023838 , 0.015731 , 0.01358 , 0.035461 , 0.034348 , 0.013669 , 0.014692 , 0.01671 , 0.013856 , 0.016186 
 350 , 0.018531 , 0.019652 , 0.014935 , 0.012878 , 0.018548 , 0.01184 , 0.013788 , 0.020981 , 0.015643 , 0.009822 , 0.019264 , 0.02287 , 0.017531 , 0.018342 , 0.022409 , 0.015661 , 0.018399 , 0.01468 , 0.0216 , 0.01567 , 0.024287 , 0.01627 , 0.014009 , 0.036226 , 0.035027 , 0.014053 , 0.014997 , 0.0172 , 0.01435 , 0.01658 
 351 , 0.018951 , 0.020101 , 0.01526 , 0.013251 , 0.019049 , 0.012244 , 0.014203 , 0.021459 , 0.016167 , 0.010214 , 0.019513 , 0.023553 , 0.017933 , 0.018748 , 0.022852 , 0.015966 , 0.018858 , 0.015203 , 0.022029 , 0.016191 , 0.024693 , 0.016758 , 0.014408 , 0.036932 , 0.035654 , 0.014399 , 0.015271 , 0.017642 , 0.014802 , 0.016935 
 352 , 0.019097 , 0.020281 , 0.015399 , 0.013446 , 0.019288 , 0.012399 , 0.014379 , 0.021699 , 0.016425 , 0.010394 , 0.019627 , 0.023934 , 0.018133 , 0.018978 , 0.023054 , 0.016108 , 0.019062 , 0.015475 , 0.022178 , 0.016421 , 0.024873 , 0.016988 , 0.014602 , 0.037256 , 0.035901 , 0.014541 , 0.015363 , 0.017859 , 0.014993 , 0.017103 
