  time  ,18:34 PM,18:48 PM,19:00 PM,19:12 PM,19:25 PM,20:04 PM,20:17 PM,20:28 PM,20:41 PM,21:15 PM,22:01 PM,22:14 PM,22:25 PM,22:35 PM,22:45 PM,23:42 PM,23:57 PM,24:10 PM,24:22 PM,24:38 PM,24:54 PM,25:04 PM,25:16 PM,25:33 PM,25:45 PM,26:35 PM,26:46 PM,26:58 PM,27:10 PM,27:20 PM,28:08 PM,28:21 PM,28:31 PM,28:45 PM,28:59 PM,30:11 PM,30:23 PM,30:38 PM,30:53 PM,31:06 PM,31:27 PM,31:38 PM,31:48 PM,31:59 PM,32:11 PM,32:46 PM,32:55 PM,33:11 PM,33:26 PM,33:36 PM,34:45 PM,34:59 PM,35:11 PM,35:26 PM,35:36 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 336 , 0 , 0 , 0 , 0 , 0.000158 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000636 , 0 , 0 , 0.004344 , 0 , 0.00032 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000162 , 0.001137 , 0 , 0 , 0 , 0 , 0.000503 , 0 , 0.005115 , 0.001191 , 0.00117 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000173 , 0 , 0 
 337 , 0 , 0 , 0 , 0 , 0.000269 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001089 , 0 , 0 , 0.006079 , 0 , 0.000547 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000276 , 0.001924 , 0 , 0 , 0 , 0 , 0.000857 , 0 , 0.0066 , 0.002019 , 0.001991 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000295 , 0 , 0 
 338 , 0 , 0 , 0 , 0 , 0.000365 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001488 , 0 , 0 , 0.007625 , 0 , 0.000745 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000376 , 0.002597 , 0 , 0 , 0 , 0 , 0.001162 , 0 , 0.007903 , 0.002729 , 0.0027 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0004 , 0 , 0 
 339 , 0 , 0 , 0.000594 , 0.000253 , 0.001134 , 0.000171 , 0 , 0 , 0.000771 , 0 , 0 , 0.000088 , 0.000175 , 0.002154 , 0 , 0 , 0.008674 , 0 , 0.001785 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000886 , 0 , 0.001541 , 0.003704 , 0 , 0.00074 , 0.000672 , 0 , 0.002149 , 0.00064 , 0.00904 , 0.003784 , 0.003943 , 0 , 0.00028 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001331 , 0 , 0 
 340 , 0 , 0 , 0.001226 , 0.000521 , 0.001922 , 0.00035 , 0 , 0 , 0.001577 , 0 , 0 , 0.000181 , 0.000361 , 0.002783 , 0 , 0 , 0.009499 , 0 , 0.002839 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00182 , 0 , 0.002765 , 0.004753 , 0 , 0.001515 , 0.001367 , 0 , 0.003138 , 0.001318 , 0.010027 , 0.004764 , 0.005127 , 0 , 0.000579 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002284 , 0 , 0 
 341 , 0 , 0 , 0.001781 , 0.000757 , 0.002602 , 0.000503 , 0 , 0 , 0.002274 , 0 , 0 , 0.00026 , 0.000526 , 0.003325 , 0 , 0 , 0.010195 , 0 , 0.003747 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002636 , 0 , 0.003845 , 0.005663 , 0 , 0.002185 , 0.00196 , 0 , 0.003999 , 0.001912 , 0.010891 , 0.005605 , 0.00615 , 0 , 0.000842 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003101 , 0 , 0 
 342 , 0.000268 , 0.000268 , 0.002481 , 0.001297 , 0.003384 , 0.000897 , 0.000264 , 0.00027 , 0.003033 , 0.000115 , 0.000415 , 0.000751 , 0.001215 , 0.004144 , 0.000195 , 0 , 0.01116 , 0.000511 , 0.004724 , 0.000275 , 0 , 0.000355 , 0.000039 , 0.000357 , 0 , 0 , 0.003462 , 0.00056 , 0.004888 , 0.006598 , 0.000041 , 0.003221 , 0.002759 , 0 , 0.00504 , 0.002675 , 0.011868 , 0.006618 , 0.007318 , 0.000459 , 0.001733 , 0.000203 , 0.000293 , 0.000492 , 0.000041 , 0.000042 , 0 , 0 , 0 , 0 , 0.000172 , 0.000043 , 0.004103 , 0.000249 , 0.000506 
 343 , 0.000812 , 0.000809 , 0.003327 , 0.002149 , 0.004286 , 0.001542 , 0.000796 , 0.00081 , 0.003869 , 0.000347 , 0.001263 , 0.001665 , 0.002437 , 0.005258 , 0.000586 , 0 , 0.012426 , 0.001542 , 0.005785 , 0.00083 , 0 , 0.001078 , 0.000118 , 0.001076 , 0 , 0 , 0.004312 , 0.001684 , 0.005891 , 0.007576 , 0.000123 , 0.004646 , 0.003785 , 0 , 0.006282 , 0.003624 , 0.012962 , 0.00783 , 0.008657 , 0.001379 , 0.00326 , 0.000613 , 0.000878 , 0.001474 , 0.000123 , 0.000126 , 0 , 0 , 0 , 0 , 0.000513 , 0.000128 , 0.005313 , 0.000749 , 0.001513 
 344 , 0.001293 , 0.001286 , 0.004064 , 0.0029 , 0.005081 , 0.00211 , 0.001266 , 0.001281 , 0.004607 , 0.000551 , 0.002022 , 0.002474 , 0.003512 , 0.006238 , 0.000928 , 0 , 0.013548 , 0.002448 , 0.006714 , 0.001317 , 0 , 0.001724 , 0.000188 , 0.001708 , 0 , 0 , 0.005058 , 0.002665 , 0.00676 , 0.008435 , 0.000195 , 0.005902 , 0.00469 , 0 , 0.007385 , 0.004471 , 0.013912 , 0.008898 , 0.009838 , 0.002181 , 0.004598 , 0.000973 , 0.001388 , 0.002326 , 0.000195 , 0.000199 , 0 , 0 , 0 , 0 , 0.000809 , 0.000202 , 0.006379 , 0.001187 , 0.002386 
 345 , 0.001696 , 0.001722 , 0.004704 , 0.003562 , 0.005787 , 0.002614 , 0.001703 , 0.00165 , 0.005225 , 0.000742 , 0.002681 , 0.003167 , 0.004425 , 0.007068 , 0.001235 , 0 , 0.014497 , 0.003211 , 0.00752 , 0.001749 , 0 , 0.002291 , 0.00027 , 0.002262 , 0.000005 , 0 , 0.005722 , 0.003502 , 0.007505 , 0.009179 , 0.000284 , 0.006993 , 0.005489 , 0.000032 , 0.008329 , 0.005218 , 0.014736 , 0.009835 , 0.010861 , 0.002871 , 0.005727 , 0.0013 , 0.00183 , 0.003056 , 0.000279 , 0.0003 , 0 , 0 , 0 , 0 , 0.001089 , 0.000294 , 0.007296 , 0.001594 , 0.003122 
