SHB2_00005.spu,SHB2_00004.spu,SHB2_00003.spu,SHB2_00002.spu,SHB2_00001.spu,
Wavelength,SHB2_00006.spu,SHB2_00007.spu,SHB2_00008.spu,SHB2_00009.spu,SHB2_00010.spu,SHB2_00011.spu,SHB2_00012.spu,SHB2_00013.spu,SHB2_00014.spu,SHB2_00015.spu,SHB2_00016.spu,SHB2_00017.spu,SHB2_00018.spu,SHB2_00019.spu,SHB2_00020.spu,SHB2_00021.spu,SHB2_00022.spu,SHB2_00023.spu,SHB2_00024.spu,SHB2_00025.spu
  (nm),7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 
  time  ,08:24 PM,09:03 PM,09:43 PM,10:06 PM,10:35 PM,20:52 PM,21:28 PM,21:56 PM,22:21 PM,22:49 PM,24:17 PM,24:49 PM,25:29 PM,25:59 PM,26:26 PM,28:06 PM,28:27 PM,28:53 PM,29:12 PM,29:32 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 347 , 0.030288 , 0.016956 , 0.014251 , 0.009926 , 0.01548 , 0.014669 , 0.013295 , 0.011793 , 0.010253 , 0.012721 , 0.010322 , 0.011851 , 0.011683 , 0.008975 , 0.010821 , 0.027184 , 0.01869 , 0.025125 , 0.019917 , 0.020074 
 348 , 0.030552 , 0.01724 , 0.014679 , 0.010289 , 0.015646 , 0.014875 , 0.013735 , 0.011873 , 0.010491 , 0.013045 , 0.010421 , 0.011928 , 0.011933 , 0.009139 , 0.011189 , 0.027382 , 0.018907 , 0.025462 , 0.019711 , 0.020601 
 349 , 0.030819 , 0.017551 , 0.014958 , 0.010644 , 0.016032 , 0.015013 , 0.014091 , 0.01217 , 0.010669 , 0.013339 , 0.010542 , 0.012125 , 0.012199 , 0.009356 , 0.011339 , 0.027591 , 0.019122 , 0.025735 , 0.020003 , 0.020688 
 350 , 0.031072 , 0.017851 , 0.01516 , 0.010981 , 0.016476 , 0.015114 , 0.01439 , 0.012518 , 0.01081 , 0.013604 , 0.010662 , 0.012357 , 0.012452 , 0.009575 , 0.0114 , 0.027788 , 0.019317 , 0.025959 , 0.020442 , 0.020603 
 351 , 0.031302 , 0.018116 , 0.015337 , 0.011289 , 0.016878 , 0.0152 , 0.014652 , 0.012819 , 0.010933 , 0.013843 , 0.010769 , 0.012569 , 0.012677 , 0.009769 , 0.011454 , 0.02796 , 0.019488 , 0.026151 , 0.020816 , 0.020519 
 352 , 0.031439 , 0.018317 , 0.015474 , 0.01151 , 0.017107 , 0.015298 , 0.014842 , 0.013001 , 0.011029 , 0.013966 , 0.010868 , 0.012719 , 0.012802 , 0.009923 , 0.011518 , 0.028206 , 0.019664 , 0.026338 , 0.021052 , 0.020562 
 353 , 0.031418 , 0.018429 , 0.01556 , 0.01159 , 0.017038 , 0.015442 , 0.014927 , 0.012998 , 0.011091 , 0.01389 , 0.010965 , 0.01277 , 0.012763 , 0.010025 , 0.011611 , 0.028625 , 0.019876 , 0.026552 , 0.02108 , 0.020855 
 354 , 0.031396 , 0.018532 , 0.015643 , 0.011665 , 0.016973 , 0.015579 , 0.015007 , 0.012993 , 0.011148 , 0.013818 , 0.011057 , 0.012818 , 0.012727 , 0.010122 , 0.0117 , 0.02902 , 0.020073 , 0.026751 , 0.021106 , 0.021135 
 355 , 0.031373 , 0.018627 , 0.015721 , 0.011734 , 0.01691 , 0.015709 , 0.015082 , 0.012989 , 0.011202 , 0.013751 , 0.011145 , 0.012862 , 0.012692 , 0.010213 , 0.011783 , 0.029393 , 0.020259 , 0.026938 , 0.021131 , 0.021403 
 356 , 0.031695 , 0.018819 , 0.015821 , 0.011768 , 0.016996 , 0.01572 , 0.015011 , 0.012998 , 0.011249 , 0.013954 , 0.011243 , 0.013003 , 0.012853 , 0.010208 , 0.012028 , 0.029451 , 0.020442 , 0.027063 , 0.021012 , 0.021452 
 357 , 0.032021 , 0.019008 , 0.015917 , 0.011797 , 0.017085 , 0.015725 , 0.014936 , 0.013007 , 0.011294 , 0.014163 , 0.011336 , 0.013143 , 0.013018 , 0.010198 , 0.012271 , 0.029491 , 0.020618 , 0.027179 , 0.020891 , 0.021488 
 358 , 0.032334 , 0.019189 , 0.016008 , 0.011826 , 0.017171 , 0.015729 , 0.014865 , 0.013016 , 0.011337 , 0.014365 , 0.011424 , 0.013277 , 0.013176 , 0.010188 , 0.012503 , 0.029528 , 0.020787 , 0.027291 , 0.020774 , 0.021522 
 359 , 0.032665 , 0.019345 , 0.016103 , 0.011843 , 0.01721 , 0.015786 , 0.014833 , 0.013084 , 0.011332 , 0.014468 , 0.011471 , 0.013303 , 0.013201 , 0.01027 , 0.012465 , 0.02964 , 0.02094 , 0.027402 , 0.020873 , 0.021559 
 360 , 0.033003 , 0.019476 , 0.016199 , 0.01185 , 0.017214 , 0.015875 , 0.01483 , 0.01319 , 0.011294 , 0.014498 , 0.011487 , 0.013252 , 0.013132 , 0.010412 , 0.012242 , 0.029803 , 0.021077 , 0.027509 , 0.021118 , 0.021596 
 361 , 0.033325 , 0.019598 , 0.016289 , 0.011856 , 0.017217 , 0.015959 , 0.014827 , 0.013289 , 0.011258 , 0.014525 , 0.011502 , 0.013205 , 0.013067 , 0.010543 , 0.012035 , 0.029957 , 0.021204 , 0.027609 , 0.021348 , 0.02163 
