  time  ,21:28 PM,21:54 PM,22:08 PM,22:23 PM,22:45 PM,23:39 PM,24:04 PM,24:26 PM,24:48 PM,25:06 PM,26:03 PM,26:18 PM,26:32 PM,26:47 PM,27:15 PM,27:57 PM,28:27 PM,28:46 PM,29:02 PM,29:21 PM,31:05 PM,31:17 PM,31:32 PM,31:51 PM,32:05 PM,32:34 PM,32:46 PM,32:58 PM,33:09 PM,33:19 PM,33:42 PM,33:53 PM,34:06 PM,34:25 PM,34:38 PM,35:21 PM,35:33 PM,35:44 PM,36:01 PM,36:16 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 330 , 0.007261 , 0.009232 , 0.01445 , 0.010095 , 0.004623 , 0.004446 , 0.004136 , 0.013657 , 0.013149 , 0.012804 , 0.005882 , 0.006126 , 0.008328 , 0.006182 , 0.006765 , 0 , 0.015569 , 0.009419 , 0.010709 , 0.00589 , 0 , 0.00025 , 0 , 0 , 0 , 0.002057 , 0.002137 , 0.005319 , 0.002829 , 0.002906 , 0.002841 , 0.00273 , 0.001846 , 0 , 0 , 0.004206 , 0.001444 , 0 , 0.00103 , 0.004808 
 331 , 0.007384 , 0.008896 , 0.014531 , 0.009331 , 0.004559 , 0.004218 , 0.003322 , 0.013119 , 0.013031 , 0.012356 , 0.005922 , 0.005979 , 0.008016 , 0.005975 , 0.006564 , 0 , 0.015346 , 0.009558 , 0.010612 , 0.005223 , 0 , 0.000347 , 0 , 0 , 0 , 0.002862 , 0.001749 , 0.0055 , 0.003146 , 0.003386 , 0.003106 , 0.002803 , 0.001933 , 0 , 0 , 0.004341 , 0.001441 , 0 , 0.001053 , 0.004452 
 332 , 0.007766 , 0.008842 , 0.014917 , 0.009267 , 0.004978 , 0.004404 , 0.003556 , 0.013189 , 0.013647 , 0.012278 , 0.00608 , 0.006051 , 0.008171 , 0.006182 , 0.006677 , 0.000385 , 0.015972 , 0.009752 , 0.011312 , 0.005615 , 0 , 0.00056 , 0.000307 , 0.000065 , 0 , 0.003301 , 0.002121 , 0.005471 , 0.003328 , 0.003829 , 0.003482 , 0.003236 , 0.002088 , 0.000259 , 0.000247 , 0.004712 , 0.001682 , 0.000349 , 0.001256 , 0.004804 
 333 , 0.008293 , 0.008951 , 0.015467 , 0.009611 , 0.005672 , 0.004825 , 0.004396 , 0.01361 , 0.014682 , 0.012418 , 0.006299 , 0.006246 , 0.008592 , 0.006629 , 0.006974 , 0.000987 , 0.017069 , 0.00997 , 0.012459 , 0.006622 , 0 , 0.00084 , 0.00079 , 0.000166 , 0 , 0.003511 , 0.002918 , 0.005322 , 0.003424 , 0.004241 , 0.003915 , 0.003859 , 0.002278 , 0.00066 , 0.000634 , 0.005211 , 0.002063 , 0.000897 , 0.001559 , 0.005562 
 334 , 0.008774 , 0.009062 , 0.015958 , 0.009931 , 0.006295 , 0.0052 , 0.005145 , 0.013995 , 0.015616 , 0.012556 , 0.006493 , 0.006417 , 0.008963 , 0.007037 , 0.007241 , 0.001523 , 0.01804 , 0.010167 , 0.013487 , 0.007527 , 0 , 0.001091 , 0.001222 , 0.000254 , 0 , 0.003694 , 0.003615 , 0.005192 , 0.003507 , 0.004608 , 0.004304 , 0.004402 , 0.002448 , 0.001012 , 0.000981 , 0.005659 , 0.002405 , 0.001388 , 0.001828 , 0.006236 
 335 , 0.009105 , 0.009339 , 0.016408 , 0.0103 , 0.006744 , 0.005565 , 0.005723 , 0.014387 , 0.016366 , 0.012813 , 0.006694 , 0.0066 , 0.009338 , 0.007411 , 0.007482 , 0.002087 , 0.018888 , 0.010493 , 0.014311 , 0.008333 , 0.000108 , 0.001408 , 0.001666 , 0.000479 , 0.000096 , 0.004019 , 0.004315 , 0.005364 , 0.003719 , 0.005006 , 0.004669 , 0.004949 , 0.002765 , 0.001431 , 0.001363 , 0.006034 , 0.002783 , 0.001864 , 0.002169 , 0.006805 
 336 , 0.008979 , 0.010218 , 0.016795 , 0.010896 , 0.006721 , 0.005987 , 0.005869 , 0.01487 , 0.016644 , 0.013502 , 0.006957 , 0.00686 , 0.009815 , 0.007745 , 0.007689 , 0.002897 , 0.019538 , 0.011321 , 0.01465 , 0.008999 , 0.000617 , 0.002025 , 0.002272 , 0.001252 , 0.000543 , 0.004917 , 0.005259 , 0.006585 , 0.004418 , 0.005611 , 0.005041 , 0.005675 , 0.003657 , 0.002198 , 0.001971 , 0.006253 , 0.003373 , 0.002405 , 0.002844 , 0.007162 
 337 , 0.008878 , 0.011019 , 0.017183 , 0.011436 , 0.006707 , 0.006367 , 0.006008 , 0.015329 , 0.016919 , 0.014127 , 0.007207 , 0.007108 , 0.010262 , 0.008053 , 0.00788 , 0.003633 , 0.020144 , 0.012065 , 0.014964 , 0.009607 , 0.001082 , 0.002579 , 0.00282 , 0.001966 , 0.000943 , 0.005721 , 0.006124 , 0.007697 , 0.005056 , 0.006153 , 0.005378 , 0.00634 , 0.004454 , 0.002877 , 0.002524 , 0.006453 , 0.003906 , 0.002889 , 0.003453 , 0.007492 
 338 , 0.008797 , 0.011755 , 0.017571 , 0.01193 , 0.006699 , 0.006713 , 0.006141 , 0.015765 , 0.01719 , 0.014697 , 0.007447 , 0.007346 , 0.010683 , 0.00834 , 0.008057 , 0.004307 , 0.020713 , 0.012739 , 0.015256 , 0.010165 , 0.001511 , 0.003082 , 0.00332 , 0.002632 , 0.001303 , 0.006447 , 0.006923 , 0.00872 , 0.005643 , 0.006645 , 0.005687 , 0.006953 , 0.005172 , 0.003482 , 0.003031 , 0.006638 , 0.004392 , 0.003325 , 0.004008 , 0.007799 
 339 , 0.009077 , 0.011726 , 0.017616 , 0.011999 , 0.006974 , 0.006743 , 0.006232 , 0.01574 , 0.017121 , 0.014879 , 0.007675 , 0.007651 , 0.010683 , 0.008695 , 0.008326 , 0.004892 , 0.021031 , 0.012923 , 0.015501 , 0.0102 , 0.001955 , 0.003372 , 0.003544 , 0.002963 , 0.001392 , 0.006808 , 0.007037 , 0.008858 , 0.006221 , 0.007076 , 0.006032 , 0.007299 , 0.005801 , 0.003905 , 0.0035 , 0.006991 , 0.004717 , 0.00351 , 0.004325 , 0.008284 
