  time  ,:56:25 A,:56:32 A,:56:39 A,:56:48 A,:56:55 A,:57:52 A,:58:08 A,:58:15 A,:58:26 A,:58:33 A,:59:13 A,:59:20 A,:59:26 A,:59:36 A,:59:48 A,:00:13 P,:00:19 P,:00:27 P,:00:33 P,:00:43 P,:01:38 P,:01:45 P,:01:51 P,:01:59 P,:02:14 P,:02:57 P,:03:02 P,:03:09 P,:03:16 P,:03:24 P,:03:44 P,:03:50 P,:03:59 P,:04:12 P,:04:19 P,:05:00 P,:05:07 P,:05:15 P,:05:23 P,:05:30 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 337 , 0 , 0 , 0.023356 , 0 , 0 , 0.004566 , 0.002884 , 0 , 0 , 0.002926 , 0 , 0 , 0 , 0 , 0 , 0.017007 , 0.004928 , 0.001049 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000127 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000638 , 0.00034 , 0.000354 , 0 , 0 
 338 , 0 , 0 , 0.035043 , 0 , 0 , 0.005643 , 0.004022 , 0 , 0 , 0.003791 , 0 , 0 , 0 , 0 , 0 , 0.020861 , 0.005289 , 0.001427 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00017 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000883 , 0.000467 , 0.000493 , 0 , 0 
 339 , 0 , 0.000405 , 0.028654 , 0.000389 , 0 , 0.007993 , 0.004549 , 0.000194 , 0.000261 , 0.004637 , 0.000612 , 0.000374 , 0 , 0 , 0 , 0.019768 , 0.006298 , 0.002295 , 0 , 0.000087 , 0 , 0 , 0 , 0 , 0 , 0.000519 , 0.000914 , 0.00021 , 0.000696 , 0 , 0 , 0.000099 , 0 , 0 , 0 , 0.001668 , 0.001098 , 0.001245 , 0 , 0.000148 
 340 , 0 , 0.000921 , 0.02342 , 0.000791 , 0 , 0.010638 , 0.004863 , 0.000453 , 0.000533 , 0.005448 , 0.001256 , 0.00082 , 0 , 0 , 0 , 0.018471 , 0.007354 , 0.003212 , 0 , 0.000186 , 0 , 0 , 0 , 0 , 0 , 0.00113 , 0.001653 , 0.000432 , 0.001399 , 0 , 0 , 0.00021 , 0 , 0 , 0 , 0.002515 , 0.001793 , 0.001979 , 0 , 0.000318 
 341 , 0 , 0.001469 , 0.020315 , 0.001133 , 0 , 0.013317 , 0.005097 , 0.000743 , 0.000767 , 0.006218 , 0.001814 , 0.00126 , 0 , 0 , 0 , 0.01755 , 0.008329 , 0.004072 , 0 , 0.000279 , 0 , 0 , 0 , 0 , 0 , 0.001726 , 0.002265 , 0.000624 , 0.001987 , 0 , 0 , 0.000311 , 0 , 0 , 0 , 0.00331 , 0.002446 , 0.00259 , 0 , 0.000479 
 342 , 0 , 0.002343 , 0.019651 , 0.001547 , 0.000329 , 0.014726 , 0.005786 , 0.001076 , 0.001606 , 0.006993 , 0.002567 , 0.001982 , 0.00061 , 0.000083 , 0 , 0.018051 , 0.009568 , 0.004751 , 0.000179 , 0.000738 , 0 , 0 , 0 , 0 , 0 , 0.002492 , 0.00299 , 0.001053 , 0.002592 , 0.000345 , 0.000366 , 0.000731 , 0.000144 , 0.000342 , 0.000121 , 0.004097 , 0.003188 , 0.003402 , 0.000306 , 0.001007 
 343 , 0 , 0.003487 , 0.020663 , 0.002056 , 0.001021 , 0.014608 , 0.006951 , 0.001399 , 0.003175 , 0.007753 , 0.003546 , 0.002966 , 0.001842 , 0.000244 , 0 , 0.019883 , 0.011093 , 0.005201 , 0.000551 , 0.001512 , 0 , 0 , 0 , 0 , 0 , 0.00344 , 0.003856 , 0.001732 , 0.003235 , 0.001075 , 0.001108 , 0.001493 , 0.000432 , 0.001007 , 0.000363 , 0.004852 , 0.00396 , 0.004491 , 0.000954 , 0.001885 
 344 , 0 , 0.004503 , 0.021487 , 0.002519 , 0.001661 , 0.014503 , 0.007971 , 0.001681 , 0.004688 , 0.008433 , 0.004426 , 0.003838 , 0.002927 , 0.000378 , 0 , 0.021613 , 0.012483 , 0.005566 , 0.000892 , 0.002138 , 0 , 0 , 0 , 0 , 0 , 0.004331 , 0.004612 , 0.002337 , 0.003795 , 0.001757 , 0.001764 , 0.002185 , 0.00068 , 0.001565 , 0.000574 , 0.005516 , 0.004595 , 0.005506 , 0.00156 , 0.002636 
 345 , 0.000011 , 0.005371 , 0.022174 , 0.002952 , 0.002205 , 0.014382 , 0.008857 , 0.001988 , 0.006031 , 0.009063 , 0.005206 , 0.004581 , 0.00386 , 0.000528 , 0.000026 , 0.023134 , 0.013653 , 0.005904 , 0.001198 , 0.00267 , 0 , 0 , 0.000014 , 0 , 0.00002 , 0.005134 , 0.005266 , 0.002883 , 0.004292 , 0.002374 , 0.002344 , 0.002798 , 0.000912 , 0.002038 , 0.000778 , 0.006148 , 0.005143 , 0.006416 , 0.002139 , 0.003254 
 346 , 0.000162 , 0.005629 , 0.022551 , 0.003478 , 0.002079 , 0.014202 , 0.009406 , 0.002929 , 0.005857 , 0.009906 , 0.005704 , 0.004822 , 0.004278 , 0.00108 , 0.000381 , 0.023344 , 0.013596 , 0.006554 , 0.001399 , 0.003292 , 0 , 0 , 0.000206 , 0 , 0.000286 , 0.005435 , 0.00563 , 0.003425 , 0.004785 , 0.002684 , 0.002804 , 0.00312 , 0.001283 , 0.002413 , 0.001207 , 0.007199 , 0.00574 , 0.006813 , 0.002839 , 0.003392 
