JUL21WSG100005.spu,
Wavelength,JUL21WSG100006.spu,JUL21WSG100007.spu,JUL21WSG100008.spu,JUL21WSG100009.spu,JUL21WSG100010.spu,JUL21WSG100011.spu,JUL21WSG100012.spu,JUL21WSG100013.spu,JUL21WSG100014.spu,JUL21WSG100015.spu,JUL21WSG100016.spu,JUL21WSG100017.spu,JUL21WSG100018.spu,JUL21WSG100019.spu,JUL21WSG100020.spu,JUL21WSG100021.spu,JUL21WSG100022.spu,JUL21WSG100023.spu,JUL21WSG100024.spu,JUL21WSG100025.spu
  (nm),7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 
  time  ,:53:59 A,:54:10 A,:54:22 A,:54:31 A,:54:40 A,:55:04 A,:55:14 A,:55:21 A,:55:29 A,:55:35 A,:55:59 A,:56:04 A,:56:10 A,:56:17 A,:56:32 A,:57:16 A,:57:23 A,:57:28 A,:57:34 A,:57:40 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 348 , 0.014517 , 0.004827 , 0.011815 , 0.00801 , 0.002389 , 0.003244 , 0.004809 , 0.004711 , 0.004189 , 0.00556 , 0.002208 , 0.002506 , 0.005607 , 0.009352 , 0.000562 , 0.011442 , 0.012492 , 0.012185 , 0.005831 , 0.017184 
 349 , 0.014467 , 0.005258 , 0.012635 , 0.008135 , 0.002976 , 0.003169 , 0.005626 , 0.005093 , 0.004682 , 0.005562 , 0.002441 , 0.003071 , 0.006148 , 0.009674 , 0.00061 , 0.011507 , 0.012942 , 0.012058 , 0.00645 , 0.017627 
 350 , 0.014383 , 0.005632 , 0.013642 , 0.00782 , 0.003568 , 0.002776 , 0.006643 , 0.005166 , 0.005225 , 0.005262 , 0.002538 , 0.003566 , 0.006437 , 0.009822 , 0.000624 , 0.011126 , 0.013491 , 0.011938 , 0.007008 , 0.017239 
 351 , 0.014247 , 0.005943 , 0.014625 , 0.00752 , 0.004056 , 0.002424 , 0.007654 , 0.005184 , 0.005647 , 0.004988 , 0.002611 , 0.003975 , 0.006614 , 0.009889 , 0.000636 , 0.010752 , 0.014043 , 0.011761 , 0.007397 , 0.016822 
 352 , 0.014513 , 0.00633 , 0.015677 , 0.007502 , 0.004523 , 0.002414 , 0.008466 , 0.005436 , 0.006004 , 0.005061 , 0.002744 , 0.004108 , 0.00701 , 0.009889 , 0.000737 , 0.011074 , 0.01446 , 0.011843 , 0.007758 , 0.016965 
 353 , 0.01557 , 0.006932 , 0.01677 , 0.008 , 0.005062 , 0.003048 , 0.008802 , 0.006218 , 0.006337 , 0.005797 , 0.003016 , 0.003786 , 0.007962 , 0.009814 , 0.001021 , 0.012807 , 0.01462 , 0.01243 , 0.008221 , 0.018143 
 354 , 0.016516 , 0.007488 , 0.01773 , 0.008451 , 0.005575 , 0.003651 , 0.009091 , 0.006971 , 0.006619 , 0.006538 , 0.003269 , 0.003477 , 0.008869 , 0.009711 , 0.00129 , 0.014564 , 0.014802 , 0.012923 , 0.008626 , 0.019174 
 355 , 0.01737 , 0.008003 , 0.01858 , 0.008861 , 0.006063 , 0.004223 , 0.009342 , 0.007692 , 0.006859 , 0.007287 , 0.003503 , 0.003181 , 0.009733 , 0.009592 , 0.001543 , 0.016343 , 0.014992 , 0.013342 , 0.008984 , 0.020083 
 356 , 0.016657 , 0.007777 , 0.018378 , 0.008676 , 0.006438 , 0.00409 , 0.009534 , 0.007698 , 0.007014 , 0.007625 , 0.003765 , 0.003537 , 0.008916 , 0.00966 , 0.001623 , 0.016214 , 0.0154 , 0.013234 , 0.009121 , 0.019352 
 357 , 0.015965 , 0.007538 , 0.018154 , 0.008481 , 0.006787 , 0.00394 , 0.009708 , 0.007671 , 0.007145 , 0.007915 , 0.004011 , 0.003888 , 0.008166 , 0.00973 , 0.001692 , 0.016016 , 0.015807 , 0.013113 , 0.009238 , 0.018651 
