 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 331 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 0.049788 , 4.626559 , 4.626559 , 4.626559 , 4.626559 
 332 , 4.937911 , 4.937911 , 0.586669 , 4.937911 , 4.937911 , 0.041153 , 4.937911 , 4.937911 , 0 , 0.301737 , 0 , 4.937911 , 1.531424 , 4.937911 , 4.937911 , 4.937911 , 4.937911 , 4.937911 , 4.937911 , 1.541931 , 0 , 0.082306 , 0 , 0 , 4.937911 , 0.041153 , 4.937911 , 4.937911 , 0 , 4.937911 , 0.053738 , 4.937911 , 4.937911 , 4.937911 , 0.100802 
 333 , 5.284958 , 5.284958 , 0.35395 , 5.284958 , 5.284958 , 0.045921 , 5.284958 , 5.284958 , 0 , 0.243443 , 0 , 5.284958 , 0.802981 , 5.284958 , 5.284958 , 5.284958 , 5.284958 , 5.284958 , 5.284958 , 0.778548 , 0 , 0.091841 , 0 , 0 , 5.284958 , 0.045921 , 5.284958 , 5.284958 , 0 , 5.284958 , 0.058853 , 5.284958 , 5.284958 , 5.284958 , 0.11248 
 334 , 5.54123 , 5.54123 , 0.303142 , 5.54123 , 5.54123 , 0.048613 , 5.54123 , 5.54123 , 0 , 0.235522 , 0 , 5.54123 , 0.634475 , 5.54123 , 5.54123 , 5.54123 , 5.54123 , 5.54123 , 5.54123 , 0.600005 , 0 , 0.097225 , 0 , 0 , 5.54123 , 0.048613 , 5.54123 , 5.54123 , 0 , 5.54123 , 0.062361 , 5.54123 , 5.54123 , 5.54123 , 0.119074 
 335 , 0 , 0.390144 , 0.179705 , 1.036951 , 0.679653 , 0.052031 , 0.001211 , 0.394633 , 0 , 0.225835 , 0 , 0.018542 , 0.304505 , 1.16001 , 0.008621 , 0 , 0 , 0.913347 , 1.186907 , 0.442801 , 0.000482 , 0.095151 , 0.001061 , 0 , 0.163717 , 0.049365 , 0.909255 , 0 , 0 , 0 , 0.058575 , 0.64593 , 0.479591 , 0.035234 , 0.094443 
 336 , 0 , 0.105214 , 0.084598 , 0.257829 , 0.168753 , 0.059055 , 0.00147 , 0.111696 , 0 , 0.206314 , 0 , 0.022511 , 0.120176 , 0.301959 , 0.010466 , 0 , 0 , 0.219917 , 0.295397 , 0.285325 , 0.001348 , 0.082162 , 0.007859 , 0 , 0.076978 , 0.048473 , 0.24522 , 0 , 0 , 0 , 0.046724 , 0.155792 , 0.120924 , 0.029014 , 0.06349 
 337 , 0 , 0.074397 , 0.062802 , 0.173048 , 0.113154 , 0.063004 , 0.001525 , 0.081217 , 0 , 0.195928 , 0 , 0.02335 , 0.083538 , 0.208898 , 0.010856 , 0 , 0 , 0.144297 , 0.198393 , 0.227795 , 0.001624 , 0.075289 , 0.017984 , 0 , 0.068366 , 0.047972 , 0.173399 , 0 , 0 , 0 , 0.041476 , 0.102347 , 0.081934 , 0.028799 , 0.05533 
 338 , 0 , 0.062185 , 0.052767 , 0.139481 , 0.091141 , 0.065181 , 0.001545 , 0.069134 , 0 , 0.188479 , 0 , 0.023661 , 0.067329 , 0.172036 , 0.011001 , 0 , 0 , 0.114366 , 0.159986 , 0.196708 , 0.001755 , 0.070663 , 0.033847 , 0 , 0.064912 , 0.047398 , 0.14494 , 0 , 0 , 0 , 0.038297 , 0.081193 , 0.066494 , 0.028689 , 0.051295 
 339 , 0.000857 , 0.057861 , 0.052125 , 0.090632 , 0.089078 , 0.04049 , 0.004531 , 0.051497 , 0.004499 , 0.100089 , 0.000207 , 0.022882 , 0.070184 , 0.102661 , 0.012907 , 0 , 0.003109 , 0.097151 , 0.090923 , 0.146313 , 0.005446 , 0.063582 , 0.023653 , 0 , 0.047597 , 0.04681 , 0.076408 , 0 , 0 , 0 , 0.040401 , 0.067466 , 0.072757 , 0.023351 , 0.044779 
 340 , 0.001435 , 0.054643 , 0.051917 , 0.068753 , 0.088177 , 0.030021 , 0.006921 , 0.041874 , 0.006829 , 0.069192 , 0.000396 , 0.022063 , 0.074278 , 0.074325 , 0.014517 , 0 , 0.00479 , 0.086095 , 0.065364 , 0.117573 , 0.00721 , 0.058331 , 0.020427 , 0 , 0.039223 , 0.045821 , 0.053745 , 0 , 0 , 0 , 0.042435 , 0.058716 , 0.080887 , 0.020572 , 0.040259 
