  time  ,45:09 PM,45:17 PM,45:23 PM,45:31 PM,45:36 PM,46:51 PM,46:58 PM,47:04 PM,47:10 PM,47:21 PM,47:42 PM,47:48 PM,47:55 PM,48:03 PM,48:10 PM,48:58 PM,49:04 PM,49:11 PM,49:17 PM,49:25 PM,49:54 PM,50:00 PM,50:06 PM,50:12 PM,50:22 PM,50:54 PM,51:01 PM,51:08 PM,51:17 PM,51:24 PM,52:31 PM,52:37 PM,52:43 PM,52:49 PM,52:56 PM,53:31 PM,53:38 PM,53:46 PM,53:52 PM,53:59 PM,55:01 PM,55:07 PM,55:16 PM,55:22 PM,55:28 PM,55:45 PM,55:52 PM,55:59 PM,56:05 PM,56:11 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 
 327 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 
 328 , 1.913371 , 1.913371 , 0 , 0 , 0 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 0 , 0 , 0 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 0 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 1.913371 , 0 , 1.913371 , 1.913371 
 329 , 3.788449 , 3.788449 , 0 , 0.029765 , 0 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 0 , 0 , 0 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 0 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 3.788449 , 0 , 3.788449 , 3.788449 
 330 , 4.421191 , 4.421191 , 0 , 0.035636 , 0 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 0 , 0 , 0 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 0 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 4.421191 , 0 , 4.421191 , 4.421191 
 331 , 4.626559 , 4.626559 , 0 , 0.037608 , 0 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 0 , 0 , 0 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 0 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 4.626559 , 0 , 4.626559 , 4.626559 
 332 , 0.015259 , 4.937911 , 0 , 0.040281 , 0.010283 , 4.937911 , 0 , 0 , 0 , 0 , 0 , 4.937911 , 4.937911 , 4.937911 , 0 , 4.937911 , 0.580977 , 1.663589 , 0.182925 , 0.06173 , 0 , 0 , 0 , 0 , 0 , 0.000533 , 0 , 0 , 0 , 4.937911 , 0.040793 , 0.017109 , 4.937911 , 4.937911 , 4.937911 , 0.010712 , 4.937911 , 4.937911 , 0.400276 , 0.082306 , 0 , 0 , 0 , 4.937911 , 0.07918 , 4.937911 , 4.937911 , 0 , 0 , 4.937911 
 333 , 0.017027 , 5.284958 , 0 , 0.043619 , 0.047017 , 5.284958 , 0 , 0 , 0 , 0 , 0 , 5.284958 , 5.284958 , 5.284958 , 0 , 5.284958 , 0.300022 , 0.838178 , 0.1004 , 0.068881 , 0 , 0 , 0 , 0 , 0 , 0.001422 , 0 , 0 , 0 , 5.284958 , 0.030294 , 0.019091 , 5.284958 , 5.284958 , 5.284958 , 0.011953 , 5.284958 , 5.284958 , 0.277274 , 0.091841 , 0 , 0 , 0 , 5.284958 , 0.044371 , 5.284958 , 5.284958 , 0 , 0 , 5.284958 
 334 , 0.018025 , 5.54123 , 0 , 0.046019 , 0.186415 , 5.54123 , 0 , 0 , 0 , 0 , 0 , 5.54123 , 5.54123 , 5.54123 , 0 , 5.54123 , 0.23473 , 0.645014 , 0.081603 , 0.072919 , 0 , 0 , 0 , 0 , 0 , 0.002243 , 0 , 0 , 0 , 5.54123 , 0.028447 , 0.02021 , 5.54123 , 5.54123 , 5.54123 , 0.012654 , 5.54123 , 5.54123 , 0.253221 , 0.097225 , 0 , 0 , 0 , 5.54123 , 0.036505 , 5.54123 , 5.54123 , 0 , 0 , 5.54123 
 335 , 0.017761 , 0.106957 , 0 , 0.049439 , 0.109033 , 0 , 0 , 0 , 0 , 0 , 0.000824 , 0.364306 , 0.492097 , 0 , 0 , 0.084666 , 0.198129 , 0.306141 , 0.07308 , 0.062038 , 0 , 0 , 0.002586 , 0 , 0 , 0.004559 , 0.002504 , 0 , 0.000992 , 0 , 0.03081 , 0.021444 , 0.642603 , 0 , 0.069821 , 0.014343 , 0.296803 , 0.354172 , 0.143115 , 0.111077 , 0.000391 , 0 , 0 , 0.434042 , 0.036463 , 0.004009 , 0.003342 , 0.001038 , 0.001084 , 0 
