  time  ,21:15 PM,21:23 PM,21:29 PM,21:37 PM,21:47 PM,22:33 PM,22:39 PM,22:46 PM,22:55 PM,23:03 PM,23:40 PM,23:46 PM,23:53 PM,24:00 PM,24:07 PM,24:56 PM,25:03 PM,25:11 PM,25:18 PM,25:25 PM,26:14 PM,26:21 PM,26:28 PM,26:36 PM,26:43 PM,27:05 PM,27:11 PM,27:17 PM,27:26 PM,27:35 PM,28:29 PM,28:34 PM,28:40 PM,28:47 PM,28:55 PM,29:37 PM,29:43 PM,29:54 PM,30:00 PM,30:08 PM,31:24 PM,31:30 PM,31:37 PM,31:44 PM,31:50 PM,32:21 PM,32:29 PM,32:36 PM,32:42 PM,32:49 PM,34:10 PM,34:16 PM,34:23 PM,34:30 PM,34:36 PM,35:13 PM,35:20 PM,35:29 PM,35:36 PM,35:44 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0 , 0 , 0 , 3.048114 , 0 , 0.001462 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.048114 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.048114 , 0 , 3.048114 , 0 , 0 , 0 , 3.048114 , 0 , 0 , 3.048114 , 0.002517 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 0 , 0 , 3.048114 , 3.048114 , 0 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 3.048114 , 0 , 3.048114 , 3.048114 
 327 , 0 , 0 , 0 , 2.773465 , 0 , 0.003967 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.773465 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.773465 , 0 , 2.773465 , 0 , 0 , 0 , 2.773465 , 0 , 0 , 2.773465 , 0.008038 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 0 , 0 , 2.773465 , 2.773465 , 0 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 2.773465 , 0 , 2.773465 , 2.773465 
 328 , 0 , 0 , 0 , 0 , 0 , 0.012577 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.913371 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.349315 , 0 , 1.587956 , 0 , 0.142577 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.913371 , 0 , 0 , 1.913371 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0.011934 , 0 , 0 , 0 , 0.009385 , 0.0045 , 0.005351 , 0.000498 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001453 , 0 , 3.788449 , 0.001968 , 0 , 0 , 0.003924 , 0.002056 , 0 , 0 , 0 , 0 , 0.018097 , 0.025065 , 0.066389 , 0 , 0.01275 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000617 , 0 , 0 , 0.001771 , 0 , 3.788449 , 0 , 0.010122 , 3.788449 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0.01226 , 0 , 0 , 0 , 0.014854 , 0.008302 , 0.007799 , 0.000967 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003179 , 0 , 4.421191 , 0.002357 , 0 , 0 , 0.006373 , 0.004559 , 0 , 0 , 0 , 0 , 0.017433 , 0.030009 , 0.060242 , 0 , 0.013537 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001034 , 0 , 0 , 0.002121 , 0 , 4.421191 , 0 , 0.012119 , 4.421191 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0.012151 , 0 , 0 , 0 , 0.017575 , 0.010704 , 0.008877 , 0.001289 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004642 , 0 , 4.626559 , 0.002487 , 0 , 0 , 0.007638 , 0.006738 , 0 , 0 , 0 , 0 , 0.016949 , 0.03167 , 0.056988 , 0 , 0.013695 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00126 , 0 , 0 , 0.002238 , 0 , 4.626559 , 0 , 0.01279 , 4.626559 , 0 , 0 , 0 , 0 , 0 
 332 , 0.000139 , 0 , 0 , 0 , 0.000584 , 0.014776 , 0.00269 , 0.002195 , 0.001277 , 0.021365 , 0.01276 , 0.0111 , 0.00349 , 0.001768 , 0.000641 , 0.000584 , 0 , 0.001513 , 0.000511 , 0.000451 , 0 , 0.001087 , 0 , 0.006921 , 0 , 0.333518 , 0.004484 , 0.000804 , 0.001052 , 0.010123 , 0.009758 , 0.001653 , 0 , 0 , 0 , 0.019639 , 0.028452 , 0.054483 , 0.000406 , 0.019263 , 0.001495 , 0.001269 , 0.00082 , 0.000471 , 0.00619 , 0.00098 , 0.005043 , 0.002797 , 0.003266 , 0.004962 , 0.00197 , 0.030865 , 0.010463 , 0.017784 , 0.009155 , 0 , 0.000119 , 0 , 0 , 0 
 333 , 0.000391 , 0 , 0 , 0 , 0.001412 , 0.019061 , 0.006907 , 0.006716 , 0.00251 , 0.025885 , 0.01459 , 0.014138 , 0.006456 , 0.003788 , 0.001646 , 0.001637 , 0 , 0.003803 , 0.001616 , 0.001133 , 0 , 0.002592 , 0 , 0.0095 , 0 , 0.152669 , 0.007562 , 0.001664 , 0.002855 , 0.012315 , 0.013484 , 0.004715 , 0 , 0 , 0 , 0.02346 , 0.026812 , 0.053501 , 0.00146 , 0.029103 , 0.00416 , 0.002881 , 0.001853 , 0.001453 , 0.008448 , 0.001995 , 0.010001 , 0.007096 , 0.005659 , 0.010471 , 0.005922 , 0.034441 , 0.015219 , 0.026312 , 0.010216 , 0 , 0.000279 , 0 , 0 , 0 
 334 , 0.00065 , 0 , 0 , 0 , 0.002065 , 0.023129 , 0.010565 , 0.012092 , 0.003241 , 0.02981 , 0.016022 , 0.016932 , 0.008789 , 0.005127 , 0.002517 , 0.002696 , 0 , 0.005722 , 0.00302 , 0.001705 , 0 , 0.003753 , 0 , 0.011608 , 0 , 0.109385 , 0.010259 , 0.002207 , 0.004572 , 0.013636 , 0.017082 , 0.007899 , 0 , 0 , 0 , 0.02636 , 0.026334 , 0.053121 , 0.003257 , 0.039413 , 0.006812 , 0.004039 , 0.002588 , 0.002643 , 0.009441 , 0.002623 , 0.013704 , 0.010753 , 0.006892 , 0.017146 , 0.010464 , 0.036459 , 0.017358 , 0.035219 , 0.010815 , 0 , 0.000398 , 0 , 0 , 0 
 335 , 0.001168 , 0 , 0 , 0.000364 , 0.003045 , 0.026348 , 0.013849 , 0.016546 , 0.00411 , 0.031402 , 0.01762 , 0.019424 , 0.011094 , 0.00639 , 0.00356 , 0.003973 , 0.000502 , 0.00747 , 0.00509 , 0.00275 , 0.000018 , 0.005096 , 0.000327 , 0.01337 , 0.000294 , 0.090276 , 0.012375 , 0.00308 , 0.006597 , 0.014837 , 0.020623 , 0.011284 , 0 , 0 , 0 , 0.029266 , 0.026991 , 0.0517 , 0.006159 , 0.050965 , 0.009375 , 0.005373 , 0.003651 , 0.004578 , 0.011045 , 0.003485 , 0.016382 , 0.014443 , 0.008119 , 0.022939 , 0.01425 , 0.035834 , 0.018424 , 0.040749 , 0.011718 , 0.000161 , 0.001194 , 0.000177 , 0 , 0.000562 
