JUL8WSG100005.spu,JUL8WSG100004.spu,JUL8WSG100003.spu,
Wavelength,JUL8WSG100006.spu,JUL8WSG100007.spu,JUL8WSG100008.spu,JUL8WSG100009.spu,JUL8WSG100010.spu,JUL8WSG100011.spu,JUL8WSG100012.spu,JUL8WSG100013.spu,JUL8WSG100014.spu,JUL8WSG100015.spu,JUL8WSG100016.spu,JUL8WSG100017.spu,JUL8WSG100018.spu,JUL8WSG100019.spu,JUL8WSG100020.spu,JUL8WSG100021.spu,JUL8WSG100022.spu,JUL8WSG100023.spu,JUL8WSG100024.spu,JUL8WSG100025.spu
  (nm),7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3
  time  ,7:48 PM",7:56 PM",8:03 PM",8:10 PM",8:18 PM",8:43 PM",8:49 PM",8:56 PM",9:04 PM",9:14 PM",9:32 PM",9:36 PM",9:42 PM",9:48 PM",9:54 PM",0:24 PM",0:29 PM",0:37 PM",0:43 PM",0:49 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 366 , 0.029441 , 0.026112 , 0.019985 , 0.024047 , 0.011812 , 0.014377 , 0.016213 , 0.016329 , 0.020806 , 0.014604 , 0.010774 , 0.014175 , 0.013595 , 0.010683 , 0.01108 , 0.025773 , 0.028372 , 0.021109 , 0.017583 , 0.03025 
 367 , 0.029489 , 0.025921 , 0.019093 , 0.02359 , 0.012045 , 0.014072 , 0.016007 , 0.015724 , 0.019967 , 0.014916 , 0.01112 , 0.01449 , 0.013886 , 0.010106 , 0.011016 , 0.025162 , 0.028036 , 0.022002 , 0.018099 , 0.030999 
 368 , 0.029525 , 0.025749 , 0.018316 , 0.023175 , 0.012271 , 0.01381 , 0.015832 , 0.015183 , 0.019231 , 0.015216 , 0.011457 , 0.014793 , 0.014166 , 0.009591 , 0.010947 , 0.024611 , 0.027728 , 0.022901 , 0.0186 , 0.031723 
 369 , 0.0303 , 0.026242 , 0.018369 , 0.023154 , 0.012495 , 0.014011 , 0.016073 , 0.014967 , 0.019332 , 0.01536 , 0.011933 , 0.01512 , 0.014629 , 0.00961 , 0.01082 , 0.024716 , 0.028339 , 0.023185 , 0.019106 , 0.031549 
 370 , 0.031975 , 0.027526 , 0.019365 , 0.02359 , 0.012693 , 0.014753 , 0.016801 , 0.015082 , 0.020388 , 0.015305 , 0.012581 , 0.015432 , 0.015296 , 0.010243 , 0.010599 , 0.025581 , 0.030059 , 0.022768 , 0.019577 , 0.030323 
 371 , 0.033564 , 0.028722 , 0.020302 , 0.02401 , 0.012821 , 0.015446 , 0.017482 , 0.015138 , 0.021385 , 0.015226 , 0.013201 , 0.015642 , 0.015883 , 0.01084 , 0.01034 , 0.026401 , 0.031686 , 0.022497 , 0.019931 , 0.029141 
 372 , 0.034913 , 0.029728 , 0.021139 , 0.024379 , 0.012921 , 0.016014 , 0.018032 , 0.015141 , 0.022172 , 0.015132 , 0.013719 , 0.015734 , 0.016351 , 0.011358 , 0.010045 , 0.027069 , 0.033045 , 0.022249 , 0.020091 , 0.028039 
 373 , 0.033522 , 0.028733 , 0.020942 , 0.024157 , 0.013076 , 0.015213 , 0.017253 , 0.014832 , 0.020485 , 0.014845 , 0.013047 , 0.015075 , 0.015709 , 0.010986 , 0.009549 , 0.026009 , 0.031218 , 0.021052 , 0.018557 , 0.027343 
 374 , 0.032444 , 0.027977 , 0.020848 , 0.023984 , 0.0133 , 0.014596 , 0.016524 , 0.014633 , 0.019197 , 0.014697 , 0.012495 , 0.014584 , 0.015297 , 0.010707 , 0.009164 , 0.025105 , 0.029853 , 0.020038 , 0.017422 , 0.026818 
 375 , 0.031585 , 0.02739 , 0.02083 , 0.02385 , 0.013575 , 0.014103 , 0.015831 , 0.014514 , 0.018169 , 0.014647 , 0.012026 , 0.01421 , 0.015037 , 0.010492 , 0.008853 , 0.024313 , 0.028798 , 0.019153 , 0.016542 , 0.026417 
 376 , 0.031297 , 0.027878 , 0.02104 , 0.024215 , 0.013365 , 0.014185 , 0.015735 , 0.014515 , 0.017799 , 0.014522 , 0.011876 , 0.013814 , 0.014463 , 0.010278 , 0.008757 , 0.024047 , 0.028272 , 0.018965 , 0.015935 , 0.026163 
 377 , 0.031266 , 0.028697 , 0.02126 , 0.024676 , 0.012999 , 0.014435 , 0.015923 , 0.014573 , 0.017718 , 0.01436 , 0.011904 , 0.013514 , 0.013841 , 0.010109 , 0.008782 , 0.024039 , 0.028093 , 0.019214 , 0.015517 , 0.02612 
 378 , 0.031272 , 0.029434 , 0.021413 , 0.025045 , 0.012665 , 0.014637 , 0.016148 , 0.014644 , 0.017673 , 0.014197 , 0.01198 , 0.013301 , 0.013288 , 0.00998 , 0.008839 , 0.024076 , 0.028042 , 0.019596 , 0.015181 , 0.026205 
 379 , 0.031385 , 0.029905 , 0.021462 , 0.025169 , 0.012405 , 0.014708 , 0.016236 , 0.014585 , 0.017728 , 0.014013 , 0.011919 , 0.013133 , 0.012931 , 0.009842 , 0.008799 , 0.023908 , 0.02767 , 0.019614 , 0.014837 , 0.025874 
