  time  ,43:20 PM,43:36 PM,43:46 PM,43:59 PM,44:08 PM,45:32 PM,45:47 PM,45:59 PM,46:13 PM,46:25 PM,47:26 PM,47:37 PM,47:47 PM,47:56 PM,48:06 PM,48:43 PM,48:54 PM,49:04 PM,49:14 PM,49:26 PM,51:21 PM,51:33 PM,51:46 PM,51:59 PM,52:12 PM,53:19 PM,53:29 PM,53:40 PM,53:51 PM,54:04 PM,54:33 PM,54:43 PM,55:01 PM,55:15 PM,55:27 PM,56:16 PM,56:26 PM,56:36 PM,56:50 PM,57:00 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1092 , 0.29409 , 0.38629 , 0.30407 , 0.32604 , 0.2959 , 0.27577 , 0.24739 , 0.165 , 0.18184 , 0.26595 , 0.18998 , 0.20106 , 0.19534 , 0.23716 , 0.22822 , 0.28399 , 0.24554 , 0.25501 , 0.2188 , 0.23992 , 0.27624 , 0.2026 , 0.23528 , 0.25151 , 0.30635 , 0.15321 , 0.14301 , 0.15297 , 0.1741 , 0.20784 , 0.23825 , 0.17235 , 0.11577 , 0.15957 , 0.15298 , 0.20369 , 0.20648 , 0.22413 , 0.17964 , 0.28295 
 1093 , 0.28181 , 0.37943 , 0.30178 , 0.32532 , 0.28487 , 0.27123 , 0.24088 , 0.16129 , 0.18011 , 0.26167 , 0.1893 , 0.1942 , 0.19245 , 0.23292 , 0.22618 , 0.26959 , 0.24197 , 0.24738 , 0.21427 , 0.23558 , 0.27109 , 0.19674 , 0.2306 , 0.24328 , 0.29803 , 0.15083 , 0.14049 , 0.15453 , 0.16814 , 0.20372 , 0.23257 , 0.16951 , 0.10922 , 0.1639 , 0.15204 , 0.20024 , 0.20334 , 0.22388 , 0.17963 , 0.28051 
 1094 , 0.2733 , 0.37121 , 0.29897 , 0.31977 , 0.2756 , 0.26604 , 0.23563 , 0.15789 , 0.17714 , 0.25621 , 0.18831 , 0.18898 , 0.18875 , 0.22767 , 0.22202 , 0.25712 , 0.23824 , 0.23981 , 0.20798 , 0.23059 , 0.26719 , 0.19082 , 0.22502 , 0.23543 , 0.29235 , 0.14838 , 0.13818 , 0.15509 , 0.16092 , 0.19866 , 0.22577 , 0.16469 , 0.10554 , 0.1647 , 0.15063 , 0.19599 , 0.19912 , 0.22136 , 0.17747 , 0.27626 
 1095 , 0.27078 , 0.36098 , 0.2954 , 0.30681 , 0.2691 , 0.2599 , 0.23232 , 0.15499 , 0.1723 , 0.24895 , 0.18686 , 0.1863 , 0.18381 , 0.22088 , 0.21463 , 0.24765 , 0.2343 , 0.23242 , 0.19903 , 0.22466 , 0.26525 , 0.18483 , 0.2181 , 0.22825 , 0.29083 , 0.14587 , 0.1362 , 0.15403 , 0.15182 , 0.1922 , 0.21725 , 0.15689 , 0.10619 , 0.16006 , 0.14849 , 0.19056 , 0.19326 , 0.21538 , 0.17196 , 0.26921 
 1096 , 0.26576 , 0.34518 , 0.29059 , 0.28952 , 0.26036 , 0.25097 , 0.2277 , 0.15206 , 0.16588 , 0.23902 , 0.18098 , 0.18248 , 0.17505 , 0.21256 , 0.20668 , 0.2381 , 0.22886 , 0.22297 , 0.18762 , 0.21516 , 0.26116 , 0.1784 , 0.20847 , 0.21875 , 0.28455 , 0.14045 , 0.13366 , 0.14976 , 0.14138 , 0.18361 , 0.20924 , 0.15001 , 0.1073 , 0.15357 , 0.14269 , 0.18262 , 0.18582 , 0.20669 , 0.16414 , 0.25545 
 1097 , 0.26109 , 0.33087 , 0.28605 , 0.2732 , 0.25208 , 0.24254 , 0.2235 , 0.14955 , 0.16008 , 0.2298 , 0.17555 , 0.17946 , 0.16768 , 0.20533 , 0.1997 , 0.23021 , 0.22431 , 0.2148 , 0.17772 , 0.20665 , 0.2572 , 0.17294 , 0.20005 , 0.21032 , 0.27866 , 0.13573 , 0.13162 , 0.14602 , 0.13272 , 0.17572 , 0.20184 , 0.14407 , 0.10848 , 0.14729 , 0.13782 , 0.17597 , 0.17972 , 0.19896 , 0.15758 , 0.24296 
 1098 , 0.25929 , 0.32661 , 0.28395 , 0.26307 , 0.2472 , 0.2378 , 0.22239 , 0.15036 , 0.15884 , 0.2258 , 0.17273 , 0.18242 , 0.16971 , 0.20666 , 0.20055 , 0.23514 , 0.22671 , 0.21654 , 0.17857 , 0.20488 , 0.25429 , 0.17483 , 0.20045 , 0.20972 , 0.27532 , 0.13572 , 0.13329 , 0.14613 , 0.1371 , 0.17293 , 0.19895 , 0.14577 , 0.11005 , 0.14244 , 0.13903 , 0.17879 , 0.184 , 0.19798 , 0.16018 , 0.23934 
 1099 , 0.2535 , 0.3194 , 0.27625 , 0.25127 , 0.2399 , 0.23078 , 0.21899 , 0.14849 , 0.15562 , 0.22016 , 0.16975 , 0.18202 , 0.17098 , 0.20482 , 0.19749 , 0.23673 , 0.2251 , 0.21413 , 0.1779 , 0.20118 , 0.24745 , 0.17499 , 0.19803 , 0.20681 , 0.2693 , 0.13533 , 0.13307 , 0.14454 , 0.14065 , 0.16834 , 0.19391 , 0.14522 , 0.10977 , 0.13674 , 0.13978 , 0.179 , 0.18425 , 0.19564 , 0.161 , 0.23306 
 1100 , 0.24632 , 0.31122 , 0.26665 , 0.23905 , 0.23181 , 0.223 , 0.21475 , 0.14562 , 0.15171 , 0.21396 , 0.16674 , 0.18032 , 0.17193 , 0.20178 , 0.19298 , 0.23694 , 0.22198 , 0.21017 , 0.17664 , 0.19682 , 0.23931 , 0.17445 , 0.19458 , 0.20304 , 0.2624 , 0.1348 , 0.13209 , 0.14233 , 0.14382 , 0.16315 , 0.18815 , 0.14377 , 0.10876 , 0.13079 , 0.14034 , 0.17818 , 0.18291 , 0.1928 , 0.16109 , 0.22592 
 1101 , 0.23748 , 0.29227 , 0.25088 , 0.234 , 0.219 , 0.21656 , 0.20556 , 0.13766 , 0.14409 , 0.20803 , 0.15768 , 0.17221 , 0.16773 , 0.19499 , 0.18713 , 0.22858 , 0.21399 , 0.19924 , 0.17332 , 0.1856 , 0.22906 , 0.16932 , 0.18854 , 0.1946 , 0.25024 , 0.13044 , 0.12695 , 0.13522 , 0.14059 , 0.15586 , 0.18364 , 0.14039 , 0.10412 , 0.12516 , 0.13359 , 0.17168 , 0.1725 , 0.18643 , 0.15676 , 0.21279 
