  time  ,52:17 PM,52:24 PM,52:30 PM,52:43 PM,52:51 PM,53:25 PM,53:35 PM,53:41 PM,53:47 PM,53:55 PM,54:46 PM,54:52 PM,56:35 PM,56:42 PM,56:50 PM,57:33 PM,57:47 PM,57:57 PM,58:07 PM,58:20 PM,02:57 PM,03:06 PM,03:12 PM,03:18 PM,03:22 PM,03:30 PM,03:37 PM,03:45 PM,03:52 PM,04:01 PM,04:59 PM,05:09 PM,05:19 PM,05:29 PM,05:38 PM,06:58 PM,07:05 PM,07:15 PM,07:26 PM,07:37 PM,09:08 PM,09:14 PM,09:22 PM,09:29 PM,09:39 PM,10:34 PM,10:41 PM,10:49 PM,10:55 PM,11:02 PM,11:44 PM,11:52 PM,11:58 PM,12:04 PM,12:09 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.846633 , 0 , 8.846633 , 8.846633 , 8.846633 , 0 , 0 , 8.846633 , 8.846633 , 0 , 0 , 0 , 8.846633 , 8.846633 , 8.846633 , 8.846633 , 8.846633 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.846633 , 8.846633 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9.22352 , 0 , 9.22352 , 9.22352 , 9.22352 , 0 , 0 , 9.22352 , 9.22352 , 0 , 0 , 0 , 9.22352 , 9.22352 , 9.22352 , 9.22352 , 9.22352 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9.22352 , 9.22352 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9.514658 , 0 , 9.514658 , 9.514658 , 9.514658 , 0 , 0 , 9.514658 , 9.514658 , 0 , 0 , 0 , 9.514658 , 9.514658 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9.514658 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9.000808 , 0 , 9.000808 , 9.000808 , 9.000808 , 0 , 0 , 9.000808 , 9.000808 , 0 , 0 , 0 , 9.000808 , 9.000808 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9.000808 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.56715 , 0 , 8.56715 , 8.56715 , 8.56715 , 0 , 0 , 8.56715 , 8.56715 , 0 , 0 , 0 , 8.56715 , 8.56715 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.56715 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.197945 , 0 , 8.197945 , 8.197945 , 8.197945 , 0 , 0 , 8.197945 , 8.197945 , 0 , 0 , 0 , 8.197945 , 8.197945 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.197945 
 332 , 0.000461 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.208916 , 0 , 8.208916 , 8.208916 , 8.208916 , 0.001864 , 0.000659 , 8.208916 , 8.208916 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000077 , 0 , 0 , 0 , 0.000195 , 0 , 0 , 0.000659 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.208916 
 333 , 0.001202 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.394304 , 0 , 8.394304 , 8.394304 , 8.394304 , 0.004416 , 0.001784 , 8.394304 , 8.394304 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000195 , 0 , 0 , 0 , 0.000517 , 0 , 0 , 0.001679 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.394304 
 334 , 0.001879 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.552328 , 0 , 8.552328 , 8.552328 , 8.552328 , 0.006391 , 0.002887 , 8.552328 , 8.552328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000297 , 0 , 0 , 0 , 0.00082 , 0 , 0 , 0.002575 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.552328 
 335 , 0.002653 , 0.000258 , 0 , 0.000252 , 0.000178 , 0 , 0.000307 , 0.000293 , 0.000324 , 0.000243 , 0.000581 , 4.526728 , 0.000499 , 0.010227 , 0 , 8.731048 , 0.008217 , 0.003966 , 8.731048 , 8.731048 , 0.000363 , 0 , 0.000137 , 0 , 0 , 0.000998 , 0 , 0 , 0.000285 , 0.000105 , 0 , 0.000531 , 0.000065 , 0.000051 , 0.000198 , 0.001218 , 0 , 0 , 0.003448 , 0.000426 , 0.000294 , 0.000155 , 0.000081 , 0.000154 , 0.00024 , 0.000136 , 0.000393 , 0.000319 , 0 , 0 , 0.00018 , 0 , 0 , 0 , 8.731048 
