JUL27MAT00065.spu,JUL27MAT00064.spu,JUL27MAT00063.spu,JUL27MAT00062.spu,JUL27MAT00061.spu,
Wavelength,JUL27MAT00066.spu,JUL27MAT00067.spu,JUL27MAT00068.spu,JUL27MAT00069.spu,JUL27MAT00070.spu,JUL27MAT00071.spu,JUL27MAT00072.spu,JUL27MAT00073.spu,JUL27MAT00074.spu,JUL27MAT00075.spu,JUL27MAT00076.spu,JUL27MAT00077.spu,JUL27MAT00078.spu,JUL27MAT00079.spu,JUL27MAT00080.spu,JUL27MAT00081.spu,JUL27MAT00082.spu,JUL27MAT00083.spu,JUL27MAT00084.spu,JUL27MAT00085.spu,JUL27MAT00086.spu,JUL27MAT00087.spu,JUL27MAT00088.spu,JUL27MAT00089.spu,JUL27MAT00090.spu
  (nm),7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 
  time  ,19:45 PM,19:51 PM,19:56 PM,20:01 PM,20:07 PM,21:18 PM,21:27 PM,21:34 PM,21:40 PM,21:48 PM,22:20 PM,22:26 PM,22:30 PM,22:37 PM,22:42 PM,22:50 PM,22:56 PM,23:02 PM,23:09 PM,23:17 PM,23:31 PM,23:35 PM,23:41 PM,23:48 PM,23:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 340 , 0.012727 , 0.011922 , 0.009833 , 0.012781 , 0.008329 , 0.016934 , 0.016064 , 0.016984 , 0.013237 , 0.007931 , 0.006223 , 0.007153 , 0.004496 , 0.00781 , 0.010031 , 0.009769 , 0.010362 , 0.007667 , 0.006428 , 0.00954 , 0.018348 , 0.008294 , 0.012761 , 0.008586 , 0.009568 
 341 , 0.013036 , 0.011163 , 0.010082 , 0.014663 , 0.008707 , 0.017541 , 0.016397 , 0.017679 , 0.013716 , 0.008585 , 0.006355 , 0.007641 , 0.005492 , 0.009037 , 0.011085 , 0.010133 , 0.010965 , 0.008515 , 0.007526 , 0.009901 , 0.018871 , 0.008859 , 0.01393 , 0.009463 , 0.010614 
 342 , 0.013109 , 0.011437 , 0.010642 , 0.01593 , 0.009332 , 0.018143 , 0.017053 , 0.018144 , 0.014438 , 0.008916 , 0.007003 , 0.008199 , 0.006453 , 0.009777 , 0.012066 , 0.010785 , 0.011618 , 0.009377 , 0.0083 , 0.010345 , 0.01941 , 0.009582 , 0.014808 , 0.010204 , 0.011491 
 343 , 0.01296 , 0.012749 , 0.011575 , 0.016505 , 0.010254 , 0.018754 , 0.018057 , 0.018381 , 0.015425 , 0.008911 , 0.008285 , 0.008856 , 0.007377 , 0.009989 , 0.013001 , 0.011789 , 0.012342 , 0.010326 , 0.008692 , 0.010893 , 0.019978 , 0.010467 , 0.015378 , 0.010791 , 0.01216 
 344 , 0.012825 , 0.014008 , 0.012485 , 0.017004 , 0.011116 , 0.019303 , 0.018964 , 0.018579 , 0.016301 , 0.008902 , 0.009571 , 0.00948 , 0.008248 , 0.010163 , 0.013861 , 0.012751 , 0.013028 , 0.011262 , 0.009043 , 0.011395 , 0.020475 , 0.011285 , 0.015894 , 0.011314 , 0.012767 
 345 , 0.012805 , 0.015099 , 0.013349 , 0.017415 , 0.011849 , 0.019825 , 0.0198 , 0.018771 , 0.017046 , 0.008902 , 0.010751 , 0.010044 , 0.009034 , 0.010338 , 0.014565 , 0.013645 , 0.013651 , 0.012161 , 0.009382 , 0.011909 , 0.021026 , 0.01203 , 0.016397 , 0.011767 , 0.013339 
 346 , 0.013914 , 0.014901 , 0.013998 , 0.017443 , 0.011735 , 0.020634 , 0.020717 , 0.019253 , 0.01723 , 0.009189 , 0.010687 , 0.010289 , 0.009281 , 0.01074 , 0.014319 , 0.014148 , 0.014005 , 0.012816 , 0.009953 , 0.013021 , 0.022703 , 0.012608 , 0.017286 , 0.011987 , 0.014061 
 347 , 0.014953 , 0.014715 , 0.014538 , 0.017448 , 0.011624 , 0.02134 , 0.021526 , 0.019642 , 0.017378 , 0.00941 , 0.010619 , 0.010492 , 0.00951 , 0.011106 , 0.014096 , 0.014594 , 0.014297 , 0.013389 , 0.010471 , 0.01404 , 0.024336 , 0.013092 , 0.018061 , 0.012167 , 0.014721 
 348 , 0.015928 , 0.01454 , 0.01499 , 0.017437 , 0.011515 , 0.021958 , 0.022241 , 0.019956 , 0.017496 , 0.009581 , 0.01055 , 0.010663 , 0.009722 , 0.011441 , 0.013892 , 0.014992 , 0.014539 , 0.013892 , 0.010942 , 0.014975 , 0.025931 , 0.0135 , 0.01874 , 0.012315 , 0.015326 
 349 , 0.016483 , 0.014856 , 0.015283 , 0.017516 , 0.012097 , 0.021883 , 0.022106 , 0.020219 , 0.017869 , 0.009918 , 0.010613 , 0.010775 , 0.009708 , 0.011843 , 0.013856 , 0.015271 , 0.014645 , 0.014034 , 0.011345 , 0.015147 , 0.025982 , 0.013705 , 0.018494 , 0.012676 , 0.015403 
 350 , 0.016848 , 0.015326 , 0.015497 , 0.017575 , 0.012967 , 0.021525 , 0.021652 , 0.020438 , 0.018289 , 0.010284 , 0.01068 , 0.010822 , 0.009584 , 0.012244 , 0.013859 , 0.015465 , 0.014673 , 0.014009 , 0.011663 , 0.015002 , 0.025419 , 0.013808 , 0.017918 , 0.013084 , 0.015254 
