  time  ,48:41 PM,48:58 PM,49:29 PM,49:41 PM,49:52 PM,51:01 PM,51:10 PM,51:19 PM,51:27 PM,51:39 PM,53:35 PM,53:45 PM,53:53 PM,54:01 PM,54:09 PM,55:37 PM,55:48 PM,55:56 PM,56:05 PM,56:11 PM,58:27 PM,58:39 PM,58:44 PM,58:52 PM,59:01 PM,59:56 PM,00:04 PM,00:13 PM,00:21 PM,00:31 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.023861 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 , 59.529958 
 327 , 0.024152 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 , 54.987809 
 328 , 0.024383 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 51.241455 , 0 , 51.241455 
 329 , 0.022908 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 47.685776 , 0 , 47.685776 
 330 , 0.021603 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 44.684325 , 0 , 44.684325 
 331 , 0.020491 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 42.126108 , 0 , 42.126108 
 332 , 0.020832 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 0 , 39.288744 , 39.288744 , 0.327438 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 39.288744 , 0 , 0 , 0 
 333 , 0.021974 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 0 , 36.475811 , 36.475811 , 0.316936 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 36.475811 , 0 , 0 , 0 
 334 , 0.022937 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 0 , 34.052128 , 34.052128 , 0.298736 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 34.052128 , 0 , 0 , 0 
 335 , 0.023637 , 31.945609 , 31.945609 , 31.945609 , 31.945609 , 0.772457 , 31.945609 , 31.945609 , 31.945609 , 0.439927 , 0.398233 , 31.945609 , 0 , 0 , 0.018442 , 1.413628 , 0.21393 , 5.852291 , 2.618424 , 0.802159 , 0 , 0.008018 , 0 , 0.046104 , 0.092877 , 0.230521 , 0.174795 , 0.008333 , 0.002308 , 0 
