AUG5HIST00005.spu,AUG5HIST00004.spu,
Wavelength,AUG5HIST00006.spu,AUG5HIST00007.spu,AUG5HIST00008.spu,AUG5HIST00009.spu,AUG5HIST00010.spu,AUG5HIST00011.spu,AUG5HIST00012.spu,AUG5HIST00013.spu,AUG5HIST00014.spu,AUG5HIST00015.spu,AUG5HIST00016.spu,AUG5HIST00017.spu,AUG5HIST00018.spu,AUG5HIST00019.spu,AUG5HIST00020.spu,AUG5HIST00021.spu,AUG5HIST00022.spu,AUG5HIST00023.spu,AUG5HIST00024.spu,AUG5HIST00025.spu,AUG5HIST00026.spu,AUG5HIST00027.spu,AUG5HIST00028.spu,AUG5HIST00029.spu,AUG5HIST00030.spu,AUG5HIST00031.spu,AUG5HIST00032.spu,AUG5HIST00033.spu,AUG5HIST00034.spu,AUG5HIST00035.spu,AUG5HIST00036.spu,AUG5HIST00037.spu,AUG5HIST00038.spu,AUG5HIST00039.spu,AUG5HIST00040.spu,AUG5HIST00041.spu,AUG5HIST00042.spu,AUG5HIST00043.spu,AUG5HIST00044.spu,AUG5HIST00045.spu,AUG5HIST00046.spu,AUG5HIST00047.spu,AUG5HIST00048.spu,AUG5HIST00049.spu,AUG5HIST00050.spu,AUG5HIST00051.spu,AUG5HIST00052.spu,AUG5HIST00053.spu,AUG5HIST00054.spu,AUG5HIST00055.spu,AUG5HIST00056.spu,AUG5HIST00057.spu,AUG5HIST00058.spu,AUG5HIST00059.spu,AUG5HIST00060.spu,AUG5HIST00061.spu,AUG5HIST00062.spu,AUG5HIST00063.spu,AUG5HIST00064.spu,AUG5HIST00065.spu,AUG5HIST00066.spu,AUG5HIST00067.spu,AUG5HIST00068.spu,AUG5HIST00069.spu,AUG5HIST00070.spu,AUG5HIST00071.spu,AUG5HIST00072.spu,AUG5HIST00073.spu,AUG5HIST00074.spu,AUG5HIST00075.spu,AUG5HIST00076.spu,AUG5HIST00077.spu,AUG5HIST00078.spu,AUG5HIST00079.spu,AUG5HIST00080.spu,AUG5HIST00081.spu,AUG5HIST00082.spu,AUG5HIST00083.spu,AUG5HIST00084.spu,AUG5HIST00085.spu
 478 , 0.033954 , 0.027239 , 0.030522 , 0.038261 , 0.029321 , 0.032796 , 0.023135 , 0.037295 , 0.03257 , 0.031032 , 0.029215 , 0.050989 , 0.027893 , 0.048254 , 0.052109 , 0.021524 , 0.027936 , 0.030907 , 0.027153 , 0.035002 , 0.028917 , 0.033993 , 0.02996 , 0.035752 , 0.027739 , 0.029849 , 0.021668 , 0.030594 , 0.022519 , 0.023889 , 0.03084 , 0.0266 , 0.031508 , 0.034358 , 0.025182 , 0.033974 , 0.030844 , 0.03208 , 0.034868 , 0.026369 , 0.046413 , 0.027278 , 0.043534 , 0.04141 , 0.035632 , 0.038054 , 0.025278 , 0.024966 , 0.042659 , 0.024769 , 0.029037 , 0.043125 , 0.027648 , 0.027268 , 0.024399 , 0.021918 , 0.039011 , 0.026244 , 0.025432 , 0.031676 , 0.027355 , 0.017544 , 0.038982 , 0.026417 , 0.033392 , 0.022029 , 0.021918 , 0.024509 , 0.021712 , 0.02001 , 0.036584 , 0.023336 , 0.039496 , 0.035175 , 0.023995 , 0.030345 , 0.045341 , 0.048773 , 0.03729 , 0.019135 
 479 , 0.034047 , 0.027405 , 0.030604 , 0.038348 , 0.02938 , 0.032867 , 0.023225 , 0.037438 , 0.032708 , 0.031051 , 0.029279 , 0.05104 , 0.027916 , 0.048299 , 0.052224 , 0.021568 , 0.027964 , 0.030926 , 0.027203 , 0.035078 , 0.029 , 0.034086 , 0.030064 , 0.035853 , 0.02782 , 0.029958 , 0.021712 , 0.030695 , 0.02256 , 0.023914 , 0.030921 , 0.026659 , 0.031581 , 0.034428 , 0.025248 , 0.033961 , 0.03095 , 0.032135 , 0.034919 , 0.026418 , 0.04658 , 0.027362 , 0.043661 , 0.041518 , 0.035747 , 0.038175 , 0.02531 , 0.02506 , 0.042799 , 0.024858 , 0.029115 , 0.043194 , 0.027714 , 0.027314 , 0.024395 , 0.021958 , 0.039076 , 0.026278 , 0.025445 , 0.031721 , 0.027473 , 0.017618 , 0.0391 , 0.026481 , 0.033465 , 0.022078 , 0.021987 , 0.024549 , 0.021765 , 0.020109 , 0.036643 , 0.023369 , 0.039562 , 0.035237 , 0.024029 , 0.030387 , 0.045351 , 0.048872 , 0.037366 , 0.019145 
 480 , 0.03409 , 0.027479 , 0.030662 , 0.038387 , 0.029403 , 0.03289 , 0.023225 , 0.03749 , 0.032764 , 0.031023 , 0.029282 , 0.051027 , 0.027855 , 0.048273 , 0.052252 , 0.021542 , 0.027956 , 0.030912 , 0.027184 , 0.035074 , 0.029031 , 0.034105 , 0.030102 , 0.03587 , 0.02785 , 0.029996 , 0.021706 , 0.030734 , 0.022569 , 0.023896 , 0.030922 , 0.026668 , 0.031578 , 0.034423 , 0.025246 , 0.033907 , 0.03098 , 0.032123 , 0.0349 , 0.026403 , 0.046643 , 0.027392 , 0.043702 , 0.041565 , 0.035783 , 0.038214 , 0.025294 , 0.025087 , 0.042872 , 0.024874 , 0.029128 , 0.0432 , 0.02772 , 0.0273 , 0.024378 , 0.021942 , 0.039062 , 0.026259 , 0.025434 , 0.031703 , 0.027522 , 0.017626 , 0.039139 , 0.026495 , 0.033478 , 0.022087 , 0.021991 , 0.024556 , 0.021754 , 0.020129 , 0.036632 , 0.023355 , 0.039554 , 0.035233 , 0.024011 , 0.030363 , 0.045303 , 0.048852 , 0.037355 , 0.019112 
 481 , 0.034052 , 0.027391 , 0.030671 , 0.038347 , 0.029368 , 0.03284 , 0.023077 , 0.037385 , 0.032677 , 0.030912 , 0.029199 , 0.050896 , 0.027651 , 0.048116 , 0.052127 , 0.021403 , 0.027882 , 0.03083 , 0.02704 , 0.034942 , 0.028978 , 0.03399 , 0.030027 , 0.035726 , 0.02779 , 0.029911 , 0.021629 , 0.030657 , 0.022514 , 0.023813 , 0.030796 , 0.026593 , 0.031436 , 0.034302 , 0.02513 , 0.033783 , 0.030878 , 0.031994 , 0.034764 , 0.02629 , 0.046538 , 0.027319 , 0.043599 , 0.041507 , 0.035673 , 0.038116 , 0.025193 , 0.024996 , 0.04282 , 0.02477 , 0.029036 , 0.043094 , 0.027631 , 0.027194 , 0.024327 , 0.021826 , 0.03892 , 0.02614 , 0.025381 , 0.03158 , 0.027453 , 0.017522 , 0.03904 , 0.026419 , 0.033374 , 0.022023 , 0.021894 , 0.024505 , 0.021634 , 0.020023 , 0.036505 , 0.023279 , 0.039405 , 0.03511 , 0.023909 , 0.030229 , 0.045153 , 0.04864 , 0.037212 , 0.018993 
 482 , 0.034009 , 0.027298 , 0.030685 , 0.038312 , 0.029327 , 0.032791 , 0.022924 , 0.037281 , 0.032589 , 0.030795 , 0.029112 , 0.050764 , 0.027452 , 0.047953 , 0.051997 , 0.021264 , 0.027812 , 0.030752 , 0.0269 , 0.03481 , 0.028925 , 0.03388 , 0.029946 , 0.035587 , 0.02773 , 0.029826 , 0.021547 , 0.030584 , 0.022458 , 0.023725 , 0.030666 , 0.026512 , 0.031289 , 0.034182 , 0.025015 , 0.033659 , 0.030771 , 0.031865 , 0.034633 , 0.026171 , 0.046433 , 0.027241 , 0.043492 , 0.041454 , 0.035563 , 0.038014 , 0.025092 , 0.02491 , 0.042773 , 0.02466 , 0.028944 , 0.042984 , 0.027543 , 0.027083 , 0.024276 , 0.021705 , 0.038772 , 0.026022 , 0.025322 , 0.031457 , 0.02739 , 0.017412 , 0.038945 , 0.026349 , 0.033275 , 0.02196 , 0.021797 , 0.024454 , 0.021514 , 0.019916 , 0.036374 , 0.023197 , 0.039262 , 0.034988 , 0.023811 , 0.03009 , 0.045008 , 0.048428 , 0.037065 , 0.01888 
 483 , 0.033971 , 0.027211 , 0.030694 , 0.038271 , 0.029287 , 0.032741 , 0.022776 , 0.037176 , 0.032502 , 0.030684 , 0.029029 , 0.050638 , 0.027249 , 0.047796 , 0.051872 , 0.021126 , 0.027737 , 0.030674 , 0.026756 , 0.034679 , 0.028871 , 0.033765 , 0.029871 , 0.035444 , 0.02767 , 0.029742 , 0.02147 , 0.030507 , 0.022403 , 0.023642 , 0.03054 , 0.026436 , 0.031148 , 0.034061 , 0.024905 , 0.03353 , 0.03067 , 0.031741 , 0.034497 , 0.026058 , 0.046327 , 0.027168 , 0.04339 , 0.0414 , 0.035458 , 0.037917 , 0.024991 , 0.024819 , 0.042725 , 0.024556 , 0.028857 , 0.042878 , 0.027455 , 0.026972 , 0.024226 , 0.021585 , 0.03863 , 0.025905 , 0.025269 , 0.031339 , 0.027321 , 0.017308 , 0.03885 , 0.026273 , 0.033176 , 0.021896 , 0.021695 , 0.024403 , 0.021389 , 0.01981 , 0.036243 , 0.023121 , 0.039118 , 0.034865 , 0.023709 , 0.029957 , 0.044859 , 0.048217 , 0.036922 , 0.018762 
 484 , 0.033929 , 0.027234 , 0.030648 , 0.038272 , 0.029275 , 0.032746 , 0.022848 , 0.037118 , 0.032379 , 0.030682 , 0.02906 , 0.050483 , 0.027258 , 0.047713 , 0.051832 , 0.02115 , 0.027659 , 0.030639 , 0.026724 , 0.03462 , 0.028855 , 0.033719 , 0.029823 , 0.035407 , 0.027673 , 0.029742 , 0.02146 , 0.030491 , 0.022371 , 0.023635 , 0.030505 , 0.026414 , 0.031044 , 0.033971 , 0.024908 , 0.033471 , 0.030658 , 0.031731 , 0.034415 , 0.026028 , 0.046306 , 0.027187 , 0.043369 , 0.041376 , 0.035473 , 0.037886 , 0.024979 , 0.024798 , 0.042706 , 0.024564 , 0.028822 , 0.042778 , 0.027425 , 0.026944 , 0.024207 , 0.021589 , 0.038549 , 0.02588 , 0.025246 , 0.031301 , 0.027315 , 0.017346 , 0.038849 , 0.026247 , 0.033142 , 0.02189 , 0.02167 , 0.024369 , 0.02137 , 0.019811 , 0.036169 , 0.023062 , 0.03903 , 0.034815 , 0.023677 , 0.029938 , 0.044766 , 0.048108 , 0.036842 , 0.018733 
 485 , 0.033882 , 0.027254 , 0.030609 , 0.038273 , 0.029259 , 0.032756 , 0.022921 , 0.037066 , 0.032257 , 0.030685 , 0.029093 , 0.050332 , 0.027268 , 0.047633 , 0.051795 , 0.021177 , 0.027577 , 0.030599 , 0.026693 , 0.034562 , 0.028836 , 0.033669 , 0.029772 , 0.035365 , 0.027677 , 0.029739 , 0.021453 , 0.030476 , 0.022341 , 0.023624 , 0.030471 , 0.026394 , 0.030946 , 0.033887 , 0.024916 , 0.033407 , 0.030642 , 0.031716 , 0.034334 , 0.026 , 0.046284 , 0.027202 , 0.043352 , 0.041347 , 0.035493 , 0.03785 , 0.024969 , 0.024779 , 0.042691 , 0.024574 , 0.028794 , 0.042672 , 0.027397 , 0.026917 , 0.024189 , 0.02159 , 0.038467 , 0.025857 , 0.02523 , 0.031269 , 0.027306 , 0.017385 , 0.038852 , 0.026218 , 0.033113 , 0.02188 , 0.021643 , 0.024337 , 0.021348 , 0.019813 , 0.036092 , 0.023002 , 0.038947 , 0.034766 , 0.023648 , 0.029924 , 0.044673 , 0.047999 , 0.036766 , 0.018706 
 486 , 0.03384 , 0.027278 , 0.030564 , 0.038272 , 0.029248 , 0.032761 , 0.022997 , 0.037013 , 0.032136 , 0.030682 , 0.029124 , 0.050181 , 0.027278 , 0.047553 , 0.051753 , 0.021198 , 0.027496 , 0.030564 , 0.026662 , 0.034503 , 0.028821 , 0.033623 , 0.029726 , 0.035327 , 0.02768 , 0.02974 , 0.021449 , 0.03046 , 0.022316 , 0.023618 , 0.030436 , 0.026369 , 0.030843 , 0.033798 , 0.02492 , 0.033348 , 0.030625 , 0.031705 , 0.034257 , 0.025971 , 0.04626 , 0.027221 , 0.043329 , 0.041317 , 0.035512 , 0.037818 , 0.024953 , 0.024759 , 0.042676 , 0.024588 , 0.02876 , 0.042567 , 0.027363 , 0.026885 , 0.024176 , 0.021591 , 0.038386 , 0.025834 , 0.025209 , 0.031232 , 0.027297 , 0.01742 , 0.03885 , 0.026194 , 0.033083 , 0.021875 , 0.021615 , 0.024304 , 0.021326 , 0.019811 , 0.036014 , 0.022945 , 0.038864 , 0.034716 , 0.023613 , 0.029906 , 0.044584 , 0.047889 , 0.036686 , 0.018675 
 487 , 0.034016 , 0.027389 , 0.03071 , 0.038396 , 0.029361 , 0.032886 , 0.023098 , 0.037133 , 0.032228 , 0.030771 , 0.029196 , 0.050274 , 0.027313 , 0.047616 , 0.051949 , 0.021306 , 0.027564 , 0.030615 , 0.026755 , 0.034579 , 0.028926 , 0.033737 , 0.029872 , 0.035459 , 0.027782 , 0.029858 , 0.021542 , 0.030591 , 0.022379 , 0.023713 , 0.030539 , 0.026457 , 0.030899 , 0.033879 , 0.025005 , 0.033434 , 0.030771 , 0.031821 , 0.034319 , 0.026055 , 0.046462 , 0.027332 , 0.043491 , 0.041476 , 0.035662 , 0.037966 , 0.025033 , 0.024877 , 0.042857 , 0.024678 , 0.028865 , 0.042673 , 0.02746 , 0.026977 , 0.024234 , 0.021637 , 0.038477 , 0.025904 , 0.025274 , 0.03131 , 0.027398 , 0.017512 , 0.039007 , 0.026277 , 0.033207 , 0.021935 , 0.021689 , 0.024385 , 0.021367 , 0.019882 , 0.036093 , 0.022999 , 0.038974 , 0.034811 , 0.023671 , 0.029967 , 0.044664 , 0.04798 , 0.036779 , 0.018704 
 488 , 0.034308 , 0.027548 , 0.030952 , 0.03858 , 0.029539 , 0.033071 , 0.02321 , 0.037347 , 0.032426 , 0.030905 , 0.029288 , 0.050498 , 0.027354 , 0.047753 , 0.052266 , 0.021447 , 0.027705 , 0.03071 , 0.026913 , 0.03473 , 0.029089 , 0.033934 , 0.030113 , 0.035674 , 0.027937 , 0.030042 , 0.021693 , 0.0308 , 0.022495 , 0.023865 , 0.030705 , 0.026605 , 0.031042 , 0.034048 , 0.025135 , 0.033588 , 0.030999 , 0.031995 , 0.034451 , 0.026197 , 0.046776 , 0.027491 , 0.043738 , 0.041728 , 0.035878 , 0.038201 , 0.025154 , 0.025064 , 0.04314 , 0.024813 , 0.029042 , 0.04288 , 0.027619 , 0.027136 , 0.024334 , 0.021712 , 0.038656 , 0.026022 , 0.025377 , 0.03144 , 0.027558 , 0.017631 , 0.039239 , 0.02642 , 0.033417 , 0.022025 , 0.021807 , 0.024524 , 0.021447 , 0.019992 , 0.036252 , 0.023106 , 0.039177 , 0.034982 , 0.02377 , 0.030065 , 0.044833 , 0.048175 , 0.036958 , 0.018759 
 489 , 0.034602 , 0.027708 , 0.03119 , 0.038764 , 0.029722 , 0.033257 , 0.023327 , 0.037557 , 0.03263 , 0.031038 , 0.02938 , 0.050722 , 0.027399 , 0.047895 , 0.052579 , 0.021593 , 0.027846 , 0.030806 , 0.027071 , 0.034882 , 0.029252 , 0.034127 , 0.030359 , 0.035889 , 0.028088 , 0.030221 , 0.021845 , 0.031015 , 0.022605 , 0.024012 , 0.030872 , 0.026748 , 0.031181 , 0.034212 , 0.025261 , 0.033746 , 0.031224 , 0.032169 , 0.034587 , 0.02634 , 0.047087 , 0.027656 , 0.043985 , 0.041985 , 0.036089 , 0.03844 , 0.025275 , 0.025252 , 0.043424 , 0.024948 , 0.029219 , 0.043092 , 0.027779 , 0.02729 , 0.02443 , 0.021783 , 0.038835 , 0.02614 , 0.025484 , 0.031575 , 0.027717 , 0.01775 , 0.039471 , 0.026558 , 0.033623 , 0.022116 , 0.021931 , 0.024667 , 0.021522 , 0.020097 , 0.036407 , 0.023213 , 0.039381 , 0.035148 , 0.023869 , 0.030164 , 0.045002 , 0.04837 , 0.037139 , 0.018814 
 490 , 0.034956 , 0.02793 , 0.031479 , 0.039033 , 0.029935 , 0.033513 , 0.023501 , 0.037828 , 0.032869 , 0.03125 , 0.02955 , 0.051026 , 0.027521 , 0.048149 , 0.052974 , 0.021743 , 0.028035 , 0.030983 , 0.027254 , 0.035094 , 0.029469 , 0.034375 , 0.030631 , 0.036151 , 0.028302 , 0.030469 , 0.022019 , 0.031274 , 0.022767 , 0.024201 , 0.031102 , 0.026949 , 0.031355 , 0.034441 , 0.025434 , 0.033941 , 0.031493 , 0.032403 , 0.034765 , 0.026535 , 0.047487 , 0.027864 , 0.044329 , 0.04231 , 0.036366 , 0.038738 , 0.025444 , 0.025458 , 0.043791 , 0.02512 , 0.029426 , 0.043348 , 0.027987 , 0.027487 , 0.024577 , 0.0219 , 0.039071 , 0.026301 , 0.025639 , 0.03176 , 0.027925 , 0.01789 , 0.039762 , 0.026744 , 0.033884 , 0.022248 , 0.022072 , 0.024849 , 0.021643 , 0.020233 , 0.036628 , 0.023353 , 0.039642 , 0.035375 , 0.024001 , 0.030321 , 0.045234 , 0.048645 , 0.037356 , 0.018895 
 491 , 0.035454 , 0.028299 , 0.031881 , 0.039501 , 0.030246 , 0.033943 , 0.02381 , 0.038245 , 0.033204 , 0.031656 , 0.02991 , 0.0515 , 0.027824 , 0.048689 , 0.053557 , 0.021901 , 0.028332 , 0.031363 , 0.027512 , 0.035458 , 0.029819 , 0.034749 , 0.030965 , 0.036533 , 0.028668 , 0.030874 , 0.022251 , 0.031641 , 0.023033 , 0.024477 , 0.031492 , 0.027272 , 0.031603 , 0.034821 , 0.025723 , 0.034231 , 0.031857 , 0.032768 , 0.035046 , 0.026841 , 0.048104 , 0.028184 , 0.044891 , 0.042805 , 0.036782 , 0.03917 , 0.025714 , 0.025709 , 0.044359 , 0.025388 , 0.029699 , 0.043721 , 0.028313 , 0.027781 , 0.024855 , 0.022132 , 0.039444 , 0.026572 , 0.025925 , 0.032063 , 0.028255 , 0.018074 , 0.040187 , 0.027047 , 0.034269 , 0.022477 , 0.022242 , 0.025129 , 0.021868 , 0.020448 , 0.036998 , 0.023561 , 0.040033 , 0.035751 , 0.024218 , 0.03061 , 0.045625 , 0.049111 , 0.037679 , 0.019053 
 492 , 0.035955 , 0.028664 , 0.032286 , 0.039972 , 0.030557 , 0.034376 , 0.024116 , 0.038663 , 0.033536 , 0.032059 , 0.030267 , 0.051975 , 0.028129 , 0.049227 , 0.054142 , 0.022064 , 0.028631 , 0.03174 , 0.027762 , 0.03582 , 0.030166 , 0.03512 , 0.031301 , 0.036916 , 0.029027 , 0.031281 , 0.022484 , 0.03201 , 0.0233 , 0.024749 , 0.03188 , 0.027597 , 0.031851 , 0.035197 , 0.026014 , 0.034521 , 0.032223 , 0.033135 , 0.035322 , 0.027148 , 0.04872 , 0.028505 , 0.045452 , 0.043298 , 0.037205 , 0.039605 , 0.025985 , 0.025956 , 0.04493 , 0.025657 , 0.029978 , 0.04409 , 0.02864 , 0.02808 , 0.02513 , 0.022364 , 0.039822 , 0.026849 , 0.026202 , 0.032368 , 0.028582 , 0.01826 , 0.040614 , 0.027346 , 0.034656 , 0.022707 , 0.022417 , 0.02541 , 0.022093 , 0.020659 , 0.03737 , 0.023764 , 0.040421 , 0.036124 , 0.02443 , 0.0309 , 0.046012 , 0.04958 , 0.038002 , 0.019211 
 493 , 0.036455 , 0.029033 , 0.032688 , 0.040441 , 0.030865 , 0.034802 , 0.024425 , 0.03908 , 0.033864 , 0.032464 , 0.030627 , 0.052451 , 0.028435 , 0.049764 , 0.054731 , 0.022228 , 0.028931 , 0.032119 , 0.028017 , 0.036183 , 0.03051 , 0.035497 , 0.031633 , 0.037296 , 0.029388 , 0.031687 , 0.022719 , 0.032382 , 0.023569 , 0.025028 , 0.03227 , 0.02792 , 0.0321 , 0.035575 , 0.026306 , 0.034807 , 0.032591 , 0.033505 , 0.035604 , 0.027458 , 0.049336 , 0.028829 , 0.046011 , 0.043795 , 0.037626 , 0.040037 , 0.026257 , 0.026209 , 0.045496 , 0.025922 , 0.030253 , 0.044461 , 0.02897 , 0.028372 , 0.025402 , 0.022592 , 0.040193 , 0.027118 , 0.026486 , 0.032669 , 0.028911 , 0.018441 , 0.041043 , 0.027647 , 0.035041 , 0.022933 , 0.022592 , 0.025689 , 0.02232 , 0.020877 , 0.037743 , 0.023973 , 0.04081 , 0.036499 , 0.024644 , 0.031191 , 0.046395 , 0.050045 , 0.038322 , 0.019365 
 494 , 0.036891 , 0.029501 , 0.033152 , 0.040943 , 0.031319 , 0.035249 , 0.024829 , 0.039574 , 0.034305 , 0.032849 , 0.031016 , 0.05299 , 0.028719 , 0.050239 , 0.055317 , 0.02258 , 0.029257 , 0.032507 , 0.028372 , 0.036598 , 0.030918 , 0.035967 , 0.032047 , 0.037722 , 0.029794 , 0.032111 , 0.023025 , 0.032825 , 0.023915 , 0.025352 , 0.032653 , 0.028294 , 0.032414 , 0.035953 , 0.026632 , 0.035219 , 0.033035 , 0.033914 , 0.035982 , 0.027815 , 0.049965 , 0.029188 , 0.046524 , 0.04434 , 0.038079 , 0.040547 , 0.026588 , 0.026573 , 0.046065 , 0.026192 , 0.03063 , 0.044926 , 0.02933 , 0.028739 , 0.025738 , 0.022913 , 0.04062 , 0.027458 , 0.026847 , 0.03301 , 0.029286 , 0.01869 , 0.041559 , 0.028064 , 0.035474 , 0.023191 , 0.022864 , 0.026002 , 0.022561 , 0.021163 , 0.038093 , 0.024242 , 0.041251 , 0.036886 , 0.024965 , 0.031495 , 0.046798 , 0.050503 , 0.038758 , 0.01957 
 495 , 0.037327 , 0.029974 , 0.033618 , 0.041448 , 0.031786 , 0.035696 , 0.025238 , 0.040073 , 0.034748 , 0.033235 , 0.031398 , 0.053537 , 0.029006 , 0.050708 , 0.055909 , 0.022944 , 0.029581 , 0.032896 , 0.028736 , 0.037013 , 0.031324 , 0.036448 , 0.032464 , 0.038147 , 0.0302 , 0.032543 , 0.023332 , 0.033275 , 0.024271 , 0.025685 , 0.033034 , 0.028667 , 0.032724 , 0.03633 , 0.026967 , 0.035637 , 0.033486 , 0.034326 , 0.036364 , 0.028171 , 0.0506 , 0.029546 , 0.047028 , 0.044887 , 0.03854 , 0.04106 , 0.026928 , 0.026948 , 0.046631 , 0.026461 , 0.031015 , 0.045398 , 0.029694 , 0.029109 , 0.026073 , 0.023234 , 0.041055 , 0.027802 , 0.027213 , 0.033353 , 0.029664 , 0.018946 , 0.042082 , 0.02849 , 0.035903 , 0.023455 , 0.023141 , 0.026314 , 0.022807 , 0.021461 , 0.038447 , 0.024516 , 0.041689 , 0.037263 , 0.025292 , 0.031801 , 0.047205 , 0.050963 , 0.039203 , 0.019776 
 496 , 0.037761 , 0.030444 , 0.034088 , 0.041957 , 0.032251 , 0.036146 , 0.025651 , 0.04057 , 0.035198 , 0.033624 , 0.031787 , 0.054086 , 0.029289 , 0.051179 , 0.056495 , 0.023311 , 0.029906 , 0.033288 , 0.029102 , 0.037425 , 0.031733 , 0.036931 , 0.032883 , 0.03858 , 0.030607 , 0.032972 , 0.023642 , 0.033722 , 0.024624 , 0.026016 , 0.033416 , 0.029047 , 0.033041 , 0.036709 , 0.0273 , 0.036053 , 0.03394 , 0.034739 , 0.036749 , 0.028534 , 0.051233 , 0.029911 , 0.04754 , 0.045437 , 0.038995 , 0.041577 , 0.02727 , 0.027324 , 0.047195 , 0.026732 , 0.031402 , 0.045872 , 0.030059 , 0.029482 , 0.026416 , 0.023558 , 0.041483 , 0.028144 , 0.027581 , 0.033703 , 0.03004 , 0.019199 , 0.042608 , 0.028919 , 0.036334 , 0.023721 , 0.02342 , 0.026628 , 0.023049 , 0.021756 , 0.038797 , 0.024792 , 0.042135 , 0.037647 , 0.025616 , 0.032108 , 0.047609 , 0.05142 , 0.039646 , 0.019984 
 497 , 0.038211 , 0.030869 , 0.034532 , 0.042444 , 0.032683 , 0.03658 , 0.025966 , 0.040997 , 0.035598 , 0.033992 , 0.032148 , 0.054545 , 0.029461 , 0.05161 , 0.057038 , 0.023527 , 0.03022 , 0.033605 , 0.029426 , 0.03775 , 0.032128 , 0.037318 , 0.033258 , 0.038979 , 0.031013 , 0.033362 , 0.023944 , 0.034096 , 0.024935 , 0.026318 , 0.033809 , 0.029382 , 0.033318 , 0.037001 , 0.027587 , 0.036377 , 0.034334 , 0.035137 , 0.037036 , 0.028822 , 0.051769 , 0.030244 , 0.048006 , 0.045904 , 0.03942 , 0.041998 , 0.027567 , 0.027637 , 0.047704 , 0.026997 , 0.031727 , 0.046237 , 0.030403 , 0.029793 , 0.02673 , 0.02384 , 0.041874 , 0.02842 , 0.027905 , 0.033982 , 0.030378 , 0.019428 , 0.043059 , 0.029248 , 0.036724 , 0.023954 , 0.023651 , 0.026913 , 0.023274 , 0.022015 , 0.039098 , 0.025005 , 0.042479 , 0.037983 , 0.025862 , 0.032381 , 0.047937 , 0.051769 , 0.039985 , 0.020136 
 498 , 0.038671 , 0.03125 , 0.034968 , 0.042911 , 0.033084 , 0.037006 , 0.026205 , 0.041375 , 0.035967 , 0.034342 , 0.032493 , 0.05493 , 0.02955 , 0.052003 , 0.057545 , 0.02364 , 0.03052 , 0.033865 , 0.029724 , 0.038005 , 0.032508 , 0.037633 , 0.033606 , 0.039352 , 0.031409 , 0.033711 , 0.024232 , 0.034427 , 0.025216 , 0.026598 , 0.034203 , 0.029695 , 0.033562 , 0.03722 , 0.027845 , 0.036633 , 0.034685 , 0.03552 , 0.037265 , 0.029063 , 0.052231 , 0.030564 , 0.048444 , 0.046301 , 0.03981 , 0.04235 , 0.02784 , 0.0279 , 0.048165 , 0.027259 , 0.032011 , 0.04651 , 0.030723 , 0.030072 , 0.02703 , 0.024098 , 0.04223 , 0.028651 , 0.028198 , 0.034213 , 0.030684 , 0.019639 , 0.043453 , 0.029511 , 0.037096 , 0.024162 , 0.023854 , 0.027179 , 0.023486 , 0.022249 , 0.039357 , 0.025171 , 0.042752 , 0.038289 , 0.026051 , 0.032627 , 0.04821 , 0.052037 , 0.040232 , 0.020255 
 499 , 0.039129 , 0.031628 , 0.035401 , 0.04338 , 0.033482 , 0.037435 , 0.02645 , 0.041751 , 0.036338 , 0.034698 , 0.032839 , 0.055317 , 0.02964 , 0.052396 , 0.058048 , 0.023749 , 0.030821 , 0.03413 , 0.030023 , 0.038262 , 0.032889 , 0.037948 , 0.033951 , 0.039722 , 0.031813 , 0.03406 , 0.024521 , 0.034753 , 0.025493 , 0.026874 , 0.034599 , 0.029998 , 0.033801 , 0.03744 , 0.028105 , 0.036891 , 0.035037 , 0.035899 , 0.037489 , 0.029301 , 0.052695 , 0.030881 , 0.048883 , 0.0467 , 0.040196 , 0.042698 , 0.02811 , 0.028164 , 0.048624 , 0.027521 , 0.032291 , 0.046789 , 0.031045 , 0.030347 , 0.027327 , 0.024352 , 0.042583 , 0.028877 , 0.028493 , 0.034444 , 0.03099 , 0.019846 , 0.043849 , 0.029769 , 0.037464 , 0.024372 , 0.024053 , 0.027442 , 0.023694 , 0.022478 , 0.039613 , 0.025343 , 0.043027 , 0.038591 , 0.026236 , 0.032874 , 0.048484 , 0.052307 , 0.04048 , 0.020374 
