  time  ,52:23 PM,52:38 PM,52:47 PM,52:54 PM,53:00 PM,53:19 PM,53:27 PM,53:35 PM,53:42 PM,53:50 PM,54:21 PM,54:29 PM,54:38 PM,54:46 PM,54:54 PM,55:16 PM,55:26 PM,55:33 PM,55:43 PM,55:51 PM,56:58 PM,57:05 PM,57:12 PM,57:20 PM,57:27 PM,57:44 PM,57:51 PM,58:00 PM,58:09 PM,58:17 PM,58:47 PM,58:56 PM,59:04 PM,59:11 PM,59:18 PM,59:37 PM,59:45 PM,59:53 PM,00:01 PM,00:09 PM,00:56 PM,01:03 PM,01:10 PM,01:17 PM,01:23 PM,01:40 PM,01:50 PM,01:57 PM,02:06 PM,02:13 PM,02:51 PM,02:58 PM,03:06 PM,03:16 PM,03:23 PM,03:48 PM,04:00 PM,04:13 PM,04:23 PM,04:34 PM,05:19 PM,05:27 PM,05:34 PM,05:41 PM,05:50 PM,06:15 PM,06:22 PM,06:29 PM,06:39 PM,06:47 PM,07:17 PM,07:24 PM,07:31 PM,07:39 PM,07:48 PM,08:10 PM,08:18 PM,08:27 PM,08:35 PM,08:43 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 440 , 0.071557 , 0.054689 , 0.0659 , 0.057393 , 0.062842 , 0.058708 , 0.042729 , 0.047414 , 0.045329 , 0.044185 , 0.056353 , 0.050986 , 0.041808 , 0.051933 , 0.054434 , 0.044153 , 0.040929 , 0.042739 , 0.039198 , 0.049203 , 0.045329 , 0.054091 , 0.046436 , 0.055427 , 0.044127 , 0.049847 , 0.037253 , 0.037269 , 0.03392 , 0.030987 , 0.046384 , 0.043654 , 0.044944 , 0.047596 , 0.048719 , 0.053503 , 0.060762 , 0.044835 , 0.038636 , 0.049676 , 0.047549 , 0.046483 , 0.053082 , 0.056056 , 0.051813 , 0.042417 , 0.043732 , 0.046379 , 0.039759 , 0.045287 , 0.039234 , 0.051012 , 0.050466 , 0.043202 , 0.047601 , 0.047975 , 0.048506 , 0.046467 , 0.047882 , 0.045417 , 0.030992 , 0.037643 , 0.048693 , 0.048558 , 0.035397 , 0.030529 , 0.031356 , 0.027404 , 0.035943 , 0.034913 , 0.044679 , 0.049312 , 0.05005 , 0.043295 , 0.044881 , 0.03939 , 0.04601 , 0.044632 , 0.043207 , 0.038558 
 441 , 0.072318 , 0.055443 , 0.066731 , 0.0581 , 0.06354 , 0.059358 , 0.0432 , 0.047938 , 0.045889 , 0.04473 , 0.056873 , 0.051392 , 0.042183 , 0.052356 , 0.054945 , 0.044489 , 0.041251 , 0.043137 , 0.039511 , 0.049725 , 0.045831 , 0.054735 , 0.046984 , 0.056087 , 0.044657 , 0.050438 , 0.037708 , 0.037713 , 0.034327 , 0.031356 , 0.046801 , 0.044117 , 0.045344 , 0.048001 , 0.049201 , 0.053991 , 0.061517 , 0.045349 , 0.038955 , 0.050045 , 0.048168 , 0.047157 , 0.05387 , 0.0569 , 0.05255 , 0.04297 , 0.044295 , 0.046974 , 0.040255 , 0.045852 , 0.0396 , 0.051481 , 0.050983 , 0.043682 , 0.048069 , 0.048383 , 0.048981 , 0.046858 , 0.048331 , 0.045862 , 0.031382 , 0.038048 , 0.049316 , 0.049185 , 0.035758 , 0.030879 , 0.031686 , 0.027734 , 0.036356 , 0.035344 , 0.04515 , 0.049688 , 0.050495 , 0.043729 , 0.045286 , 0.039762 , 0.046387 , 0.044977 , 0.043567 , 0.038924 
 442 , 0.07307 , 0.056192 , 0.067557 , 0.05879 , 0.06423 , 0.059999 , 0.04367 , 0.048449 , 0.046443 , 0.04527 , 0.05739 , 0.051792 , 0.042561 , 0.052775 , 0.055452 , 0.044827 , 0.041563 , 0.043533 , 0.039815 , 0.05024 , 0.046332 , 0.055373 , 0.047531 , 0.056741 , 0.04518 , 0.051021 , 0.038156 , 0.038146 , 0.034729 , 0.031719 , 0.047208 , 0.044573 , 0.04574 , 0.048407 , 0.049675 , 0.054475 , 0.06226 , 0.045856 , 0.039265 , 0.050409 , 0.048782 , 0.047826 , 0.054655 , 0.057734 , 0.053282 , 0.043517 , 0.044848 , 0.047562 , 0.040744 , 0.046411 , 0.039968 , 0.051946 , 0.051497 , 0.044151 , 0.048534 , 0.048787 , 0.049448 , 0.047245 , 0.048782 , 0.0463 , 0.031766 , 0.038447 , 0.049928 , 0.049812 , 0.036118 , 0.031222 , 0.032009 , 0.028064 , 0.036762 , 0.035769 , 0.045619 , 0.05006 , 0.050937 , 0.044161 , 0.045682 , 0.040121 , 0.046759 , 0.045323 , 0.043923 , 0.039281 
 443 , 0.07393 , 0.056995 , 0.068505 , 0.05958 , 0.065026 , 0.060768 , 0.04418 , 0.049029 , 0.047026 , 0.045859 , 0.057971 , 0.052269 , 0.042976 , 0.053287 , 0.056052 , 0.04524 , 0.041953 , 0.043956 , 0.040194 , 0.050782 , 0.046903 , 0.0561 , 0.048145 , 0.057459 , 0.045763 , 0.051672 , 0.038654 , 0.038638 , 0.035169 , 0.032148 , 0.047692 , 0.045075 , 0.046221 , 0.048848 , 0.050196 , 0.055029 , 0.063075 , 0.046391 , 0.03964 , 0.050852 , 0.049471 , 0.04855 , 0.055503 , 0.058626 , 0.05407 , 0.044127 , 0.045448 , 0.048209 , 0.041281 , 0.047031 , 0.040386 , 0.052471 , 0.052066 , 0.04466 , 0.049056 , 0.049264 , 0.049967 , 0.047702 , 0.04928 , 0.046802 , 0.03218 , 0.038905 , 0.050633 , 0.050516 , 0.036544 , 0.031604 , 0.032372 , 0.028434 , 0.037194 , 0.036224 , 0.04613 , 0.05051 , 0.051443 , 0.044638 , 0.046141 , 0.040535 , 0.047191 , 0.045741 , 0.04434 , 0.039677 
 444 , 0.074995 , 0.057917 , 0.069701 , 0.060545 , 0.066033 , 0.061773 , 0.044781 , 0.049725 , 0.047679 , 0.046548 , 0.058682 , 0.052898 , 0.043478 , 0.053975 , 0.05684 , 0.045794 , 0.042471 , 0.044442 , 0.040705 , 0.05139 , 0.047603 , 0.057007 , 0.048896 , 0.058321 , 0.046467 , 0.052451 , 0.03924 , 0.039229 , 0.035685 , 0.032701 , 0.048309 , 0.045665 , 0.046855 , 0.04937 , 0.050813 , 0.055714 , 0.064035 , 0.046984 , 0.040123 , 0.051443 , 0.050307 , 0.049386 , 0.05649 , 0.05964 , 0.054982 , 0.044862 , 0.046149 , 0.048971 , 0.041922 , 0.047765 , 0.040904 , 0.053124 , 0.052747 , 0.045239 , 0.049709 , 0.049882 , 0.050587 , 0.048293 , 0.049882 , 0.047431 , 0.032653 , 0.039471 , 0.051519 , 0.051368 , 0.037091 , 0.032066 , 0.032815 , 0.028878 , 0.037683 , 0.036746 , 0.046736 , 0.051104 , 0.052084 , 0.045218 , 0.046736 , 0.041055 , 0.047738 , 0.0463 , 0.044873 , 0.040139 
 445 , 0.076065 , 0.058834 , 0.0709 , 0.061517 , 0.067036 , 0.062774 , 0.04538 , 0.05042 , 0.04833 , 0.047236 , 0.059389 , 0.053522 , 0.043987 , 0.05467 , 0.057626 , 0.046343 , 0.042991 , 0.044923 , 0.041211 , 0.051993 , 0.048303 , 0.057914 , 0.049647 , 0.059182 , 0.047171 , 0.053234 , 0.039823 , 0.039818 , 0.036204 , 0.033254 , 0.048928 , 0.046256 , 0.047492 , 0.049892 , 0.051427 , 0.056401 , 0.064995 , 0.047579 , 0.040601 , 0.052031 , 0.051144 , 0.050224 , 0.057473 , 0.060652 , 0.055889 , 0.045598 , 0.046844 , 0.049729 , 0.042555 , 0.048504 , 0.041423 , 0.053778 , 0.053424 , 0.045815 , 0.05036 , 0.050501 , 0.051203 , 0.048885 , 0.05049 , 0.048052 , 0.033129 , 0.040035 , 0.052412 , 0.052227 , 0.037641 , 0.03253 , 0.033254 , 0.02933 , 0.038174 , 0.037265 , 0.047339 , 0.051699 , 0.052722 , 0.045794 , 0.047328 , 0.04157 , 0.048286 , 0.04686 , 0.045407 , 0.040596 
 446 , 0.077136 , 0.059757 , 0.072098 , 0.062485 , 0.068039 , 0.063783 , 0.045976 , 0.051118 , 0.048984 , 0.047922 , 0.060098 , 0.054148 , 0.044491 , 0.055363 , 0.05841 , 0.046899 , 0.043512 , 0.045409 , 0.041719 , 0.052597 , 0.049 , 0.058817 , 0.050392 , 0.060049 , 0.047873 , 0.054016 , 0.040405 , 0.04041 , 0.036725 , 0.033805 , 0.04955 , 0.046844 , 0.048126 , 0.050408 , 0.052047 , 0.05709 , 0.065955 , 0.048175 , 0.041087 , 0.052624 , 0.051976 , 0.051063 , 0.058465 , 0.061671 , 0.056804 , 0.046339 , 0.047543 , 0.050491 , 0.043193 , 0.049237 , 0.041944 , 0.054428 , 0.054104 , 0.046394 , 0.051008 , 0.051118 , 0.051827 , 0.049473 , 0.051096 , 0.048676 , 0.033602 , 0.040603 , 0.053301 , 0.053081 , 0.038188 , 0.032991 , 0.033695 , 0.02978 , 0.038661 , 0.037787 , 0.047939 , 0.052294 , 0.053367 , 0.046372 , 0.047922 , 0.042087 , 0.048835 , 0.047416 , 0.045943 , 0.041059 
 447 , 0.077934 , 0.06043 , 0.072872 , 0.063152 , 0.068789 , 0.064446 , 0.046483 , 0.051667 , 0.049465 , 0.048391 , 0.060574 , 0.054532 , 0.04479 , 0.055711 , 0.058825 , 0.047163 , 0.043788 , 0.045764 , 0.04199 , 0.052994 , 0.049481 , 0.059489 , 0.05087 , 0.060629 , 0.048391 , 0.054626 , 0.040867 , 0.040807 , 0.037078 , 0.034157 , 0.049963 , 0.047246 , 0.04848 , 0.050748 , 0.052458 , 0.057481 , 0.066637 , 0.048635 , 0.041415 , 0.053011 , 0.052585 , 0.051694 , 0.059168 , 0.062399 , 0.057448 , 0.046881 , 0.047993 , 0.051041 , 0.043617 , 0.049758 , 0.042262 , 0.054837 , 0.054593 , 0.046748 , 0.051395 , 0.051478 , 0.052209 , 0.049863 , 0.051467 , 0.049066 , 0.033946 , 0.040956 , 0.053891 , 0.053631 , 0.038533 , 0.033299 , 0.033996 , 0.030063 , 0.039058 , 0.038179 , 0.048391 , 0.052651 , 0.053763 , 0.046743 , 0.048275 , 0.042378 , 0.049177 , 0.047761 , 0.046256 , 0.041393 
 448 , 0.078726 , 0.061099 , 0.073638 , 0.063818 , 0.06954 , 0.065103 , 0.046986 , 0.052213 , 0.049945 , 0.04886 , 0.061043 , 0.05491 , 0.04509 , 0.05605 , 0.059231 , 0.04742 , 0.044062 , 0.046125 , 0.04226 , 0.053387 , 0.049956 , 0.060148 , 0.05134 , 0.06121 , 0.04891 , 0.055227 , 0.041331 , 0.041198 , 0.037428 , 0.034503 , 0.050373 , 0.047637 , 0.048827 , 0.051085 , 0.052864 , 0.057863 , 0.067305 , 0.049088 , 0.041737 , 0.053392 , 0.053186 , 0.052325 , 0.059865 , 0.063118 , 0.058091 , 0.04742 , 0.048443 , 0.051585 , 0.044039 , 0.050278 , 0.042571 , 0.055244 , 0.055071 , 0.047098 , 0.05178 , 0.051841 , 0.052591 , 0.050245 , 0.051835 , 0.04945 , 0.034286 , 0.041304 , 0.054477 , 0.054171 , 0.038879 , 0.033602 , 0.034292 , 0.030344 , 0.039458 , 0.038562 , 0.048838 , 0.053009 , 0.05416 , 0.047109 , 0.048627 , 0.04266 , 0.049517 , 0.048099 , 0.046564 , 0.041726 
 449 , 0.079522 , 0.061767 , 0.074403 , 0.064477 , 0.070284 , 0.065757 , 0.047487 , 0.052763 , 0.050421 , 0.049326 , 0.061515 , 0.055295 , 0.045392 , 0.056396 , 0.059632 , 0.047677 , 0.044335 , 0.046476 , 0.042525 , 0.05378 , 0.050427 , 0.060811 , 0.051807 , 0.061789 , 0.049427 , 0.055837 , 0.041792 , 0.041591 , 0.03778 , 0.034846 , 0.050785 , 0.048035 , 0.049175 , 0.051422 , 0.053272 , 0.058246 , 0.067981 , 0.049544 , 0.042066 , 0.053775 , 0.053786 , 0.052953 , 0.060565 , 0.06384 , 0.058732 , 0.047957 , 0.04889 , 0.052132 , 0.044464 , 0.050802 , 0.042882 , 0.055647 , 0.055558 , 0.047443 , 0.052165 , 0.052199 , 0.052976 , 0.050628 , 0.052204 , 0.049835 , 0.034628 , 0.041647 , 0.055066 , 0.054714 , 0.039222 , 0.033907 , 0.034589 , 0.030626 , 0.039859 , 0.038948 , 0.049287 , 0.053361 , 0.054552 , 0.047476 , 0.04898 , 0.042944 , 0.049857 , 0.048443 , 0.046878 , 0.042061 
 450 , 0.080039 , 0.062258 , 0.07498 , 0.064969 , 0.070784 , 0.066252 , 0.04777 , 0.05307 , 0.050773 , 0.049669 , 0.061815 , 0.055507 , 0.045585 , 0.056616 , 0.059921 , 0.047804 , 0.044493 , 0.04665 , 0.042683 , 0.054022 , 0.050756 , 0.06126 , 0.05214 , 0.062174 , 0.049776 , 0.056235 , 0.042084 , 0.041865 , 0.037994 , 0.035115 , 0.050992 , 0.048269 , 0.049372 , 0.051591 , 0.053518 , 0.058448 , 0.068426 , 0.049804 , 0.04223 , 0.053972 , 0.054218 , 0.053395 , 0.061053 , 0.06437 , 0.059193 , 0.048302 , 0.049188 , 0.052527 , 0.044751 , 0.05116 , 0.043076 , 0.055865 , 0.055837 , 0.047664 , 0.052409 , 0.05242 , 0.05321 , 0.05084 , 0.052381 , 0.050078 , 0.034823 , 0.041905 , 0.055473 , 0.055104 , 0.039428 , 0.034106 , 0.03479 , 0.030829 , 0.040101 , 0.039199 , 0.049563 , 0.05358 , 0.054756 , 0.047686 , 0.049165 , 0.043115 , 0.050039 , 0.048622 , 0.047048 , 0.042235 
 451 , 0.08038 , 0.062646 , 0.075441 , 0.065351 , 0.071135 , 0.066639 , 0.04792 , 0.053234 , 0.051044 , 0.049941 , 0.062019 , 0.055619 , 0.045708 , 0.056767 , 0.060138 , 0.047853 , 0.044588 , 0.04671 , 0.042774 , 0.054169 , 0.050994 , 0.061577 , 0.052388 , 0.062439 , 0.05002 , 0.056504 , 0.04227 , 0.042063 , 0.038121 , 0.035338 , 0.051078 , 0.048401 , 0.049482 , 0.05166 , 0.053659 , 0.058542 , 0.068738 , 0.049936 , 0.042292 , 0.054057 , 0.054544 , 0.053715 , 0.061409 , 0.064768 , 0.059539 , 0.04853 , 0.049398 , 0.052825 , 0.044958 , 0.051431 , 0.043188 , 0.055977 , 0.055989 , 0.047808 , 0.052573 , 0.052556 , 0.053357 , 0.050938 , 0.052444 , 0.050238 , 0.034929 , 0.042102 , 0.055776 , 0.055406 , 0.039549 , 0.03424 , 0.034929 , 0.030976 , 0.040249 , 0.03937 , 0.049734 , 0.053715 , 0.054846 , 0.047797 , 0.049247 , 0.043211 , 0.050126 , 0.048709 , 0.047136 , 0.042315 
 452 , 0.08072 , 0.063029 , 0.075907 , 0.065738 , 0.071485 , 0.06703 , 0.048064 , 0.053392 , 0.051315 , 0.050218 , 0.062217 , 0.055725 , 0.045836 , 0.056912 , 0.060359 , 0.047896 , 0.044678 , 0.046765 , 0.04287 , 0.054321 , 0.051237 , 0.061893 , 0.052636 , 0.06271 , 0.050269 , 0.056772 , 0.04245 , 0.04226 , 0.038253 , 0.035561 , 0.051158 , 0.048539 , 0.049591 , 0.051724 , 0.0538 , 0.058641 , 0.069051 , 0.050067 , 0.042361 , 0.054141 , 0.054869 , 0.054035 , 0.061764 , 0.065172 , 0.059884 , 0.048758 , 0.049614 , 0.053123 , 0.045159 , 0.051696 , 0.043301 , 0.056089 , 0.056139 , 0.047946 , 0.052731 , 0.052686 , 0.053503 , 0.051041 , 0.052502 , 0.050397 , 0.035035 , 0.042293 , 0.056078 , 0.055703 , 0.039674 , 0.034374 , 0.035068 , 0.031123 , 0.040396 , 0.03954 , 0.049905 , 0.05385 , 0.054936 , 0.047907 , 0.049334 , 0.043312 , 0.050213 , 0.048797 , 0.04723 , 0.042394 
 453 , 0.080997 , 0.06331 , 0.076272 , 0.066028 , 0.07177 , 0.067347 , 0.048162 , 0.053519 , 0.051506 , 0.050399 , 0.062315 , 0.055761 , 0.045886 , 0.056975 , 0.060492 , 0.047888 , 0.044706 , 0.046781 , 0.042911 , 0.054402 , 0.051405 , 0.062136 , 0.052825 , 0.062907 , 0.050455 , 0.056986 , 0.042598 , 0.042414 , 0.038354 , 0.035731 , 0.051193 , 0.048609 , 0.049638 , 0.051735 , 0.053882 , 0.058674 , 0.069288 , 0.050147 , 0.042386 , 0.054167 , 0.055135 , 0.054296 , 0.062046 , 0.065491 , 0.060151 , 0.048934 , 0.049772 , 0.053345 , 0.045321 , 0.051903 , 0.043364 , 0.05613 , 0.056236 , 0.048017 , 0.052825 , 0.052736 , 0.053569 , 0.051075 , 0.052518 , 0.050482 , 0.035111 , 0.042436 , 0.05632 , 0.055929 , 0.039769 , 0.034468 , 0.035161 , 0.031236 , 0.040501 , 0.039668 , 0.050013 , 0.05391 , 0.054967 , 0.047977 , 0.04937 , 0.04337 , 0.050236 , 0.048827 , 0.047267 , 0.042425 
 454 , 0.081084 , 0.063307 , 0.076363 , 0.066052 , 0.071853 , 0.067466 , 0.04813 , 0.053542 , 0.051448 , 0.050329 , 0.062127 , 0.055574 , 0.045703 , 0.056765 , 0.060379 , 0.047735 , 0.04455 , 0.046672 , 0.042813 , 0.054282 , 0.051365 , 0.06216 , 0.052863 , 0.062923 , 0.050474 , 0.057049 , 0.042641 , 0.042429 , 0.038371 , 0.035754 , 0.05107 , 0.048498 , 0.0495 , 0.051571 , 0.053809 , 0.058525 , 0.069292 , 0.050084 , 0.042307 , 0.054032 , 0.055251 , 0.054382 , 0.062127 , 0.065562 , 0.060184 , 0.048971 , 0.049784 , 0.053369 , 0.045352 , 0.051938 , 0.043275 , 0.055975 , 0.056158 , 0.04788 , 0.052707 , 0.052568 , 0.053408 , 0.050931 , 0.052412 , 0.050368 , 0.035103 , 0.042413 , 0.056403 , 0.055936 , 0.039779 , 0.034462 , 0.035103 , 0.031244 , 0.040486 , 0.039673 , 0.04994 , 0.053759 , 0.054828 , 0.047941 , 0.049272 , 0.043309 , 0.05009 , 0.048687 , 0.047162 , 0.042329 
 455 , 0.081172 , 0.063302 , 0.076455 , 0.066073 , 0.071938 , 0.067581 , 0.048092 , 0.053563 , 0.051395 , 0.050264 , 0.061933 , 0.055386 , 0.04552 , 0.056561 , 0.060264 , 0.047582 , 0.0444 , 0.046562 , 0.042709 , 0.054161 , 0.051323 , 0.062176 , 0.052897 , 0.062936 , 0.050492 , 0.05711 , 0.042687 , 0.042443 , 0.038386 , 0.03578 , 0.050952 , 0.048391 , 0.049361 , 0.051412 , 0.053734 , 0.058379 , 0.069299 , 0.050015 , 0.042227 , 0.05389 , 0.05537 , 0.054472 , 0.062204 , 0.06563 , 0.060214 , 0.049006 , 0.049793 , 0.053391 , 0.045381 , 0.051972 , 0.043186 , 0.055819 , 0.056085 , 0.047742 , 0.052587 , 0.052393 , 0.053241 , 0.050791 , 0.052304 , 0.050248 , 0.035093 , 0.042393 , 0.056484 , 0.055946 , 0.039788 , 0.034456 , 0.035043 , 0.031252 , 0.04047 , 0.039677 , 0.049865 , 0.053607 , 0.054693 , 0.047903 , 0.049178 , 0.043247 , 0.049937 , 0.048546 , 0.047055 , 0.042227 
 456 , 0.081257 , 0.063294 , 0.076544 , 0.066092 , 0.072019 , 0.067692 , 0.048057 , 0.053581 , 0.05134 , 0.050192 , 0.061743 , 0.055198 , 0.045336 , 0.056357 , 0.060148 , 0.047433 , 0.044243 , 0.046456 , 0.04261 , 0.054044 , 0.051285 , 0.062201 , 0.052935 , 0.062952 , 0.050507 , 0.057174 , 0.042731 , 0.042455 , 0.038405 , 0.035805 , 0.050833 , 0.048283 , 0.049221 , 0.051252 , 0.053664 , 0.058233 , 0.069304 , 0.04995 , 0.042152 , 0.053752 , 0.055485 , 0.054558 , 0.062284 , 0.0657 , 0.060247 , 0.049039 , 0.049806 , 0.05341 , 0.045413 , 0.052008 , 0.043095 , 0.055661 , 0.056009 , 0.047604 , 0.052472 , 0.052218 , 0.053079 , 0.050645 , 0.052196 , 0.050132 , 0.035082 , 0.042372 , 0.056566 , 0.055954 , 0.039795 , 0.034448 , 0.034983 , 0.031263 , 0.040452 , 0.039679 , 0.04979 , 0.053454 , 0.054563 , 0.047864 , 0.049083 , 0.043189 , 0.04979 , 0.048404 , 0.046947 , 0.04213 
 457 , 0.081247 , 0.063379 , 0.076637 , 0.066153 , 0.07201 , 0.067642 , 0.048055 , 0.053615 , 0.051318 , 0.050236 , 0.061653 , 0.055011 , 0.045203 , 0.056263 , 0.060082 , 0.047296 , 0.044093 , 0.046351 , 0.042494 , 0.053928 , 0.051302 , 0.062258 , 0.052923 , 0.06295 , 0.050527 , 0.057214 , 0.042736 , 0.042467 , 0.038434 , 0.035824 , 0.050505 , 0.04823 , 0.049137 , 0.051115 , 0.053588 , 0.058066 , 0.069329 , 0.049906 , 0.042038 , 0.053615 , 0.055544 , 0.054653 , 0.06234 , 0.065741 , 0.060258 , 0.049071 , 0.049791 , 0.053461 , 0.045439 , 0.052055 , 0.042989 , 0.055527 , 0.05595 , 0.047527 , 0.052384 , 0.052082 , 0.052961 , 0.050538 , 0.052066 , 0.050016 , 0.035082 , 0.042335 , 0.056577 , 0.055994 , 0.039774 , 0.034434 , 0.034983 , 0.031236 , 0.040434 , 0.039643 , 0.049763 , 0.053335 , 0.05445 , 0.047769 , 0.048934 , 0.04311 , 0.049659 , 0.048307 , 0.046818 , 0.042082 
 458 , 0.081225 , 0.063468 , 0.076734 , 0.066214 , 0.071996 , 0.067565 , 0.048058 , 0.053654 , 0.051302 , 0.05029 , 0.061575 , 0.054825 , 0.045076 , 0.056192 , 0.060016 , 0.047161 , 0.043944 , 0.046253 , 0.042379 , 0.053813 , 0.051324 , 0.062319 , 0.05291 , 0.062943 , 0.050547 , 0.057259 , 0.042735 , 0.042472 , 0.038463 , 0.035848 , 0.050164 , 0.048184 , 0.049064 , 0.050984 , 0.053512 , 0.057894 , 0.06936 , 0.049874 , 0.04192 , 0.053484 , 0.055602 , 0.054748 , 0.062396 , 0.065782 , 0.060268 , 0.049108 , 0.049781 , 0.053517 , 0.045465 , 0.052106 , 0.042883 , 0.055394 , 0.055897 , 0.047456 , 0.052308 , 0.051947 , 0.05285 , 0.050443 , 0.051931 , 0.049901 , 0.035082 , 0.042297 , 0.056581 , 0.056045 , 0.039748 , 0.034415 , 0.034989 , 0.031209 , 0.040416 , 0.039606 , 0.049737 , 0.053222 , 0.054343 , 0.047664 , 0.048785 , 0.04303 , 0.049529 , 0.048211 , 0.046679 , 0.042046 
 459 , 0.081206 , 0.06356 , 0.076827 , 0.066272 , 0.07198 , 0.067492 , 0.048065 , 0.053691 , 0.051289 , 0.050347 , 0.061496 , 0.054639 , 0.044949 , 0.05612 , 0.059954 , 0.04703 , 0.043795 , 0.046153 , 0.042259 , 0.053696 , 0.051343 , 0.062378 , 0.052896 , 0.062944 , 0.050565 , 0.057296 , 0.042738 , 0.042488 , 0.038495 , 0.03587 , 0.049818 , 0.048136 , 0.048985 , 0.050853 , 0.053435 , 0.057727 , 0.069393 , 0.04984 , 0.041801 , 0.053353 , 0.055652 , 0.05484 , 0.062449 , 0.06582 , 0.060281 , 0.049143 , 0.049764 , 0.053576 , 0.045494 , 0.052155 , 0.042771 , 0.055265 , 0.055842 , 0.047384 , 0.052231 , 0.051817 , 0.052738 , 0.050341 , 0.051801 , 0.049786 , 0.03508 , 0.042264 , 0.056583 , 0.056093 , 0.039721 , 0.0344 , 0.034993 , 0.031186 , 0.040396 , 0.039568 , 0.04972 , 0.053108 , 0.054236 , 0.047564 , 0.048631 , 0.042956 , 0.049405 , 0.048119 , 0.046545 , 0.042008 
 460 , 0.081157 , 0.063564 , 0.076878 , 0.066238 , 0.071921 , 0.067437 , 0.048005 , 0.05364 , 0.051205 , 0.050299 , 0.061303 , 0.054426 , 0.0448 , 0.055983 , 0.059839 , 0.046839 , 0.043596 , 0.045972 , 0.042105 , 0.053521 , 0.051292 , 0.062371 , 0.052854 , 0.062897 , 0.050549 , 0.05729 , 0.042713 , 0.042425 , 0.038466 , 0.035847 , 0.049654 , 0.048027 , 0.04883 , 0.050657 , 0.053298 , 0.057501 , 0.069351 , 0.049757 , 0.041655 , 0.053157 , 0.055674 , 0.054855 , 0.062447 , 0.065788 , 0.060229 , 0.049123 , 0.049708 , 0.053553 , 0.045446 , 0.052143 , 0.042637 , 0.055066 , 0.055717 , 0.047246 , 0.052089 , 0.051655 , 0.052572 , 0.050175 , 0.051617 , 0.049622 , 0.035023 , 0.042192 , 0.056536 , 0.056032 , 0.039643 , 0.034355 , 0.034909 , 0.03114 , 0.040337 , 0.039507 , 0.049638 , 0.052935 , 0.054058 , 0.047441 , 0.048461 , 0.042826 , 0.049231 , 0.047951 , 0.046368 , 0.041899 
 461 , 0.08108 , 0.063493 , 0.076886 , 0.066117 , 0.071822 , 0.067401 , 0.047903 , 0.053512 , 0.051056 , 0.050149 , 0.061004 , 0.054181 , 0.044621 , 0.055779 , 0.059671 , 0.046597 , 0.043353 , 0.045717 , 0.041911 , 0.053301 , 0.051164 , 0.0623 , 0.052783 , 0.062807 , 0.050494 , 0.057242 , 0.042656 , 0.0423 , 0.038381 , 0.035784 , 0.049647 , 0.04786 , 0.0486 , 0.050408 , 0.053112 , 0.057231 , 0.069242 , 0.04962 , 0.041485 , 0.052902 , 0.055666 , 0.054802 , 0.062397 , 0.065695 , 0.06013 , 0.049058 , 0.049625 , 0.053458 , 0.045339 , 0.052076 , 0.042467 , 0.054807 , 0.055525 , 0.047045 , 0.051892 , 0.051477 , 0.052362 , 0.049938 , 0.051396 , 0.049415 , 0.034926 , 0.042084 , 0.056438 , 0.055865 , 0.03952 , 0.034278 , 0.034742 , 0.031083 , 0.040249 , 0.039433 , 0.049506 , 0.052713 , 0.05382 , 0.047304 , 0.048281 , 0.042651 , 0.049015 , 0.047709 , 0.046149 , 0.041722 
 462 , 0.081 , 0.063414 , 0.076895 , 0.065998 , 0.071721 , 0.067363 , 0.047794 , 0.053382 , 0.050905 , 0.050002 , 0.060706 , 0.053941 , 0.044447 , 0.055574 , 0.059502 , 0.046354 , 0.043109 , 0.045462 , 0.041722 , 0.053076 , 0.051034 , 0.062232 , 0.052716 , 0.062726 , 0.050438 , 0.057192 , 0.042609 , 0.042174 , 0.038294 , 0.035721 , 0.049637 , 0.047687 , 0.048374 , 0.050158 , 0.05292 , 0.056961 , 0.069136 , 0.049487 , 0.041319 , 0.052651 , 0.05566 , 0.054747 , 0.062344 , 0.065595 , 0.060029 , 0.048998 , 0.049535 , 0.053361 , 0.045231 , 0.052012 , 0.042297 , 0.054548 , 0.055338 , 0.046843 , 0.0517 , 0.051292 , 0.052152 , 0.049701 , 0.051168 , 0.049212 , 0.034823 , 0.041975 , 0.056348 , 0.055698 , 0.039401 , 0.034205 , 0.034576 , 0.031024 , 0.040159 , 0.039364 , 0.049368 , 0.052495 , 0.053581 , 0.047171 , 0.048095 , 0.042469 , 0.048799 , 0.047461 , 0.045929 , 0.041545 
