SHB2_00005_SHB2_REF.spu,SHB2_00004_SHB2_REF.spu,SHB2_00003_SHB2_REF.spu,SHB2_00002_SHB2_REF.spu,
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,26:11 AM,26:32 AM,26:46 AM,26:58 AM,27:13 AM,29:20 AM,30:01 AM,30:24 AM,30:46 AM,31:20 AM,32:19 AM,32:33 AM,32:44 AM,33:04 AM,33:17 AM,34:32 AM,34:40 AM,34:49 AM,34:58 AM,35:06 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 337 , 0.018468 , 0.020909 , 0.017643 , 0.017177 , 0.023436 , 0.016039 , 0.018893 , 0.010658 , 0.018597 , 0.011235 , 0.015763 , 0.010035 , 0.015222 , 0.015859 , 0.013465 , 0.024601 , 0.032812 , 0.029679 , 0.035146 , 0.028752 
 338 , 0.018382 , 0.020092 , 0.017009 , 0.016668 , 0.023566 , 0.015868 , 0.018733 , 0.011111 , 0.018052 , 0.010687 , 0.015903 , 0.009645 , 0.01468 , 0.01576 , 0.012893 , 0.023668 , 0.031648 , 0.028881 , 0.034293 , 0.028127 
 339 , 0.018158 , 0.020655 , 0.016836 , 0.016869 , 0.023468 , 0.015947 , 0.018397 , 0.011308 , 0.018024 , 0.010659 , 0.016114 , 0.010253 , 0.014695 , 0.015365 , 0.013225 , 0.023787 , 0.031911 , 0.029083 , 0.034173 , 0.028161 
 340 , 0.017921 , 0.021377 , 0.016741 , 0.017172 , 0.023343 , 0.016052 , 0.018051 , 0.011419 , 0.018084 , 0.010712 , 0.016297 , 0.010952 , 0.014795 , 0.014952 , 0.013677 , 0.02407 , 0.032378 , 0.029426 , 0.034152 , 0.028277 
 341 , 0.017692 , 0.021997 , 0.016636 , 0.017439 , 0.023244 , 0.016131 , 0.017734 , 0.011487 , 0.018134 , 0.010752 , 0.016429 , 0.011549 , 0.014874 , 0.014572 , 0.014077 , 0.024319 , 0.03279 , 0.029711 , 0.034078 , 0.028348 
 342 , 0.017479 , 0.022109 , 0.016857 , 0.017833 , 0.023167 , 0.016201 , 0.017697 , 0.011566 , 0.018133 , 0.010811 , 0.01654 , 0.011817 , 0.014886 , 0.014681 , 0.014187 , 0.024201 , 0.032886 , 0.029829 , 0.033761 , 0.028365 
 343 , 0.017298 , 0.021705 , 0.017426 , 0.018361 , 0.023107 , 0.016269 , 0.017948 , 0.011671 , 0.018077 , 0.010891 , 0.016642 , 0.011758 , 0.014826 , 0.015302 , 0.014007 , 0.023698 , 0.03265 , 0.02979 , 0.033202 , 0.028331 
 344 , 0.017136 , 0.02134 , 0.017937 , 0.018836 , 0.023052 , 0.016328 , 0.018176 , 0.011767 , 0.018027 , 0.010963 , 0.016735 , 0.011706 , 0.014772 , 0.015867 , 0.013847 , 0.023243 , 0.032436 , 0.029753 , 0.032698 , 0.028301 
 345 , 0.01705 , 0.021079 , 0.018439 , 0.019242 , 0.023063 , 0.016453 , 0.018389 , 0.011854 , 0.018028 , 0.011059 , 0.016842 , 0.011651 , 0.014776 , 0.016406 , 0.01375 , 0.02296 , 0.032342 , 0.029801 , 0.03237 , 0.028338 
 346 , 0.017628 , 0.021734 , 0.019366 , 0.019289 , 0.023793 , 0.017467 , 0.018677 , 0.011942 , 0.018593 , 0.011519 , 0.017193 , 0.011539 , 0.015453 , 0.017121 , 0.01419 , 0.02429 , 0.033481 , 0.030744 , 0.033645 , 0.029161 
 347 , 0.018161 , 0.022324 , 0.02021 , 0.019342 , 0.024459 , 0.018373 , 0.018931 , 0.012023 , 0.019108 , 0.011933 , 0.017524 , 0.01144 , 0.016071 , 0.017806 , 0.014595 , 0.025517 , 0.034527 , 0.031646 , 0.034827 , 0.029929 
 348 , 0.018654 , 0.02286 , 0.020981 , 0.019399 , 0.025068 , 0.019186 , 0.019157 , 0.0121 , 0.01958 , 0.012308 , 0.017836 , 0.011353 , 0.016638 , 0.018464 , 0.014969 , 0.026656 , 0.035492 , 0.032511 , 0.035929 , 0.030648 
 349 , 0.018684 , 0.022879 , 0.020716 , 0.019406 , 0.024635 , 0.019203 , 0.019122 , 0.012194 , 0.019789 , 0.012638 , 0.017772 , 0.011732 , 0.016608 , 0.018654 , 0.015063 , 0.026666 , 0.035765 , 0.032723 , 0.036638 , 0.030974 
