  time  ,:11:40 A,:11:51 A,:12:02 A,:12:17 A,:12:26 A,:12:47 A,:12:55 A,:13:03 A,:13:09 A,:13:17 A,:14:59 A,:15:07 A,:15:15 A,:15:24 A,:15:35 A,:15:49 A,:15:56 A,:16:04 A,:16:12 A,:16:19 A,:16:45 A,:16:52 A,:16:59 A,:17:07 A,:17:15 A,:17:30 A,:17:39 A,:17:48 A,:17:56 A,:18:04 A,:18:45 A,:18:56 A,:19:05 A,:19:15 A,:19:26 A,:19:57 A,:20:04 A,:20:12 A,:20:21 A,:20:28 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.012932 , 0.010731 , 0.012971 , 0.011304 , 0.019148 , 0.001453 , 0.004259 , 0.014388 , 0.014963 , 0.010791 , 0.01392 , 0.012196 , 0.00419 , 0.010919 , 0.012554 , 0.012032 , 0.012843 , 0.004358 , 0.015465 , 0.002875 , 0.001494 , 0.005959 , 0.008885 , 0.005861 , 0.001521 , 0.004384 , 0.002986 , 0.012712 , 0.007409 , 0.007349 , 0.003003 , 0 , 0.005753 , 0.007403 , 0.007409 , 0.006472 , 0.001548 , 0.012792 , 0.001503 , 0 
 317 , 0.017308 , 0.014011 , 0.013461 , 0.01686 , 0.020684 , 0.002199 , 0.006413 , 0.013804 , 0.014392 , 0.012204 , 0.016774 , 0.016237 , 0.006292 , 0.014332 , 0.014991 , 0.015976 , 0.013393 , 0.006562 , 0.021323 , 0.004303 , 0.002256 , 0.009004 , 0.00711 , 0.008823 , 0.002288 , 0.006581 , 0.004511 , 0.015077 , 0.011116 , 0.011216 , 0.004552 , 0 , 0.00875 , 0.011181 , 0.011116 , 0.007673 , 0.002323 , 0.01512 , 0.002264 , 0 
 318 , 0.019638 , 0.016462 , 0.013328 , 0.020392 , 0.021865 , 0.002724 , 0.007669 , 0.012974 , 0.013765 , 0.012765 , 0.01834 , 0.019016 , 0.007662 , 0.016356 , 0.01644 , 0.018227 , 0.013399 , 0.007839 , 0.024741 , 0.005361 , 0.002709 , 0.010968 , 0.0057 , 0.010548 , 0.002736 , 0.007832 , 0.0054 , 0.016307 , 0.013502 , 0.013815 , 0.005462 , 0 , 0.010796 , 0.013815 , 0.013254 , 0.008358 , 0.002765 , 0.0163 , 0.002701 , 0 
 319 , 0.012276 , 0.016415 , 0.009043 , 0.016032 , 0.02222 , 0.002396 , 0.004706 , 0.009476 , 0.012069 , 0.008623 , 0.014017 , 0.016797 , 0.006137 , 0.01214 , 0.012938 , 0.012749 , 0.009753 , 0.004794 , 0.016501 , 0.005475 , 0.001673 , 0.008289 , 0.005011 , 0.006471 , 0.001677 , 0.004757 , 0.003279 , 0.011555 , 0.010531 , 0.010773 , 0.003317 , 0 , 0.008871 , 0.012221 , 0.00813 , 0.00655 , 0.001684 , 0.011511 , 0.001646 , 0 
 320 , 0.006337 , 0.016325 , 0.005624 , 0.012582 , 0.022509 , 0.002138 , 0.002365 , 0.006672 , 0.010731 , 0.005349 , 0.01064 , 0.015044 , 0.004932 , 0.008865 , 0.010207 , 0.008401 , 0.006845 , 0.002398 , 0.010152 , 0.005576 , 0.000845 , 0.006162 , 0.004468 , 0.003249 , 0.000843 , 0.002367 , 0.001632 , 0.007817 , 0.008184 , 0.008369 , 0.001649 , 0 , 0.007351 , 0.01096 , 0.004082 , 0.005146 , 0.000841 , 0.007763 , 0.000821 , 0 
 321 , 0.001418 , 0.016211 , 0.002827 , 0.009785 , 0.022752 , 0.001927 , 0.000467 , 0.004369 , 0.009647 , 0.002697 , 0.007935 , 0.013623 , 0.003955 , 0.00626 , 0.008032 , 0.00486 , 0.004468 , 0.000473 , 0.00515 , 0.005668 , 0.000168 , 0.004435 , 0.004026 , 0.000642 , 0.000166 , 0.000464 , 0.000319 , 0.004807 , 0.006282 , 0.006422 , 0.000323 , 0 , 0.006117 , 0.009939 , 0.000808 , 0.004024 , 0.000164 , 0.00476 , 0.000162 , 0 
 322 , 0.00473 , 0.013621 , 0.005205 , 0.009633 , 0.019809 , 0.003844 , 0.002524 , 0.004827 , 0.011721 , 0.003929 , 0.008391 , 0.012663 , 0.006181 , 0.007287 , 0.009297 , 0.005688 , 0.006398 , 0.002187 , 0.006088 , 0.006896 , 0.001479 , 0.005859 , 0.005397 , 0.002572 , 0.001851 , 0.00179 , 0.002509 , 0.006938 , 0.008194 , 0.007954 , 0.001427 , 0.000735 , 0.007785 , 0.011267 , 0.00145 , 0.005898 , 0.001127 , 0.005367 , 0.002519 , 0 
 323 , 0.009822 , 0.010778 , 0.008606 , 0.010246 , 0.016514 , 0.006051 , 0.005335 , 0.005958 , 0.014329 , 0.006032 , 0.009676 , 0.011987 , 0.008914 , 0.009173 , 0.011295 , 0.007552 , 0.009137 , 0.004634 , 0.008544 , 0.008213 , 0.003092 , 0.007878 , 0.007044 , 0.005417 , 0.00391 , 0.003831 , 0.005337 , 0.010094 , 0.01083 , 0.010147 , 0.003015 , 0.001545 , 0.009937 , 0.012989 , 0.003045 , 0.008289 , 0.002394 , 0.006825 , 0.005306 , 0 
 324 , 0.013903 , 0.008536 , 0.011288 , 0.010749 , 0.013933 , 0.007821 , 0.007569 , 0.006836 , 0.016414 , 0.007707 , 0.01075 , 0.011453 , 0.011078 , 0.010721 , 0.012893 , 0.009003 , 0.011248 , 0.006594 , 0.010567 , 0.009236 , 0.004346 , 0.009442 , 0.008355 , 0.007661 , 0.005544 , 0.005502 , 0.007619 , 0.012563 , 0.012911 , 0.011844 , 0.004279 , 0.002181 , 0.011605 , 0.01432 , 0.004294 , 0.010193 , 0.003417 , 0.007945 , 0.007507 , 0 
 325 , 0.016661 , 0.0092 , 0.013437 , 0.012134 , 0.014551 , 0.010258 , 0.009789 , 0.008446 , 0.017559 , 0.009279 , 0.012548 , 0.012601 , 0.012949 , 0.012611 , 0.015288 , 0.010789 , 0.012984 , 0.008614 , 0.012994 , 0.010585 , 0.006441 , 0.01111 , 0.009814 , 0.009775 , 0.007164 , 0.007579 , 0.009639 , 0.014824 , 0.015151 , 0.01353 , 0.006012 , 0.003151 , 0.013603 , 0.015732 , 0.005773 , 0.012033 , 0.005453 , 0.009667 , 0.009359 , 0.000728 
