HST_00004.spu,HST_00003.spu,HST_00002.spu,
Wavelength,SHB2_00005.spu,SHB2_00006.spu,SHB2_00007.spu,SHB2_00008.spu,SHB2_00009.spu,SHB2_00010.spu,SHB2_00011.spu,SHB2_00012.spu,SHB2_00013.spu,SHB2_00014.spu,SHB2_00015.spu,SHB2_00016.spu,SHB2_00017.spu,SHB2_00018.spu,SHB2_00019.spu,SHB2_00020.spu,SHB2_00021.spu,SHB2_00022.spu,SHB2_00023.spu,SHB2_00024.spu
  (nm),7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 
  time  ,:49:13 A,:49:43 A,:50:11 A,:50:40 A,:51:06 A,:52:25 A,:52:45 A,:53:08 A,:53:25 A,:53:44 A,:54:29 A,:54:48 A,:55:08 A,:55:26 A,:55:50 A,:57:07 A,:57:20 A,:57:35 A,:57:51 A,:58:07 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 337 , 0.018408 , 0.013577 , 0.013139 , 0.014308 , 0.010826 , 0.01477 , 0.022067 , 0.014872 , 0.024261 , 0.023476 , 0.016782 , 0.012318 , 0.016916 , 0.02067 , 0.019128 , 0.022163 , 0.023661 , 0.019218 , 0.025652 , 0.017824 
 338 , 0.017981 , 0.012974 , 0.012963 , 0.014013 , 0.010578 , 0.014452 , 0.021788 , 0.014435 , 0.024022 , 0.023103 , 0.016382 , 0.012171 , 0.016429 , 0.020313 , 0.018521 , 0.021866 , 0.023754 , 0.018465 , 0.025536 , 0.017557 
 339 , 0.017874 , 0.01304 , 0.012772 , 0.013913 , 0.010979 , 0.014494 , 0.021789 , 0.014206 , 0.023909 , 0.022963 , 0.016203 , 0.012071 , 0.016377 , 0.019998 , 0.018155 , 0.02186 , 0.02348 , 0.018683 , 0.025371 , 0.017181 
 340 , 0.017836 , 0.013215 , 0.012598 , 0.013856 , 0.011452 , 0.014596 , 0.021844 , 0.014037 , 0.02383 , 0.022879 , 0.016081 , 0.011989 , 0.016407 , 0.019724 , 0.017862 , 0.021908 , 0.023171 , 0.019052 , 0.025217 , 0.016824 
 341 , 0.017814 , 0.013378 , 0.012451 , 0.013808 , 0.011878 , 0.014696 , 0.02191 , 0.013889 , 0.023769 , 0.022818 , 0.01598 , 0.011921 , 0.016445 , 0.019493 , 0.017608 , 0.021959 , 0.02291 , 0.019393 , 0.02509 , 0.01651 
 342 , 0.017767 , 0.013328 , 0.012349 , 0.013717 , 0.011946 , 0.014633 , 0.021726 , 0.013839 , 0.023627 , 0.022691 , 0.015917 , 0.011977 , 0.016334 , 0.019386 , 0.017432 , 0.021817 , 0.022769 , 0.019404 , 0.024931 , 0.016239 
 343 , 0.017686 , 0.013056 , 0.012284 , 0.013578 , 0.011648 , 0.0144 , 0.021279 , 0.013881 , 0.023394 , 0.022487 , 0.015886 , 0.01215 , 0.016064 , 0.019395 , 0.017328 , 0.021472 , 0.022737 , 0.019073 , 0.024721 , 0.016003 
 344 , 0.017602 , 0.012806 , 0.012212 , 0.013444 , 0.01138 , 0.01418 , 0.020864 , 0.013906 , 0.023164 , 0.022287 , 0.015842 , 0.01229 , 0.01581 , 0.019386 , 0.017226 , 0.021147 , 0.022677 , 0.018763 , 0.024497 , 0.015783 
 345 , 0.017534 , 0.01262 , 0.012152 , 0.013353 , 0.011175 , 0.014011 , 0.020527 , 0.013934 , 0.022974 , 0.022134 , 0.015806 , 0.012392 , 0.015617 , 0.019375 , 0.017158 , 0.020897 , 0.022624 , 0.018511 , 0.024302 , 0.015625 
 346 , 0.01762 , 0.012926 , 0.012243 , 0.013698 , 0.011427 , 0.014262 , 0.020731 , 0.014129 , 0.023147 , 0.022432 , 0.015929 , 0.012305 , 0.015911 , 0.019475 , 0.017438 , 0.021298 , 0.022825 , 0.018681 , 0.024436 , 0.016029 
