  time  ,30:50 AM,30:41 AM,30:32 AM,30:22 AM,30:13 AM,29:31 AM,29:21 AM,29:09 AM,29:00 AM,28:53 AM,27:52 AM,27:43 AM,27:33 AM,27:24 AM,27:16 AM,26:53 AM,26:41 AM,26:30 AM,26:21 AM,26:12 AM,24:24 AM,24:14 AM,24:04 AM,23:49 AM,23:42 AM,22:52 AM,22:44 AM,22:33 AM,22:24 AM,22:13 AM,21:06 AM,20:56 AM,20:46 AM,20:34 AM,20:19 AM,19:08 AM,18:56 AM,18:41 AM,18:29 AM,18:10 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.0415 , 0.04002 , 0.044444 , 0.048451 , 0.041844 , 0.019802 , 0.026001 , 0.021634 , 0.034177 , 0.033635 , 0.026409 , 0.042697 , 0.023352 , 0.019992 , 0.036069 , 0.047412 , 0.024408 , 0.032588 , 0.034614 , 0.039312 , 0.058253 , 0.05983 , 0.046393 , 0.039066 , 0.043344 , 0.038463 , 0.038981 , 0.039312 , 0.037574 , 0.032867 , 0.043025 , 0.038018 , 0.047853 , 0.040008 , 0.048467 , 0.034889 , 0.033987 , 0.030513 , 0.024315 , 0.030756 
 317 , 0.039131 , 0.038041 , 0.040618 , 0.044977 , 0.040799 , 0.018503 , 0.0223 , 0.019306 , 0.031814 , 0.028748 , 0.025472 , 0.039275 , 0.019549 , 0.013728 , 0.027843 , 0.041288 , 0.023053 , 0.031854 , 0.028111 , 0.035195 , 0.053412 , 0.058618 , 0.043163 , 0.034833 , 0.041552 , 0.034584 , 0.037418 , 0.035195 , 0.036531 , 0.028958 , 0.037487 , 0.033899 , 0.045698 , 0.037838 , 0.043735 , 0.031365 , 0.033208 , 0.023955 , 0.021515 , 0.024042 
 318 , 0.03689 , 0.036246 , 0.037481 , 0.042004 , 0.039645 , 0.017499 , 0.019603 , 0.017711 , 0.030165 , 0.025103 , 0.025057 , 0.036645 , 0.016862 , 0.009865 , 0.02208 , 0.036543 , 0.02226 , 0.030982 , 0.023312 , 0.032067 , 0.049994 , 0.057398 , 0.040961 , 0.032011 , 0.040305 , 0.031609 , 0.036115 , 0.031913 , 0.035213 , 0.026067 , 0.03355 , 0.031161 , 0.043817 , 0.036187 , 0.040099 , 0.028439 , 0.032174 , 0.019299 , 0.01944 , 0.019018 
 319 , 0.032706 , 0.033447 , 0.034627 , 0.038522 , 0.036609 , 0.01713 , 0.019569 , 0.018753 , 0.030947 , 0.02454 , 0.027359 , 0.035779 , 0.017842 , 0.016059 , 0.023499 , 0.034914 , 0.023967 , 0.028253 , 0.023562 , 0.031311 , 0.0513 , 0.05527 , 0.042489 , 0.034549 , 0.04086 , 0.030753 , 0.034925 , 0.029896 , 0.030576 , 0.02575 , 0.033806 , 0.033646 , 0.041404 , 0.035736 , 0.039072 , 0.025759 , 0.028256 , 0.020365 , 0.019306 , 0.0177 
 320 , 0.029463 , 0.031273 , 0.032419 , 0.035814 , 0.034241 , 0.016833 , 0.019549 , 0.019504 , 0.031536 , 0.024084 , 0.028924 , 0.035064 , 0.018577 , 0.020796 , 0.024618 , 0.03359 , 0.025339 , 0.026141 , 0.023683 , 0.030695 , 0.052243 , 0.053553 , 0.043651 , 0.036452 , 0.04131 , 0.030041 , 0.033994 , 0.028305 , 0.026987 , 0.025448 , 0.034077 , 0.035517 , 0.039508 , 0.035327 , 0.038217 , 0.023673 , 0.025217 , 0.02115 , 0.019176 , 0.016669 
 321 , 0.026878 , 0.029535 , 0.030657 , 0.033644 , 0.032334 , 0.016588 , 0.019535 , 0.020057 , 0.03199 , 0.023706 , 0.029997 , 0.034458 , 0.019146 , 0.024519 , 0.025525 , 0.032484 , 0.026474 , 0.024458 , 0.023722 , 0.030178 , 0.052937 , 0.052121 , 0.04456 , 0.037914 , 0.041687 , 0.029438 , 0.033243 , 0.027011 , 0.024128 , 0.02516 , 0.03436 , 0.036963 , 0.037976 , 0.034946 , 0.03749 , 0.022 , 0.022792 , 0.021746 , 0.019051 , 0.015836 
 322 , 0.025327 , 0.028408 , 0.030019 , 0.0321 , 0.031149 , 0.016164 , 0.019499 , 0.019632 , 0.030515 , 0.025135 , 0.029169 , 0.034439 , 0.020236 , 0.027035 , 0.026659 , 0.030955 , 0.025353 , 0.024748 , 0.023856 , 0.027702 , 0.051808 , 0.052497 , 0.04472 , 0.037041 , 0.040591 , 0.029456 , 0.033246 , 0.026479 , 0.025828 , 0.026331 , 0.036293 , 0.036889 , 0.039461 , 0.035412 , 0.03892 , 0.021329 , 0.02246 , 0.022692 , 0.01959 , 0.017758 
 323 , 0.024326 , 0.027643 , 0.029813 , 0.030999 , 0.030368 , 0.015765 , 0.019464 , 0.019021 , 0.028771 , 0.026893 , 0.027989 , 0.034654 , 0.021359 , 0.02889 , 0.027694 , 0.029574 , 0.023818 , 0.025581 , 0.02403 , 0.025109 , 0.050429 , 0.053455 , 0.044705 , 0.035707 , 0.039292 , 0.02969 , 0.033456 , 0.026262 , 0.028565 , 0.027857 , 0.038428 , 0.036484 , 0.041683 , 0.036034 , 0.040759 , 0.021046 , 0.022769 , 0.023578 , 0.020235 , 0.020152 
 324 , 0.023557 , 0.027055 , 0.029683 , 0.030172 , 0.029793 , 0.015458 , 0.01944 , 0.018558 , 0.027418 , 0.028384 , 0.027123 , 0.034941 , 0.022339 , 0.030457 , 0.028548 , 0.028524 , 0.022621 , 0.026316 , 0.024232 , 0.023078 , 0.049446 , 0.054449 , 0.044773 , 0.034706 , 0.038284 , 0.029953 , 0.033638 , 0.026136 , 0.030843 , 0.029268 , 0.040207 , 0.036275 , 0.043663 , 0.036541 , 0.042307 , 0.020841 , 0.023039 , 0.024282 , 0.020767 , 0.022098 
 325 , 0.022737 , 0.026581 , 0.029319 , 0.029777 , 0.02928 , 0.015305 , 0.019535 , 0.019151 , 0.026632 , 0.028984 , 0.02712 , 0.035114 , 0.023532 , 0.031002 , 0.028911 , 0.027419 , 0.022373 , 0.026783 , 0.024361 , 0.022437 , 0.049225 , 0.055423 , 0.043877 , 0.034099 , 0.037508 , 0.030139 , 0.033393 , 0.026389 , 0.031623 , 0.029793 , 0.041212 , 0.03671 , 0.043884 , 0.036557 , 0.042662 , 0.021012 , 0.023511 , 0.024474 , 0.021031 , 0.023412 
