TEST_00013.spu,TEST_00012.spu,TEST_00011.spu,
Wavelength,SHB2_00001.spu,SHB2_00002.spu,SHB2_00003.spu,SHB2_00004.spu,SHB2_00005.spu,SHB2_00006.spu,SHB2_00007.spu,SHB2_00008.spu,SHB2_00009.spu,SHB2_00010.spu,SHB2_00011.spu,SHB2_00012.spu,SHB2_00013.spu,SHB2_00014.spu,SHB2_00015.spu,SHB2_00016.spu,SHB2_00017.spu,SHB2_00018.spu,SHB2_00019.spu,SHB2_00020.spu
  (nm),8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4
  time  ,5:56 PM",6:37 PM",7:07 PM",7:39 PM",8:12 PM",9:10 PM",9:29 PM",9:44 PM",0:01 PM",0:18 PM",0:56 PM",1:15 PM",1:34 PM",1:56 PM",2:17 PM",3:42 PM",4:01 PM",4:19 PM",4:37 PM",4:56 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 337 , 0.019727 , 0.01809 , 0.021825 , 0.021652 , 0.020391 , 0.021357 , 0.0219 , 0.020423 , 0.023766 , 0.021265 , 0.023026 , 0.018492 , 0.020954 , 0.022086 , 0.021281 , 0.028816 , 0.026355 , 0.023086 , 0.023656 , 0.021895 
 338 , 0.020453 , 0.018737 , 0.021988 , 0.022108 , 0.020512 , 0.020885 , 0.022053 , 0.0199 , 0.024154 , 0.021331 , 0.022832 , 0.018346 , 0.021582 , 0.022171 , 0.021392 , 0.028665 , 0.026565 , 0.023355 , 0.023984 , 0.022572 
 339 , 0.019791 , 0.018473 , 0.021165 , 0.021039 , 0.019967 , 0.021086 , 0.021676 , 0.019933 , 0.023426 , 0.020761 , 0.02206 , 0.018107 , 0.021262 , 0.021641 , 0.021012 , 0.028099 , 0.026022 , 0.022927 , 0.023656 , 0.022023 
 340 , 0.018975 , 0.018087 , 0.020272 , 0.019841 , 0.019371 , 0.021388 , 0.021253 , 0.02005 , 0.022593 , 0.02015 , 0.021279 , 0.017875 , 0.020823 , 0.02107 , 0.020592 , 0.027527 , 0.025414 , 0.022429 , 0.023252 , 0.021334 
 341 , 0.018257 , 0.017741 , 0.01949 , 0.018795 , 0.018848 , 0.021665 , 0.020881 , 0.020145 , 0.021862 , 0.019609 , 0.020593 , 0.017661 , 0.020442 , 0.020564 , 0.020217 , 0.02702 , 0.02488 , 0.021987 , 0.022894 , 0.020726 
 342 , 0.017389 , 0.017502 , 0.018925 , 0.01827 , 0.018522 , 0.021428 , 0.020782 , 0.01998 , 0.021544 , 0.019285 , 0.020386 , 0.017249 , 0.019951 , 0.020085 , 0.020024 , 0.026638 , 0.02446 , 0.021707 , 0.022668 , 0.020311 
 343 , 0.016358 , 0.017369 , 0.018567 , 0.018255 , 0.01839 , 0.020662 , 0.020959 , 0.019555 , 0.021642 , 0.019173 , 0.02066 , 0.016641 , 0.019345 , 0.019626 , 0.020014 , 0.026376 , 0.024151 , 0.021587 , 0.022575 , 0.020084 
 344 , 0.015454 , 0.017247 , 0.018257 , 0.018238 , 0.018275 , 0.019988 , 0.021119 , 0.019178 , 0.021743 , 0.019073 , 0.020907 , 0.016105 , 0.018811 , 0.019224 , 0.020011 , 0.026147 , 0.023885 , 0.021486 , 0.022498 , 0.019892 
 345 , 0.014751 , 0.017151 , 0.01804 , 0.018217 , 0.018197 , 0.01942 , 0.021241 , 0.018837 , 0.021828 , 0.019028 , 0.021108 , 0.015684 , 0.018369 , 0.018895 , 0.019986 , 0.025973 , 0.02368 , 0.021405 , 0.022431 , 0.019753 
 346 , 0.015326 , 0.017248 , 0.018554 , 0.018158 , 0.018401 , 0.019287 , 0.021081 , 0.018477 , 0.021775 , 0.019549 , 0.021021 , 0.015993 , 0.018358 , 0.018948 , 0.019688 , 0.02617 , 0.023859 , 0.021417 , 0.022388 , 0.019979 
