WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,WSG1_00004.spu,WSG1_00003.spu,
Wavelength,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu,WSG1_00025.spu,WSG1_00026.spu,WSG1_00027.spu,WSG1_00028.spu,WSG1_00029.spu,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu,WSG1_00035.spu,WSG1_00036.spu,WSG1_00037.spu,WSG1_00038.spu,WSG1_00039.spu
  (nm),8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 
  time  ,:31:21 A,:31:32 A,:31:43 A,:31:53 A,:32:01 A,:32:25 A,:32:32 A,:32:41 A,:32:49 A,:32:59 A,:33:22 A,:33:30 A,:33:38 A,:33:47 A,:33:55 A,:34:35 A,:34:45 A,:34:56 A,:35:06 A,:35:14 A,:35:44 A,:35:55 A,:36:12 A,:36:22 A,:36:32 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 333 , 0.006928 , 0.005449 , 0.006764 , 0.00715 , 0.007442 , 0.014228 , 0.01266 , 0.008341 , 0.011635 , 0.008878 , 0.011383 , 0.003124 , 0.004903 , 0.003912 , 0.008012 , 0.012955 , 0.014708 , 0.009264 , 0.009525 , 0.004865 , 0.009787 , 0.004934 , 0.012311 , 0.012903 , 0.011879 
 334 , 0.008755 , 0.006528 , 0.008628 , 0.008272 , 0.009247 , 0.015877 , 0.014134 , 0.009632 , 0.013262 , 0.010564 , 0.012905 , 0.004753 , 0.007075 , 0.005966 , 0.009596 , 0.014497 , 0.016365 , 0.011112 , 0.011539 , 0.006589 , 0.011396 , 0.006597 , 0.013724 , 0.01493 , 0.013673 
 335 , 0.009812 , 0.007178 , 0.009727 , 0.008904 , 0.010322 , 0.016875 , 0.01489 , 0.010379 , 0.014057 , 0.011501 , 0.013738 , 0.00565 , 0.008225 , 0.007172 , 0.010515 , 0.015374 , 0.01718 , 0.012224 , 0.012655 , 0.007608 , 0.012336 , 0.007499 , 0.014399 , 0.016046 , 0.014507 
 336 , 0.008699 , 0.006652 , 0.008625 , 0.008153 , 0.009309 , 0.016149 , 0.013534 , 0.009611 , 0.012479 , 0.010269 , 0.012598 , 0.004502 , 0.006374 , 0.006049 , 0.009529 , 0.014405 , 0.015571 , 0.011289 , 0.011189 , 0.00663 , 0.011421 , 0.006291 , 0.012972 , 0.014564 , 0.012602 
 337 , 0.007744 , 0.006198 , 0.007678 , 0.007503 , 0.008442 , 0.015521 , 0.012368 , 0.008949 , 0.011121 , 0.009209 , 0.011613 , 0.003522 , 0.004783 , 0.005092 , 0.008681 , 0.01357 , 0.014193 , 0.010483 , 0.009926 , 0.005797 , 0.01063 , 0.005243 , 0.011745 , 0.013293 , 0.010978 
 338 , 0.006915 , 0.005803 , 0.006857 , 0.006934 , 0.007691 , 0.014972 , 0.011357 , 0.008372 , 0.009939 , 0.00829 , 0.010754 , 0.002677 , 0.003401 , 0.004268 , 0.007944 , 0.012842 , 0.013 , 0.009782 , 0.008827 , 0.005079 , 0.009942 , 0.004322 , 0.010678 , 0.012192 , 0.009582 
 339 , 0.00778 , 0.006323 , 0.007613 , 0.007707 , 0.00843 , 0.015079 , 0.011982 , 0.008869 , 0.011033 , 0.009023 , 0.011826 , 0.002882 , 0.004036 , 0.004639 , 0.008692 , 0.013632 , 0.013725 , 0.010518 , 0.00946 , 0.005697 , 0.010833 , 0.005468 , 0.011322 , 0.012943 , 0.010438 
 340 , 0.008818 , 0.006929 , 0.008542 , 0.008604 , 0.009344 , 0.015272 , 0.012817 , 0.009492 , 0.012378 , 0.00994 , 0.01307 , 0.003243 , 0.004927 , 0.005174 , 0.009607 , 0.014594 , 0.014703 , 0.011415 , 0.01032 , 0.006467 , 0.011899 , 0.006826 , 0.012157 , 0.013924 , 0.011584 
 341 , 0.009713 , 0.00745 , 0.009347 , 0.00937 , 0.010155 , 0.015427 , 0.013559 , 0.010039 , 0.013544 , 0.010729 , 0.014125 , 0.003566 , 0.005696 , 0.005651 , 0.010411 , 0.01544 , 0.015579 , 0.012206 , 0.011083 , 0.00714 , 0.012844 , 0.008005 , 0.012862 , 0.014787 , 0.0126 
 342 , 0.009965 , 0.007782 , 0.009844 , 0.009759 , 0.01053 , 0.015854 , 0.014226 , 0.010521 , 0.014123 , 0.011182 , 0.014561 , 0.004143 , 0.006126 , 0.005962 , 0.010768 , 0.01601 , 0.016226 , 0.012485 , 0.011659 , 0.007533 , 0.013394 , 0.008544 , 0.013343 , 0.015375 , 0.013214 
 343 , 0.009584 , 0.007938 , 0.010042 , 0.009787 , 0.010468 , 0.016571 , 0.014825 , 0.010936 , 0.014128 , 0.011312 , 0.014402 , 0.00498 , 0.006229 , 0.006102 , 0.010677 , 0.016307 , 0.016639 , 0.01225 , 0.012048 , 0.007651 , 0.013547 , 0.008453 , 0.013634 , 0.015696 , 0.01342 
 344 , 0.009247 , 0.008086 , 0.010221 , 0.00982 , 0.010415 , 0.017221 , 0.015362 , 0.011297 , 0.014142 , 0.011434 , 0.014268 , 0.005716 , 0.006324 , 0.006219 , 0.010597 , 0.016568 , 0.017007 , 0.012042 , 0.012394 , 0.007761 , 0.01368 , 0.008371 , 0.01392 , 0.01599 , 0.013597 
