  time  ,:00:35 A,:00:44 A,:00:52 A,:00:58 A,:01:06 A,:02:13 A,:02:18 A,:02:25 A,:02:32 A,:02:40 A,:03:39 A,:03:48 A,:03:54 A,:04:01 A,:04:08 A,:04:23 A,:04:31 A,:04:41 A,:04:49 A,:04:57 A,:05:32 A,:05:42 A,:05:48 A,:05:55 A,:06:01 A,:06:13 A,:06:20 A,:06:28 A,:06:39 A,:06:52 A,:11:10 A,:11:17 A,:11:23 A,:11:30 A,:11:36 A,:11:47 A,:11:52 A,:11:58 A,:12:04 A,:12:15 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.061389 , 0.051916 , 0.061011 , 0.061754 , 0.039442 , 0.053986 , 0.049391 , 0.047717 , 0.055485 , 0.048859 , 0.054531 , 0.039811 , 0.040352 , 0.036449 , 0.032545 , 0.047678 , 0.043955 , 0.052135 , 0.057172 , 0.039747 , 0.0466 , 0.043599 , 0.053651 , 0.033705 , 0.041623 , 0.051869 , 0.062046 , 0.057336 , 0.040545 , 0.033074 , 0.03477 , 0.014905 , 0.02844 , 0.030626 , 0.045978 , 0.024064 , 0.020152 , 0.042349 , 0.030519 , 0.03547 
 317 , 0.061363 , 0.051777 , 0.055321 , 0.058595 , 0.041047 , 0.049131 , 0.047151 , 0.046481 , 0.05382 , 0.043423 , 0.051463 , 0.041227 , 0.041898 , 0.036581 , 0.03457 , 0.045689 , 0.04002 , 0.052134 , 0.057038 , 0.041607 , 0.046481 , 0.04732 , 0.056846 , 0.03368 , 0.043823 , 0.052279 , 0.057685 , 0.055458 , 0.042188 , 0.03103 , 0.036048 , 0.017646 , 0.029003 , 0.03185 , 0.04574 , 0.029337 , 0.023679 , 0.04296 , 0.031944 , 0.036201 
 318 , 0.060239 , 0.0508 , 0.050218 , 0.055618 , 0.04157 , 0.045079 , 0.044907 , 0.044673 , 0.051821 , 0.039013 , 0.048474 , 0.04157 , 0.041994 , 0.035896 , 0.035152 , 0.043454 , 0.036475 , 0.051304 , 0.055982 , 0.042429 , 0.04559 , 0.049531 , 0.057805 , 0.033134 , 0.044479 , 0.051724 , 0.054018 , 0.053371 , 0.042803 , 0.029035 , 0.03664 , 0.019237 , 0.029111 , 0.032261 , 0.045 , 0.032333 , 0.025939 , 0.042552 , 0.032624 , 0.036054 
 319 , 0.050169 , 0.043401 , 0.042837 , 0.050249 , 0.035302 , 0.04161 , 0.039883 , 0.037013 , 0.045125 , 0.036252 , 0.04231 , 0.035302 , 0.032875 , 0.028953 , 0.027168 , 0.037193 , 0.031431 , 0.04406 , 0.04779 , 0.036898 , 0.038631 , 0.043828 , 0.045498 , 0.028548 , 0.035408 , 0.044185 , 0.050608 , 0.047347 , 0.037119 , 0.024933 , 0.033139 , 0.015316 , 0.026442 , 0.027951 , 0.040047 , 0.023518 , 0.022195 , 0.034875 , 0.028978 , 0.030272 
 320 , 0.042205 , 0.037563 , 0.037011 , 0.046034 , 0.030342 , 0.038897 , 0.035926 , 0.030973 , 0.039848 , 0.034092 , 0.037441 , 0.030342 , 0.025697 , 0.023517 , 0.020805 , 0.032284 , 0.02745 , 0.038328 , 0.041336 , 0.032531 , 0.033147 , 0.039342 , 0.035726 , 0.024933 , 0.028342 , 0.038235 , 0.047961 , 0.042604 , 0.032639 , 0.021694 , 0.030383 , 0.012229 , 0.02434 , 0.024543 , 0.03615 , 0.016558 , 0.019241 , 0.028851 , 0.02611 , 0.025706 
 321 , 0.035747 , 0.032832 , 0.032289 , 0.042639 , 0.026318 , 0.036719 , 0.032731 , 0.026081 , 0.035577 , 0.032363 , 0.033495 , 0.026318 , 0.019902 , 0.019154 , 0.015592 , 0.028333 , 0.024225 , 0.03367 , 0.036114 , 0.028993 , 0.028711 , 0.03572 , 0.027755 , 0.022002 , 0.022689 , 0.033412 , 0.045855 , 0.038774 , 0.029012 , 0.019066 , 0.028157 , 0.009738 , 0.022639 , 0.021776 , 0.033002 , 0.010915 , 0.016846 , 0.023999 , 0.023791 , 0.022002 
 322 , 0.033956 , 0.032924 , 0.031453 , 0.041209 , 0.027605 , 0.036577 , 0.031642 , 0.026022 , 0.035976 , 0.031892 , 0.033727 , 0.028215 , 0.020284 , 0.020344 , 0.016426 , 0.028263 , 0.025177 , 0.034265 , 0.036036 , 0.027157 , 0.029857 , 0.035068 , 0.028124 , 0.022765 , 0.022462 , 0.031918 , 0.042906 , 0.036925 , 0.028172 , 0.019891 , 0.027955 , 0.012153 , 0.024812 , 0.023558 , 0.033763 , 0.013857 , 0.016057 , 0.023644 , 0.023663 , 0.022701 
 323 , 0.033757 , 0.03432 , 0.031809 , 0.040543 , 0.030112 , 0.037009 , 0.03128 , 0.027318 , 0.037582 , 0.031836 , 0.035052 , 0.031464 , 0.02234 , 0.02289 , 0.018785 , 0.029256 , 0.027106 , 0.036222 , 0.037398 , 0.02609 , 0.032371 , 0.035338 , 0.030739 , 0.024392 , 0.023759 , 0.031603 , 0.040218 , 0.035929 , 0.028247 , 0.021591 , 0.028315 , 0.015505 , 0.027712 , 0.026311 , 0.03543 , 0.01868 , 0.015841 , 0.024565 , 0.024156 , 0.024516 
 324 , 0.033613 , 0.035405 , 0.032062 , 0.03998 , 0.03205 , 0.037332 , 0.030932 , 0.028361 , 0.038828 , 0.031778 , 0.036057 , 0.034061 , 0.024023 , 0.024946 , 0.020631 , 0.03004 , 0.02861 , 0.037768 , 0.038496 , 0.025236 , 0.034386 , 0.035547 , 0.032807 , 0.02564 , 0.024815 , 0.031375 , 0.038093 , 0.035135 , 0.028316 , 0.023006 , 0.028571 , 0.018141 , 0.030036 , 0.028483 , 0.036682 , 0.022496 , 0.015669 , 0.025276 , 0.024547 , 0.025965 
 325 , 0.033247 , 0.035678 , 0.031374 , 0.039352 , 0.032905 , 0.037409 , 0.030657 , 0.028231 , 0.038702 , 0.031722 , 0.036188 , 0.035618 , 0.024564 , 0.025229 , 0.021691 , 0.030067 , 0.029046 , 0.038346 , 0.038541 , 0.024532 , 0.035802 , 0.035891 , 0.033553 , 0.025816 , 0.025117 , 0.031168 , 0.036731 , 0.034264 , 0.028578 , 0.023787 , 0.02869 , 0.019698 , 0.031246 , 0.029569 , 0.037387 , 0.024247 , 0.016128 , 0.025827 , 0.024959 , 0.026726 
