SHB1_00005.ref_SHB1_DARK.spu,SHB1_00004.ref_SHB1_DARK.spu,SHB1_00003.ref_SHB1_DARK.spu,
Wavelength,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP.spu,SHB1_00011_B1_P.spu,SHB1_00012_B1_P.spu,SHB1_00013_B1_P.spu,SHB1_00014_B1_P.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_N.spu,SHB1_00017_B1_N.spu,SHB1_00018_B1_N.spu,SHB1_00019_B1_N.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_CT2.spu,SHB1_00022_B1_CT2.spu,SHB1_00023_B1_CT2.spu,SHB1_00024_B1_CT2.spu,SHB1_00025_B1_CT2.spu
  (nm),7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2
  time  ,4:06 PM",4:33 PM",5:04 PM",5:27 PM",5:47 PM",6:34 PM",6:59 PM",8:21 PM",8:41 PM",9:11 PM",0:17 PM",1:06 PM",1:25 PM",1:47 PM",2:17 PM",3:39 PM",4:03 PM",4:26 PM",4:48 PM",5:04 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 351 , 0.015351 , 0.01746 , 0.020141 , 0.016567 , 0.023007 , 0.015734 , 0.028952 , 0.019538 , 0.01493 , 0.016707 , 0.017765 , 0.016089 , 0.014635 , 0.019943 , 0.017291 , 0.01532 , 0.011536 , 0.01326 , 0.011904 , 0.012796 
 352 , 0.015331 , 0.017399 , 0.020163 , 0.01651 , 0.023023 , 0.015662 , 0.028834 , 0.019496 , 0.014874 , 0.016684 , 0.0177 , 0.015985 , 0.014628 , 0.020014 , 0.017308 , 0.015133 , 0.011593 , 0.013125 , 0.01192 , 0.012735 
 353 , 0.015189 , 0.017647 , 0.020263 , 0.016509 , 0.02307 , 0.015769 , 0.028493 , 0.019575 , 0.015045 , 0.016979 , 0.017841 , 0.016065 , 0.01468 , 0.020045 , 0.017309 , 0.015183 , 0.011737 , 0.013148 , 0.012161 , 0.012906 
 354 , 0.015056 , 0.017885 , 0.020357 , 0.016508 , 0.023112 , 0.015867 , 0.028174 , 0.019654 , 0.015205 , 0.017254 , 0.017976 , 0.01614 , 0.014731 , 0.020073 , 0.01731 , 0.01523 , 0.011873 , 0.013167 , 0.012387 , 0.013062 
 355 , 0.014932 , 0.018115 , 0.020447 , 0.016508 , 0.02315 , 0.015958 , 0.027876 , 0.019732 , 0.015358 , 0.017513 , 0.018104 , 0.016209 , 0.014779 , 0.020099 , 0.017313 , 0.015273 , 0.012003 , 0.013182 , 0.0126 , 0.013204 
 356 , 0.01489 , 0.018149 , 0.020412 , 0.016624 , 0.02326 , 0.016018 , 0.028112 , 0.019654 , 0.015276 , 0.017327 , 0.018049 , 0.01628 , 0.014836 , 0.020047 , 0.017301 , 0.015102 , 0.012007 , 0.013197 , 0.01263 , 0.013182 
 357 , 0.014853 , 0.018171 , 0.020373 , 0.016742 , 0.023367 , 0.016074 , 0.028362 , 0.019573 , 0.015188 , 0.017126 , 0.017987 , 0.016348 , 0.01489 , 0.019994 , 0.017289 , 0.014929 , 0.012004 , 0.01321 , 0.012651 , 0.013154 
 358 , 0.014819 , 0.018192 , 0.020335 , 0.016854 , 0.023469 , 0.016128 , 0.028599 , 0.019496 , 0.015104 , 0.016935 , 0.017929 , 0.016413 , 0.014941 , 0.019943 , 0.017277 , 0.014767 , 0.012001 , 0.013224 , 0.01267 , 0.013127 
 359 , 0.014777 , 0.018143 , 0.020164 , 0.016837 , 0.023405 , 0.016023 , 0.028334 , 0.01933 , 0.014961 , 0.016818 , 0.017879 , 0.01631 , 0.014907 , 0.019823 , 0.017291 , 0.014657 , 0.011902 , 0.013096 , 0.012574 , 0.013035 
 360 , 0.014733 , 0.018049 , 0.019905 , 0.016731 , 0.023228 , 0.015813 , 0.027735 , 0.019108 , 0.014782 , 0.016756 , 0.017838 , 0.016093 , 0.014815 , 0.019657 , 0.017324 , 0.014588 , 0.011741 , 0.012877 , 0.0124 , 0.012903 
 361 , 0.014693 , 0.017962 , 0.019664 , 0.016633 , 0.023064 , 0.015616 , 0.027183 , 0.018902 , 0.014615 , 0.016697 , 0.017799 , 0.015892 , 0.014729 , 0.019503 , 0.017355 , 0.014525 , 0.01159 , 0.012673 , 0.012239 , 0.01278 
 362 , 0.014674 , 0.017909 , 0.019482 , 0.016561 , 0.022941 , 0.015479 , 0.026649 , 0.018786 , 0.014479 , 0.016644 , 0.017835 , 0.015732 , 0.014665 , 0.019406 , 0.017369 , 0.014473 , 0.011487 , 0.012569 , 0.012131 , 0.012673 
 363 , 0.014722 , 0.017961 , 0.019488 , 0.016566 , 0.022942 , 0.01553 , 0.02607 , 0.018983 , 0.01443 , 0.016615 , 0.018168 , 0.015695 , 0.014665 , 0.019506 , 0.017322 , 0.01444 , 0.011535 , 0.012822 , 0.012205 , 0.012603 
 364 , 0.014766 , 0.018009 , 0.019496 , 0.01657 , 0.022942 , 0.015578 , 0.025537 , 0.019171 , 0.014384 , 0.016589 , 0.018497 , 0.01566 , 0.014666 , 0.019602 , 0.017277 , 0.014409 , 0.011579 , 0.013067 , 0.012275 , 0.012538 
