  time  ,28:56 PM,29:20 PM,29:30 PM,29:40 PM,30:07 PM,30:18 PM,30:28 PM,30:38 PM,30:48 PM,31:39 PM,31:48 PM,31:56 PM,32:05 PM,32:15 PM,32:44 PM,32:53 PM,33:00 PM,33:08 PM,33:16 PM,33:39 PM,33:49 PM,34:00 PM,34:09 PM,34:20 PM,29:07 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 339 , 0.01455 , 0.019173 , 0.02063 , 0.024629 , 0.023689 , 0.027012 , 0.023215 , 0.027919 , 0.027978 , 0.017653 , 0.018751 , 0.011701 , 0.018473 , 0.0204 , 0.042114 , 0.027722 , 0.021178 , 0.042873 , 0.029179 , 0.025088 , 0.017642 , 0.02505 , 0.028483 , 0.039712 , 0.022545 
 340 , 0.016845 , 0.019557 , 0.020962 , 0.025211 , 0.02361 , 0.027053 , 0.022953 , 0.027088 , 0.027302 , 0.017203 , 0.018388 , 0.012182 , 0.019262 , 0.019887 , 0.042378 , 0.028579 , 0.020214 , 0.042723 , 0.030085 , 0.024824 , 0.017428 , 0.025184 , 0.0288 , 0.039407 , 0.022226 
 341 , 0.018811 , 0.019874 , 0.02124 , 0.025724 , 0.023523 , 0.027076 , 0.022718 , 0.026349 , 0.026703 , 0.016806 , 0.018054 , 0.012596 , 0.019923 , 0.019431 , 0.042585 , 0.029267 , 0.019358 , 0.042548 , 0.030852 , 0.02457 , 0.017239 , 0.025274 , 0.029031 , 0.039118 , 0.021931 
 342 , 0.019799 , 0.020172 , 0.021901 , 0.026116 , 0.02359 , 0.027092 , 0.022995 , 0.026731 , 0.026592 , 0.016777 , 0.018092 , 0.013054 , 0.019891 , 0.019318 , 0.042561 , 0.02999 , 0.019506 , 0.042743 , 0.031504 , 0.024753 , 0.017413 , 0.025436 , 0.02934 , 0.039045 , 0.022042 
 343 , 0.019841 , 0.020462 , 0.02299 , 0.02639 , 0.023819 , 0.027106 , 0.023804 , 0.028265 , 0.026978 , 0.01712 , 0.018511 , 0.013562 , 0.019166 , 0.019553 , 0.042316 , 0.030782 , 0.020688 , 0.043336 , 0.032054 , 0.025395 , 0.017953 , 0.025685 , 0.029763 , 0.0392 , 0.022577 
 344 , 0.019881 , 0.020726 , 0.024001 , 0.026638 , 0.02401 , 0.027127 , 0.024535 , 0.029644 , 0.027328 , 0.017423 , 0.018895 , 0.014008 , 0.018525 , 0.019757 , 0.04209 , 0.031471 , 0.021794 , 0.043874 , 0.032522 , 0.025973 , 0.018427 , 0.025907 , 0.030164 , 0.03935 , 0.02307 
 345 , 0.019852 , 0.020966 , 0.024865 , 0.026834 , 0.024198 , 0.027189 , 0.025152 , 0.030764 , 0.0276 , 0.01767 , 0.019219 , 0.014351 , 0.018047 , 0.019957 , 0.041891 , 0.032031 , 0.022786 , 0.044377 , 0.032894 , 0.026429 , 0.018837 , 0.026142 , 0.030516 , 0.039482 , 0.023505 
 346 , 0.019036 , 0.02121 , 0.024794 , 0.026686 , 0.024636 , 0.027769 , 0.02517 , 0.030221 , 0.027349 , 0.017591 , 0.019204 , 0.014032 , 0.01886 , 0.020402 , 0.041828 , 0.031997 , 0.023237 , 0.04511 , 0.032874 , 0.026021 , 0.0191 , 0.0268 , 0.030568 , 0.039601 , 0.023699 
 347 , 0.018318 , 0.021412 , 0.02471 , 0.02654 , 0.025034 , 0.028262 , 0.025177 , 0.029747 , 0.027113 , 0.017523 , 0.019183 , 0.013752 , 0.01955 , 0.020783 , 0.041764 , 0.031949 , 0.023596 , 0.045712 , 0.032828 , 0.025656 , 0.019328 , 0.027374 , 0.0306 , 0.039665 , 0.023856 
 348 , 0.017683 , 0.02158 , 0.024616 , 0.026396 , 0.025398 , 0.028683 , 0.025175 , 0.029331 , 0.026893 , 0.017465 , 0.019157 , 0.013504 , 0.020138 , 0.021112 , 0.041701 , 0.031889 , 0.023882 , 0.046209 , 0.032763 , 0.025328 , 0.019527 , 0.027877 , 0.030614 , 0.039686 , 0.023985 
 349 , 0.0183 , 0.021589 , 0.024829 , 0.026795 , 0.025638 , 0.028843 , 0.025093 , 0.029425 , 0.026987 , 0.017478 , 0.019221 , 0.013678 , 0.020329 , 0.021295 , 0.042105 , 0.032368 , 0.024288 , 0.046216 , 0.032908 , 0.025758 , 0.019638 , 0.02798 , 0.031061 , 0.039812 , 0.024301 
 350 , 0.019316 , 0.021539 , 0.025131 , 0.027365 , 0.025809 , 0.028888 , 0.024987 , 0.029689 , 0.027188 , 0.017506 , 0.019313 , 0.013983 , 0.020364 , 0.02141 , 0.042621 , 0.033013 , 0.024707 , 0.046041 , 0.033126 , 0.026425 , 0.019712 , 0.027927 , 0.03162 , 0.039981 , 0.024674 
