  time  ,46:53 PM,47:11 PM,47:20 PM,47:37 PM,48:02 PM,05:31 PM,06:13 PM,06:41 PM,07:12 PM,07:54 PM,09:38 PM,09:57 PM,10:17 PM,10:51 PM,11:27 PM,13:17 PM,13:44 PM,14:14 PM,14:38 PM,15:01 PM,16:06 PM,16:44 PM,17:07 PM,17:33 PM,17:59 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 332 , 0.01672 , 0.013519 , 0.012991 , 0.010609 , 0.018587 , 0.018935 , 0.012286 , 0.011188 , 0.013286 , 0.010701 , 0.008886 , 0.01466 , 0.009133 , 0.020885 , 0.007094 , 0.011802 , 0.018463 , 0.008903 , 0.009692 , 0.013786 , 0.013844 , 0.01574 , 0.014848 , 0.01766 , 0.013866 
 333 , 0.018122 , 0.015764 , 0.014957 , 0.012644 , 0.020637 , 0.020314 , 0.0141 , 0.013212 , 0.014925 , 0.013583 , 0.011458 , 0.016696 , 0.01144 , 0.02328 , 0.008893 , 0.014055 , 0.020336 , 0.01087 , 0.011819 , 0.016191 , 0.016125 , 0.017272 , 0.015813 , 0.020378 , 0.016431 
 334 , 0.019287 , 0.017744 , 0.016689 , 0.01445 , 0.022382 , 0.021461 , 0.015616 , 0.014966 , 0.01633 , 0.016047 , 0.013633 , 0.018432 , 0.013384 , 0.025343 , 0.010452 , 0.015997 , 0.021944 , 0.012553 , 0.013639 , 0.018262 , 0.018042 , 0.018602 , 0.016658 , 0.022775 , 0.018641 
 335 , 0.02011 , 0.019036 , 0.017908 , 0.015679 , 0.023664 , 0.02224 , 0.016812 , 0.016237 , 0.01746 , 0.017813 , 0.015354 , 0.019708 , 0.014862 , 0.026954 , 0.011629 , 0.017316 , 0.023091 , 0.013934 , 0.014989 , 0.019732 , 0.019363 , 0.01961 , 0.017397 , 0.0244 , 0.020091 
 336 , 0.020206 , 0.018469 , 0.017824 , 0.015363 , 0.023947 , 0.022201 , 0.017496 , 0.016379 , 0.018108 , 0.018003 , 0.016314 , 0.019986 , 0.015458 , 0.027668 , 0.01197 , 0.017099 , 0.023164 , 0.014847 , 0.015325 , 0.019776 , 0.019321 , 0.0199 , 0.018017 , 0.023995 , 0.01962 
 337 , 0.020286 , 0.017971 , 0.017726 , 0.015075 , 0.024169 , 0.022152 , 0.018064 , 0.016486 , 0.018672 , 0.018151 , 0.017075 , 0.020211 , 0.015957 , 0.028247 , 0.012255 , 0.016903 , 0.023225 , 0.015632 , 0.0156 , 0.019807 , 0.019288 , 0.020149 , 0.01853 , 0.023626 , 0.0192 
 338 , 0.020355 , 0.017527 , 0.017619 , 0.014811 , 0.024345 , 0.022096 , 0.018539 , 0.016565 , 0.019167 , 0.018266 , 0.017681 , 0.020393 , 0.01638 , 0.028718 , 0.012496 , 0.016722 , 0.023275 , 0.016314 , 0.015827 , 0.019825 , 0.019265 , 0.020364 , 0.018958 , 0.023288 , 0.018823 
 339 , 0.02016 , 0.017966 , 0.018244 , 0.015352 , 0.02475 , 0.022342 , 0.019092 , 0.017071 , 0.019806 , 0.018763 , 0.018272 , 0.021291 , 0.016588 , 0.028718 , 0.013206 , 0.017008 , 0.023567 , 0.016533 , 0.016402 , 0.020346 , 0.01963 , 0.020093 , 0.019162 , 0.023808 , 0.019096 
 340 , 0.019943 , 0.018498 , 0.018922 , 0.015981 , 0.025144 , 0.022626 , 0.019604 , 0.017586 , 0.020396 , 0.019275 , 0.018808 , 0.022219 , 0.016742 , 0.028637 , 0.013919 , 0.017348 , 0.023861 , 0.016659 , 0.016993 , 0.02089 , 0.020034 , 0.01977 , 0.019306 , 0.024429 , 0.019454 
 341 , 0.019752 , 0.01896 , 0.019519 , 0.016552 , 0.025483 , 0.022897 , 0.020062 , 0.01803 , 0.020905 , 0.019733 , 0.019296 , 0.023043 , 0.01688 , 0.028572 , 0.014545 , 0.017658 , 0.024106 , 0.01678 , 0.017537 , 0.02136 , 0.020406 , 0.019483 , 0.019434 , 0.024998 , 0.019781 
