LMAT_00004.spu,LMAT_00003.spu,LMAT_00002.spu,
Wavelength,WSG1_00000.spu,WSG1_00001.spu,WSG1_00002.spu,WSG1_00003.spu,WSG1_00004.spu,WSG1_00005.spu,WSG1_00006.spu,WSG1_00007.spu,WSG1_00008.spu,WSG1_00009.spu,WSG1_00010.spu,WSG1_00011.spu,WSG1_00012.spu,WSG1_00013.spu,WSG1_00014.spu,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 ,7/21/2017 
  time  ,02:09 PM,02:17 PM,02:23 PM,02:30 PM,02:36 PM,02:55 PM,03:02 PM,03:08 PM,03:14 PM,03:22 PM,03:46 PM,03:52 PM,03:58 PM,04:04 PM,04:12 PM,04:47 PM,04:54 PM,05:02 PM,05:08 PM,05:13 PM,05:46 PM,05:55 PM,06:04 PM,06:14 PM,06:23 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 354 , 0.008611 , 0.008228 , 0.011499 , 0.009505 , 0.009898 , 0.015846 , 0.0166 , 0.017244 , 0.015823 , 0.009736 , 0.008912 , 0.003778 , 0.006477 , 0.010421 , 0.010094 , 0.018574 , 0.017154 , 0.013729 , 0.012364 , 0.011361 , 0.007619 , 0.016048 , 0.020107 , 0.02116 , 0.02147 
 355 , 0.008458 , 0.008149 , 0.011477 , 0.009475 , 0.009869 , 0.015701 , 0.016698 , 0.017203 , 0.015802 , 0.009469 , 0.009021 , 0.003655 , 0.006674 , 0.010228 , 0.010318 , 0.018338 , 0.017297 , 0.013921 , 0.012348 , 0.011853 , 0.007517 , 0.016194 , 0.019962 , 0.021153 , 0.021313 
 356 , 0.008789 , 0.008364 , 0.011871 , 0.009901 , 0.010251 , 0.016196 , 0.016819 , 0.017523 , 0.016133 , 0.010187 , 0.009167 , 0.00419 , 0.007032 , 0.010533 , 0.010371 , 0.018708 , 0.017682 , 0.014078 , 0.012434 , 0.011721 , 0.007808 , 0.016496 , 0.020449 , 0.021477 , 0.02185 
 357 , 0.009128 , 0.008582 , 0.012261 , 0.010325 , 0.010634 , 0.016698 , 0.016936 , 0.017842 , 0.016465 , 0.010913 , 0.009305 , 0.004732 , 0.007379 , 0.010847 , 0.010413 , 0.019087 , 0.01806 , 0.014224 , 0.012521 , 0.011564 , 0.008104 , 0.016791 , 0.020944 , 0.021801 , 0.022389 
 358 , 0.009452 , 0.008787 , 0.012628 , 0.010725 , 0.010999 , 0.017176 , 0.017047 , 0.018143 , 0.016781 , 0.0116 , 0.009435 , 0.005246 , 0.007707 , 0.011149 , 0.010453 , 0.019445 , 0.018418 , 0.014361 , 0.012604 , 0.011416 , 0.008384 , 0.01707 , 0.021416 , 0.022109 , 0.022896 
 359 , 0.009608 , 0.009002 , 0.012831 , 0.010901 , 0.011239 , 0.017405 , 0.017217 , 0.018441 , 0.016952 , 0.011736 , 0.009564 , 0.005542 , 0.007834 , 0.011389 , 0.01056 , 0.019585 , 0.018684 , 0.014467 , 0.01271 , 0.011434 , 0.008503 , 0.017372 , 0.021671 , 0.022426 , 0.023015 
 360 , 0.009644 , 0.009221 , 0.012917 , 0.010919 , 0.011383 , 0.017452 , 0.017422 , 0.018732 , 0.017015 , 0.011491 , 0.009688 , 0.005677 , 0.007818 , 0.011574 , 0.01071 , 0.019569 , 0.018882 , 0.014549 , 0.012827 , 0.011566 , 0.008507 , 0.017682 , 0.021769 , 0.022737 , 0.022867 
 361 , 0.009675 , 0.009431 , 0.012997 , 0.010937 , 0.011515 , 0.017494 , 0.017613 , 0.019003 , 0.017071 , 0.011262 , 0.009802 , 0.005801 , 0.007803 , 0.011742 , 0.010848 , 0.019549 , 0.01907 , 0.014623 , 0.012936 , 0.011685 , 0.00851 , 0.017974 , 0.02186 , 0.023025 , 0.022727 
 362 , 0.009706 , 0.009575 , 0.013098 , 0.010981 , 0.011615 , 0.017543 , 0.017774 , 0.019219 , 0.017134 , 0.011137 , 0.009905 , 0.005874 , 0.0078 , 0.011851 , 0.011027 , 0.019564 , 0.019264 , 0.014681 , 0.013042 , 0.011829 , 0.008561 , 0.018197 , 0.02195 , 0.023287 , 0.022627 
 363 , 0.009747 , 0.009491 , 0.013297 , 0.011123 , 0.011636 , 0.017642 , 0.017863 , 0.019271 , 0.017257 , 0.011361 , 0.009991 , 0.005783 , 0.007833 , 0.011793 , 0.011392 , 0.019726 , 0.019506 , 0.014701 , 0.013164 , 0.012109 , 0.008805 , 0.018202 , 0.022052 , 0.023514 , 0.022658 
 364 , 0.009786 , 0.009412 , 0.013482 , 0.011255 , 0.011658 , 0.017734 , 0.017946 , 0.019321 , 0.017374 , 0.011568 , 0.010071 , 0.005698 , 0.007862 , 0.01174 , 0.011734 , 0.019879 , 0.019733 , 0.01472 , 0.013278 , 0.012374 , 0.009035 , 0.018205 , 0.022145 , 0.023723 , 0.022688 
 365 , 0.009823 , 0.009338 , 0.013655 , 0.011377 , 0.011679 , 0.017819 , 0.018022 , 0.019369 , 0.017486 , 0.01176 , 0.010147 , 0.005618 , 0.007888 , 0.01169 , 0.012055 , 0.020025 , 0.019946 , 0.014736 , 0.013386 , 0.012627 , 0.009254 , 0.018207 , 0.022229 , 0.023916 , 0.022717 
 366 , 0.009877 , 0.009411 , 0.013619 , 0.01141 , 0.011738 , 0.018012 , 0.018054 , 0.019634 , 0.017699 , 0.011895 , 0.010143 , 0.005752 , 0.008008 , 0.01172 , 0.011796 , 0.020412 , 0.019939 , 0.014792 , 0.013313 , 0.01236 , 0.009263 , 0.018188 , 0.022334 , 0.023967 , 0.022859 
 367 , 0.009933 , 0.009513 , 0.01354 , 0.011424 , 0.011804 , 0.018226 , 0.018078 , 0.019939 , 0.017928 , 0.012016 , 0.010122 , 0.005928 , 0.008146 , 0.011766 , 0.011423 , 0.020842 , 0.019888 , 0.014855 , 0.013205 , 0.011987 , 0.009228 , 0.018166 , 0.022443 , 0.023988 , 0.023022 
 368 , 0.009987 , 0.009612 , 0.013463 , 0.011439 , 0.01187 , 0.018435 , 0.0181 , 0.020236 , 0.018151 , 0.012135 , 0.010102 , 0.006101 , 0.008281 , 0.011811 , 0.011062 , 0.021262 , 0.019838 , 0.014916 , 0.0131 , 0.011621 , 0.009194 , 0.018144 , 0.02255 , 0.02401 , 0.023182 
