SHB2_00005.ref_SHB2_DARK.spu,SHB2_00004.ref_SHB2_DARK.spu,
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1
  time  ,11:19 AM,12:14 AM,12:44 AM,13:16 AM,13:47 AM,15:23 AM,15:59 AM,16:23 AM,16:56 AM,17:22 AM,18:17 AM,19:20 AM,20:04 AM,20:44 AM,21:10 AM,23:21 AM,23:38 AM,23:56 AM,24:17 AM,24:34 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 325 , 0.019873 , 0.014959 , 0.019123 , 0.002747 , 0.01888 , 0.010821 , 0.02128 , 0.024307 , 0.018542 , 0.012902 , 0.016546 , 0.006953 , 0.017559 , 0.021711 , 0.025837 , 0.023375 , 0.032098 , 0.036206 , 0.036577 , 0.032159 
 326 , 0.018833 , 0.016474 , 0.020794 , 0.004512 , 0.018846 , 0.012247 , 0.022611 , 0.02422 , 0.019265 , 0.014037 , 0.017348 , 0.009164 , 0.017294 , 0.021427 , 0.02522 , 0.024344 , 0.03473 , 0.035471 , 0.036788 , 0.033207 
 327 , 0.017987 , 0.0177 , 0.022167 , 0.005954 , 0.018801 , 0.013402 , 0.023671 , 0.02414 , 0.019876 , 0.014932 , 0.017999 , 0.010976 , 0.017087 , 0.021198 , 0.024729 , 0.02515 , 0.036903 , 0.034892 , 0.036984 , 0.034042 
 328 , 0.01729 , 0.018715 , 0.023313 , 0.007155 , 0.018748 , 0.014354 , 0.024531 , 0.024065 , 0.020401 , 0.015653 , 0.018539 , 0.01249 , 0.016923 , 0.021011 , 0.024328 , 0.025835 , 0.038732 , 0.034423 , 0.037169 , 0.034719 
 329 , 0.019311 , 0.019994 , 0.023214 , 0.008934 , 0.020568 , 0.014972 , 0.02681 , 0.025228 , 0.021044 , 0.016806 , 0.020859 , 0.013324 , 0.018812 , 0.022369 , 0.026081 , 0.02634 , 0.038707 , 0.035118 , 0.037219 , 0.035307 
 330 , 0.02114 , 0.021105 , 0.023071 , 0.010471 , 0.022145 , 0.01546 , 0.028795 , 0.026268 , 0.021586 , 0.01782 , 0.022897 , 0.014 , 0.020479 , 0.023592 , 0.02763 , 0.026768 , 0.038627 , 0.035727 , 0.037299 , 0.0358 
 331 , 0.022723 , 0.022068 , 0.022922 , 0.011789 , 0.023465 , 0.015845 , 0.030494 , 0.02717 , 0.022038 , 0.018712 , 0.024643 , 0.014562 , 0.021894 , 0.024652 , 0.028938 , 0.027131 , 0.038553 , 0.036216 , 0.037416 , 0.036219 
 332 , 0.023537 , 0.022068 , 0.023077 , 0.012184 , 0.024172 , 0.016414 , 0.030459 , 0.027555 , 0.022422 , 0.018759 , 0.02463 , 0.014504 , 0.021984 , 0.024706 , 0.028686 , 0.027181 , 0.037808 , 0.03599 , 0.036968 , 0.035814 
 333 , 0.023868 , 0.021505 , 0.023406 , 0.012025 , 0.024507 , 0.017073 , 0.029412 , 0.027623 , 0.022754 , 0.01831 , 0.02359 , 0.01409 , 0.021293 , 0.024168 , 0.027531 , 0.027046 , 0.036705 , 0.035357 , 0.036215 , 0.034944 
 334 , 0.024178 , 0.021015 , 0.023714 , 0.01189 , 0.024829 , 0.01766 , 0.028503 , 0.027702 , 0.023054 , 0.017914 , 0.022685 , 0.013727 , 0.020701 , 0.023697 , 0.026528 , 0.026934 , 0.035748 , 0.034817 , 0.035544 , 0.034193 
