  time  ,36:42 PM,36:53 PM,37:04 PM,37:12 PM,37:24 PM,37:50 PM,37:55 PM,38:01 PM,38:10 PM,38:19 PM,38:40 PM,38:48 PM,39:08 PM,39:18 PM,39:28 PM,40:06 PM,40:15 PM,40:24 PM,40:36 PM,40:44 PM,41:49 PM,41:56 PM,42:05 PM,42:12 PM,42:21 PM,42:49 PM,42:57 PM,43:03 PM,43:10 PM,43:19 PM,44:01 PM,44:10 PM,44:17 PM,44:24 PM,44:31 PM,44:57 PM,45:06 PM,45:13 PM,45:21 PM,45:29 PM,46:49 PM,47:14 PM,47:26 PM,47:33 PM,47:40 PM,47:47 PM,48:34 PM,48:42 PM,48:50 PM,49:00 PM,49:07 PM,49:45 PM,49:53 PM,50:00 PM,50:08 PM,50:16 PM,50:51 PM,50:59 PM,51:08 PM,51:17 PM,51:24 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.019049 , 0.010741 , 0.024423 , 0.029113 , 0.017359 , 0.010204 , 0.007738 , 0.009238 , 0.009209 , 0.008479 , 0.007898 , 0.006719 , 0 , 0.003465 , 0 , 0.018869 , 0.023286 , 0.018529 , 0.011405 , 0.017394 , 0.013921 , 0.015301 , 0.024004 , 0.017035 , 0.01892 , 0.010385 , 0.005599 , 0.006727 , 0.006936 , 0.015098 , 0.014896 , 0.01637 , 0.019968 , 0.018744 , 0.020277 , 0.012511 , 0.00598 , 0.010819 , 0.008793 , 0.013096 , 0.012216 , 0.010833 , 0.009308 , 0.019325 , 0.020854 , 0.016911 , 0.017495 , 0.019611 , 0.015088 , 0.010818 , 0.006314 , 0.003964 , 0 , 0 , 0.003475 , 0.001284 , 0 , 0 , 0.002739 , 0 , 0.006674 
 327 , 0.019003 , 0.013556 , 0.026225 , 0.030665 , 0.019655 , 0.013123 , 0.008783 , 0.010851 , 0.010619 , 0.010523 , 0.011138 , 0.007926 , 0 , 0.005411 , 0 , 0.019425 , 0.026002 , 0.020034 , 0.013343 , 0.019972 , 0.014925 , 0.015578 , 0.025037 , 0.018597 , 0.019861 , 0.011314 , 0.006192 , 0.007079 , 0.008308 , 0.016285 , 0.015921 , 0.016898 , 0.019865 , 0.019869 , 0.021346 , 0.013712 , 0.006485 , 0.012235 , 0.009969 , 0.01421 , 0.013231 , 0.01233 , 0.011102 , 0.019975 , 0.023206 , 0.018368 , 0.020061 , 0.020659 , 0.016927 , 0.012527 , 0.010009 , 0.00631 , 0 , 0 , 0.005511 , 0.002044 , 0 , 0 , 0.00436 , 0 , 0.009087 
 328 , 0.01897 , 0.015964 , 0.027708 , 0.031982 , 0.021609 , 0.015524 , 0.009644 , 0.012195 , 0.011774 , 0.012258 , 0.013856 , 0.008981 , 0 , 0.006973 , 0 , 0.019891 , 0.028287 , 0.021329 , 0.014937 , 0.0222 , 0.015777 , 0.015835 , 0.025892 , 0.01995 , 0.020635 , 0.012053 , 0.006692 , 0.007349 , 0.009431 , 0.01731 , 0.016829 , 0.017343 , 0.019786 , 0.020822 , 0.022274 , 0.014737 , 0.006913 , 0.013426 , 0.010946 , 0.015158 , 0.014093 , 0.013589 , 0.012598 , 0.020522 , 0.025239 , 0.019607 , 0.022236 , 0.02155 , 0.018514 , 0.013967 , 0.01308 , 0.008279 , 0 , 0 , 0.007208 , 0.002681 , 0 , 0 , 0.005722 , 0 , 0.011111 
 329 , 0.019775 , 0.015896 , 0.026218 , 0.03102 , 0.019749 , 0.013638 , 0.010467 , 0.014516 , 0.011415 , 0.011339 , 0.01207 , 0.010178 , 0 , 0.005711 , 0.002386 , 0.020902 , 0.028225 , 0.021662 , 0.014885 , 0.022065 , 0.015337 , 0.015186 , 0.02653 , 0.01891 , 0.021821 , 0.010981 , 0.007039 , 0.006838 , 0.008516 , 0.015449 , 0.016449 , 0.016976 , 0.019654 , 0.020831 , 0.021865 , 0.015015 , 0.007336 , 0.013211 , 0.010971 , 0.014934 , 0.014502 , 0.013404 , 0.012763 , 0.020701 , 0.025413 , 0.019211 , 0.021991 , 0.022338 , 0.019081 , 0.015451 , 0.013856 , 0.008013 , 0 , 0.001709 , 0.005971 , 0.003147 , 0.002756 , 0.001229 , 0.006204 , 0.001073 , 0.013191 
 330 , 0.020493 , 0.015768 , 0.024841 , 0.030125 , 0.018039 , 0.011857 , 0.011177 , 0.016525 , 0.011049 , 0.010471 , 0.010456 , 0.011202 , 0 , 0.004498 , 0.00455 , 0.021798 , 0.028072 , 0.021929 , 0.014794 , 0.02187 , 0.01492 , 0.014603 , 0.02706 , 0.017946 , 0.022839 , 0.009995 , 0.007326 , 0.00637 , 0.007661 , 0.013766 , 0.016083 , 0.016634 , 0.01953 , 0.020796 , 0.021459 , 0.015219 , 0.007688 , 0.012979 , 0.010963 , 0.0147 , 0.014832 , 0.013201 , 0.01285 , 0.020845 , 0.025498 , 0.018811 , 0.021708 , 0.023006 , 0.019504 , 0.016738 , 0.014465 , 0.007712 , 0 , 0.003192 , 0.004827 , 0.003522 , 0.005223 , 0.002311 , 0.00657 , 0.002019 , 0.014945 
 331 , 0.02111 , 0.015669 , 0.023649 , 0.029352 , 0.016568 , 0.010305 , 0.011797 , 0.018243 , 0.010724 , 0.009723 , 0.009106 , 0.012075 , 0 , 0.003419 , 0.006453 , 0.022582 , 0.027907 , 0.022167 , 0.014728 , 0.021688 , 0.014561 , 0.014095 , 0.027508 , 0.017108 , 0.023705 , 0.009142 , 0.007566 , 0.005967 , 0.006924 , 0.012316 , 0.015759 , 0.016337 , 0.01941 , 0.020748 , 0.021084 , 0.015379 , 0.007979 , 0.012775 , 0.01096 , 0.014489 , 0.015107 , 0.013026 , 0.012912 , 0.020969 , 0.025552 , 0.018454 , 0.021463 , 0.023573 , 0.01983 , 0.017859 , 0.01501 , 0.00745 , 0 , 0.004434 , 0.003849 , 0.003826 , 0.007362 , 0.003233 , 0.006868 , 0.002827 , 0.016423 
 332 , 0.02158 , 0.016313 , 0.024338 , 0.029539 , 0.017422 , 0.010714 , 0.013159 , 0.018759 , 0.012246 , 0.010554 , 0.010402 , 0.012845 , 0.001433 , 0.005499 , 0.007767 , 0.023836 , 0.028282 , 0.022804 , 0.015889 , 0.021531 , 0.014742 , 0.01463 , 0.027942 , 0.017207 , 0.024792 , 0.009653 , 0.008188 , 0.007571 , 0.007681 , 0.01236 , 0.01622 , 0.01681 , 0.01981 , 0.021291 , 0.021194 , 0.015765 , 0.008576 , 0.013127 , 0.01132 , 0.014927 , 0.015713 , 0.013474 , 0.013601 , 0.021306 , 0.025917 , 0.019248 , 0.021995 , 0.024155 , 0.020562 , 0.019841 , 0.016416 , 0.007862 , 0.000904 , 0.005612 , 0.004789 , 0.005201 , 0.00862 , 0.004732 , 0.008547 , 0.003981 , 0.017115 
 333 , 0.021945 , 0.017353 , 0.026113 , 0.030277 , 0.019611 , 0.012262 , 0.014843 , 0.01856 , 0.014815 , 0.012259 , 0.013257 , 0.013505 , 0.003563 , 0.009257 , 0.008634 , 0.025301 , 0.028959 , 0.023639 , 0.017719 , 0.021399 , 0.015228 , 0.015735 , 0.028343 , 0.017839 , 0.025976 , 0.01091 , 0.008975 , 0.010264 , 0.009262 , 0.013273 , 0.017118 , 0.017716 , 0.020495 , 0.022155 , 0.021582 , 0.016267 , 0.009337 , 0.013794 , 0.011868 , 0.015725 , 0.016488 , 0.014269 , 0.014644 , 0.02175 , 0.026448 , 0.020695 , 0.022947 , 0.024719 , 0.021511 , 0.022168 , 0.0182 , 0.00863 , 0.002255 , 0.006691 , 0.00678 , 0.007181 , 0.009278 , 0.0065 , 0.010969 , 0.005257 , 0.017321 
 334 , 0.022269 , 0.018248 , 0.0277 , 0.030914 , 0.021544 , 0.013613 , 0.016248 , 0.01836 , 0.017107 , 0.013732 , 0.015883 , 0.014043 , 0.005344 , 0.012432 , 0.00935 , 0.026567 , 0.029562 , 0.024357 , 0.019321 , 0.021259 , 0.015645 , 0.016677 , 0.028674 , 0.018388 , 0.02704 , 0.011965 , 0.009622 , 0.012597 , 0.010619 , 0.014069 , 0.017901 , 0.01851 , 0.02109 , 0.02291 , 0.021932 , 0.016706 , 0.010015 , 0.014384 , 0.012335 , 0.016425 , 0.017166 , 0.014963 , 0.015586 , 0.022129 , 0.026914 , 0.021991 , 0.023758 , 0.025211 , 0.022359 , 0.024103 , 0.019676 , 0.009274 , 0.00339 , 0.00761 , 0.008493 , 0.008953 , 0.009815 , 0.008037 , 0.013095 , 0.006335 , 0.017487 
 335 , 0.022523 , 0.018861 , 0.02872 , 0.03146 , 0.022899 , 0.014616 , 0.017023 , 0.018307 , 0.018632 , 0.01469 , 0.017787 , 0.014493 , 0.006465 , 0.014366 , 0.009866 , 0.027264 , 0.030162 , 0.024945 , 0.020576 , 0.021301 , 0.016013 , 0.017353 , 0.029013 , 0.018901 , 0.027819 , 0.01273 , 0.010174 , 0.014136 , 0.011576 , 0.014554 , 0.018589 , 0.019146 , 0.021552 , 0.023415 , 0.022269 , 0.016987 , 0.010479 , 0.01483 , 0.012748 , 0.016978 , 0.017658 , 0.01553 , 0.016338 , 0.022474 , 0.027305 , 0.023004 , 0.024564 , 0.025779 , 0.023019 , 0.025355 , 0.020823 , 0.009914 , 0.004437 , 0.008277 , 0.00969 , 0.010223 , 0.010307 , 0.009211 , 0.014742 , 0.007245 , 0.017657 
