  time  ,:04:29 A,:04:39 A,:04:46 A,:04:54 A,:05:01 A,:05:27 A,:05:34 A,:05:40 A,:05:46 A,:05:52 A,:06:43 A,:06:48 A,:06:54 A,:07:05 A,:07:12 A,:07:23 A,:07:30 A,:07:35 A,:07:41 A,:07:47 A,:08:08 A,:08:14 A,:08:21 A,:08:27 A,:08:34 A,:08:48 A,:08:54 A,:09:00 A,:09:07 A,:09:14 A,:09:44 A,:09:52 A,:09:59 A,:10:06 A,:10:14 A,:10:27 A,:10:36 A,:10:43 A,:10:50 A,:10:57 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.020424 , 0.002057 , 0.005198 , 0.012882 , 0.022188 , 0.00979 , 0.003662 , 0.01763 , 0.018945 , 0.019922 , 0.00416 , 0.002122 , 0 , 0.005854 , 0.006178 , 0.01039 , 0.010089 , 0 , 0.009085 , 0.008207 , 0 , 0.002159 , 0 , 0.002143 , 0 , 0 , 0 , 0.001681 , 0.002159 , 0.002159 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0.024218 , 0.000881 , 0.005664 , 0.012631 , 0.020179 , 0.006063 , 0.003287 , 0.013047 , 0.017223 , 0.019082 , 0.001782 , 0.000904 , 0 , 0.004284 , 0.00266 , 0.004427 , 0.012947 , 0 , 0.009167 , 0.003535 , 0 , 0.000924 , 0 , 0.000921 , 0 , 0 , 0 , 0.002543 , 0.000924 , 0.000924 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.02673 , 0.000524 , 0.006448 , 0.013241 , 0.018906 , 0.003594 , 0.003745 , 0.009831 , 0.016396 , 0.018591 , 0.000619 , 0.000981 , 0.000656 , 0.004047 , 0.000548 , 0.000981 , 0.014962 , 0.000357 , 0.009366 , 0.000542 , 0 , 0.000643 , 0.000283 , 0.000362 , 0.000188 , 0.000362 , 0.000368 , 0.00378 , 0.00064 , 0.000362 , 0 , 0.000283 , 0.000735 , 0.000751 , 0 , 0.000095 , 0.000278 , 0.000484 , 0.000193 , 0 
 319 , 0.023743 , 0.005045 , 0.010226 , 0.020117 , 0.021039 , 0.006096 , 0.010165 , 0.011476 , 0.020495 , 0.019696 , 0.005966 , 0.009521 , 0.006247 , 0.012133 , 0.00528 , 0.009521 , 0.014026 , 0.003451 , 0.010566 , 0.005283 , 0 , 0.006226 , 0.002727 , 0.003548 , 0.001818 , 0.003477 , 0.003531 , 0.008892 , 0.006153 , 0.003491 , 0 , 0.002727 , 0.0071 , 0.00727 , 0 , 0.000912 , 0.002706 , 0.004599 , 0.001848 , 0 
 320 , 0.02142 , 0.008577 , 0.013205 , 0.025442 , 0.022638 , 0.008065 , 0.015217 , 0.012702 , 0.02356 , 0.020658 , 0.010141 , 0.016286 , 0.010502 , 0.018446 , 0.00897 , 0.016286 , 0.013303 , 0.005863 , 0.011507 , 0.009066 , 0 , 0.010647 , 0.004649 , 0.006109 , 0.0031 , 0.005887 , 0.005998 , 0.012845 , 0.010414 , 0.005929 , 0 , 0.004649 , 0.0121 , 0.012386 , 0 , 0.001562 , 0.00463 , 0.007724 , 0.003126 , 0 
 321 , 0.019559 , 0.011416 , 0.015623 , 0.029677 , 0.023868 , 0.009666 , 0.019315 , 0.013638 , 0.025909 , 0.021518 , 0.013496 , 0.021805 , 0.013828 , 0.023514 , 0.01193 , 0.021805 , 0.012731 , 0.007798 , 0.012266 , 0.012178 , 0 , 0.014252 , 0.006202 , 0.008233 , 0.004134 , 0.007803 , 0.007975 , 0.01599 , 0.013808 , 0.007886 , 0 , 0.006202 , 0.016144 , 0.016522 , 0 , 0.00209 , 0.006197 , 0.010161 , 0.00414 , 0 
 322 , 0.019418 , 0.009447 , 0.015808 , 0.026011 , 0.023919 , 0.011382 , 0.017224 , 0.01521 , 0.023074 , 0.020409 , 0.015051 , 0.0224 , 0.011183 , 0.025305 , 0.013843 , 0.019309 , 0.012619 , 0.009494 , 0.014375 , 0.01454 , 0.002467 , 0.013723 , 0.00674 , 0.008278 , 0.004376 , 0.005885 , 0.009268 , 0.015185 , 0.013781 , 0.005965 , 0.000845 , 0.004633 , 0.014693 , 0.014876 , 0 , 0.002408 , 0.005918 , 0.009335 , 0.003562 , 0 
 323 , 0.019725 , 0.006492 , 0.015343 , 0.02076 , 0.023654 , 0.012805 , 0.013789 , 0.016679 , 0.019318 , 0.018945 , 0.015891 , 0.021526 , 0.007408 , 0.02592 , 0.015127 , 0.015066 , 0.012658 , 0.010833 , 0.016484 , 0.016249 , 0.005125 , 0.012148 , 0.006899 , 0.00774 , 0.004359 , 0.003238 , 0.010139 , 0.013441 , 0.012831 , 0.003292 , 0.001779 , 0.002515 , 0.011981 , 0.011969 , 0 , 0.002605 , 0.005183 , 0.007763 , 0.002638 , 0 
 324 , 0.019894 , 0.00416 , 0.014957 , 0.016585 , 0.023465 , 0.013882 , 0.011074 , 0.017819 , 0.016363 , 0.017777 , 0.016591 , 0.020795 , 0.004471 , 0.026415 , 0.016102 , 0.01174 , 0.012691 , 0.011869 , 0.018122 , 0.017531 , 0.007154 , 0.010903 , 0.007007 , 0.007303 , 0.004341 , 0.001151 , 0.010801 , 0.01206 , 0.012086 , 0.001174 , 0.002514 , 0.000883 , 0.009841 , 0.009704 , 0 , 0.002748 , 0.004601 , 0.006522 , 0.001902 , 0 
 325 , 0.019957 , 0.003393 , 0.0152 , 0.01513 , 0.023208 , 0.014192 , 0.010361 , 0.018045 , 0.014976 , 0.016445 , 0.015986 , 0.020417 , 0.003785 , 0.02588 , 0.016015 , 0.010283 , 0.01352 , 0.011669 , 0.019124 , 0.01746 , 0.009411 , 0.010623 , 0.007612 , 0.00706 , 0.004827 , 0.001605 , 0.011831 , 0.011802 , 0.012271 , 0.00096 , 0.003905 , 0.001341 , 0.009956 , 0.00936 , 0.000135 , 0.003252 , 0.004655 , 0.006699 , 0.00256 , 0.00014 
