  time  ,43:20 PM,43:36 PM,43:46 PM,43:59 PM,44:08 PM,45:32 PM,45:47 PM,45:59 PM,46:13 PM,46:25 PM,47:26 PM,47:37 PM,47:47 PM,47:56 PM,48:06 PM,48:43 PM,48:54 PM,49:04 PM,49:14 PM,49:26 PM,51:21 PM,51:33 PM,51:46 PM,51:59 PM,52:12 PM,53:19 PM,53:29 PM,53:40 PM,53:51 PM,54:04 PM,54:33 PM,54:43 PM,55:01 PM,55:15 PM,55:27 PM,56:16 PM,56:26 PM,56:36 PM,56:50 PM,57:00 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.018795 , 0.0242 , 0.017942 , 0.017045 , 0.01893 , 0.037186 , 0.035059 , 0.02856 , 0.032538 , 0.031741 , 0.019196 , 0.022237 , 0.020879 , 0.028463 , 0.026336 , 0.022842 , 0.025066 , 0.02922 , 0.036957 , 0.042781 , 0.015312 , 0.013142 , 0.013548 , 0.012566 , 0.020642 , 0.021201 , 0.016407 , 0.022008 , 0.024284 , 0.026445 , 0.02168 , 0.022414 , 0.015962 , 0.016006 , 0.013426 , 0.021593 , 0.020867 , 0.027362 , 0.021025 , 0.021405 
 327 , 0.01868 , 0.021765 , 0.018312 , 0.018977 , 0.020563 , 0.036354 , 0.035513 , 0.029158 , 0.033387 , 0.032961 , 0.020076 , 0.023217 , 0.022227 , 0.030588 , 0.027839 , 0.023976 , 0.025847 , 0.030949 , 0.038836 , 0.042634 , 0.015767 , 0.014142 , 0.014044 , 0.015345 , 0.022104 , 0.023467 , 0.018167 , 0.022326 , 0.02558 , 0.028035 , 0.023154 , 0.023245 , 0.01902 , 0.017879 , 0.015086 , 0.024518 , 0.02248 , 0.029625 , 0.022354 , 0.021214 
 328 , 0.018584 , 0.019736 , 0.018607 , 0.020585 , 0.02193 , 0.035661 , 0.035925 , 0.029682 , 0.034132 , 0.034016 , 0.020802 , 0.024058 , 0.023314 , 0.03234 , 0.029099 , 0.024972 , 0.026411 , 0.03244 , 0.040419 , 0.042527 , 0.016153 , 0.014972 , 0.014453 , 0.01774 , 0.023314 , 0.0254 , 0.019599 , 0.022601 , 0.026669 , 0.029387 , 0.024433 , 0.023954 , 0.021566 , 0.019437 , 0.016486 , 0.026885 , 0.023801 , 0.031551 , 0.023453 , 0.021034 
 329 , 0.017064 , 0.019576 , 0.016248 , 0.019935 , 0.020024 , 0.034845 , 0.033988 , 0.028783 , 0.032862 , 0.032519 , 0.020262 , 0.022822 , 0.021969 , 0.031554 , 0.028048 , 0.023424 , 0.02593 , 0.030826 , 0.037848 , 0.042524 , 0.015654 , 0.013655 , 0.014284 , 0.016257 , 0.021101 , 0.023235 , 0.019253 , 0.022153 , 0.025683 , 0.028159 , 0.023079 , 0.02255 , 0.020406 , 0.01852 , 0.016145 , 0.025673 , 0.022819 , 0.030375 , 0.021806 , 0.020866 
 330 , 0.015698 , 0.0195 , 0.014099 , 0.019308 , 0.018279 , 0.034136 , 0.032246 , 0.027964 , 0.031712 , 0.031153 , 0.019761 , 0.021691 , 0.020725 , 0.030799 , 0.027069 , 0.022018 , 0.025474 , 0.029338 , 0.035487 , 0.042541 , 0.015199 , 0.012445 , 0.014137 , 0.014882 , 0.019073 , 0.021272 , 0.018901 , 0.021756 , 0.024771 , 0.027022 , 0.02183 , 0.021272 , 0.019285 , 0.017646 , 0.015804 , 0.024504 , 0.021895 , 0.029266 , 0.020296 , 0.020726 
 331 , 0.014511 , 0.019431 , 0.01222 , 0.018776 , 0.016771 , 0.033521 , 0.030739 , 0.02725 , 0.030723 , 0.029975 , 0.019335 , 0.020715 , 0.019649 , 0.030156 , 0.026225 , 0.0208 , 0.025091 , 0.028053 , 0.033442 , 0.042571 , 0.014807 , 0.011396 , 0.014035 , 0.013703 , 0.017313 , 0.019586 , 0.018603 , 0.021433 , 0.023997 , 0.026047 , 0.02075 , 0.020166 , 0.018314 , 0.016892 , 0.015519 , 0.023501 , 0.021107 , 0.028302 , 0.018988 , 0.020621 
 332 , 0.014343 , 0.018938 , 0.011936 , 0.018134 , 0.016679 , 0.033597 , 0.030112 , 0.027395 , 0.030894 , 0.029724 , 0.018985 , 0.020466 , 0.019575 , 0.030448 , 0.026234 , 0.020703 , 0.025141 , 0.02778 , 0.032913 , 0.042343 , 0.014873 , 0.011376 , 0.014158 , 0.013582 , 0.017318 , 0.019685 , 0.018246 , 0.0213 , 0.023697 , 0.025862 , 0.020859 , 0.02035 , 0.018229 , 0.016785 , 0.015531 , 0.022997 , 0.021227 , 0.027896 , 0.018773 , 0.020766 
 333 , 0.01478 , 0.018224 , 0.012602 , 0.017469 , 0.017418 , 0.034065 , 0.030029 , 0.028028 , 0.031727 , 0.030025 , 0.018699 , 0.020652 , 0.02009 , 0.031263 , 0.026746 , 0.021268 , 0.025438 , 0.028107 , 0.033306 , 0.041975 , 0.015198 , 0.011958 , 0.014398 , 0.014074 , 0.01834 , 0.020826 , 0.017875 , 0.021284 , 0.023692 , 0.026149 , 0.021649 , 0.021257 , 0.018659 , 0.017058 , 0.015717 , 0.022822 , 0.021864 , 0.027832 , 0.019204 , 0.021044 
 334 , 0.01515 , 0.017598 , 0.013161 , 0.016886 , 0.018064 , 0.034456 , 0.029913 , 0.028569 , 0.03242 , 0.030263 , 0.018447 , 0.020779 , 0.020533 , 0.031945 , 0.0272 , 0.021769 , 0.025671 , 0.028366 , 0.033616 , 0.041646 , 0.015471 , 0.012453 , 0.01458 , 0.01451 , 0.019195 , 0.021865 , 0.017545 , 0.021241 , 0.023649 , 0.026372 , 0.022312 , 0.022005 , 0.019017 , 0.017274 , 0.015871 , 0.022661 , 0.022376 , 0.02776 , 0.019571 , 0.021266 
 335 , 0.015419 , 0.016977 , 0.013511 , 0.016366 , 0.01829 , 0.034677 , 0.029832 , 0.028783 , 0.03281 , 0.030297 , 0.018237 , 0.020648 , 0.020666 , 0.032209 , 0.027352 , 0.02191 , 0.025611 , 0.028428 , 0.033611 , 0.041393 , 0.015588 , 0.012712 , 0.014517 , 0.014795 , 0.019562 , 0.022397 , 0.017391 , 0.021095 , 0.023497 , 0.026428 , 0.022531 , 0.022454 , 0.019119 , 0.017554 , 0.016009 , 0.022544 , 0.022668 , 0.027564 , 0.019848 , 0.021079 
