  time  ,6:43 AM",6:58 AM",7:07 AM",7:20 AM",7:28 AM",7:41 AM",7:50 AM",8:01 AM",8:08 AM",8:16 AM",9:12 AM",9:20 AM",9:27 AM",9:34 AM",9:41 AM",9:55 AM",0:02 AM",0:10 AM",0:18 AM",0:27 AM",0:58 AM",1:10 AM",1:19 AM",1:27 AM",1:38 AM",1:53 AM",2:03 AM",2:11 AM",2:29 AM",2:39 AM",3:15 AM",3:24 AM",3:34 AM",3:43 AM",3:53 AM",4:33 AM",4:40 AM",4:49 AM",4:57 AM",5:05 AM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.054292 , 0.039987 , 0.042143 , 0.055845 , 0.074469 , 0.039718 , 0.0607 , 0.060083 , 0.053867 , 0.046547 , 0.051321 , 0.049061 , 0.044582 , 0.040788 , 0.044645 , 0.052865 , 0.049419 , 0.033319 , 0.054968 , 0.044869 , 0.053523 , 0.030737 , 0.031628 , 0.044524 , 0.033807 , 0.038009 , 0.0475 , 0.049401 , 0.058472 , 0.029744 , 0.02577 , 0.035395 , 0.057805 , 0.049393 , 0.013626 , 0.040358 , 0.048985 , 0.051531 , 0.059483 , 0.030648 
 317 , 0.061003 , 0.04026 , 0.043259 , 0.06073 , 0.067757 , 0.04511 , 0.058143 , 0.060954 , 0.048793 , 0.038698 , 0.053504 , 0.053175 , 0.049875 , 0.043255 , 0.044073 , 0.053777 , 0.047462 , 0.03574 , 0.050453 , 0.038149 , 0.051295 , 0.031838 , 0.030276 , 0.046604 , 0.030674 , 0.037758 , 0.050237 , 0.047454 , 0.055779 , 0.033319 , 0.024767 , 0.035752 , 0.052524 , 0.051002 , 0.014892 , 0.041689 , 0.053789 , 0.051454 , 0.059961 , 0.031781 
 318 , 0.065007 , 0.040098 , 0.043106 , 0.063423 , 0.06262 , 0.048803 , 0.055752 , 0.060173 , 0.044746 , 0.033138 , 0.05377 , 0.055934 , 0.05283 , 0.045215 , 0.043062 , 0.053897 , 0.045754 , 0.037097 , 0.046791 , 0.032966 , 0.049096 , 0.03245 , 0.029211 , 0.047401 , 0.028285 , 0.037503 , 0.051722 , 0.045523 , 0.053168 , 0.03574 , 0.023931 , 0.036101 , 0.048435 , 0.051432 , 0.015855 , 0.042221 , 0.056332 , 0.050878 , 0.059671 , 0.032491 
 319 , 0.056209 , 0.037058 , 0.034746 , 0.055804 , 0.062147 , 0.045361 , 0.052351 , 0.048353 , 0.042707 , 0.036384 , 0.042621 , 0.053439 , 0.043411 , 0.046502 , 0.038166 , 0.048937 , 0.044051 , 0.032666 , 0.045026 , 0.032118 , 0.044936 , 0.030712 , 0.028851 , 0.040949 , 0.028038 , 0.036733 , 0.04775 , 0.041831 , 0.048486 , 0.033568 , 0.023218 , 0.037005 , 0.047617 , 0.045136 , 0.016009 , 0.03809 , 0.047003 , 0.04634 , 0.054583 , 0.031299 
 320 , 0.049323 , 0.03466 , 0.028224 , 0.049843 , 0.061743 , 0.042686 , 0.049612 , 0.03919 , 0.041142 , 0.039003 , 0.033837 , 0.051507 , 0.036018 , 0.047614 , 0.034327 , 0.045034 , 0.04268 , 0.0292 , 0.043605 , 0.031456 , 0.041664 , 0.029353 , 0.028569 , 0.035889 , 0.027863 , 0.036078 , 0.04465 , 0.038928 , 0.044812 , 0.031864 , 0.022679 , 0.037742 , 0.046978 , 0.040208 , 0.016141 , 0.034853 , 0.039754 , 0.042767 , 0.0506 , 0.030317 
 321 , 0.043787 , 0.032714 , 0.022994 , 0.04505 , 0.061383 , 0.040552 , 0.047347 , 0.031897 , 0.039908 , 0.041174 , 0.026719 , 0.049969 , 0.030056 , 0.048593 , 0.031239 , 0.041881 , 0.041548 , 0.026411 , 0.042425 , 0.03092 , 0.039025 , 0.02826 , 0.028342 , 0.031806 , 0.027734 , 0.035503 , 0.042167 , 0.036579 , 0.041848 , 0.030496 , 0.022268 , 0.038356 , 0.046464 , 0.036252 , 0.016257 , 0.032249 , 0.033971 , 0.039875 , 0.047399 , 0.029484 
 322 , 0.042061 , 0.029929 , 0.023227 , 0.042611 , 0.058323 , 0.035364 , 0.046123 , 0.030461 , 0.038145 , 0.037719 , 0.028035 , 0.044517 , 0.028635 , 0.045672 , 0.029125 , 0.039761 , 0.03876 , 0.022837 , 0.039196 , 0.030444 , 0.039208 , 0.025938 , 0.026753 , 0.028412 , 0.02514 , 0.031383 , 0.039315 , 0.03609 , 0.039761 , 0.0289 , 0.02225 , 0.034997 , 0.045343 , 0.034078 , 0.015377 , 0.029284 , 0.030548 , 0.036809 , 0.043667 , 0.027871 
 323 , 0.041619 , 0.027327 , 0.024882 , 0.041204 , 0.054982 , 0.030123 , 0.045381 , 0.03084 , 0.036512 , 0.033279 , 0.031551 , 0.038844 , 0.028677 , 0.042128 , 0.02761 , 0.03824 , 0.035936 , 0.019596 , 0.035902 , 0.030036 , 0.040148 , 0.023637 , 0.025034 , 0.025751 , 0.02227 , 0.026868 , 0.036804 , 0.036203 , 0.03824 , 0.02748 , 0.022351 , 0.031069 , 0.044226 , 0.032721 , 0.014359 , 0.026671 , 0.02828 , 0.034138 , 0.040355 , 0.026281 
 324 , 0.041207 , 0.025249 , 0.02615 , 0.040093 , 0.052301 , 0.025926 , 0.044842 , 0.031144 , 0.035208 , 0.029744 , 0.034426 , 0.034315 , 0.028695 , 0.039298 , 0.02638 , 0.037061 , 0.033683 , 0.017005 , 0.033262 , 0.02967 , 0.040926 , 0.021798 , 0.023656 , 0.023627 , 0.01998 , 0.023233 , 0.034791 , 0.036328 , 0.037061 , 0.026334 , 0.022432 , 0.027931 , 0.043336 , 0.031628 , 0.013547 , 0.024582 , 0.026464 , 0.032008 , 0.037716 , 0.025021 
 325 , 0.04073 , 0.025048 , 0.026699 , 0.038 , 0.050461 , 0.024701 , 0.04384 , 0.032066 , 0.033374 , 0.02744 , 0.035565 , 0.031847 , 0.02929 , 0.037524 , 0.025977 , 0.036289 , 0.032654 , 0.016441 , 0.031776 , 0.030318 , 0.041259 , 0.021848 , 0.022638 , 0.022666 , 0.018824 , 0.021833 , 0.033715 , 0.035563 , 0.036207 , 0.025416 , 0.022489 , 0.027243 , 0.042799 , 0.031157 , 0.013457 , 0.024013 , 0.025206 , 0.030868 , 0.036201 , 0.024152 
