JUL13WSG100005.spu,JUL13WSG100004.spu,JUL13WSG100003.spu,
Wavelength,JUL13WSG100006.spu,JUL13WSG100007.spu,JUL13WSG100008.spu,JUL13WSG100009.spu,JUL13WSG100010.spu,JUL13WSG100011.spu,JUL13WSG100012.spu,JUL13WSG100013.spu,JUL13WSG100014.spu,JUL13WSG100015.spu,JUL13WSG100016.spu,JUL13WSG100017.spu,JUL13WSG100018.spu,JUL13WSG100019.spu,JUL13WSG100020.spu,JUL13WSG100021.spu,JUL13WSG100022.spu,JUL13WSG100023.spu,JUL13WSG100024.spu,JUL13WSG100025.spu,JUL13WSG100026.spu,JUL13WSG100027.spu,JUL13WSG100028.spu,JUL13WSG100029.spu,JUL13WSG100030.spu
  (nm),7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 
  time  ,:53:32 A,:53:46 A,:53:52 A,:54:01 A,:54:07 A,:54:37 A,:54:45 A,:54:54 A,:55:01 A,:55:10 A,:56:00 A,:56:06 A,:56:13 A,:56:20 A,:56:30 A,:57:06 A,:57:15 A,:57:20 A,:57:26 A,:57:32 A,:58:05 A,:58:12 A,:58:17 A,:58:23 A,:58:29 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 341 , 0 , 0.002954 , 0 , 0.002964 , 0.003432 , 0.007506 , 0.010588 , 0.004253 , 0.001992 , 0 , 0 , 0 , 0 , 0.000573 , 0.000298 , 0.004778 , 0.00621 , 0.005773 , 0.002238 , 0.009512 , 0 , 0 , 0 , 0 , 0 
 342 , 0 , 0.003388 , 0.000391 , 0.003342 , 0.00409 , 0.007981 , 0.010606 , 0.00502 , 0.002473 , 0.000217 , 0.000169 , 0.000025 , 0.000584 , 0.001317 , 0.000845 , 0.006406 , 0.006906 , 0.006365 , 0.003088 , 0.009945 , 0.000021 , 0.000198 , 0.000037 , 0.000448 , 0 
 343 , 0 , 0.003649 , 0.00108 , 0.003169 , 0.004354 , 0.008317 , 0.011323 , 0.005039 , 0.003507 , 0.000647 , 0.00051 , 0.000067 , 0.001591 , 0.002018 , 0.001814 , 0.00878 , 0.00756 , 0.006609 , 0.003883 , 0.010229 , 0.000061 , 0.000549 , 0.000113 , 0.001267 , 0 
 344 , 0 , 0.003841 , 0.001591 , 0.003026 , 0.00454 , 0.00856 , 0.011977 , 0.005035 , 0.004458 , 0.001016 , 0.000809 , 0.000096 , 0.002319 , 0.002342 , 0.002614 , 0.011788 , 0.00804 , 0.00673 , 0.004564 , 0.010427 , 0.000092 , 0.000811 , 0.000181 , 0.001902 , 0 
 345 , 0.000044 , 0.004103 , 0.002061 , 0.003022 , 0.004722 , 0.008857 , 0.012572 , 0.005092 , 0.0054 , 0.001366 , 0.001111 , 0.000193 , 0.002876 , 0.002559 , 0.003304 , 0.015092 , 0.00847 , 0.006865 , 0.005174 , 0.010666 , 0.000176 , 0.00107 , 0.000305 , 0.00242 , 0.000071 
 346 , 0.000625 , 0.005817 , 0.003436 , 0.004414 , 0.005362 , 0.01031 , 0.013041 , 0.005977 , 0.007052 , 0.002059 , 0.001865 , 0.001258 , 0.003415 , 0.003073 , 0.004162 , 0.012907 , 0.009538 , 0.007777 , 0.005993 , 0.011881 , 0.00099 , 0.001961 , 0.001243 , 0.00303 , 0.001027 
 347 , 0.001128 , 0.007592 , 0.004682 , 0.005639 , 0.005923 , 0.011834 , 0.013408 , 0.0067 , 0.00862 , 0.002631 , 0.002644 , 0.002222 , 0.003914 , 0.003654 , 0.004909 , 0.01158 , 0.010478 , 0.008531 , 0.006654 , 0.012978 , 0.0017 , 0.002672 , 0.002112 , 0.003544 , 0.001872 
 348 , 0.001564 , 0.009414 , 0.005806 , 0.006716 , 0.006415 , 0.013441 , 0.013698 , 0.007297 , 0.010099 , 0.003109 , 0.003437 , 0.003092 , 0.004377 , 0.004321 , 0.00556 , 0.010682 , 0.011307 , 0.009158 , 0.007194 , 0.013969 , 0.00232 , 0.003249 , 0.002912 , 0.003979 , 0.002618 
 349 , 0.00173 , 0.010102 , 0.00663 , 0.007278 , 0.007199 , 0.014856 , 0.014924 , 0.00756 , 0.010524 , 0.003829 , 0.004009 , 0.003895 , 0.00503 , 0.005013 , 0.005947 , 0.011106 , 0.011928 , 0.010073 , 0.007842 , 0.015225 , 0.002778 , 0.003798 , 0.003573 , 0.004641 , 0.003131 
 350 , 0.00179 , 0.010284 , 0.007346 , 0.007619 , 0.008092 , 0.016067 , 0.016474 , 0.007692 , 0.01053 , 0.00461 , 0.004448 , 0.004723 , 0.005771 , 0.005658 , 0.006214 , 0.011945 , 0.012437 , 0.011109 , 0.008536 , 0.01655 , 0.003157 , 0.004357 , 0.004146 , 0.00536 , 0.003542 
 351 , 0.001845 , 0.010444 , 0.008053 , 0.007926 , 0.008951 , 0.017159 , 0.017929 , 0.007809 , 0.010537 , 0.005323 , 0.004848 , 0.005591 , 0.006508 , 0.006261 , 0.006451 , 0.012723 , 0.012896 , 0.012122 , 0.009206 , 0.017799 , 0.003505 , 0.00491 , 0.00467 , 0.006018 , 0.003923 
 352 , 0.002141 , 0.010635 , 0.008528 , 0.008387 , 0.009631 , 0.017653 , 0.01882 , 0.008184 , 0.010713 , 0.00587 , 0.005201 , 0.006356 , 0.006973 , 0.006835 , 0.006736 , 0.013214 , 0.013408 , 0.012876 , 0.009814 , 0.018538 , 0.003806 , 0.005362 , 0.005109 , 0.006329 , 0.004323 
 353 , 0.002948 , 0.010889 , 0.008552 , 0.009186 , 0.009972 , 0.017149 , 0.018711 , 0.009101 , 0.011204 , 0.006154 , 0.00549 , 0.00681 , 0.006926 , 0.007388 , 0.007147 , 0.01319 , 0.014062 , 0.013124 , 0.010302 , 0.018357 , 0.004044 , 0.005603 , 0.005425 , 0.006054 , 0.00479 
 354 , 0.003734 , 0.011107 , 0.008571 , 0.009932 , 0.01027 , 0.016717 , 0.018605 , 0.009994 , 0.011636 , 0.00641 , 0.005741 , 0.007199 , 0.006899 , 0.007901 , 0.007539 , 0.013148 , 0.014657 , 0.013336 , 0.010737 , 0.018185 , 0.004261 , 0.005812 , 0.005711 , 0.005827 , 0.005225 
 355 , 0.004496 , 0.011294 , 0.008586 , 0.010628 , 0.010533 , 0.016342 , 0.018505 , 0.010861 , 0.01202 , 0.006642 , 0.00596 , 0.007536 , 0.006884 , 0.008377 , 0.007915 , 0.013094 , 0.015203 , 0.013517 , 0.011126 , 0.018023 , 0.004458 , 0.005996 , 0.005972 , 0.005635 , 0.00563 
 356 , 0.004512 , 0.011169 , 0.008589 , 0.01067 , 0.01041 , 0.016306 , 0.018813 , 0.011417 , 0.012192 , 0.006799 , 0.006034 , 0.007075 , 0.006793 , 0.008124 , 0.007769 , 0.014117 , 0.014587 , 0.01332 , 0.011001 , 0.018209 , 0.004469 , 0.005974 , 0.005881 , 0.006032 , 0.005585 
 357 , 0.004483 , 0.011021 , 0.008575 , 0.010661 , 0.010261 , 0.016256 , 0.019115 , 0.011921 , 0.012331 , 0.00693 , 0.006091 , 0.006608 , 0.006694 , 0.007848 , 0.007605 , 0.015061 , 0.013982 , 0.013099 , 0.010844 , 0.018377 , 0.004466 , 0.005934 , 0.005772 , 0.00644 , 0.005514 
 358 , 0.004447 , 0.010866 , 0.008545 , 0.010633 , 0.010106 , 0.016178 , 0.019388 , 0.01239 , 0.012446 , 0.007036 , 0.006136 , 0.006173 , 0.006592 , 0.007585 , 0.007448 , 0.01588 , 0.013434 , 0.012874 , 0.010682 , 0.018509 , 0.004457 , 0.005888 , 0.005663 , 0.006828 , 0.005438 
 359 , 0.004403 , 0.01095 , 0.008808 , 0.010437 , 0.010401 , 0.01656 , 0.01955 , 0.012309 , 0.0126 , 0.007164 , 0.006189 , 0.006135 , 0.006768 , 0.007589 , 0.007543 , 0.01597 , 0.013374 , 0.012605 , 0.010823 , 0.01851 , 0.004451 , 0.005945 , 0.00567 , 0.007087 , 0.005478 
 360 , 0.004364 , 0.011199 , 0.009289 , 0.010151 , 0.011025 , 0.017277 , 0.019629 , 0.011889 , 0.012777 , 0.007307 , 0.006245 , 0.006356 , 0.007141 , 0.00777 , 0.007804 , 0.01558 , 0.013635 , 0.012334 , 0.011174 , 0.018429 , 0.00445 , 0.00607 , 0.005756 , 0.007244 , 0.005594 
 361 , 0.00433 , 0.011424 , 0.00976 , 0.009895 , 0.011633 , 0.01796 , 0.019693 , 0.011524 , 0.012932 , 0.007435 , 0.006294 , 0.006552 , 0.007498 , 0.007933 , 0.008041 , 0.015198 , 0.013871 , 0.012097 , 0.011499 , 0.018349 , 0.004449 , 0.006179 , 0.005831 , 0.007383 , 0.005698 
 362 , 0.004339 , 0.011759 , 0.010178 , 0.00983 , 0.012085 , 0.018522 , 0.019801 , 0.01137 , 0.013192 , 0.007624 , 0.006363 , 0.006761 , 0.007857 , 0.008106 , 0.008272 , 0.014968 , 0.014182 , 0.01206 , 0.011776 , 0.018419 , 0.00451 , 0.00637 , 0.005957 , 0.007567 , 0.005867 
 363 , 0.004511 , 0.012637 , 0.010392 , 0.010431 , 0.011958 , 0.018682 , 0.02014 , 0.011898 , 0.013938 , 0.008119 , 0.006556 , 0.007092 , 0.008272 , 0.008376 , 0.008566 , 0.015297 , 0.014866 , 0.012753 , 0.011934 , 0.019101 , 0.004843 , 0.006951 , 0.006335 , 0.008013 , 0.006338 
 364 , 0.004673 , 0.013518 , 0.010595 , 0.011001 , 0.011854 , 0.018829 , 0.020454 , 0.012394 , 0.014652 , 0.008598 , 0.006738 , 0.007401 , 0.008673 , 0.00863 , 0.008845 , 0.015602 , 0.015521 , 0.01342 , 0.01208 , 0.019746 , 0.005173 , 0.00753 , 0.006703 , 0.008454 , 0.006796 
