JUL12WSG200005.spu,JUL12WSG200004.spu,
Wavelength,JUL12WSG200006.spu,JUL12WSG200007.spu,JUL12WSG200008.spu,JUL12WSG200009.spu,JUL12WSG200010.spu,JUL12WSG200011.spu,JUL12WSG200012.spu,JUL12WSG200013.spu,JUL12WSG200014.spu,JUL12WSG200015.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,:01:52 A,:02:00 A,:02:08 A,:02:15 A,:02:23 A,:03:28 A,:03:36 A,:03:44 A,:03:53 A,:04:01 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 368 , 0.006247 , 0.009304 , 0.007943 , 0.009907 , 0.0066 , 0.017458 , 0.01056 , 0.012626 , 0.015069 , 0.010695 
 369 , 0.006153 , 0.008955 , 0.008022 , 0.009892 , 0.006525 , 0.017553 , 0.010482 , 0.01251 , 0.014852 , 0.010494 
 370 , 0.005953 , 0.008824 , 0.008026 , 0.009559 , 0.006341 , 0.017836 , 0.010525 , 0.012486 , 0.014675 , 0.010345 
 371 , 0.005748 , 0.008708 , 0.008029 , 0.009259 , 0.006174 , 0.018114 , 0.010566 , 0.012461 , 0.014515 , 0.010212 
 372 , 0.005566 , 0.008612 , 0.008042 , 0.00901 , 0.006034 , 0.018394 , 0.010604 , 0.012435 , 0.014402 , 0.010125 
 373 , 0.005657 , 0.008641 , 0.008196 , 0.009109 , 0.006113 , 0.018849 , 0.010617 , 0.012424 , 0.014779 , 0.010551 
 374 , 0.005767 , 0.008673 , 0.008348 , 0.009204 , 0.006185 , 0.01925 , 0.010623 , 0.012405 , 0.01513 , 0.010943 
 375 , 0.005891 , 0.008706 , 0.008496 , 0.009298 , 0.006251 , 0.019609 , 0.010624 , 0.01238 , 0.015461 , 0.011308 
 376 , 0.005756 , 0.008682 , 0.00854 , 0.009264 , 0.006396 , 0.019704 , 0.010836 , 0.0125 , 0.015701 , 0.011556 
 377 , 0.005536 , 0.008628 , 0.00856 , 0.009182 , 0.006556 , 0.019703 , 0.011092 , 0.012654 , 0.015879 , 0.01173 
