JUL26MNAT00005.spu,JUL26MNAT00004.spu,JUL26MNAT00003.spu,
Wavelength,JUL26MNAT00006.spu,JUL26MNAT00007.spu,JUL26MNAT00008.spu,JUL26MNAT00009.spu,JUL26MNAT00010.spu,JUL26MNAT00011.spu,JUL26MNAT00012.spu,JUL26MNAT00013.spu,JUL26MNAT00014.spu,JUL26MNAT00015.spu,JUL26MNAT00016.spu,JUL26MNAT00017.spu,JUL26MNAT00018.spu,JUL26MNAT00019.spu,JUL26MNAT00020.spu,JUL26MNAT00021.spu,JUL26MNAT00022.spu,JUL26MNAT00023.spu,JUL26MNAT00024.spu,JUL26MNAT00025.spu,JUL26MNAT00026.spu,JUL26MNAT00027.spu,JUL26MNAT00028.spu,JUL26MNAT00029.spu,JUL26MNAT00030.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,28:42 PM,29:27 PM,29:38 PM,29:45 PM,29:51 PM,30:54 PM,31:00 PM,31:08 PM,31:14 PM,31:20 PM,32:09 PM,32:14 PM,32:22 PM,32:30 PM,32:38 PM,32:55 PM,33:02 PM,33:07 PM,33:14 PM,33:20 PM,34:06 PM,34:16 PM,34:25 PM,34:39 PM,34:48 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 348 , 0.020636 , 0.011669 , 0.01276 , 0.019112 , 0.015071 , 0.030408 , 0.039384 , 0.031881 , 0.01667 , 0.053707 , 0.014025 , 0.027074 , 0.015362 , 0.020611 , 0.043052 , 0.015145 , 0.021614 , 0.016177 , 0.02851 , 0.020501 , 0.003635 , 0.008969 , 0.021723 , 0.007394 , 0.018155 
 349 , 0.021123 , 0.01245 , 0.012604 , 0.019069 , 0.015094 , 0.030234 , 0.039631 , 0.033578 , 0.017031 , 0.050096 , 0.014015 , 0.028179 , 0.01554 , 0.021508 , 0.040404 , 0.015647 , 0.021919 , 0.017607 , 0.029038 , 0.020116 , 0.004481 , 0.009276 , 0.021891 , 0.007367 , 0.019354 
 350 , 0.021086 , 0.013321 , 0.012268 , 0.018781 , 0.01499 , 0.03026 , 0.039404 , 0.036657 , 0.017433 , 0.045661 , 0.013521 , 0.028447 , 0.015891 , 0.022279 , 0.037972 , 0.016455 , 0.022336 , 0.018652 , 0.029744 , 0.019228 , 0.005377 , 0.009323 , 0.021518 , 0.007319 , 0.020421 
 351 , 0.02106 , 0.014131 , 0.012005 , 0.018555 , 0.01491 , 0.030287 , 0.039212 , 0.039746 , 0.01779 , 0.042385 , 0.013144 , 0.028685 , 0.016206 , 0.022978 , 0.036158 , 0.017197 , 0.022707 , 0.019609 , 0.030376 , 0.018538 , 0.006204 , 0.009367 , 0.021256 , 0.007299 , 0.021356 
 352 , 0.021233 , 0.014721 , 0.012324 , 0.018888 , 0.015247 , 0.031313 , 0.038948 , 0.040958 , 0.018279 , 0.040845 , 0.013232 , 0.028294 , 0.016873 , 0.022932 , 0.035456 , 0.017779 , 0.023638 , 0.020401 , 0.03064 , 0.018517 , 0.006987 , 0.009536 , 0.021473 , 0.007488 , 0.021606 
 353 , 0.021763 , 0.014931 , 0.013755 , 0.020224 , 0.016365 , 0.034358 , 0.038586 , 0.038865 , 0.01906 , 0.041492 , 0.014084 , 0.027051 , 0.01828 , 0.021744 , 0.036202 , 0.01813 , 0.025732 , 0.020988 , 0.030328 , 0.019577 , 0.00774 , 0.009959 , 0.022469 , 0.008047 , 0.020823 
 354 , 0.022242 , 0.015117 , 0.015217 , 0.021487 , 0.017424 , 0.037387 , 0.038321 , 0.037321 , 0.019775 , 0.042092 , 0.014883 , 0.026185 , 0.019617 , 0.020846 , 0.036849 , 0.01846 , 0.027744 , 0.021544 , 0.030093 , 0.020554 , 0.008422 , 0.010352 , 0.023383 , 0.008571 , 0.020247 
 355 , 0.022679 , 0.015285 , 0.016709 , 0.022682 , 0.018428 , 0.040399 , 0.038126 , 0.036143 , 0.020433 , 0.04265 , 0.015635 , 0.025562 , 0.020889 , 0.020145 , 0.037417 , 0.018769 , 0.029673 , 0.022068 , 0.029914 , 0.021459 , 0.009043 , 0.010716 , 0.024226 , 0.009064 , 0.01981 
 356 , 0.022517 , 0.015834 , 0.017025 , 0.022952 , 0.018398 , 0.039173 , 0.038526 , 0.035671 , 0.02106 , 0.040121 , 0.015982 , 0.026023 , 0.020277 , 0.020749 , 0.03668 , 0.018536 , 0.028852 , 0.021252 , 0.030192 , 0.021821 , 0.008908 , 0.011121 , 0.023705 , 0.009475 , 0.018737 
 357 , 0.022341 , 0.016354 , 0.017249 , 0.023142 , 0.018323 , 0.037944 , 0.038887 , 0.035266 , 0.02163 , 0.037972 , 0.016273 , 0.026478 , 0.019684 , 0.021354 , 0.03596 , 0.018322 , 0.028035 , 0.020511 , 0.030444 , 0.02211 , 0.008768 , 0.011494 , 0.023225 , 0.009844 , 0.017891 
 358 , 0.022181 , 0.01683 , 0.017448 , 0.023306 , 0.018256 , 0.03689 , 0.039192 , 0.034897 , 0.022151 , 0.036225 , 0.016531 , 0.026881 , 0.019183 , 0.021904 , 0.035315 , 0.018144 , 0.027335 , 0.019885 , 0.030657 , 0.022361 , 0.008655 , 0.011836 , 0.022831 , 0.01018 , 0.017229 
 359 , 0.02214 , 0.016891 , 0.017597 , 0.023234 , 0.018898 , 0.036092 , 0.039563 , 0.034593 , 0.021881 , 0.035173 , 0.01664 , 0.026832 , 0.018956 , 0.022105 , 0.034118 , 0.018169 , 0.02607 , 0.019075 , 0.031068 , 0.021832 , 0.008334 , 0.011958 , 0.022198 , 0.010051 , 0.017315 
 360 , 0.022161 , 0.016667 , 0.017697 , 0.022994 , 0.020077 , 0.035439 , 0.039952 , 0.034305 , 0.02111 , 0.034507 , 0.016631 , 0.026485 , 0.018886 , 0.022052 , 0.032648 , 0.018307 , 0.024588 , 0.018186 , 0.031596 , 0.020851 , 0.007905 , 0.01192 , 0.02142 , 0.009627 , 0.017863 
