JUL26LOF00140.spu,JUL26LOF00139.spu,JUL26LOF00138.spu,JUL26LOF00137.spu,JUL26LOF00136.spu,
Wavelength,JUL26LOF00141.spu,JUL26LOF00142.spu,JUL26LOF00143.spu,JUL26LOF00144.spu,JUL26LOF00145.spu,JUL26LOF00146.spu,JUL26LOF00147.spu,JUL26LOF00148.spu,JUL26LOF00149.spu,JUL26LOF00150.spu,JUL26LOF00151.spu,JUL26LOF00152.spu,JUL26LOF00153.spu,JUL26LOF00154.spu,JUL26LOF00155.spu,JUL26LOF00156.spu,JUL26LOF00157.spu,JUL26LOF00158.spu,JUL26LOF00159.spu,JUL26LOF00160.spu,JUL26LOF00161.spu,JUL26LOF00162.spu,JUL26LOF00163.spu,JUL26LOF00164.spu,JUL26LOF00165.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,:46:48 A,:47:00 A,:47:08 A,:47:20 A,:47:27 A,:48:09 A,:48:17 A,:48:25 A,:48:32 A,:48:38 A,:49:24 A,:49:31 A,:49:40 A,:49:50 A,:49:57 A,:50:35 A,:50:44 A,:50:52 A,:51:00 A,:51:07 A,:02:15 P,:02:30 P,:02:40 P,:02:49 P,:03:06 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 353 , 0.0121 , 0.013594 , 0.015118 , 0.015607 , 0.010733 , 0.01062 , 0.010146 , 0.012586 , 0.012623 , 0.009958 , 0.009345 , 0.008946 , 0.006832 , 0.009586 , 0.009587 , 0.016844 , 0.01384 , 0.014707 , 0.01274 , 0.012052 , 0.022007 , 0.023606 , 0.025759 , 0.022823 , 0.046232 
 354 , 0.012875 , 0.014521 , 0.014087 , 0.015826 , 0.011331 , 0.01124 , 0.011227 , 0.013379 , 0.013442 , 0.01085 , 0.009506 , 0.009422 , 0.007635 , 0.010053 , 0.010248 , 0.017656 , 0.014123 , 0.01587 , 0.013516 , 0.013119 , 0.023255 , 0.024252 , 0.023189 , 0.023696 , 0.044021 
 355 , 0.013595 , 0.015374 , 0.013344 , 0.016026 , 0.01189 , 0.011816 , 0.012254 , 0.01411 , 0.014198 , 0.01166 , 0.009658 , 0.009862 , 0.008407 , 0.010484 , 0.010862 , 0.018404 , 0.014377 , 0.016981 , 0.014242 , 0.014149 , 0.024411 , 0.024845 , 0.021486 , 0.024495 , 0.042426 
 356 , 0.013337 , 0.014193 , 0.014096 , 0.01564 , 0.012013 , 0.011858 , 0.01233 , 0.013796 , 0.013717 , 0.011919 , 0.009917 , 0.010658 , 0.008615 , 0.010609 , 0.011055 , 0.018778 , 0.014503 , 0.016957 , 0.014352 , 0.014067 , 0.024695 , 0.025291 , 0.023181 , 0.023703 , 0.040531 
 357 , 0.013048 , 0.013104 , 0.014889 , 0.015257 , 0.012098 , 0.011864 , 0.012344 , 0.013458 , 0.013227 , 0.012143 , 0.010184 , 0.011451 , 0.008771 , 0.010702 , 0.011204 , 0.019117 , 0.014597 , 0.01687 , 0.014412 , 0.013932 , 0.024918 , 0.025685 , 0.025173 , 0.022937 , 0.038868 
 358 , 0.012778 , 0.012174 , 0.015654 , 0.014904 , 0.01217 , 0.011861 , 0.012349 , 0.013147 , 0.012785 , 0.012361 , 0.010452 , 0.012224 , 0.008904 , 0.01078 , 0.011333 , 0.019438 , 0.014668 , 0.01678 , 0.014457 , 0.0138 , 0.025124 , 0.026039 , 0.02732 , 0.022259 , 0.03742 
 359 , 0.012701 , 0.012037 , 0.015747 , 0.014985 , 0.011873 , 0.011989 , 0.012292 , 0.012969 , 0.012637 , 0.012077 , 0.010546 , 0.011757 , 0.009073 , 0.010747 , 0.011271 , 0.019376 , 0.014794 , 0.016176 , 0.014718 , 0.013456 , 0.024627 , 0.025163 , 0.027579 , 0.021993 , 0.036285 
 360 , 0.012738 , 0.012404 , 0.01537 , 0.015365 , 0.011356 , 0.012186 , 0.012185 , 0.012868 , 0.012665 , 0.011483 , 0.010494 , 0.010584 , 0.009251 , 0.010632 , 0.011075 , 0.019036 , 0.014946 , 0.015303 , 0.015113 , 0.012988 , 0.023714 , 0.023627 , 0.026437 , 0.021968 , 0.035339 
 361 , 0.012748 , 0.012746 , 0.015016 , 0.015726 , 0.010891 , 0.012344 , 0.012067 , 0.012753 , 0.012666 , 0.010958 , 0.010427 , 0.00962 , 0.009398 , 0.010509 , 0.010882 , 0.018701 , 0.015067 , 0.014551 , 0.015463 , 0.012561 , 0.022908 , 0.022335 , 0.025419 , 0.021909 , 0.034447 
 362 , 0.01286 , 0.013094 , 0.014684 , 0.016073 , 0.010633 , 0.012527 , 0.012185 , 0.012791 , 0.012799 , 0.010684 , 0.010456 , 0.009165 , 0.00952 , 0.010524 , 0.010845 , 0.01859 , 0.015247 , 0.014166 , 0.015811 , 0.0124 , 0.022073 , 0.021475 , 0.024658 , 0.021587 , 0.033442 
 363 , 0.013482 , 0.013523 , 0.014405 , 0.01637 , 0.011035 , 0.012936 , 0.013282 , 0.01348 , 0.013541 , 0.011227 , 0.010926 , 0.010231 , 0.009644 , 0.011101 , 0.011426 , 0.019366 , 0.015745 , 0.014933 , 0.016275 , 0.013191 , 0.020989 , 0.021714 , 0.024601 , 0.020455 , 0.031983 
 364 , 0.014057 , 0.013907 , 0.014133 , 0.016633 , 0.011398 , 0.013301 , 0.014328 , 0.014118 , 0.01423 , 0.011729 , 0.011356 , 0.011306 , 0.009749 , 0.011635 , 0.011965 , 0.020072 , 0.01619 , 0.015641 , 0.016687 , 0.01393 , 0.020147 , 0.021917 , 0.024567 , 0.019585 , 0.030807 
