  time  ,:06:06 P,:06:19 P,:06:21 P,:06:22 P,:06:34 P,:07:33 P,:07:42 P,:07:50 P,:07:58 P,:08:11 P,:08:52 P,:09:17 P,:09:26 P,:09:32 P,:09:42 P,:10:27 P,:10:37 P,:10:45 P,:10:53 P,:11:00 P,:11:37 P,:11:44 P,:11:54 P,:12:05 P,:12:20 P,:13:08 P,:13:17 P,:13:25 P,:13:39 P,:13:49 P,:14:35 P,:14:43 P,:14:52 P,:15:05 P,:15:12 P,:15:50 P,:15:57 P,:16:05 P,:16:13 P,:16:20 P,:17:24 P,:17:37 P,:17:44 P,:17:52 P,:18:01 P,:18:58 P,:19:28 P,:19:35 P,:19:46 P,:19:52 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 337 , 0.774439 , 1.047766 , 0.887325 , 1.628015 , 0.662455 , 0.002636 , 0.00143 , 0.000445 , 0.001687 , 0.000548 , 0.001595 , 0.004338 , 0.003861 , 0.000347 , 0.000439 , 0.003667 , 0.002953 , 0.000933 , 0.002531 , 0.000163 , 0.002813 , 0.000988 , 0.008091 , 0.003444 , 0.004502 , 0.006321 , 0.003407 , 0.001231 , 0.000449 , 0.004315 , 0.00833 , 0.001616 , 0.004699 , 0.005589 , 0.001426 , 0 , 0.001393 , 0.002529 , 0.002441 , 0.003006 , 0.000936 , 0.000418 , 0.001871 , 0 , 0 , 0.001233 , 0.001282 , 0.00231 , 0.007597 , 0.009109 
 338 , 0.812101 , 1.206959 , 0.959787 , 1.353997 , 0.667156 , 0.003958 , 0.002043 , 0.000635 , 0.002609 , 0.000811 , 0.002246 , 0.005161 , 0.005589 , 0.000485 , 0.000624 , 0.005127 , 0.004238 , 0.001397 , 0.004163 , 0.000228 , 0.004403 , 0.001428 , 0.009124 , 0.004469 , 0.006051 , 0.008501 , 0.004454 , 0.001827 , 0.000695 , 0.005221 , 0.007442 , 0.002418 , 0.005757 , 0.006758 , 0.002113 , 0 , 0.002132 , 0.003476 , 0.003472 , 0.004331 , 0.001393 , 0.000621 , 0.002804 , 0 , 0 , 0.001802 , 0.001907 , 0.003424 , 0.00921 , 0.010531 
 339 , 0.811236 , 1.206547 , 1.056318 , 1.212149 , 0.713751 , 0.004782 , 0.002771 , 0.001347 , 0.003387 , 0.001485 , 0.003055 , 0.005832 , 0.006334 , 0.001179 , 0.001246 , 0.006355 , 0.005177 , 0.002585 , 0.005068 , 0.000839 , 0.00497 , 0.002079 , 0.009927 , 0.005103 , 0.006529 , 0.010048 , 0.005098 , 0.002546 , 0.001286 , 0.006081 , 0.008198 , 0.002844 , 0.006335 , 0.008026 , 0.002661 , 0.000352 , 0.00281 , 0.004503 , 0.004165 , 0.004989 , 0.001852 , 0.001196 , 0.003319 , 0.000478 , 0.001096 , 0.002322 , 0.002289 , 0.003983 , 0.009975 , 0.012117 
 340 , 0.800812 , 1.178484 , 1.150714 , 1.109793 , 0.760197 , 0.005377 , 0.003363 , 0.002232 , 0.004088 , 0.002206 , 0.003844 , 0.006361 , 0.006788 , 0.001886 , 0.001922 , 0.007333 , 0.005959 , 0.003809 , 0.005666 , 0.001485 , 0.005246 , 0.002709 , 0.010544 , 0.005573 , 0.006732 , 0.01132 , 0.005586 , 0.003174 , 0.001844 , 0.006834 , 0.00904 , 0.003149 , 0.006742 , 0.009222 , 0.003128 , 0.000754 , 0.003426 , 0.005466 , 0.004707 , 0.005439 , 0.002267 , 0.001718 , 0.003659 , 0.001007 , 0.002015 , 0.002778 , 0.002581 , 0.004377 , 0.010467 , 0.013628 
 341 , 0.786933 , 1.148 , 1.236916 , 1.028792 , 0.799359 , 0.00584 , 0.00381 , 0.00318 , 0.004728 , 0.002874 , 0.004563 , 0.006768 , 0.007143 , 0.002487 , 0.002547 , 0.008106 , 0.006638 , 0.0049 , 0.006121 , 0.002047 , 0.005437 , 0.003262 , 0.011007 , 0.005946 , 0.006858 , 0.012418 , 0.005986 , 0.003684 , 0.002302 , 0.007468 , 0.009745 , 0.003403 , 0.007059 , 0.010295 , 0.003534 , 0.001124 , 0.003979 , 0.006329 , 0.005156 , 0.005808 , 0.002628 , 0.002125 , 0.003908 , 0.00148 , 0.002659 , 0.003174 , 0.002826 , 0.004713 , 0.010826 , 0.014996 
 342 , 0.821411 , 1.12101 , 1.213134 , 0.999163 , 0.845283 , 0.006639 , 0.004713 , 0.003856 , 0.005278 , 0.003581 , 0.005221 , 0.007718 , 0.008223 , 0.003273 , 0.003045 , 0.008918 , 0.007694 , 0.0057 , 0.00688 , 0.002673 , 0.00612 , 0.00399 , 0.011944 , 0.006671 , 0.007502 , 0.013152 , 0.007008 , 0.004357 , 0.002917 , 0.008286 , 0.010684 , 0.00402 , 0.007765 , 0.01156 , 0.004174 , 0.001462 , 0.004662 , 0.007421 , 0.005905 , 0.006498 , 0.003215 , 0.002721 , 0.004433 , 0.002103 , 0.003435 , 0.003675 , 0.003324 , 0.005433 , 0.012128 , 0.016552 
 343 , 0.900058 , 1.09663 , 1.107119 , 1.005015 , 0.891178 , 0.007798 , 0.006328 , 0.004105 , 0.005688 , 0.004343 , 0.005774 , 0.009371 , 0.010163 , 0.004344 , 0.003385 , 0.009763 , 0.009133 , 0.00618 , 0.007975 , 0.003418 , 0.007378 , 0.004967 , 0.013344 , 0.007786 , 0.008693 , 0.013462 , 0.008848 , 0.005268 , 0.003787 , 0.009271 , 0.011823 , 0.005088 , 0.008889 , 0.012969 , 0.005098 , 0.001778 , 0.005488 , 0.008784 , 0.007018 , 0.007546 , 0.004131 , 0.003606 , 0.005287 , 0.002882 , 0.004458 , 0.004298 , 0.004144 , 0.006616 , 0.0146 , 0.018173 
 344 , 0.966342 , 1.072837 , 1.031692 , 1.004144 , 0.924985 , 0.0088 , 0.008058 , 0.0043 , 0.006015 , 0.005064 , 0.006258 , 0.011035 , 0.01201 , 0.005379 , 0.003664 , 0.010455 , 0.010383 , 0.006562 , 0.008935 , 0.004125 , 0.008571 , 0.005918 , 0.014551 , 0.008795 , 0.009766 , 0.01366 , 0.010725 , 0.00614 , 0.004645 , 0.010115 , 0.012773 , 0.006128 , 0.009916 , 0.014196 , 0.00597 , 0.002082 , 0.006244 , 0.010063 , 0.008069 , 0.008509 , 0.005077 , 0.004467 , 0.006084 , 0.003562 , 0.005377 , 0.004873 , 0.004951 , 0.007754 , 0.017108 , 0.01953 
 345 , 1.023763 , 1.052219 , 0.979643 , 0.996655 , 0.94772 , 0.009702 , 0.009805 , 0.004535 , 0.006331 , 0.00573 , 0.006727 , 0.012629 , 0.013712 , 0.006339 , 0.00398 , 0.011086 , 0.011507 , 0.006944 , 0.00984 , 0.004819 , 0.009703 , 0.006838 , 0.015629 , 0.009722 , 0.010767 , 0.01394 , 0.012444 , 0.006986 , 0.005474 , 0.010867 , 0.013677 , 0.007127 , 0.010885 , 0.015282 , 0.006803 , 0.002423 , 0.006973 , 0.011219 , 0.009015 , 0.009403 , 0.006008 , 0.0053 , 0.006856 , 0.004192 , 0.006227 , 0.005431 , 0.00573 , 0.008856 , 0.01953 , 0.020696 
 346 , 1.077768 , 1.044936 , 0.980823 , 0.958755 , 0.937718 , 0.010786 , 0.010606 , 0.005665 , 0.007173 , 0.006195 , 0.007683 , 0.013339 , 0.014725 , 0.006943 , 0.005287 , 0.012167 , 0.012793 , 0.008012 , 0.011345 , 0.005819 , 0.01086 , 0.007744 , 0.016874 , 0.010718 , 0.012003 , 0.015747 , 0.012297 , 0.007948 , 0.006163 , 0.011755 , 0.015508 , 0.008011 , 0.012092 , 0.016307 , 0.007785 , 0.00338 , 0.008091 , 0.011851 , 0.00944 , 0.010309 , 0.006526 , 0.006171 , 0.007923 , 0.005206 , 0.007316 , 0.00628 , 0.006368 , 0.010042 , 0.02059 , 0.021729 
 347 , 1.12588 , 1.037491 , 0.980454 , 0.927928 , 0.928247 , 0.011796 , 0.011299 , 0.006745 , 0.007938 , 0.006617 , 0.008568 , 0.013953 , 0.015627 , 0.007461 , 0.006583 , 0.013167 , 0.013992 , 0.009039 , 0.012739 , 0.006729 , 0.011882 , 0.008558 , 0.017989 , 0.01161 , 0.013163 , 0.017522 , 0.012186 , 0.008849 , 0.00681 , 0.012549 , 0.017348 , 0.008813 , 0.01321 , 0.017214 , 0.008657 , 0.00427 , 0.009128 , 0.01239 , 0.009794 , 0.011115 , 0.006976 , 0.006947 , 0.008903 , 0.006174 , 0.008313 , 0.007098 , 0.006949 , 0.011166 , 0.021501 , 0.022638 
 348 , 1.169057 , 1.030163 , 0.979115 , 0.902276 , 0.919389 , 0.012737 , 0.011902 , 0.007774 , 0.008633 , 0.007001 , 0.009385 , 0.014487 , 0.016434 , 0.007909 , 0.007859 , 0.014093 , 0.01511 , 0.010026 , 0.014028 , 0.007558 , 0.012789 , 0.00929 , 0.018992 , 0.01241 , 0.014253 , 0.019261 , 0.012098 , 0.009691 , 0.007418 , 0.01326 , 0.019197 , 0.009542 , 0.014247 , 0.018022 , 0.009433 , 0.005095 , 0.01009 , 0.012854 , 0.010093 , 0.011835 , 0.007368 , 0.007639 , 0.009804 , 0.007094 , 0.009226 , 0.007883 , 0.007479 , 0.01223 , 0.02229 , 0.023446 
