JUL12SHB200005.spu,JUL12SHB200004.spu,JUL12SHB200003.spu,
Wavelength,JUL12SHB200007.spu,JUL12SHB200008.spu,JUL12SHB200009.spu,JUL12SHB200010.spu,JUL12SHB200011.spu,JUL12SHB200012.spu,JUL12SHB200013.spu,JUL12SHB200014.spu,JUL12SHB200015.spu,JUL12SHB200016.spu,JUL12SHB200017.spu,JUL12SHB200018.spu,JUL12SHB200019.spu,JUL12SHB200020.spu,JUL12SHB200021.spu,JUL12SHB200022.spu,JUL12SHB200023.spu,JUL12SHB200024.spu,JUL12SHB200025.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,:44:37 A,:44:49 A,:45:04 A,:45:16 A,:45:46 A,:45:53 A,:46:01 A,:46:22 A,:46:32 A,:46:54 A,:47:06 A,:47:12 A,:47:20 A,:47:29 A,:48:20 A,:48:28 A,:48:34 A,:48:42 A,:48:48 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,
 383 , 0.008752 , 0.003646 , 0.004242 , 0.011885 , 0.006168 , 0.002658 , 0.019733 , 0.01973 , 0.011559 , 0.009445 , 0.01178 , 0.010205 , 0.006665 , 0.005958 , 0.011473 , 0.024298 , 0.013876 , 0.014252 , 0.016698 
 384 , 0.008786 , 0.00365 , 0.004329 , 0.011938 , 0.006153 , 0.00256 , 0.019776 , 0.019798 , 0.011532 , 0.009335 , 0.011786 , 0.010376 , 0.006638 , 0.005848 , 0.011476 , 0.024371 , 0.01387 , 0.014392 , 0.016822 
 385 , 0.008814 , 0.003654 , 0.004418 , 0.011982 , 0.006139 , 0.002462 , 0.019818 , 0.019866 , 0.011512 , 0.009217 , 0.011792 , 0.010548 , 0.006606 , 0.005733 , 0.011471 , 0.024438 , 0.01386 , 0.014523 , 0.01695 
 386 , 0.008989 , 0.003705 , 0.00458 , 0.012135 , 0.006246 , 0.002644 , 0.020082 , 0.020042 , 0.011576 , 0.009217 , 0.011947 , 0.010678 , 0.006742 , 0.005796 , 0.011636 , 0.024647 , 0.013985 , 0.014747 , 0.017123 
 387 , 0.009258 , 0.003783 , 0.004785 , 0.012354 , 0.006429 , 0.003005 , 0.020478 , 0.020274 , 0.011692 , 0.009294 , 0.012194 , 0.010775 , 0.006987 , 0.005976 , 0.011909 , 0.024945 , 0.014195 , 0.015026 , 0.017315 
 388 , 0.009517 , 0.003855 , 0.004979 , 0.012558 , 0.006601 , 0.003348 , 0.020845 , 0.020484 , 0.011802 , 0.009363 , 0.012426 , 0.010866 , 0.007217 , 0.006149 , 0.012166 , 0.02523 , 0.014395 , 0.015292 , 0.017494 
 389 , 0.009732 , 0.003931 , 0.005139 , 0.012705 , 0.006742 , 0.003584 , 0.021109 , 0.02066 , 0.011902 , 0.009456 , 0.012648 , 0.010997 , 0.007416 , 0.006318 , 0.012393 , 0.025523 , 0.014619 , 0.015543 , 0.017685 
 390 , 0.009833 , 0.004029 , 0.005209 , 0.012693 , 0.006809 , 0.003492 , 0.021082 , 0.020765 , 0.011983 , 0.00963 , 0.012863 , 0.011265 , 0.007539 , 0.006506 , 0.012556 , 0.025876 , 0.014955 , 0.015776 , 0.017933 
 391 , 0.009928 , 0.004123 , 0.005276 , 0.012681 , 0.006871 , 0.003406 , 0.021058 , 0.020865 , 0.012057 , 0.009798 , 0.013067 , 0.011523 , 0.007658 , 0.006684 , 0.01271 , 0.02621 , 0.015279 , 0.015998 , 0.018173 
 392 , 0.010019 , 0.004214 , 0.005342 , 0.012669 , 0.006931 , 0.003324 , 0.021035 , 0.02096 , 0.012127 , 0.009959 , 0.013261 , 0.011769 , 0.007769 , 0.006854 , 0.012858 , 0.026531 , 0.015588 , 0.016212 , 0.018408 
 393 , 0.0103 , 0.004407 , 0.005592 , 0.013064 , 0.007187 , 0.003569 , 0.021226 , 0.021221 , 0.012209 , 0.010148 , 0.013568 , 0.011983 , 0.007954 , 0.007051 , 0.013218 , 0.026975 , 0.015881 , 0.016492 , 0.018798 
 394 , 0.010592 , 0.004605 , 0.005856 , 0.01349 , 0.007455 , 0.003847 , 0.021437 , 0.02149 , 0.012287 , 0.010328 , 0.013871 , 0.012179 , 0.008138 , 0.007241 , 0.013586 , 0.027409 , 0.016149 , 0.016764 , 0.019188 
 395 , 0.010861 , 0.004786 , 0.0061 , 0.013887 , 0.007701 , 0.004106 , 0.021631 , 0.021735 , 0.01236 , 0.010496 , 0.014147 , 0.012358 , 0.008306 , 0.007414 , 0.013924 , 0.027808 , 0.016396 , 0.017012 , 0.019545 
 396 , 0.011146 , 0.004996 , 0.006309 , 0.014176 , 0.008003 , 0.004335 , 0.021943 , 0.022033 , 0.012581 , 0.010698 , 0.014388 , 0.012573 , 0.008499 , 0.007625 , 0.014246 , 0.028274 , 0.0167 , 0.017432 , 0.020039 
 397 , 0.011426 , 0.005224 , 0.006476 , 0.014356 , 0.008335 , 0.004525 , 0.022347 , 0.022364 , 0.012928 , 0.010923 , 0.014582 , 0.012815 , 0.008707 , 0.007865 , 0.014541 , 0.028778 , 0.017037 , 0.017986 , 0.02063 
 398 , 0.011669 , 0.005418 , 0.006625 , 0.014515 , 0.008624 , 0.004691 , 0.0227 , 0.02265 , 0.013228 , 0.011121 , 0.01475 , 0.013024 , 0.008887 , 0.00807 , 0.014794 , 0.029213 , 0.017328 , 0.018467 , 0.02114 
 399 , 0.011897 , 0.005609 , 0.006777 , 0.014676 , 0.008878 , 0.004855 , 0.023017 , 0.022908 , 0.013493 , 0.011305 , 0.014922 , 0.013234 , 0.009057 , 0.008277 , 0.015044 , 0.029621 , 0.017606 , 0.018894 , 0.0216 
 400 , 0.012201 , 0.005915 , 0.007111 , 0.015011 , 0.009106 , 0.005166 , 0.0234 , 0.023206 , 0.013726 , 0.01158 , 0.015277 , 0.013611 , 0.009306 , 0.008652 , 0.015484 , 0.030166 , 0.018004 , 0.019309 , 0.022089 
 401 , 0.01247 , 0.006186 , 0.007404 , 0.015306 , 0.009308 , 0.005436 , 0.023739 , 0.023473 , 0.013933 , 0.011824 , 0.015592 , 0.013943 , 0.00953 , 0.008985 , 0.015874 , 0.030652 , 0.01836 , 0.019679 , 0.022518 
 402 , 0.01271 , 0.006427 , 0.007666 , 0.015566 , 0.00949 , 0.005682 , 0.02404 , 0.023707 , 0.014118 , 0.01204 , 0.015872 , 0.014241 , 0.009726 , 0.00928 , 0.016222 , 0.031081 , 0.018677 , 0.020006 , 0.022903 
 403 , 0.012889 , 0.006548 , 0.007849 , 0.015712 , 0.009622 , 0.005799 , 0.024176 , 0.023858 , 0.014246 , 0.012169 , 0.016058 , 0.014397 , 0.009902 , 0.009342 , 0.016537 , 0.031553 , 0.019 , 0.020472 , 0.02334 
 404 , 0.013038 , 0.006626 , 0.007997 , 0.015817 , 0.009734 , 0.005869 , 0.024258 , 0.023977 , 0.014357 , 0.012264 , 0.016207 , 0.014506 , 0.010068 , 0.009333 , 0.016829 , 0.032024 , 0.019313 , 0.020965 , 0.023778 
 405 , 0.013184 , 0.006696 , 0.008138 , 0.015912 , 0.009839 , 0.005939 , 0.024335 , 0.024089 , 0.014459 , 0.012355 , 0.016348 , 0.014607 , 0.010221 , 0.00932 , 0.017105 , 0.032462 , 0.019606 , 0.021422 , 0.024187 
 406 , 0.013327 , 0.006758 , 0.008248 , 0.016043 , 0.009935 , 0.00601 , 0.024422 , 0.024199 , 0.01452 , 0.012432 , 0.01647 , 0.014703 , 0.010322 , 0.009354 , 0.017376 , 0.03294 , 0.019895 , 0.021837 , 0.02459 
 407 , 0.013473 , 0.006805 , 0.008321 , 0.016229 , 0.010019 , 0.006092 , 0.024539 , 0.024318 , 0.014521 , 0.012495 , 0.01658 , 0.014801 , 0.010343 , 0.00945 , 0.017657 , 0.033506 , 0.020189 , 0.022196 , 0.025008 
