  time  ,11:50 PM,11:58 PM,12:05 PM,12:16 PM,12:22 PM,13:26 PM,13:32 PM,13:38 PM,13:44 PM,13:49 PM,14:39 PM,14:47 PM,14:54 PM,14:59 PM,15:05 PM,16:50 PM,16:55 PM,17:00 PM,17:07 PM,17:12 PM,18:37 PM,18:44 PM,18:52 PM,18:58 PM,19:05 PM,20:03 PM,20:10 PM,20:16 PM,20:22 PM,20:28 PM,21:18 PM,21:26 PM,21:34 PM,21:42 PM,21:49 PM,22:50 PM,22:57 PM,23:03 PM,23:10 PM,23:24 PM,24:36 PM,24:42 PM,24:49 PM,24:56 PM,25:02 PM,26:16 PM,26:22 PM,26:29 PM,26:35 PM,26:42 PM,27:19 PM,27:25 PM,27:32 PM,27:39 PM,27:47 PM,28:27 PM,28:33 PM,28:39 PM,28:44 PM,28:50 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000297 , 0 , 0.015915 , 0.019765 , 0.028199 , 2.71376 , 0.022371 , 0.004668 , 0.003989 , 0 , 0.002913 , 0.056357 , 0.017348 , 0.02056 , 0.006532 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.012767 , 0.032546 , 0 , 0.004341 , 0 , 0.026842 , 0.004546 , 0 , 0 , 0 , 0 , 0 , 0.009585 , 0 , 0.007325 , 0 , 0.00791 , 0 , 0 , 0.03352 , 0.028962 , 0 , 0.003675 , 0.022139 , 0.01157 , 0.000518 , 0.003478 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000692 , 0 , 0.026417 , 0.01693 , 0.04622 , 3.7969 , 0.027382 , 0.008744 , 0.008042 , 0 , 0.005226 , 0.05285 , 0.017222 , 0.022918 , 0.009375 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.018116 , 0.055094 , 0 , 0.021386 , 0 , 0.029085 , 0.006526 , 0 , 0 , 0 , 0 , 0 , 0.013438 , 0 , 0.010514 , 0 , 0.011354 , 0 , 0 , 0.02875 , 0.032113 , 0 , 0.007956 , 0.034381 , 0.014938 , 0.000743 , 0.004992 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000994 , 0 , 0.033835 , 0.015031 , 0.058974 , 4.280829 , 0.028588 , 0.011363 , 0.010974 , 0 , 0.006485 , 0.049749 , 0.01675 , 0.023626 , 0.01066 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.020611 , 0.072892 , 0 , 0.132236 , 0 , 0.029588 , 0.00742 , 0 , 0 , 0 , 0 , 0 , 0.015167 , 0 , 0.011955 , 0 , 0.01291 , 0 , 0 , 0.025548 , 0.032153 , 0 , 0.011871 , 0.041403 , 0.016369 , 0.000845 , 0.005675 
 332 , 0 , 0 , 0 , 0 , 0.000545 , 0.001013 , 0.000798 , 0.001143 , 0.004736 , 0.00108 , 0.03372 , 0.017248 , 0.049697 , 0.031081 , 0.026204 , 0.01289 , 0.013998 , 0.000445 , 0.007791 , 0.038443 , 0.016319 , 0.020633 , 0.012924 , 0.001118 , 0.00156 , 0 , 0 , 0 , 0 , 0.001659 , 0 , 0 , 0 , 0.018876 , 0.053589 , 0.000943 , 0.046328 , 0 , 0.026924 , 0.008462 , 0.002038 , 0 , 0 , 0 , 0 , 0.014637 , 0 , 0.015613 , 0 , 0.016605 , 0 , 0.001014 , 0.02716 , 0.028047 , 0.00059 , 0.013907 , 0.03507 , 0.017595 , 0.003091 , 0.007932 
 333 , 0 , 0 , 0 , 0 , 0.001172 , 0.002452 , 0.001753 , 0.002795 , 0.007219 , 0.002323 , 0.03101 , 0.022065 , 0.039125 , 0.02114 , 0.023653 , 0.013921 , 0.016524 , 0.001034 , 0.00907 , 0.031312 , 0.015976 , 0.017359 , 0.015552 , 0.002159 , 0.003626 , 0 , 0 , 0 , 0 , 0.005497 , 0 , 0 , 0 , 0.016811 , 0.037778 , 0.002264 , 0.025432 , 0 , 0.024135 , 0.00929 , 0.004824 , 0 , 0 , 0 , 0 , 0.013747 , 0 , 0.021351 , 0 , 0.023013 , 0 , 0.002219 , 0.031125 , 0.024475 , 0.00164 , 0.014741 , 0.029427 , 0.018596 , 0.006238 , 0.011157 
 334 , 0 , 0 , 0 , 0 , 0.001558 , 0.003557 , 0.002365 , 0.00409 , 0.00818 , 0.003087 , 0.028823 , 0.026921 , 0.033175 , 0.01845 , 0.021765 , 0.014601 , 0.017975 , 0.001454 , 0.009924 , 0.027484 , 0.01552 , 0.01513 , 0.017395 , 0.002688 , 0.005097 , 0 , 0 , 0 , 0 , 0.011431 , 0 , 0 , 0 , 0.015414 , 0.030275 , 0.003263 , 0.020158 , 0 , 0.022109 , 0.009611 , 0.006875 , 0 , 0 , 0 , 0 , 0.013021 , 0 , 0.02722 , 0 , 0.0309 , 0 , 0.002985 , 0.034476 , 0.022116 , 0.00271 , 0.015232 , 0.026319 , 0.018972 , 0.008646 , 0.013905 
 335 , 0.00014 , 0.000072 , 0 , 0.000187 , 0.002012 , 0.004431 , 0.003135 , 0.005165 , 0.009057 , 0.003852 , 0.027095 , 0.030577 , 0.030812 , 0.017339 , 0.020566 , 0.015199 , 0.018214 , 0.002043 , 0.010347 , 0.025641 , 0.015554 , 0.014704 , 0.018333 , 0.003412 , 0.006453 , 0.000138 , 0.000228 , 0.000294 , 0.000175 , 0.015356 , 0.000193 , 0.000225 , 0.0001 , 0.015149 , 0.027354 , 0.004046 , 0.018688 , 0 , 0.020952 , 0.009916 , 0.00831 , 0.000307 , 0.000055 , 0.000561 , 0.000333 , 0.013258 , 0.000309 , 0.029547 , 0.000088 , 0.034246 , 0 , 0.003836 , 0.036103 , 0.020544 , 0.003948 , 0.01582 , 0.025292 , 0.019629 , 0.010387 , 0.01597 
 336 , 0.000798 , 0.000478 , 0 , 0.000966 , 0.003087 , 0.005257 , 0.005131 , 0.006289 , 0.011386 , 0.005693 , 0.02619 , 0.030483 , 0.034071 , 0.017895 , 0.020733 , 0.016306 , 0.016976 , 0.003637 , 0.010296 , 0.026276 , 0.017363 , 0.018888 , 0.018297 , 0.005272 , 0.008712 , 0.000777 , 0.001098 , 0.001762 , 0.001011 , 0.011035 , 0.00108 , 0.001267 , 0.000544 , 0.017602 , 0.030264 , 0.004785 , 0.0212 , 0 , 0.021441 , 0.010751 , 0.009201 , 0.001669 , 0.000303 , 0.002579 , 0.001692 , 0.01667 , 0.001758 , 0.024164 , 0.000411 , 0.025405 , 0 , 0.005705 , 0.034363 , 0.019942 , 0.005832 , 0.017461 , 0.027853 , 0.022082 , 0.011482 , 0.016927 
 337 , 0.001388 , 0.000983 , 0 , 0.001551 , 0.003931 , 0.006087 , 0.006891 , 0.007189 , 0.014053 , 0.007944 , 0.025435 , 0.030312 , 0.03702 , 0.018155 , 0.020784 , 0.017176 , 0.016124 , 0.005075 , 0.010224 , 0.026705 , 0.018851 , 0.023287 , 0.01821 , 0.00648 , 0.010799 , 0.001341 , 0.001675 , 0.003214 , 0.001778 , 0.009723 , 0.001851 , 0.002179 , 0.000907 , 0.019874 , 0.033004 , 0.005368 , 0.023289 , 0 , 0.021749 , 0.011491 , 0.009835 , 0.002788 , 0.00051 , 0.003819 , 0.002683 , 0.020745 , 0.003057 , 0.021345 , 0.000616 , 0.021361 , 0 , 0.007146 , 0.033002 , 0.019433 , 0.007687 , 0.018822 , 0.030129 , 0.024552 , 0.012317 , 0.017656 
 338 , 0.001917 , 0.001626 , 0 , 0.002003 , 0.004603 , 0.006923 , 0.008444 , 0.007919 , 0.017154 , 0.010771 , 0.024792 , 0.030101 , 0.039702 , 0.018266 , 0.020766 , 0.017869 , 0.015487 , 0.006371 , 0.010141 , 0.026993 , 0.020085 , 0.027929 , 0.018095 , 0.007313 , 0.012725 , 0.001837 , 0.00208 , 0.004645 , 0.002479 , 0.009061 , 0.002521 , 0.002978 , 0.001208 , 0.021981 , 0.035599 , 0.005835 , 0.025039 , 0 , 0.021938 , 0.01215 , 0.010297 , 0.003717 , 0.000686 , 0.004645 , 0.003429 , 0.02573 , 0.004221 , 0.01958 , 0.000756 , 0.019011 , 0 , 0.008279 , 0.031895 , 0.018993 , 0.009509 , 0.019959 , 0.032165 , 0.027056 , 0.012964 , 0.018217 
