  time  ,54:24 PM,54:30 PM,54:38 PM,54:44 PM,54:51 PM,55:58 PM,56:05 PM,56:11 PM,56:19 PM,56:27 PM,57:18 PM,57:24 PM,57:30 PM,57:39 PM,57:46 PM,58:37 PM,58:46 PM,58:53 PM,59:01 PM,59:09 PM,00:17 PM,00:25 PM,00:31 PM,00:40 PM,00:47 PM,01:49 PM,01:55 PM,02:01 PM,02:10 PM,02:17 PM,03:02 PM,03:08 PM,03:20 PM,03:34 PM,03:40 PM,04:32 PM,04:39 PM,04:48 PM,04:54 PM,05:01 PM,06:15 PM,06:22 PM,06:29 PM,06:36 PM,06:45 PM,07:59 PM,08:04 PM,08:11 PM,08:22 PM,08:32 PM,09:09 PM,09:15 PM,09:22 PM,09:29 PM,09:36 PM,10:14 PM,10:22 PM,10:28 PM,10:35 PM,10:41 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0 , 0 , 0 , 0 , 0 , 0.00188 , 0.000312 , 0 , 0 , 0.001359 , 0 , 0 , 0 , 0 , 0 , 0.003367 , 0.001022 , 0.005945 , 0 , 0.001517 , 0 , 0.004459 , 0.004146 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0018 , 0.002306 , 0.008116 , 0 , 0 , 0 , 0.001576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000997 , 0 , 0 , 0.009349 , 0.00371 , 0 , 0.00099 , 0.001479 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0.003657 , 0.00069 , 0 , 0 , 0.002894 , 0 , 0 , 0 , 0 , 0 , 0.00645 , 0.001895 , 0.009738 , 0 , 0.002959 , 0 , 0.005926 , 0.006677 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003412 , 0.004033 , 0.013905 , 0 , 0 , 0 , 0.002972 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001648 , 0 , 0 , 0.013781 , 0.007968 , 0 , 0.001609 , 0.002545 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0.005494 , 0.001173 , 0 , 0 , 0.004736 , 0 , 0 , 0 , 0 , 0 , 0.00957 , 0.002738 , 0.013416 , 0 , 0.004454 , 0 , 0.006994 , 0.008704 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005013 , 0.005572 , 0.020602 , 0 , 0 , 0 , 0.004351 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002185 , 0 , 0 , 0.017461 , 0.013107 , 0 , 0.002115 , 0.003474 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0.00104 , 0.00122 , 0.007515 , 0.00348 , 0 , 0.000747 , 0.006623 , 0 , 0.000579 , 0 , 0 , 0 , 0.011795 , 0.004674 , 0.015152 , 0.00053 , 0.006804 , 0.003037 , 0.013363 , 0.011713 , 0.001324 , 0.016977 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.009021 , 0.007574 , 0.021122 , 0.000181 , 0.000767 , 0 , 0.00724 , 0.001847 , 0.000259 , 0 , 0 , 0.000562 , 0.000291 , 0.00075 , 0 , 0.001474 , 0 , 0.004326 , 0 , 0.00021 , 0.020554 , 0.014369 , 0 , 0.004145 , 0.008078 , 0.002822 , 0.001559 , 0.000901 
 330 , 0 , 0 , 0 , 0.001827 , 0.002464 , 0.009332 , 0.004969 , 0 , 0.001586 , 0.008158 , 0 , 0.001117 , 0 , 0 , 0 , 0.014042 , 0.0068 , 0.016519 , 0.000956 , 0.008765 , 0.006788 , 0.022261 , 0.013523 , 0.002195 , 0.023041 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.012489 , 0.009472 , 0.021389 , 0.000333 , 0.00147 , 0 , 0.010214 , 0.003122 , 0.000492 , 0 , 0 , 0.001187 , 0.00056 , 0.001481 , 0 , 0.002781 , 0 , 0.005756 , 0 , 0.000382 , 0.023306 , 0.014932 , 0 , 0.005872 , 0.012098 , 0.005139 , 0.002894 , 0.001667 
 331 , 0 , 0 , 0 , 0.002413 , 0.003691 , 0.010952 , 0.005947 , 0 , 0.00251 , 0.009391 , 0 , 0.001598 , 0 , 0 , 0 , 0.01636 , 0.00912 , 0.017608 , 0.001291 , 0.010375 , 0.011423 , 0.03557 , 0.014632 , 0.002776 , 0.025802 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.015423 , 0.011258 , 0.021502 , 0.000458 , 0.002093 , 0 , 0.01323 , 0.004004 , 0.000694 , 0 , 0 , 0.001865 , 0.000799 , 0.00217 , 0 , 0.0039 , 0 , 0.006718 , 0 , 0.00052 , 0.025782 , 0.01515 , 0 , 0.007304 , 0.015515 , 0.006991 , 0.004001 , 0.0023 
 332 , 0.000443 , 0.00041 , 0.000483 , 0.003248 , 0.005646 , 0.012221 , 0.007093 , 0.00081 , 0.004004 , 0.010666 , 0.000474 , 0.002611 , 0.000788 , 0.000315 , 0.000685 , 0.017949 , 0.01173 , 0.019364 , 0.001976 , 0.011743 , 0.012926 , 0.035964 , 0.017792 , 0.004086 , 0.024126 , 0 , 0 , 0 , 0 , 0.000406 , 0 , 0 , 0.016591 , 0.013465 , 0.022805 , 0.001384 , 0.003525 , 0 , 0.014451 , 0.00525 , 0.001465 , 0 , 0.000457 , 0.002967 , 0.001618 , 0.003018 , 0.000032 , 0.0053 , 0 , 0.008506 , 0.000384 , 0.001541 , 0.028923 , 0.01496 , 0.001252 , 0.008922 , 0.01667 , 0.008808 , 0.00594 , 0.003801 
 333 , 0.001112 , 0.001025 , 0.001311 , 0.004135 , 0.007978 , 0.013025 , 0.008318 , 0.00226 , 0.005542 , 0.011809 , 0.001267 , 0.003843 , 0.001872 , 0.000863 , 0.001807 , 0.018684 , 0.014045 , 0.021211 , 0.002822 , 0.012764 , 0.012325 , 0.030534 , 0.022243 , 0.005442 , 0.021642 , 0 , 0 , 0 , 0 , 0.001084 , 0 , 0 , 0.016587 , 0.015653 , 0.024373 , 0.002906 , 0.005249 , 0 , 0.014361 , 0.006684 , 0.002506 , 0 , 0.001165 , 0.004139 , 0.002775 , 0.003868 , 0.000079 , 0.006695 , 0 , 0.010984 , 0.000895 , 0.003041 , 0.031978 , 0.014483 , 0.003375 , 0.010487 , 0.016505 , 0.010586 , 0.008334 , 0.005696 
 334 , 0.00166 , 0.001525 , 0.002101 , 0.004802 , 0.010059 , 0.01349 , 0.009358 , 0.003726 , 0.006697 , 0.012686 , 0.001999 , 0.004837 , 0.002673 , 0.001397 , 0.002817 , 0.019015 , 0.015827 , 0.022601 , 0.003512 , 0.013475 , 0.011827 , 0.027358 , 0.026349 , 0.006294 , 0.019911 , 0 , 0 , 0 , 0 , 0.001711 , 0 , 0 , 0.016364 , 0.017393 , 0.0254 , 0.004381 , 0.006587 , 0 , 0.014106 , 0.007884 , 0.00335 , 0 , 0.001762 , 0.005052 , 0.003789 , 0.00455 , 0.000117 , 0.007759 , 0 , 0.013474 , 0.00126 , 0.004303 , 0.034318 , 0.013948 , 0.005373 , 0.011712 , 0.016182 , 0.012164 , 0.010404 , 0.007231 
 335 , 0.00214 , 0.002321 , 0.003035 , 0.005526 , 0.010991 , 0.013752 , 0.010289 , 0.004938 , 0.007531 , 0.013336 , 0.002775 , 0.005646 , 0.003437 , 0.002078 , 0.003716 , 0.019158 , 0.016742 , 0.023224 , 0.004303 , 0.014047 , 0.011829 , 0.025012 , 0.028684 , 0.00725 , 0.019295 , 0.000131 , 0.000325 , 0.000218 , 0.000102 , 0.002399 , 0.000176 , 0.000155 , 0.016183 , 0.018712 , 0.025952 , 0.005575 , 0.007546 , 0.000222 , 0.013907 , 0.008849 , 0.004159 , 0.000119 , 0.002387 , 0.005952 , 0.00475 , 0.005228 , 0.00042 , 0.008559 , 0.000228 , 0.01563 , 0.001736 , 0.005473 , 0.034927 , 0.01417 , 0.006895 , 0.012653 , 0.016208 , 0.013196 , 0.011774 , 0.008457 
